time,torque_data,sigup,sigdown
0.1,0.652652444,1.37171082,-0.066405932
0.2,0.67070013,1.389734931,-0.048325548
0.3,0.688807127,1.407946376,-0.030325598
0.4,0.706971421,1.426190348,-0.012243119
0.5,0.725192028,1.444467661,0.005920014
0.6,0.743470632,1.462781899,0.024161175
0.7,0.761802016,1.481131155,0.042473334
0.8,0.780185336,1.4995158,0.060854162
0.9,0.79862137,1.517936749,0.079304768
1,0.817111397,1.535393951,0.098807215
1.1,0.835652208,1.554894888,0.116406471
1.2,0.854243899,1.573430486,0.135053441
1.3,0.872888882,1.592005631,0.153767898
1.4,0.891588036,1.610622726,0.172548347
1.5,0.910339676,1.629280124,0.191393473
1.6,0.929144675,1.646221728,0.212018341
1.7,0.948007115,1.666721046,0.229286291
1.8,0.966927192,1.68550878,0.248337907
1.9,0.985904445,1.704340857,0.267459491
2,1.004940323,1.723218347,0.286652863
2.1,1.024040624,1.740558213,0.307549128
2.2,1.043204216,1.759122949,0.32728964
2.3,1.062431569,1.778161681,0.346705764
2.4,1.081724311,1.79725702,0.366196103
2.5,1.10108967,1.816414527,0.385769294
2.6,1.120524098,1.835629649,0.405423174
2.7,1.140028403,1.854902519,0.425159057
2.8,1.159604067,1.874233737,0.444979138
2.9,1.179256757,1.893626015,0.46489235
3,1.198980643,1.913073762,0.484892464
3.1,1.218774873,1.932574937,0.50497981
3.2,1.238639193,1.952127824,0.525155406
3.3,1.258573287,1.97172926,0.545422122
3.4,1.278568185,1.991370249,0.565770827
3.5,1.298617958,2.011043193,0.586197239
3.6,1.318716177,2.030738747,0.606697648
3.7,1.338851815,2.050442465,0.627264737
3.8,1.359009363,2.070136904,0.647884705
3.9,1.379173106,2.089801921,0.668546166
4,1.399322413,2.109408286,0.689236899
4.1,1.419431343,2.128920178,0.709940727
4.2,1.439473665,2.148299084,0.730643188
4.3,1.459419089,2.167494543,0.751333347
4.4,1.479222546,2.186423436,0.77200439
4.5,1.498845692,2.204995899,0.79266476
4.6,1.518250214,2.223103258,0.813342254
4.7,1.537392003,2.240591993,0.834092651
4.8,1.55619694,2.257191721,0.855046335
4.9,1.574632929,2.272107886,0.87712402
5,1.59265757,2.288681875,0.89664424
5.1,1.610225813,2.305690767,0.914775522
5.2,1.627251531,2.32075901,0.933699473
5.3,1.643739829,2.333357914,0.953847627
5.4,1.659663741,2.346157195,0.973197238
5.5,1.674994379,2.360235951,0.989774754
5.6,1.689687297,2.371075357,1.008157627
5.7,1.703785691,2.380025279,1.027577712
5.8,1.717299436,2.392341778,1.042374182
5.9,1.730230821,2.402349742,1.058166067
6,1.74259505,2.410738847,1.074417262
6.1,1.754459475,2.418121586,1.090668978
6.2,1.76586287,2.424656488,1.107303599
6.3,1.776831447,2.433349829,1.120541826
6.4,1.787415776,2.441391226,1.133667347
6.5,1.797678904,2.448998392,1.146571892
6.6,1.80766414,2.456326736,1.159195005
6.7,1.817402184,2.463489449,1.171494467
6.8,1.826942859,2.470590166,1.18345751
6.9,1.836327888,2.477691196,1.19510974
7,1.845588266,2.484838422,1.206467827
7.1,1.85474668,2.492074548,1.217540808
7.2,1.863834291,2.499416427,1.228360781
7.3,1.872872044,2.506877597,1.238962824
7.4,1.881876194,2.514467957,1.249371627
7.5,1.890859642,2.522197866,1.259601712
7.6,1.899835421,2.530056598,1.269684914
7.7,1.908811565,2.538040173,1.279645018
7.8,1.917794359,2.546146123,1.289500158
7.9,1.926789542,2.554369086,1.299261265
8,1.935799479,2.562693863,1.308950119
8.1,1.944826033,2.571111735,1.318580001
8.2,1.953870668,2.579617097,1.328161734
8.3,1.962934416,2.5881995,1.337702677
8.4,1.972015786,2.596499524,1.347617787
8.5,1.981114033,2.605550134,1.356705171
8.6,1.990228636,2.614304209,1.366179302
8.7,1.999358236,2.623098676,1.375642246
8.8,2.008500472,2.63192495,1.385099208
8.9,2.017653637,2.640776165,1.394553592
9,2.026816239,2.649646543,1.404008325
9.1,2.035985882,2.65852804,1.413466068
9.2,2.045160136,2.667414463,1.422928525
9.3,2.054336796,2.676300053,1.432397017
9.4,2.06351334,2.685177974,1.441872819
9.5,2.072686951,2.69404273,1.451356611
9.6,2.08185497,2.70288882,1.460848245
9.7,2.091014573,2.711710259,1.470347594
9.8,2.100161518,2.720498941,1.479854578
9.9,2.10929296,2.729250845,1.48936815
10,2.118405471,2.737960044,1.498886935
10.1,2.127495149,2.746618739,1.508409496
10.2,2.13655529,2.755218003,1.517934044
10.3,2.145583305,2.76375399,1.527458059
10.4,2.154574438,2.772219742,1.536978965
10.5,2.16352275,2.780604136,1.546493869
10.6,2.172419611,2.78889851,1.555998413
10.7,2.181262089,2.797098358,1.565489096
10.8,2.190044027,2.80519556,1.574961822
10.9,2.198756578,2.813174416,1.58441192
11,2.207390124,2.821028778,1.593831514
11.1,2.215941286,2.828753083,1.603216886
11.2,2.224402715,2.836338598,1.612562055
11.3,2.232762024,2.843764471,1.62185985
11.4,2.241010595,2.851030602,1.631099454
11.5,2.249144782,2.858130472,1.640276939
11.6,2.257156821,2.86505535,1.649384719
11.7,2.26503079,2.871782122,1.658412694
11.8,2.272762122,2.878318702,1.667348529
11.9,2.280347405,2.88465899,1.676188661
12,2.287779869,2.890793461,1.684822734
12.1,2.295041083,2.89744444,1.692607985
12.2,2.302133987,2.90351534,1.700723646
12.3,2.309056175,2.909372648,1.708711745
12.4,2.315803615,2.915014225,1.716565573
12.5,2.322357491,2.920421863,1.724268444
12.6,2.328730769,2.92561216,1.731826377
12.7,2.334922811,2.930589336,1.739235152
12.8,2.340931552,2.935355601,1.746488607
12.9,2.346747171,2.939902174,1.753575336
13,2.352386061,2.944253075,1.760504358
13.1,2.357851965,2.948416621,1.767274802
13.2,2.363145433,2.95239835,1.773882203
13.3,2.368267364,2.956203626,1.780322887
13.4,2.373235141,2.959855808,1.786608285
13.5,2.378056503,2.963367421,1.792741316
13.6,2.382734838,2.96674723,1.798719945
13.7,2.387279618,2.970009863,1.804548508
13.8,2.391707186,2.973175532,1.810239449
13.9,2.396027564,2.976258242,1.815798793
14,2.400246518,2.979269139,1.821226967
14.1,2.404377814,2.982225367,1.826534288
14.2,2.408435175,2.985142594,1.831732565
14.3,2.412428884,2.988033709,1.836829481
14.4,2.416366275,2.990911154,1.841827412
14.5,2.420260851,2.993788706,1.846739335
14.6,2.424123073,2.996677465,1.85157521
14.7,2.427961907,2.999587577,1.856342833
14.8,2.431785515,3.002531951,1.861045846
14.9,2.435603782,3.005517559,1.865696646
15,2.439424172,3.008551906,1.870302875
15.1,2.443253653,3.011642511,1.874871199
15.2,2.447100424,3.014800612,1.879406313
