time,torque_data,sigup,sigdown
0.1,1.21301592,1.840828819,0.585203021
0.2,1.20747353,1.835250639,0.579696419
0.3,1.201930539,1.829669137,0.574191937
0.4,1.196387076,1.824084249,0.568689896
0.5,1.190843275,1.818495853,0.563190687
0.6,1.185299296,1.812903645,0.557694934
0.7,1.179755331,1.807307792,0.552202854
0.8,1.174211563,1.801708197,0.546714907
0.9,1.168668209,1.796104652,0.541231741
1,1.163125549,1.790496902,0.535754165
1.1,1.157583814,1.784885064,0.530282526
1.2,1.152043287,1.779269021,0.524817508
1.3,1.146504364,1.77364847,0.519360207
1.4,1.140967473,1.768023241,0.513911644
1.5,1.135432953,1.762393413,0.508472421
1.6,1.129901264,1.756758867,0.503043577
1.7,1.124373144,1.751119213,0.497626982
1.8,1.118849201,1.745474429,0.492223864
1.9,1.113329999,1.739824578,0.486835294
2,1.1078163,1.734169578,0.481462876
2.1,1.102309476,1.728509006,0.476109787
2.2,1.096810326,1.722843074,0.470777393
2.3,1.091319848,1.717171888,0.465467595
2.4,1.085839302,1.711495489,0.460182872
2.5,1.080371207,1.705813562,0.454928587
2.6,1.074916501,1.700126676,0.449706024
2.7,1.069476973,1.694435105,0.444518495
2.8,1.064054853,1.688739152,0.439370177
2.9,1.058654198,1.683039035,0.434268932
3,1.053276346,1.677335711,0.429216494
3.1,1.047924307,1.671629931,0.424218128
3.2,1.042602152,1.665922611,0.419281091
3.3,1.037315657,1.660215045,0.414415587
3.4,1.032067194,1.654508775,0.409624836
3.5,1.026861498,1.648805509,0.404916604
3.6,1.021705723,1.643107525,0.400302967
3.7,1.016607513,1.63741774,0.395796201
3.8,1.01157084,1.631738776,0.391401671
3.9,1.006602762,1.626073953,0.38713017
4,1.001715154,1.620428193,0.383000596
4.1,0.996916872,1.614806436,0.379025579
4.2,0.99221397,1.609213056,0.375212917
4.3,0.987616002,1.60365373,0.371576035
4.4,0.983141032,1.598137788,0.368141835
4.5,0.978796663,1.592671771,0.364918773
4.6,0.97459076,1.587262374,0.361915978
4.7,0.970534163,1.581917902,0.359146822
4.8,0.96665084,1.576653645,0.356644088
4.9,0.962941808,1.57147533,0.354403806
5,0.959414634,1.566391641,0.352432558
5.1,0.956078127,1.561412391,0.350738318
5.2,0.952956371,1.556557948,0.349348561
5.3,0.950037678,1.551828405,0.348239991
5.4,0.947324441,1.547232111,0.347409059
5.5,0.94481983,1.542778649,0.346852679
5.6,0.942531644,1.538483437,0.346570756
5.7,0.940438346,1.534340393,0.34652648
5.8,0.938530294,1.530351983,0.346698134
5.9,0.936799568,1.52663294,0.34707823
6,0.935232792,1.522991776,0.347601544
6.1,0.933801458,1.519483353,0.348245405
6.2,0.932485397,1.516117117,0.348976472
6.3,0.93126602,1.512892713,0.349759994
6.4,0.930117587,1.509794631,0.350556644
6.5,0.929013603,1.506808433,0.35132944
6.6,0.927932379,1.503922517,0.352046766
6.7,0.926852093,1.501130242,0.352675106
6.8,0.925751319,1.498412601,0.353184349
6.9,0.924613598,1.495756556,0.353557826
