time,force_data,sigup,sigdown
0.1,0.934563858,1.023224549,0.845903166
0.2,0.93279411,1.021086749,0.844501471
0.3,0.931036084,1.018982081,0.843090086
0.4,0.929289417,1.016909926,0.841668907
0.5,0.927553767,1.014869695,0.840237838
0.6,0.925828811,1.012860831,0.838796791
0.7,0.924114247,1.010882808,0.837345687
0.8,0.92240979,1.00893513,0.835884449
0.9,0.92071517,1.00701733,0.834413009
1,0.919030137,1.005128974,0.8329313
1.1,0.917354456,1.003269654,0.831439258
1.2,0.915687909,1.001438992,0.829936825
1.3,0.91403029,0.999636639,0.828423941
1.4,0.912381411,0.997862272,0.82690055
1.5,0.910741095,0.996115596,0.825366594
1.6,0.909109181,0.994396343,0.823822018
1.7,0.907485518,0.992704271,0.822266766
1.8,0.905869971,0.991039163,0.820700779
1.9,0.904262415,0.989400829,0.819124001
2,0.902662736,0.9877891,0.817536372
2.1,0.901070833,0.986203834,0.815937831
2.2,0.899486613,0.98464491,0.814328316
2.3,0.897909996,0.98311223,0.812707762
2.4,0.896340911,0.981605719,0.811076103
2.5,0.894779295,0.980284745,0.809273844
2.6,0.893225095,0.978670999,0.807779191
2.7,0.891678268,0.977416974,0.805939562
2.8,0.890138776,0.975840543,0.804437009
2.9,0.888606591,0.974464431,0.802748752
3,0.887081692,0.973114437,0.801048946
3.1,0.885564062,0.971990812,0.799137312
3.2,0.884053694,0.970493021,0.797614368
3.3,0.882550585,0.969433351,0.795667818
3.4,0.881054735,0.967976858,0.794132611
3.5,0.879566151,0.966758471,0.79237383
3.6,0.878084842,0.965566683,0.790603001
3.7,0.876610822,0.964401605,0.788820039
3.8,0.875144105,0.963263351,0.787024858
3.9,0.873684707,0.962152037,0.785217378
4,0.872232646,0.961067776,0.783397515
4.1,0.870787936,0.96001068,0.781565192
4.2,0.869350593,0.958980853,0.779720333
4.3,0.867920627,0.957978389,0.777862865
4.4,0.866498046,0.957003372,0.775992721
4.5,0.865082852,0.956055866,0.774109839
4.6,0.86367504,0.955135916,0.772214164
4.7,0.862274594,0.954243544,0.770305645
4.8,0.860881491,0.95337874,0.768384242
4.9,0.859495693,0.952541463,0.766449923
5,0.858117148,0.95173163,0.764502665
5.1,0.856745787,0.950949116,0.762542458
5.2,0.855381523,0.950193743,0.760569302
5.3,0.854024244,0.949465279,0.75858321
5.4,0.852673817,0.948763424,0.75658421
5.5,0.851330079,0.948087812,0.754572345
5.6,0.849992835,0.947437997,0.752547673
5.7,0.848661859,0.946813447,0.75051027
5.8,0.847336884,0.946213538,0.74846023
5.9,0.846017604,0.945637543,0.746397665
6,0.844703666,0.945084624,0.744322707
6.1,0.843394669,0.944553827,0.74223551
6.2,0.842090158,0.944044069,0.740136247
6.3,0.840789622,0.943554129,0.738025114
6.4,0.839492487,0.943082646,0.735902328
6.5,0.838198115,0.942628102,0.733768128
6.6,0.836905799,0.942188822,0.731622775
6.7,0.835614757,0.941762962,0.729466552
