time,x_degree,y_degree,z_degree
0.01,-0.319338242,0,0
0.02,-0.293634375,0,0
0.03,-0.269366965,0,0
0.04,-0.246540241,0,0
0.05,-0.225158139,0,0
0.06,-0.205224304,0,0
0.07,-0.186742091,0,0
0.08,-0.169714559,0,0
0.09,-0.154144476,0,0
0.1,-0.140034317,0,0
0.11,-0.127386262,0,0
0.12,-0.116202195,0,0
0.13,-0.106483705,0,0
0.14,-0.098232089,0,0
0.15,-0.091448344,0,0
0.16,-0.086133173,0,0
0.17,-0.082286983,0,0
0.18,-0.079909885,0,0
0.19,-0.079001693,0,0
0.2,-0.079561927,0,0
0.21,-0.081589808,0,0
0.22,-0.085084264,0,0
0.23,-0.090043925,0,0
0.24,-0.096467127,0,0
0.25,-0.104351912,0,0
0.26,-0.113696025,0,0
0.27,-0.124496917,0,0
0.28,-0.136751749,0,0
0.29,-0.150457384,0,0
0.3,-0.165610395,0,0
0.31,-0.182207065,0,0
0.32,-0.200243382,0,0
0.33,-0.219715047,0,0
0.34,-0.240617471,0,0
0.35,-0.262945775,0,0
0.36,-0.286694794,0,0
0.37,-0.311859078,0,0
0.38,-0.338432888,0,0
0.39,-0.366410205,0,0
0.4,-0.395784724,0,0
0.41,-0.426549861,0,0
0.42,-0.458698748,0,0
0.43,-0.492224242,0,0
0.44,-0.527118921,0,0
0.45,-0.563375087,0,0
0.46,-0.600984768,0,0
0.47,-0.639939717,0,0
0.48,-0.680231419,0,0
0.49,-0.721851089,0,0
0.5,-0.764789672,0,0
0.51,-0.80903785,0,0
0.52,-0.85458604,0,0
0.53,-0.901424396,0,0
0.54,-0.949542813,0,0
0.55,-0.998930929,0,0
0.56,-1.049578125,0,0
0.57,-1.101473528,0,0
0.58,-1.154606013,0,0
0.59,-1.208964208,0,0
0.6,-1.264536492,0,0
0.61,-1.321310999,0,0
0.62,-1.379275624,0,0
0.63,-1.438418017,0,0
0.64,-1.498725596,0,0
0.65,-1.560185541,0,0
0.66,-1.622784801,0,0
0.67,-1.686510094,0,0
0.68,-1.751347913,0,0
0.69,-1.817284526,0,0
0.7,-1.884305981,0,0
0.71,-1.952398104,0,0
0.72,-2.021546509,0,0
0.73,-2.091736595,0,0
0.74,-2.162953553,0,0
0.75,-2.235182365,0,0
0.76,-2.30840781,0,0
0.77,-2.382614468,0,0
0.78,-2.45778672,0,0
0.79,-2.53390875,0,0
0.8,-2.610964556,0,0
0.81,-2.688937944,0,0
0.82,-2.767812536,0,0
0.83,-2.847571774,0,0
0.84,-2.92819892,0,0
0.85,-3.009677062,0,0
0.86,-3.091989117,0,0
0.87,-3.175117834,0,0
0.88,-3.259045797,0,0
0.89,-3.343755431,0,0
0.9,-3.429229,0,0
0.91,-3.515448619,0,0
0.92,-3.602396248,0,0
