time,x_degree,y_degree,z_degree	
0,-12.0827716975942,0,0	
0.1,-12.0775291189381,0,0	
0.2,-12.0666673044266,0,0	
0.3,-12.0509944455944,0,0	
0.4,-12.0312868760342,0,0	
0.5,-12.0082802335773,0,0	
0.6,-11.9826617747756,0,0	
0.7,-11.955063947049,0,0	
0.8,-11.9260592938883,0,0	
0.9,-11.8961567371349,0,0	
1,-11.8657992487304,0,0	
1.1,-11.835362893224,0,0	
1.2,-11.805157192201,0,0	
1.3,-11.7754267340802,0,0	
1.4,-11.7463539272135,0,0	
1.5,-11.7180627724851,0,0	
1.6,-11.6906235132226,0,0	
1.7,-11.6640580063302,0,0	
1.8,-11.6383456490055,0,0	
1.9,-11.6134296902314,0,0	
2,-11.58922375598,0,0	
2.1,-11.5656184208152,0,0	
2.2,-11.5424876668773,0,0	
2.3,-11.5196950829729,0,0	
2.4,-11.4970996719354,0,0	
2.5,-11.4745611522296,0,0	
2.6,-11.4519446600183,0,0	
2.7,-11.4291247796837,0,0	
2.8,-11.4059888530819,0,0	
2.9,-11.3824395406294,0,0	
3,-11.3583966293959,0,0	
3.1,-11.3337981043273,0,0	
3.2,-11.308600518219,0,0	
3.3,-11.2827787130677,0,0	
3.4,-11.2563249601713,0,0	
3.5,-11.2292475980688,0,0	
3.6,-11.2015692561388,0,0	
3.7,-11.1733247572571,0,0	
3.8,-11.1445587953175,0,0	
3.9,-11.1153234828245,0,0	
4,-11.08567586027,0,0	
4.1,-11.0556754530748,0,0	
4.2,-11.0253819534146,0,0	
4.3,-10.9948530944022,0,0	
4.4,-10.9641427723258,0,0	
4.5,-10.9332994603322,0,0	
4.6,-10.9023649439302,0,0	
4.7,-10.8713733955758,0,0	
4.8,-10.8403507930832,0,0	
4.9,-10.8093146745406,0,0	
5,-10.7782742117388,0,0	
5.1,-10.7472305745951,0,0	
5.2,-10.7161775512688,0,0	
5.3,-10.6851023825831,0,0	
5.4,-10.6539867651172,0,0	
5.5,-10.6228079749577,0,0	
5.6,-10.5915400635154,0,0	
5.7,-10.5601550779912,0,0	
5.8,-10.5286242617018,0,0	
5.9,-10.4969191935498,0,0	
6,-10.4650128311265,0,0	
6.1,-10.4328804278422,0,0	
6.2,-10.4005003013009,0,0	
6.3,-10.3678544368475,0,0	
6.4,-10.334928917441,0,0	
6.5,-10.3017141776928,0,0	
6.6,-10.2682050863407,0,0	
6.7,-10.2344008672738,0,0	
6.8,-10.2003048741263,0,0	
6.9,-10.1659242376767,0,0	
7,-10.1312694083601,0,0	
7.1,-10.0963536182947,0,0	
7.2,-10.0611922883436,0,0	
7.3,-10.0258024057749,0,0	
7.4,-9.99020189723651,0,0	
7.5,-9.95440902011364,0,0	
7.6,-9.91844179288118,0,0	
7.7,-9.88231748215486,0,0	
7.8,-9.84605216071668,0,0	
7.9,-9.80966034712715,0,0	
8,-9.77315473374662,0,0	
8.1,-9.73654600620637,0,0	
8.2,-9.69984275380177,0,0	
8.3,-9.66305146694453,0,0	
8.4,-9.62617661484198,0,0	
8.5,-9.58922079418608,0,0	
8.6,-9.55218493758383,0,0	
8.7,-9.5150685691633,0,0	
8.8,-9.47787009392069,0,0	
8.9,-9.44058710711205,0,0	
9,-9.40321671031593,0,0	
9.1,-9.36575582146103,0,0	
9.2,-9.32820146736759,0,0	
9.3,-9.29055104881544,0,0	
9.4,-9.25280256993038,0,0	
9.5,-9.2149548257001,0,0	
9.6,-9.17700754338821,0,0	
9.7,-9.13896147576244,0,0	
9.8,-9.10081844601606,0,0	
9.9,-9.06258134606668,0,0	
10,-9.02425409167696,0,0	
10.1,-8.98584153912632,0,0	
10.2,-8.94734936937567,0,0	
10.3,-8.9087839464652,0,0	
10.4,-8.87015215732253,0,0	
10.5,-8.83146124047578,0,0	
10.6,-8.79271861092135,0,0	
10.7,-8.75393168811523,0,0	
10.8,-8.71510773342347,0,0	
10.9,-8.67625370248039,0,0	
11,-8.63737611707339,0,0	
11.1,-8.59848095994949,0,0	
11.2,-8.55957359492161,0,0	
11.3,-8.52065871348925,0,0	
11.4,-8.48174030801282,0,0	
11.5,-8.44282167059704,0,0	
11.6,-8.40390541576173,0,0	
11.7,-8.36499352431175,0,0	
11.8,-8.32608740516781,0,0	
11.9,-8.28718797139058,0,0	
12,-8.24829572650354,0,0	
12.1,-8.20941085694509,0,0	
12.2,-8.17053332667014,0,0	
12.3,-8.1316629701046,0,0	
12.4,-8.09279957992372,0,0	
12.5,-8.05394298673713,0,0	
12.6,-8.01509312813602,0,0	
