time,route1,route2,route3,route4,route5
1,-11.9280675644574,-12.4899950449754,-11.389650234127,-12.7350190616495,-12.9438112959433
2,-11.9357106018521,-12.4378884782311,-11.32272833568,-12.6545274847643,-12.9077354001444
3,-11.9404781746888,-12.3833324716828,-11.2542677467326,-12.5727411091961,-12.8701494716246
4,-11.9424156843767,-12.3263007353256,-11.1843237940154,-12.4897166039743,-12.8310002301929
5,-11.9415692287089,-12.2667735646772,-11.1129522535459,-12.4055104778947,-12.7902366654149
6,-11.9379855513167,-12.204738203499,-11.0402092708315,-12.3201790173713,-12.7478102640234
7,-11.9317119911562,-12.1401891653969,-10.9661512808641,-12.2337782248198,-12.7036752283072
8,-11.9227964320828,-12.0731285119575,-10.8908349280412,-12.1463637576654,-12.6577886846333
9,-11.9112872525684,-12.0035660853454,-10.8143169861418,-12.0579908680692,-12.6101108812964
10,-11.8972332756155,-11.9315196935767,-10.7366542784892,-11.9687143434648,-12.5606053749281
11,-11.8806837189217,-11.8570152469818,-10.6579035984316,-11.878588447995,-12.5092392047458
12,-11.8616881453484,-11.7800868446817,-10.5781216302694,-11.7876668649389,-12.4559830539639
13,-11.8402964137443,-11.7007768102144,-10.4973648707584,-11.6960026402159,-12.4008113977428
14,-11.8165586301774,-11.6191356757788,-10.415689551318,-11.6036481270534,-12.3437026371002
15,-11.790525099624,-11.5352221148818,-10.3331515610696,-11.510654931901,-12.284639218265
16,-11.7622462781669,-11.4491028235115,-10.2498063708317,-11.4170738616746,-12.2236077370084
17,-11.7317727257493,-11.360852350282,-10.1657089581944,-11.3229548724088,-12.1605990275456
18,-11.6991550595335,-11.2705528763254,-10.0809137337959,-11.2283470193965,-12.0956082356604
19,-11.6644439079125,-11.178293946028,-9.99547446892021,-11.1332984088896,-12.0286348757655
20,-11.6276898652172,-11.0841721500208,-9.90944422453261,-11.0378561514346,-11.9596828716734
21,-11.5889434471671,-10.9882907621465,-9.82287528186953,-10.9420663169122,-11.8887605809143
22,-11.5482550471066,-10.8907593324167,-9.73581907469333,-10.845973891349,-11.8158808025015
23,-11.5056748930681,-10.79169323826,-9.64832612332225,-10.749622735565,-11.7410607681095
24,-11.4612530057061,-10.6912131966327,-9.56044597054146,-10.653055545719,-11.6643221166896
25,-11.4150391571383,-10.5894447398146,-9.47222711949837,-10.5563138158099,-11.5856908526176
26,-11.3670828307351,-10.4865176579536,-9.38371697368193,-10.4594378021894,-11.5051972875248
27,-11.3174331818933,-10.3825654116367,-9.29496177908185,-10.3624664901378,-11.4228759660321
28,-11.2661389998293,-10.2777245179632,-9.20600656862034,-10.2654375625524,-11.3387655756641
29,-11.2132486704272,-10.1721339137743,-9.11689510894479,-10.1683873707928,-11.252908841284
30,-11.1588101401736,-10.0659342998402,-9.02766984966591,-10.0713509077256,-11.1653524044485
31,-11.1028708812106,-9.95926746994096,-8.93837187512165,-9.97436178300642,-11.0761466881391
32,-11.0454778575366,-9.85227562887583,-8.84904085874305,-9.87745220063445,-10.9853457473831
33,-10.9866774923841,-9.74510070351928,-8.75971502009353,-9.78065293880979,-10.8930071063325
34,-10.9265156367988,-9.6378836510913,-8.67043108464886,-9.68399333212168,-10.7991915824197
35,-10.8650375394479,-9.53076376883811,-8.58122424638008,-9.58750125609042,-10.7039630982583
36,-10.8022878176781,-9.42387800931928,-8.49212813319726,-9.49120311408343,-10.6073884820066
37,-10.7383104298473,-9.31736030547075,-8.40317477530684,-9.39512382662096,-10.5095372569531
38,-10.6731486489491,-9.21134090956125,-8.31439457653045,-9.29928682308357,-10.4104814211262
39,-10.6068450375472,-9.10594575008092,-8.22581628862813,-9.20371403582993,-10.3102952177681
40,-10.5394414240398,-9.00129581049696,-8.13746698866386,-9.10842589672888,-10.2090548975481
41,-10.4709788802646,-8.89750653368307,-8.04937205944589,-9.01344133610644,-10.1068384734217
42,-10.4014977004617,-8.79468725567554,-7.9615551730695,-8.91877778410425,-10.0037254690719
43,-10.331037381603,-8.6929406722341,-7.87403827758424,-8.82445117444227,-9.89979666189086
44,-10.2596366050999,-8.5923623414873,-7.78684158680277,-8.73047595057433,-9.79513382148306
45,-10.1873332198958,-8.4930402257236,-7.69998357326283,-8.63686507422169,-9.68981944468852
46,-10.1141642269517,-8.39505427515169,-7.61348096434856,-8.54363003626572,-9.58393648813617
47,-10.0401657651272,-8.29847605619754,-7.52734874157236,-8.4507808699769,-9.4775680993486
48,-9.96537309846263,-8.20336842663402,-7.44160014301259,-8.35832616655411,-9.37079734742401
49,-9.88982060486038,-8.10978525955168,-7.35624666889778,-8.26627309294363,-9.26370695432319
50,-9.81354176616805,-8.0177712178809,-7.27129809032203,-8.17462741190431,-9.15637902778676
51,-9.73656915965904,-7.92736158086462,-7.18676246107142,-8.08339350428178,-9.04889479690168
52,-9.6589344509077,-7.83858212356249,-7.10264613253587,-7.99257439345014,-8.94133435132573
53,-9.58066838805325,-7.75144905014089,-7.0189537716757,-7.9021717718774,-8.83377638516484
54,-9.50180079744531,-7.66596898137304,-6.935688382007,-7.81218602976642,-8.72629794647961
55,-9.42236058066237,-7.58213899643933,-6.85285132756468,-7.72261628572038,-8.61897419337638
56,-9.34237571289213,-7.49994672878488,-6.77044235979732,-7.63346041937839,-8.51187815761238
57,-9.26187324266274,-7.41937051545776,-6.68845964734277,-7.54471510596372,-8.40508051661572
58,-9.18087929290975,-7.34037959902304,-6.60689980862872,-7.45637585268399,-8.29864937478847
59,-9.09941906336526,-7.26293438082433,-6.52575794723758,-7.36843703691988,-8.19265005492568
60,-9.01751683425096,-7.18698672404866,-6.44502768997045,-7.2808919461359,-8.08714490054373
61,-8.93519597125804,-7.11248030474516,-6.36470122754034,-7.19373281944394,-7.98219308986992
62,-8.85247893179333,-7.03935100865304,-6.28476935782055,-7.10695089074819,-7.87785046220002
63,-8.76938727247108,-6.96752737141445,-6.20522153156947,-7.0205364333967,-7.77416935728304
64,-8.68594165782733,-6.89693105948152,-6.12604590054912,-6.93447880626301,-7.67119846834231
65,-8.6021618702335,-6.82747738877874,-6.04722936795083,-6.84876650117926,-7.56898270928962
66,-8.51806682098302,-6.75907587795176,-5.96875764103727,-6.76338719163905,-7.46756309663427
67,-8.43367456252525,-6.69163083282354,-5.89061528590648,-6.67832778268729,-7.36697664653275
