time,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-11.9280675644574,-12.2211660851727,-11.389650234127,-12.7350190616495,-12.9438112959433,-12.0358440799387,-13.7581683420509,-12.9252226011808,-12.5070908411293
2,-11.9317048642239,-12.2030705722576,-11.3611040338958,-12.7006158747033,-12.9285007346537,-12.0206363710725,-13.7450438702748,-12.9011325487775,-12.5069907476104
3,-11.9348071749383,-12.1844844066949,-11.3322682984625,-12.6659679437259,-12.9129174619962,-12.0050520254059,-13.7314420339766,-12.8766372976237,-12.5063081770949
4,-11.9373780420119,-12.1654135502618,-11.303147374391,-12.631079763823,-12.8970571176667,-11.9890945006976,-13.7173693458821,-12.8517418174342,-12.5050461458577
5,-11.9394210364987,-12.1458639812834,-11.2737456266086,-12.5959558270795,-12.8809154094194,-11.9727672653794,-13.7028322869252,-12.8264510775514,-12.5032077014343
6,-11.9409397543578,-12.1258416933133,-11.2440674372482,-12.5606006216428,-12.8644881165564,-11.9560737978377,-13.6878373055245,-12.8007700462083,-12.5007959220555
7,-11.9419378157154,-12.1053526938173,-11.2141172044874,-12.5250186308088,-12.8477710933691,-11.9390175856966,-13.6723908168718,-12.7747036897954,-12.4978139160812
8,-11.9424188641269,-12.084403002861,-11.1838993413856,-12.4892143321105,-12.8307602725307,-11.921602125103,-13.6564992022303,-12.7482569721323,-12.494264821433
9,-11.9423865658383,-12.0629986518016,-11.1534182747185,-12.4531921964087,-12.8134516684364,-11.9038309200139,-13.6401688082454,-12.7214348537437,-12.4901518050259
10,-11.9418446090482,-12.0411456819833,-11.1226784438118,-12.4169566869867,-12.79584138049,-11.8857074814863,-13.6234059462663,-12.69424229114,-12.4854780621993
11,-11.9407967031697,-12.0188501434381,-11.091684299373,-12.3805122586478,-12.7779255963327,-11.8672353269695,-13.6062168916788,-12.6666842361029,-12.4802468161476
12,-11.9392465780924,-11.9961180935908,-11.0604403023223,-12.3438633568167,-12.7597005950139,-11.8484179796001,-13.5886078832497,-12.6387656349753,-12.4744613173495
13,-11.9371979834458,-11.97295559597,-11.0289509226233,-12.3070144166441,-12.7411627501005,-11.8292589674998,-13.5705851224826,-12.610491427957,-12.4681248429979
14,-11.9346546878623,-11.9493687189237,-10.997220638113,-12.2699698621165,-12.7223085327226,-11.8097618230762,-13.5521547729852,-12.5818665484046,-12.4612406964281
15,-11.931620478242,-11.9253635343412,-10.9652539333325,-12.2327341051692,-12.7031345145538,-11.7899300823272,-13.5333229598481,-12.5528959221372,-12.4538122065471
16,-11.9280991590174,-11.9009461163808,-10.9330552983572,-12.1953115448045,-12.6836373707237,-11.7697672841485,-13.5140957690353,-12.5235844667472,-12.4458427272616
17,-11.9240945514199,-11.876122540204,-10.9006292276292,-12.1577065662149,-12.6638138826603,-11.7492769696442,-13.4944792467861,-12.4939370909162,-12.4373356369069
18,-11.9196104927477,-11.8508988807159,-10.8679802187895,-12.1199235399107,-12.643660940861,-11.7284626814418,-13.4744793990293,-12.4639586937374,-12.4282943376752
19,-11.9146508356343,-11.8252812113135,-10.8351127715129,-12.0819668208539,-12.6231755475898,-11.707327963011,-13.4541021908079,-12.4336541640421,-12.4187222550443
20,-11.9092194473191,-11.7992756026397,-10.8020313863438,-12.0438407475966,-12.6023548194979,-11.6858763579857,-13.4333535457169,-12.4030283797333,-12.4086228372068
21,-11.9033202089198,-11.7728881213457,-10.7687405635348,-12.005549641426,-12.5811959901677,-11.6641114094911,-13.412239345352,-12.3720862071243,-12.397999554499
22,-11.8969570147061,-11.7461248288611,-10.7352448018882,-11.9670978055154,-12.5596964125772,-11.6420366594744,-13.3907654287703,-12.3408325002836,-12.386855898831
23,-11.8901337713758,-11.7189917801718,-10.7015485975994,-11.928489524081,-12.5378535614821,-11.6196556480407,-13.3689375919632,-12.3092721003855,-12.3751953831171
24,-11.8828543973327,-11.6914950226054,-10.6676564431044,-11.8897290615457,-12.5156650357166,-11.5969719127928,-13.3467615873404,-12.2774098350672,-12.3630215407064
25,-11.8751228219669,-11.6636405946267,-10.6335728259311,-11.8508206617094,-12.4931285604084,-11.5739889881762,-13.3242431232266,-12.2452505177917,-12.3503379248153
26,-11.8669429849374,-11.6354345246404,-10.5993022275535,-11.8117685469267,-12.4702419891082,-11.5507104048288,-13.3013878633696,-12.2127989472172,-12.3371481079595
27,-11.8583188354575,-11.6068828298037,-10.5648491222516,-11.7725769172912,-12.4470033058311,-11.5271396889357,-13.2782014264606,-12.180059906573,-12.3234556813882
28,-11.8492543315822,-11.5779915148478,-10.5302179759747,-11.7332499498278,-12.4234106270093,-11.5032803615894,-13.2546893856662,-12.1470381630417,-12.3092642545183
29,-11.8397534394993,-11.5487665709093,-10.4954132452108,-11.6937917976926,-12.3994622033541,-11.4791359381553,-13.2308572681724,-12.113738467148,-12.2945774543707
30,-11.8298201328225,-11.5192139743708,-10.4604393758603,-11.6542065893802,-12.3751564216256,-11.4547099276422,-13.2067105547412,-12.0801655521541,-12.2793989250072
31,-11.8194583918881,-11.4893396857117,-10.4253008021165,-11.61449842794,-12.35049180631,-11.430005832079,-13.1822546792779,-12.0463241334621,-12.2637323269691
32,-11.8086722030549,-11.4591496483698,-10.3900019453509,-11.5746713902002,-12.3254670212019,-11.4050271458974,-13.1574950284117,-12.0122189080229,-12.247581336717
33,-11.7974655580073,-11.4286497876127,-10.3545472130059,-11.5347295260004,-12.3000808708917,-11.3797773553194,-13.1324369410877,-11.9778545537521,-12.2309496460726
34,-11.7858424530617,-11.3978460094201,-10.3189409974938,-11.4946768574334,-12.274332302156,-11.3542599377518,-13.1070857081709,-11.9432357289533,-12.2138409616615
35,-11.7738068884769,-11.3667441993771,-10.2831876751022,-11.4545173780956,-12.2482204052504,-11.3284783611869,-13.0814465720625,-11.9083670717477,-12.1962590043582
36,-11.7613628677678,-11.335350221579,-10.247291604908,-11.4142550523467,-12.2217444151041,-11.3024360836087,-13.0555247263275,-11.8732531995114,-12.1782075087331
37,-11.748514397023,-11.303669917547,-10.2112571276982,-11.3738938145787,-12.1949037124153,-11.2761365524066,-13.0293253153356,-11.83789870832,-12.1596902225007
38,-11.7352654842268,-11.2717091051557,-10.1750885648985,-11.3334375684951,-12.1676978246458,-11.2495832037942,-13.0028534339132,-11.8023081724,-12.1407109059703
