Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_8,Var2_9,Var2_10,Var2_11
1,17.595712,16.956288,13.70784,17.11864,18.2124,12.19168,14.3524,13.70784,16.770664,15.58192
2,17.595712,16.956288,13.70784,17.11864,18.2124,12.19168,14.3524,13.70784,16.770664,15.58192
3,17.417536,16.899288,13.6704,17.004976,18.115832,12.01976,14.35032,13.6704,16.754976,15.53832
4,17.417536,16.899288,13.6704,17.004976,18.115832,12.01976,14.35032,13.6704,16.754976,15.53832
5,17.23664,16.837424,13.6228,16.888376,18.016088,11.84528,14.33888,13.6228,16.729816,15.48848
6,17.23664,16.837424,13.6228,16.888376,18.016088,11.84528,14.33888,13.6228,16.729816,15.48848
7,17.23664,16.837424,13.6228,16.888376,18.016088,11.84528,14.33888,13.6228,16.729816,15.48848
8,17.053008,16.770672,13.56512,16.768848,17.913176,11.66808,14.318,13.56512,16.695232,15.43248
9,17.053008,16.770672,13.56512,16.768848,17.913176,11.66808,14.318,13.56512,16.695232,15.43248
10,16.866656,16.699072,13.49728,16.646424,17.80716,11.48824,14.28776,13.49728,16.651232,15.37032
11,16.866656,16.699072,13.49728,16.646424,17.80716,11.48824,14.28776,13.49728,16.651232,15.37032
12,16.866656,16.699072,13.49728,16.646424,17.80716,11.48824,14.28776,13.49728,16.651232,15.37032
13,16.6776,16.622688,13.41928,16.521128,17.697976,11.48824,14.24816,13.41928,16.597856,15.302
14,16.6776,16.622688,13.41928,16.521128,17.697976,11.48824,14.24816,13.41928,16.597856,15.302
15,16.485808,16.541472,13.3312,16.392928,17.58568,11.3056,14.1992,13.3312,16.53512,15.2276
16,16.485808,16.541472,13.3312,16.392928,17.58568,11.3056,14.1992,13.3312,16.53512,15.2276
17,16.485808,16.541472,13.3312,16.392928,17.58568,11.3056,14.1992,13.3312,16.53512,15.2276
18,16.291336,16.455488,13.23304,16.261904,17.470312,11.12016,14.14096,13.23304,16.463096,15.14712
19,16.291336,16.455488,13.23304,16.261904,17.470312,11.12016,14.14096,13.23304,16.463096,15.14712
20,16.094192,16.455488,13.12472,16.128024,17.35188,10.93168,14.07344,13.12472,16.381768,15.06056
21,16.094192,16.455488,13.12472,16.128024,17.35188,10.93168,14.07344,13.12472,16.381768,15.06056
22,16.094192,16.455488,13.12472,16.128024,17.35188,10.93168,14.07344,13.12472,16.381768,15.06056
23,15.89448,16.364744,13.00648,15.99136,17.230424,10.74024,13.99664,13.00648,16.291208,14.96792
24,15.89448,16.364744,13.00648,15.99136,17.230424,10.74024,13.99664,13.00648,16.291208,14.96792
25,15.69208,16.269272,12.87816,15.85184,17.106032,10.54568,13.91064,12.87816,16.191432,14.86936
26,15.69208,16.269272,12.87816,15.85184,17.106032,10.54568,13.91064,12.87816,16.191432,14.86936
27,15.69208,16.269272,12.87816,15.85184,17.106032,10.54568,13.91064,12.87816,16.191432,14.86936
28,15.4872,16.169088,12.73992,15.70968,16.978744,10.348,13.81552,12.73992,16.082496,14.76472
29,15.4872,16.169088,12.73992,15.70968,16.978744,10.348,13.81552,12.73992,16.082496,14.76472
30,15.27984,16.064232,12.59184,15.5648,16.848624,10.14712,13.7112,12.59184,15.96448,14.65424
31,15.27984,16.064232,12.59184,15.5648,16.848624,10.14712,13.7112,12.59184,15.96448,14.65424
32,15.27984,16.064232,12.59184,15.5648,16.848624,10.14712,13.7112,12.59184,15.96448,14.65424
33,15.07016,15.95472,12.434,15.41712,16.715808,9.94288,13.59784,12.434,15.83752,14.53792
34,15.07016,15.95472,12.434,15.41712,16.715808,9.94288,13.59784,12.434,15.83752,14.53792
35,14.85816,15.84064,12.26656,15.26688,16.58036,9.94288,13.47544,12.26656,15.70152,14.41576
36,14.85816,15.84064,12.26656,15.26688,16.58036,9.94288,13.47544,12.26656,15.70152,14.41576
37,14.85816,15.84064,12.26656,15.26688,16.58036,9.94288,13.47544,12.26656,15.70152,14.41576
38,14.64392,15.722,12.0896,15.11408,16.442424,9.73528,13.34408,12.0896,15.55672,14.28784
39,14.64392,15.722,12.0896,15.11408,16.442424,9.73528,13.34408,12.0896,15.55672,14.28784
40,14.4276,15.59888,11.90328,14.95864,16.302096,9.52432,13.20392,11.90328,15.4032,14.15432
41,14.4276,15.59888,11.90328,14.95864,16.302096,9.52432,13.20392,11.90328,15.4032,14.15432
42,14.4276,15.59888,11.90328,14.95864,16.302096,9.52432,13.20392,11.90328,15.4032,14.15432
43,14.20936,15.47128,11.70792,14.80072,16.159528,9.30976,13.05496,11.70792,15.24104,14.01528
44,14.20936,15.47128,11.70792,14.80072,16.159528,9.30976,13.05496,11.70792,15.24104,14.01528
45,13.98928,15.33936,11.5036,14.64032,16.159528,9.09168,12.89736,11.5036,15.0704,13.8708
46,13.98928,15.33936,11.5036,14.64032,16.159528,9.09168,12.89736,11.5036,15.0704,13.8708
47,13.98928,15.33936,11.5036,14.64032,16.159528,9.09168,12.89736,11.5036,15.0704,13.8708
48,13.76744,15.20312,11.29072,14.47744,16.014888,8.87,12.73128,11.29072,14.89152,13.72104
49,13.76744,15.20312,11.29072,14.47744,16.014888,8.87,12.73128,11.29072,14.89152,13.72104
50,13.54408,15.06272,11.06944,14.31216,15.86824,8.64472,12.5568,11.06944,14.70448,13.56608
51,13.54408,15.06272,11.06944,14.31216,15.86824,8.64472,12.5568,11.06944,14.70448,13.56608
52,13.54408,15.06272,11.06944,14.31216,15.86824,8.64472,12.5568,11.06944,14.70448,13.56608
53,13.31928,14.91816,10.84024,14.14448,15.71984,8.41576,12.37408,10.84024,14.50952,13.40608
54,13.31928,14.91816,10.84024,14.14448,15.71984,8.41576,12.37408,10.84024,14.50952,13.40608
55,13.0932,14.91816,10.60328,14.14448,15.56976,8.18312,12.18328,10.60328,14.30688,13.24112
56,13.0932,14.91816,10.60328,14.14448,15.56976,8.18312,12.18328,10.60328,14.30688,13.24112
57,13.0932,14.91816,10.60328,14.14448,15.56976,8.18312,12.18328,10.60328,14.30688,13.24112
58,12.86592,14.7696,10.35904,13.97448,15.41808,8.18312,11.98464,10.35904,14.0968,13.07152
59,12.86592,14.7696,10.35904,13.97448,15.41808,8.18312,11.98464,10.35904,14.0968,13.07152
60,12.63776,14.61704,10.108,13.80208,15.26504,7.94688,11.7784,10.108,13.8796,12.89736
61,12.63776,14.61704,10.108,13.80208,15.26504,7.94688,11.7784,10.108,13.8796,12.89736
62,12.63776,14.61704,10.108,13.80208,15.26504,7.94688,11.7784,10.108,13.8796,12.89736
63,12.40872,14.4608,9.85048,13.62744,15.11072,7.70696,11.56472,9.85048,13.65544,12.7188
64,12.40872,14.4608,9.85048,13.62744,15.11072,7.70696,11.56472,9.85048,13.65544,12.7188
65,12.17896,14.3008,9.58704,13.4504,14.9552,7.46344,11.34392,9.58704,13.42464,12.53608
66,12.17896,14.3008,9.58704,13.4504,14.9552,7.46344,11.34392,9.58704,13.42464,12.53608
67,12.17896,14.3008,9.58704,13.4504,14.9552,7.46344,11.34392,9.58704,13.42464,12.53608
68,11.94864,14.13712,9.31816,13.27112,14.79856,7.2164,11.11624,9.31816,13.18768,12.34936
69,11.94864,14.13712,9.31816,13.27112,14.79856,7.2164,11.11624,9.31816,13.18768,12.34936
70,11.71792,13.97008,9.04424,13.08952,14.64096,6.96592,10.88192,9.04424,12.94472,12.1588
71,11.71792,13.97008,9.04424,13.08952,14.64096,6.96592,10.88192,9.04424,12.94472,12.1588
72,11.71792,13.97008,9.04424,13.08952,14.64096,6.96592,10.88192,9.04424,12.94472,12.1588
73,11.48688,13.79968,8.76592,12.9056,14.4824,6.71208,10.64128,8.76592,12.69624,11.96472
74,11.48688,13.79968,8.76592,12.9056,14.4824,6.71208,10.64128,8.76592,12.69624,11.96472
75,11.25576,13.62592,8.4836,12.71944,14.32288,6.45504,10.39472,8.4836,12.44248,11.7672
