Var1,Var2_1,Var2_2,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11
1,1.1476836,2.8186956,0.4020408,0.0617148,0.485982,0.0242676,2.1077784,1.1689524,0.0760032,0.439362
2,1.1476836,2.8186956,0.4020408,0.0617148,0.485982,0.0242676,2.1077784,1.1689524,0.0760032,0.439362
3,1.061172,2.7414324,0.4218228,0.1229256,0.3240468,-0.0065268,2.1142044,1.209348,0.0249984,0.3668616
4,1.061172,2.7414324,0.4218228,0.1229256,0.3240468,-0.0065268,2.1142044,1.209348,0.0249984,0.3668616
5,1.061172,2.7414324,0.4218228,0.1229256,0.3240468,-0.0065268,2.1142044,1.209348,0.0249984,0.3668616
6,1.061172,2.7414324,0.4218228,0.1229256,0.3240468,-0.0065268,2.1142044,1.209348,0.0249984,0.3668616
7,0.9741312,2.6632872,0.4368924,0.179172,0.1676052,-0.0388332,2.1159432,1.2459636,-0.0272664,0.2946888
8,0.9741312,2.6632872,0.4368924,0.179172,0.1676052,-0.0388332,2.1159432,1.2459636,-0.0272664,0.2946888
9,0.9741312,2.6632872,0.4368924,0.179172,0.1676052,-0.0388332,2.1159432,1.2459636,-0.0272664,0.2946888
10,0.8866368,2.5843608,0.4472244,0.2304288,0.016632,-0.0726768,2.1130452,1.2789,-0.0807408,0.2227932
11,0.8866368,2.5843608,0.4472244,0.2304288,0.016632,-0.0726768,2.1130452,1.2789,-0.0807408,0.2227932
12,0.8866368,2.5843608,0.4472244,0.2304288,0.016632,-0.0726768,2.1130452,1.2789,-0.0807408,0.2227932
13,0.7985376,2.5046028,0.452844,0.27657,-0.1289988,-0.1079316,2.10546,1.3080564,-0.1355004,0.1512252
14,0.7985376,2.5046028,0.452844,0.27657,-0.1289988,-0.1079316,2.10546,1.3080564,-0.1355004,0.1512252
15,0.7985376,2.5046028,0.452844,0.27657,-0.1289988,-0.1079316,2.10546,1.3080564,-0.1355004,0.1512252
16,0.7985376,2.5046028,0.452844,0.27657,-0.1289988,-0.1079316,2.10546,1.3080564,-0.1355004,0.1512252
17,0.7099344,2.4239628,0.453726,0.3176964,-0.1289988,-0.1446228,2.0932632,1.333458,-0.1914696,0.0799092
18,0.7099344,2.4239628,0.453726,0.3176964,-0.1289988,-0.1446228,2.0932632,1.333458,-0.1914696,0.0799092
19,0.7099344,2.4239628,0.453726,0.3176964,-0.1289988,-0.1446228,2.0932632,1.333458,-0.1914696,0.0799092
20,0.6207768,2.3425416,0.4498704,0.353682,-0.2693124,-0.1827252,2.0764044,1.3550796,-0.248724,0.0088956
21,0.6207768,2.3425416,0.4498704,0.353682,-0.2693124,-0.1827252,2.0764044,1.3550796,-0.248724,0.0088956
22,0.6207768,2.3425416,0.4498704,0.353682,-0.2693124,-0.1827252,2.0764044,1.3550796,-0.248724,0.0088956
23,0.5310648,2.2602384,0.441252,0.3846024,-0.4044096,-0.222138,2.054934,1.3729212,-0.3072636,-0.0618408
24,0.5310648,2.2602384,0.441252,0.3846024,-0.4044096,-0.222138,2.054934,1.3729212,-0.3072636,-0.0618408
25,0.5310648,2.2602384,0.441252,0.3846024,-0.4044096,-0.222138,2.054934,1.3729212,-0.3072636,-0.0618408
26,0.5310648,2.2602384,0.441252,0.3846024,-0.4044096,-0.222138,2.054934,1.3729212,-0.3072636,-0.0618408
27,0.4407732,2.2602384,0.4279212,0.4103568,-0.5343156,-0.2628864,2.0289024,1.3869576,-0.3670632,-0.1323
28,0.4407732,2.2602384,0.4279212,0.4103568,-0.5343156,-0.2628864,2.0289024,1.3869576,-0.3670632,-0.1323
29,0.4407732,2.2602384,0.4279212,0.4103568,-0.5343156,-0.2628864,2.0289024,1.3869576,-0.3670632,-0.1323
30,0.3499272,2.1770532,0.4098528,0.4309956,-0.6591312,-0.30492,1.9983096,1.397214,-0.4281984,-0.2024568
31,0.3499272,2.1770532,0.4098528,0.4309956,-0.6591312,-0.30492,1.9983096,1.397214,-0.4281984,-0.2024568
32,0.3499272,2.1770532,0.4098528,0.4309956,-0.6591312,-0.30492,1.9983096,1.397214,-0.4281984,-0.2024568
33,0.2584764,2.092986,0.3870972,0.4464936,-0.7788312,-0.348138,1.9632816,1.40364,-0.490644,-0.2723364
34,0.2584764,2.092986,0.3870972,0.4464936,-0.7788312,-0.348138,1.9632816,1.40364,-0.490644,-0.2723364
35,0.2584764,2.092986,0.3870972,0.4464936,-0.7788312,-0.348138,1.9632816,1.40364,-0.490644,-0.2723364
36,0.2584764,2.092986,0.3870972,0.4464936,-0.7788312,-0.348138,1.9632816,1.40364,-0.490644,-0.2723364
37,0.166446,2.0080368,0.3597048,0.456876,-0.8935164,-0.3925908,1.9238184,1.4062608,-0.5544756,-0.3419136
38,0.166446,2.0080368,0.3597048,0.456876,-0.8935164,-0.3925908,1.9238184,1.4062608,-0.5544756,-0.3419136
39,0.166446,2.0080368,0.3597048,0.456876,-0.8935164,-0.3925908,1.9238184,1.4062608,-0.5544756,-0.3419136
40,0.0738108,1.9221804,0.3277008,0.4621428,-1.0031868,-0.4381272,1.8800712,1.4051016,-0.6196428,-0.411138
41,0.0738108,1.9221804,0.3277008,0.4621428,-1.0031868,-0.4381272,1.8800712,1.4051016,-0.6196428,-0.411138
42,0.0738108,1.9221804,0.3277008,0.4621428,-1.0031868,-0.4381272,1.8800712,1.4051016,-0.6196428,-0.411138
43,-0.0194544,1.8353664,0.2911608,0.4623444,-1.1078172,-0.4847472,1.8321408,1.4001372,-0.6862464,-0.48006
44,-0.0194544,1.8353664,0.2911608,0.4623444,-1.1078172,-0.4847472,1.8321408,1.4001372,-0.6862464,-0.48006
45,-0.0194544,1.8353664,0.2911608,0.4623444,-1.1078172,-0.4847472,1.8321408,1.4001372,-0.6862464,-0.48006
46,-0.0194544,1.8353664,0.2911608,0.4623444,-1.1078172,-0.4847472,1.8321408,1.4001372,-0.6862464,-0.48006
47,-0.1133496,1.7476452,0.2501856,0.457506,-1.1078172,-0.5323752,1.7801028,1.3913928,-0.754236,-0.548604
48,-0.1133496,1.7476452,0.2501856,0.457506,-1.1078172,-0.5323752,1.7801028,1.3913928,-0.754236,-0.548604
49,-0.1133496,1.7476452,0.2501856,0.457506,-1.1078172,-0.5323752,1.7801028,1.3913928,-0.754236,-0.548604
50,-0.2078748,1.6588908,0.204876,0.4477032,-1.2074832,-0.5808852,1.7241588,1.378944,-0.8237124,-0.6167952
51,-0.2078748,1.6588908,0.204876,0.4477032,-1.2074832,-0.5808852,1.7241588,1.378944,-0.8237124,-0.6167952
52,-0.2078748,1.6588908,0.204876,0.4477032,-1.2074832,-0.5808852,1.7241588,1.378944,-0.8237124,-0.6167952
53,-0.3030552,1.5691536,0.1553328,0.4330368,-1.3021848,-0.630252,1.6644852,1.3628412,-0.8946504,-0.684558
54,-0.3030552,1.5691536,0.1553328,0.4330368,-1.3021848,-0.630252,1.6644852,1.3628412,-0.8946504,-0.684558
