Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
1,1.9595,-0.5374,1.9269,3.114,3.6492,4.0567,3.7084,0.5096,3.6267,3.0557
2,1.9595,-0.5374,1.9269,3.114,3.6492,4.0567,3.7084,0.5096,3.6267,3.0557
3,2.0922,-0.4247,1.8652,3.0831,3.5526,4.3278,3.7571,0.5,3.7073,3.1691
4,2.0922,-0.4247,1.8652,3.0831,3.5526,4.3278,3.7571,0.5,3.7073,3.1691
5,2.0922,-0.4247,1.8652,3.0831,3.5526,4.3278,3.7571,0.5,3.7073,3.1691
6,2.0922,-0.4247,1.8652,3.0831,3.5526,4.3278,3.7571,0.5,3.7073,3.1691
7,2.226,-0.3105,1.8092,3.0595,3.4639,4.5908,3.8083,0.4974,3.79,3.2823
8,2.226,-0.3105,1.8092,3.0595,3.4639,4.5908,3.8083,0.4974,3.79,3.2823
9,2.226,-0.3105,1.8092,3.0595,3.4639,4.5908,3.8083,0.4974,3.79,3.2823
10,2.3609,-0.1948,1.7589,3.0434,3.3833,4.8456,3.862,0.5017,3.8748,3.3953
11,2.3609,-0.1948,1.7589,3.0434,3.3833,4.8456,3.862,0.5017,3.8748,3.3953
12,2.3609,-0.1948,1.7589,3.0434,3.3833,4.8456,3.862,0.5017,3.8748,3.3953
13,2.497,-0.0776,1.7144,3.0346,3.3107,5.0922,3.9179,0.513,3.9617,3.508
14,2.497,-0.0776,1.7144,3.0346,3.3107,5.0922,3.9179,0.513,3.9617,3.508
15,2.497,-0.0776,1.7144,3.0346,3.3107,5.0922,3.9179,0.513,3.9617,3.508
16,2.497,-0.0776,1.7144,3.0346,3.3107,5.0922,3.9179,0.513,3.9617,3.508
17,2.6343,0.0411,1.6757,3.0332,3.2462,5.0922,3.9762,0.5312,4.0507,3.6205
18,2.6343,0.0411,1.6757,3.0332,3.2462,5.0922,3.9762,0.5312,4.0507,3.6205
