time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20
1,1.01667201,-0.030433074,1.294554141,1.318810515,0.857971892,0.052463092,1.568162965,0.653304339,-0.221212031,0.320411561,-0.08141791,-0.295359829,0.902107338,0.359430901,1.052316677,0.973932764,1.195383559,1.273090408,1.060708403
2,0.989200968,-0.025879134,1.268862409,1.306271946,0.877086103,0.047498011,1.602322836,0.680789756,-0.256421689,0.31904149,-0.077810353,-0.280976342,0.910611554,0.337307963,1.070438299,0.972947686,1.153784955,1.257632527,1.073094658
3,0.981436889,0.079123083,1.283691046,1.313609632,0.870818833,0.016623558,1.603769602,0.683244492,-0.215550777,0.343076828,-0.038245097,-0.252891928,0.944119364,0.374762442,1.031518081,0.966788409,1.156049809,1.263354444,1.095179327
4,1.054659285,0.070229201,1.281974424,1.317524679,0.923305386,-0.013612483,1.643704358,0.724051134,-0.197089786,0.390570227,-0.000595562,-0.185803472,0.947899492,0.366911925,1.009116142,0.952716252,1.137857317,1.239508754,1.075280912
5,1.113557476,0.115619318,1.263634605,1.31004363,0.979113588,-0.018692026,1.72388026,0.801685183,-0.121541066,0.447493071,0.061727036,-0.106267884,1.009784553,0.42369843,1.040761543,0.983728374,1.157711793,1.245886915,1.076753419
6,1.137226545,0.164466273,1.269142225,1.32771577,1.032016634,-0.033316544,1.756320637,0.875504829,-0.048108147,0.499043876,0.160198302,-0.065489274,0.998375537,0.443531302,1.043869709,0.980058087,1.156063899,1.229788382,1.056151963
7,1.164210063,0.070232868,1.24764517,1.305979563,1.073830049,-0.047064957,1.812331749,0.897784913,-0.036287705,0.539154406,0.18736707,-0.008294927,0.982627468,0.433257542,1.010635809,0.944216129,1.13448956,1.212747246,1.085509333
8,1.191387259,0.13054869,1.263204472,1.29023033,1.09970763,-0.055910866,1.831745684,0.909105423,0.02030735,0.546920111,0.26098886,0.025638378,0.988362594,0.42736729,1.021918297,0.943258861,1.109006605,1.215580952,1.064676188
9,1.207458393,0.146959928,1.261086647,1.254431262,1.148186167,-0.029938854,1.830698293,0.951659998,0.051596608,0.609221437,0.29260345,0.061681258,0.997723208,0.453717062,0.987278911,0.913802521,1.106402062,1.196066428,1.048373421
10,1.24388396,0.140790389,1.276223046,1.302509465,1.153662603,-0.028973281,1.874831096,0.978796386,0.108629919,0.672276863,0.312526258,0.076255538,1.007822082,0.445487942,0.993006739,0.925310886,1.093654308,1.21253802,1.026603761
11,1.240190523,0.153060589,1.242010888,1.295104661,1.207853448,-0.075406861,1.905710724,0.987124291,0.120481978,0.708924611,0.2888924,0.129496904,1.001681565,0.425295616,0.967678757,0.915608663,1.083101298,1.157437516,1.02286312
12,1.262045128,0.050628712,1.254146772,1.253852407,1.228040964,-0.099780229,1.953766206,0.979669473,0.204831185,0.767330342,0.346407603,0.167485207,0.937549454,0.427515349,0.963909658,0.930091909,1.107856664,1.216343299,0.994446034
13,1.288186131,0.050605268,1.249265935,1.260781537,1.246522531,-0.053981165,1.953826998,1.02813353,0.254524999,0.774322021,0.355277547,0.151247164,0.943938109,0.410771936,0.933768833,0.878196439,1.068398842,1.167578248,0.9955628
