time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20
1,0.662303925,0.926984489,0.794490218,0.701042593,0.726305509,0.372867042,0.467631781,0.596293741,0.527612159,0.113830477,0.283555537,0.2810691,0.39502424,0.415956378,0.151931381,0.338058043,0.470722377,0.260027736,0.477655172
2,0.671241462,0.931803524,0.824123561,0.684015453,0.705749685,0.431315461,0.471103051,0.584134036,0.532465124,0.105593786,0.267278224,0.239885658,0.40384838,0.382359684,0.148215091,0.338840353,0.482782841,0.285747677,0.495256543
3,0.616693795,0.888801098,0.83202076,0.683216512,0.685030276,0.39263303,0.450989524,0.580066526,0.481724584,0.126362771,0.236207098,0.260961443,0.382972121,0.382568657,0.160652614,0.333804774,0.458634019,0.251248658,0.486078978
4,0.6288113,0.91907686,0.848664582,0.704067171,0.698056155,0.422707075,0.471457565,0.571957552,0.495432013,0.135353193,0.216597438,0.235455275,0.407188535,0.403672248,0.155861592,0.346752632,0.470519125,0.272318363,0.46918267
5,0.646207035,0.885689676,0.835438967,0.700535178,0.697382444,0.426722372,0.483853573,0.530561829,0.500165486,0.093595892,0.194993556,0.236109436,0.370531857,0.411134064,0.159657335,0.346313643,0.41680485,0.247437656,0.501840413
6,0.654088497,0.940054357,0.852707505,0.687259674,0.655959034,0.372660705,0.455099696,0.559492567,0.508101726,0.132262349,0.176854432,0.236442596,0.396190494,0.441044211,0.189573801,0.337328064,0.483364403,0.234430999,0.514093041
7,0.670413435,0.926207602,0.85211271,0.704427898,0.682457709,0.389103198,0.464161837,0.577520275,0.492104539,0.108100682,0.185625046,0.23579514,0.397026122,0.404020846,0.176646924,0.359669316,0.487907588,0.279772639,0.505982816
8,0.658112407,0.90222156,0.861330211,0.716297269,0.653407359,0.410037124,0.452813977,0.515123734,0.467562267,0.090432331,0.202408195,0.227541864,0.304627329,0.387480646,0.147236383,0.359044898,0.47527492,0.272349238,0.506237984
9,0.641078115,0.936217487,0.856744289,0.692089498,0.649714196,0.397928485,0.428509542,0.503700876,0.445789316,0.079381406,0.201474726,0.199076355,0.316741526,0.375448078,0.176604247,0.354392278,0.470885515,0.272224218,0.489981771
10,0.662541807,0.910430789,0.853360772,0.724746644,0.659202242,0.422289649,0.390627259,0.509222367,0.450719544,0.08806327,0.239086241,0.195361048,0.306107223,0.333551913,0.17579577,0.362827587,0.47425437,0.27136156,0.502601385
11,0.66236937,0.93138355,0.894681811,0.692073166,0.634385937,0.451470876,0.400724159,0.497588927,0.462721148,0.062474713,0.210682988,0.156924531,0.31009078,0.350237727,0.172270751,0.392222631,0.45419246,0.271729589,0.510810554
12,0.679125309,0.947483957,0.865715683,0.704523683,0.630837584,0.418295906,0.393130468,0.489034304,0.467601964,0.067272559,0.200677216,0.207039982,0.28407079,0.342293829,0.197328305,0.383976984,0.487544775,0.288594961,0.544212341
13,0.674648762,0.956338584,0.865512609,0.699314535,0.606963807,0.445139641,0.36936845,0.493674764,0.442955875,0.084647357,0.238805622,0.19164446,0.271967649,0.32984674,0.192324972,0.387642729,0.487253845,0.275801599,0.513541639
14,0.712575436,0.948039353,0.8738904,0.704033017,0.618003869,0.429294744,0.389797838,0.478051269,0.455604309,0.063749611,0.25982672,0.169305354,0.246236145,0.334078133,0.180011129,0.384109724,0.520287931,0.276816189,0.51871413
15,0.687484145,0.931435883,0.868921101,0.741688728,0.578202927,0.408244701,0.357844637,0.493913764,0.456310892,0.07652536,0.241585284,0.136280522,0.235488236,0.287914693,0.188617027,0.375526059,0.465294778,0.308536857,0.531167805
16,0.687694132,0.960325897,0.860892177,0.708679557,0.591456109,0.445032889,0.378866756,0.437106425,0.469682986,0.093627766,0.245807052,0.15365307,0.271400571,0.318145543,0.163663065,0.383005846,0.461176932,0.272485197,0.513799965
