time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,0.179887661,-0.063429118,-0.245693721,0.22533361,0.088073555,-0.080449,-0.117458927,0.107889736,-0.024502126,0.019487393
2,0.191179199,-0.068172973,-0.248126982,0.221525942,0.077146276,-0.085070373,-0.106133683,0.100262199,-0.045076217,0.016558417
3,0.188662014,-0.066781135,-0.214807418,0.236112432,0.082696385,-0.08101395,-0.102004563,0.107403266,-0.029859433,0.027778794
4,0.187307091,-0.050930348,-0.222946298,0.202869116,0.079103565,-0.071540566,-0.084887446,0.10716634,-0.018963651,0.002207012
5,0.193277121,-0.040986351,-0.213701288,0.193546016,0.088352665,-0.07856152,-0.091370079,0.111712966,-0.012046072,-0.004964603
6,0.178850093,-0.052020357,-0.223775831,0.177559277,0.091156046,-0.078928381,-0.09073496,0.107908085,-0.034152651,-0.017262095
7,0.184622067,-0.038132766,-0.224878338,0.17338456,0.094228804,-0.072347435,-0.096115465,0.110886266,-0.020278006,-0.020473415
8,0.201434103,-0.02666299,-0.207581939,0.157170938,0.091417064,-0.069665124,-0.075728653,0.118329289,-0.01444424,-0.032945432
9,0.175805426,-0.04737399,-0.245107812,0.144913385,0.106907241,-0.079918979,-0.09425359,0.12196622,-0.024325116,-0.042374319
10,0.177176233,-0.038209943,-0.268819906,0.146779384,0.094044142,-0.070031828,-0.091904526,0.115950921,-0.036465523,-0.040938936
11,0.184098838,-0.020445837,-0.279711297,0.127601989,0.093512118,-0.060902258,-0.092190824,0.127621197,-0.02833673,-0.055690778
12,0.18786231,-0.018975222,-0.273217727,0.120511117,0.099056277,-0.068465234,-0.079412119,0.132905874,-0.024189586,-0.061145294
13,0.182855681,-0.033506092,-0.261930327,0.12205008,0.096993507,-0.060309249,-0.083132874,0.130760826,-0.021876722,-0.059961477
14,0.181498566,-0.018670663,-0.232865783,0.127432126,0.097823277,-0.05158925,-0.089200657,0.141326007,-0.036958196,-0.055821442
15,0.186594755,-0.008556156,-0.22264461,0.112201964,0.106095781,-0.059781671,-0.081220465,0.151254127,-0.020110648,-0.067536951
16,0.195491535,0.002184684,-0.225361421,0.110164904,0.097465161,-0.063095735,-0.074026543,0.154545404,-0.027110956,-0.06910392
17,0.186315632,-0.006714395,-0.236435924,0.103941009,0.104887531,-0.05292724,-0.075164889,0.158797918,-0.039708231,-0.073891532
18,0.175568353,0.003613441,-0.228491919,0.096932401,0.102536722,-0.046445104,-0.077369545,0.155518738,-0.040327085,-0.079282768
19,0.173546842,0.015497778,-0.220811035,0.100457355,0.114233079,-0.040623158,-0.083820803,0.158178613,-0.06412428,-0.076571265
20,0.18261009,0.039360285,-0.228447935,0.07473158,0.122414178,-0.024052125,-0.08444865,0.165842241,-0.052400841,-0.096360323
21,0.185679682,0.059873222,-0.225082871,0.103683884,0.125472497,-0.046152804,-0.066025751,0.17104458,-0.050186651,-0.07408932
22,0.178215209,0.050446602,-0.208328669,0.099365943,0.119476599,-0.039735725,-0.06387631,0.173396926,-0.060479852,-0.077410813
23,0.188219516,0.038338157,-0.206459328,0.069807175,0.117312325,-0.030128435,-0.066832409,0.176433633,-0.072158919,-0.100148327
24,0.182133174,0.06058087,-0.198970942,0.089222585,0.136896409,-0.024597925,-0.086344309,0.179224248,-0.082634111,-0.085213396
25,0.174048501,0.038437126,-0.210957746,0.073469507,0.125196462,-0.044843848,-0.076300456,0.187033098,-0.057708834,-0.097331149
26,0.1744746,0.046787419,-0.205351448,0.083016482,0.145250081,-0.04519601,-0.081657878,0.176106292,-0.107902189,-0.089987321
27,0.168562217,0.069661577,-0.208146632,0.072637835,0.146017875,-0.021324242,-0.077716347,0.181709405,-0.122190695,-0.097970896
28,0.163519026,0.091738094,-0.220518981,0.082763829,0.133634651,-0.012131265,-0.075931275,0.186942587,-0.10893607,-0.09018167
29,0.175409761,0.073633733,-0.2147769,0.07418739,0.133377157,-0.021303483,-0.0523508,0.174452168,-0.132216481,-0.096778931
30,0.150398325,0.069895189,-0.203013014,0.080597993,0.151047997,-0.020621702,-0.061237774,0.180756719,-0.16731267,-0.091847698
31,0.150849162,0.090001988,-0.173792715,0.102603016,0.136010707,-0.017483616,-0.06475157,0.187971653,-0.181763992,-0.074920758
32,0.157844022,0.098038546,-0.182202734,0.099510484,0.137679615,-0.001233712,-0.059974136,0.182949044,-0.198961149,-0.077299627
33,0.143375313,0.091841238,-0.176159224,0.079184118,0.131809454,-0.017217379,-0.05921024,0.167085133,-0.201688409,-0.092935294
34,0.132014385,0.088726443,-0.187410536,0.047451466,0.139774273,-0.024374382,-0.059700394,0.167676189,-0.244643151,-0.117345026
35,0.089895502,0.09097565,-0.186763399,0.037556327,0.138402311,-0.014550656,-0.064723289,0.183647619,-0.267089283,-0.124956671
36,0.104203876,0.118723383,-0.185922518,0.072628811,0.135200994,-0.001612353,-0.058211075,0.195914181,-0.245072342,-0.097977837
37,0.152054256,0.092582794,-0.17445528,0.087798194,0.148617248,0.007524522,-0.053558803,0.192234922,-0.344214011,-0.086309082
38,0.087630115,0.084468587,-0.177465455,0.113030206,0.149797505,0.004666301,-0.069067672,0.198536113,-0.381742233,-0.066899841
39,0.050164968,0.094716823,-0.167566469,0.138565286,0.172481875,0.01572475,-0.034478359,0.189142301,-0.366325833,-0.047257473
40,0.063810601,0.101282633,-0.17922672,0.173798125,0.15939048,0.02251951,-0.041947132,0.174861162,-0.393020417,-0.020155289
41,0.081368744,0.127512436,-0.113967715,0.165361404,0.164132693,0.024014809,-0.037261685,0.179401925,-0.37709211,-0.026645074
42,0.022805528,0.128601548,-0.11659954,0.163390692,0.178033992,0.008667811,-0.024185307,0.179452099,-0.418580758,-0.028161006
43,-2.07E-02,0.126807247,-0.079633061,0.195599262,0.194376283,0.03531676,-0.006440903,0.188947675,-0.462007119,-0.003385183
44,-0.003892966,0.152597224,-0.113002859,0.196745049,0.199517582,0.037322865,-0.008864048,0.186446664,-0.46361427,-0.002503809
45,-0.002512809,0.151938309,-0.103151009,0.20563749,0.210128779,0.056704778,0.000335941,0.208646072,-0.460577113,0.004336531
46,-0.02699925,0.163733229,-0.116271526,0.202618614,0.222564761,0.066794742,0.007506871,0.213913515,-0.491301563,0.002014319
47,-0.073734215,0.191703865,-0.090272497,0.198548222,0.207217424,0.095740807,0.031691459,0.226542092,-0.525296454,-0.001116752
48,-0.093851947,0.177482828,-0.108497957,0.211844472,0.22816111,0.091445361,0.038476064,0.226351755,-0.530511464,0.009111125
49,-0.079106964,0.206289575,-0.094000234,0.220552425,0.232296643,0.109223822,0.036181115,0.241660575,-0.529533868,0.015809558
50,-0.071581581,0.199246896,-0.080523841,0.215917396,0.255659707,0.082880011,0.039088028,0.217396047,-0.519820643,0.012244151
51,-0.051576116,0.205692142,-0.046489776,0.212877756,0.233837059,0.102208556,0.044133354,0.239613201,-0.49521329,0.009905967
52,-0.003924203,0.206966805,-0.049102011,0.229664909,0.24778009,0.088201429,0.043875678,0.238984969,-0.447304881,0.022819161
53,0.016735013,0.198552414,-0.062349253,0.210228155,0.230221458,0.091150559,0.036405273,0.223758411,-0.418898668,0.007867812
54,0.059237546,0.174992421,-0.075267947,0.166898082,0.221990615,0.069708255,0.021198129,0.213278072,-0.37195911,-0.025463014
55,0.06135837,0.182024375,-0.065202599,0.182442143,0.216682367,0.086580955,0.058757363,0.214047282,-0.331881705,-0.013506044
56,0.130379393,0.163876502,-0.036525608,0.191038425,0.206808524,0.069234858,0.03908648,0.199873503,-0.286723808,-0.006893519
57,0.163593169,0.180549609,-0.03345616,0.216608587,0.211867788,0.076849828,0.033590653,0.215546985,-0.267973574,0.012775836
58,0.146287031,0.149875421,-0.026996974,0.194239494,0.211022841,0.064004908,0.024639906,0.216306817,-0.266795186,-0.004431159
59,0.20812524,0.158554732,-0.022942987,0.191872419,0.208441169,0.068619933,0.027463111,0.219739558,-0.227956728,-0.006251986
60,0.226152298,0.163703109,-0.036110609,0.227746527,0.202059281,0.063878371,0.01863867,0.198223917,-0.171801268,0.021343482
61,0.241373686,0.171763766,-0.032536881,0.22093954,0.199030606,0.069807435,0.002986933,0.206240028,-0.170491142,0.016107338
62,0.226848057,0.14874137,-0.02159669,0.21574869,0.189189558,0.057863734,0.002202654,0.197901457,-0.161516606,0.012114377
63,0.270795823,0.161995458,-0.002840876,0.216317747,0.189296819,0.062736558,0.009785942,0.206364177,-0.111176261,0.012552113
64,0.279670728,0.161740405,0.01630586,0.247897271,0.189362045,0.063007325,0.002821594,0.193628465,-0.062161029,0.036844055
65,0.289555959,0.160515502,0.017073909,0.216607317,0.187986714,0.057548534,0.003473196,0.195880947,-0.060363202,0.012774859
66,0.277564299,0.160370621,0.014584554,0.236882648,0.183677116,0.050024325,-0.008029425,0.203194456,-0.046669278,0.028371267
67,0.290618851,0.166222751,0.026614607,0.230799747,0.187341302,0.065417985,0.015374263,0.207008001,-0.010651003,0.023692113
68,0.282329137,0.170827044,0.036250202,0.237936552,0.171650386,0.051860822,-0.002603682,0.19432427,0.02654362,0.029181963
69,0.29206957,0.159487652,0.047612133,0.257055078,0.179815395,0.063072966,0.002744913,0.218000918,0.032163957,0.043888522
70,0.278800656,0.174383452,0.048979956,0.261919432,0.172662835,0.04665019,-0.003784047,0.220409698,0.066062025,0.047630333
71,0.283810769,0.1852802,0.064169791,0.25204939,0.180684113,0.062433209,-0.000345662,0.221096897,0.07391059,0.040037992
72,0.277849842,0.167774026,0.050571384,0.238646391,0.16242651,0.05995846,0.000633198,0.199973766,0.109247719,0.029727993
73,0.276257686,0.165144707,0.056372761,0.269582826,0.172521047,0.058999583,0.009002631,0.20908413,0.107188781,0.053525251
74,0.274250795,0.151944617,0.044116775,0.250290593,0.172995938,0.051816859,-0.003111504,0.198980183,0.124175306,0.038685071
75,0.302356094,0.151197066,0.068855137,0.259185055,0.182415754,0.036460061,0.007820178,0.212159902,0.132039486,0.045526966
76,0.325333782,0.151751849,0.080225001,0.251557951,0.169474838,0.046642406,0.009651701,0.220900665,0.128078206,0.039659962
