time,route1,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,,,,,,,,,,,
1,0.494168667,-0.963409257,0.880985651,0.914745799,0.273251766,-0.848025567,1.261846842,-0.011647455,-1.228974288,-0.475031361,-1.034387824,-1.332195973,0.334699524,-0.420723284,0.543781415,0.434671674,0.742941645,0.85110439,0.55546291,,,,,,,,,,,,,,,,,,,
2,0.430747379,-0.98219646,0.820022473,0.872093029,0.274688931,-0.880055581,1.284182458,0.00145148,-1.303099759,-0.502083013,-1.054481215,-1.337279362,0.32135177,-0.476656983,0.543823787,0.408122344,0.659839314,0.804390312,0.547522057,,,,,,,,,,,,,,,,,,,
3,0.39463082,-0.861145225,0.815287269,0.856927255,0.240680735,-0.948127304,1.260750076,-0.020372218,-1.271253191,-0.4937944,-1.024489627,-1.32322249,0.342696862,-0.44969498,0.464330473,0.374243908,0.637644786,0.786985998,0.552929888,,,,,,,,,,,,,,,,,,,
4,0.471160356,-0.898730854,0.787482595,0.836952828,0.288373581,-1.015401581,1.290850333,0.011099463,-1.270721172,-0.452958176,-0.997288016,-1.255015476,0.322597705,-0.485880115,0.407784301,0.329300641,0.586935076,0.728388982,0.499856403,,,,,,,,,,,,,,,,,,,
5,0.527676514,-0.860887708,0.736499505,0.801074439,0.340607241,-1.04777212,1.376900026,0.09372774,-1.19088006,-0.39910714,-0.935874756,-1.169628707,0.383283763,-0.43221572,0.426386363,0.34702846,0.589114951,0.71180479,0.476466978,,,,,,,,,,,,,,,,,,,
6,0.535108673,-0.818340987,0.718649603,0.800146092,0.388724749,-1.093526009,1.396484819,0.170961416,-1.114107034,-0.352827145,-0.824279952,-1.138289996,0.341918813,-0.430064292,0.405216591,0.316432427,0.561318361,0.663894776,0.422305566,,,,,,,,,,,,,,,,,,,
7,0.547092377,-0.974961933,0.663175829,0.74433693,0.4213462,-1.138158789,1.448826215,0.176413989,-1.123164488,-0.322549935,-0.811992863,-1.084217974,0.294455818,-0.469884591,0.333424048,0.241014008,0.505742119,0.614622181,0.437595822,,,,,,,,,,,,,,,,,,,
8,0.559286573,-0.916648905,0.659205235,0.696806065,0.4317335,-1.176068468,1.450211671,0.166550306,-1.070026726,-0.337354965,-0.735168633,-1.062609715,0.276820119,-0.503687781,0.32350587,0.214067677,0.444671084,0.592947033,0.382994541,,,,,,,,,,,,,,,,,,,
9,0.555966377,-0.919519086,0.630580033,0.621320283,0.4735003,-1.165640624,1.423088316,0.200070834,-1.05219924,-0.276368417,-0.716883252,-1.038168292,0.264159056,-0.492723676,0.24962768,0.147399057,0.41536533,0.540116607,0.334629451,,,,,,,,,,,,,,,,,,,
10,0.581212095,-0.954393636,0.626228357,0.662802541,0.455600677,-1.190705524,1.459544006,0.212191496,-0.999168969,-0.214532509,-0.715297428,-1.04423915,0.2526028,-0.530230228,0.231963118,0.137743205,0.37207776,0.53757581,0.278740494,,,,,,,,,,,,,,,,,,,
11,0.549967292,-0.962716083,0.552500314,0.626376956,0.504972081,-1.280615554,1.476002775,0.197839308,-1.008046264,-0.189260281,-0.773712659,-0.995502408,0.218094956,-0.583915029,0.170781728,0.098329173,0.331386284,0.434821202,0.247567632,,,,,,,,,,,,,,,,,,,
12,0.554515131,-1.13123633,0.543524127,0.543114507,0.507196493,-1.340538482,1.517082399,0.161574137,-0.916655246,-0.133907268,-0.719644001,-0.968624198,0.102961845,-0.606778195,0.139643481,0.092584255,0.339953528,0.490918509,0.182136526,,,,,,,,,,,,,,,,,,,
13,0.564962758,-1.157367594,0.510797643,0.526823903,0.506979896,-1.30291937,1.491329105,0.203050342,-0.87357341,-0.150177009,-0.733358019,-1.017305508,0.085875736,-0.656127206,0.071722923,-0.005617149,0.259085967,0.397114063,0.157720795,,,,,,,,,,,,,,,,,,,
14,0.602219244,-1.144359567,0.477593111,0.511006965,0.538420746,-1.334092743,1.523992534,0.178953085,-0.992020575,-0.146239347,-0.678327876,-1.020858584,0.026156904,-0.699325211,0.062624222,0.00562811,0.219105514,0.414380557,0.149988838,,,,,,,,,,,,,,,,,,,
15,0.559302095,-1.189889937,0.399270561,0.486330321,0.565065083,-1.370464569,1.516825656,0.12859927,-1.040461999,-0.127415911,-0.62550521,-0.967939577,0.013165694,-0.745097935,0.017483151,-0.06258847,0.134451003,0.327224897,0.098596732,,,,,,,,,,,,,,,,,,,
16,0.598837851,-1.431569378,0.399319365,0.381376578,0.531069092,-1.368281483,1.511375292,0.098248331,-1.030883296,-0.080172596,-0.548339865,-0.946087062,-0.061396199,-0.791540515,-0.013548358,-0.092860726,0.13543115,0.32732353,0.037982621,,,,,,,,,,,,,,,,,,,
17,0.592855443,-1.346784814,0.434145539,0.392108181,0.507523849,-1.396098082,1.496846877,0.142464479,-0.964272552,-0.111817555,-0.472894755,-0.950454791,-0.024700406,-0.85530202,-0.014356755,-0.111548824,0.115128923,0.282732411,0.020975042,,,,,,,,,,,,,,,,,,,
18,0.652438528,-1.490996585,0.37647892,0.364506324,0.537279344,-1.433888584,1.483545832,0.182882762,-0.835731602,-0.10111303,-0.442014784,-0.96721086,-0.08579859,-0.879052813,-0.09061192,-0.160554769,0.075361899,0.270101845,-0.024694085,,,,,,,,,,,,,,,,,,,
19,0.612354261,-1.579112547,0.285403685,0.291966722,0.569825859,-1.438567871,1.45935814,0.175677309,-0.844128039,-0.096113055,-0.370361689,-0.987332258,-0.223909341,-0.93926597,-0.099725018,-0.237068834,-0.001893292,0.195715638,-0.05740544,,,,,,,,,,,,,,,,,,,
20,0.658393667,-1.658759136,0.274799547,0.26457272,0.612083661,-1.474132526,1.487884425,0.140718436,-0.811801904,-0.104570264,-0.412604301,-1.01183269,-0.18971926,-0.976528825,-0.156095169,-0.288061352,-0.044148972,0.182581816,-0.108185259,,,,,,,,,,,,,,,,,,,
21,0.63389111,-1.717670876,0.22426847,0.24133643,0.598976778,-1.459830924,1.441180383,0.124573313,-0.762180235,-0.104291516,-0.387258999,-1.042478669,-0.19800019,-1.017225554,-0.180840803,-0.301985815,-0.059782393,0.151247038,-0.155468592,,,,,,,,,,,,,,,,,,,
22,0.607683874,-1.738277053,0.20130816,0.21642821,0.602151666,-1.494854822,1.421948428,0.139621476,-0.645421465,-0.069973345,-0.366905227,-1.04210081,-0.187332267,-1.032097519,-0.224039298,-0.334981768,-0.07595391,0.136508731,-0.168381133,,,,,,,,,,,,,,,,,,,
23,0.625911602,-1.717275842,0.233788049,0.212627259,0.627793537,-1.516706691,1.399453496,0.163219017,-0.581001759,-0.074756677,-0.375457668,-1.081564294,-0.148587491,-1.036408855,-0.289437956,-0.358259076,-0.106715163,0.063363155,-0.218803675,,,,,,,,,,,,,,,,,,,
24,0.563203475,-1.623563742,0.208050513,0.219126903,0.546983032,-1.441041687,1.408727355,0.17026673,-0.598452832,-0.032782653,-0.39342234,-1.092340005,-0.105529221,-0.958616968,-0.280468452,-0.393673441,-0.167826074,0.002798635,-0.23748052,,,,,,,,,,,,,,,,,,,
25,0.571161999,-1.515683555,0.274778052,0.287234247,0.596907482,-1.385038971,1.390310818,0.134515214,-0.568395175,-0.120545032,-0.401940657,-1.083237971,-0.057994865,-0.872755076,-0.246236702,-0.376373389,-0.169392646,0.008896749,-0.238001782,,,,,,,,,,,,,,,,,,,
26,0.576810075,-1.497845535,0.333518255,0.325526844,0.667548469,-1.290951967,1.375551413,0.180361486,-0.516063935,-0.100561357,-0.387674916,-1.052113449,0.129017532,-0.747221992,-0.206284629,-0.339714917,-0.070943131,0.076332633,-0.193519121,,,,,,,,,,,,,,,,,,,
27,0.575775394,-1.484096712,0.401075511,0.339006649,0.65817723,-1.261719799,1.372523603,0.2015228,-0.584326038,-0.11035535,-0.370332499,-1.013897027,0.26013025,-0.640180677,-0.159608685,-0.286099813,-0.060029724,0.115438324,-0.142278994,,,,,,,,,,,,,,,,,,,
28,0.556323716,-1.370523783,0.443761954,0.372564767,0.690499848,-1.175162615,1.362364505,0.241666599,-0.603580623,-0.111769362,-0.387972076,-1.075480324,0.295508507,-0.542992058,-0.111170586,-0.235988837,-0.014708717,0.164968576,-0.082856615,,,,,,,,,,,,,,,,,,,
29,0.579312215,-1.376178144,0.434457385,0.437460021,0.671856331,-1.157976356,1.363933744,0.243904766,-0.586663562,-0.140569416,-0.405956194,-1.026707494,0.344992923,-0.565317621,-0.056938819,-0.206302448,0.043236927,0.182950439,-0.070488276,,,,,,,,,,,,,,,,,,,
30,0.534664464,-1.37819733,0.435846905,0.38566478,0.67530763,-1.140856621,1.312601419,0.278513218,-0.551552478,-0.139797669,-0.383221834,-1.015126497,0.420829936,-0.531072617,-0.036319805,-0.181940021,0.07752075,0.22921393,-0.011644972,,,,,,,,,,,,,,,,,,,
31,0.507948178,-1.293201187,0.438538908,0.437217971,0.607459328,-1.099814556,1.310515541,0.265809234,-0.593583196,-0.112556653,-0.454440164,-0.95939512,0.334318182,-0.577773339,-0.076012296,-0.159199006,0.101905328,0.25155863,-0.047917798,,,,,,,,,,,,,,,,,,,
32,0.532394168,-1.36028647,0.458271255,0.461305996,0.57979667,-1.082066674,1.302166175,0.311906639,-0.65183491,-0.080227794,-0.450898967,-0.887948866,0.301000484,-0.579261288,0.011051011,-0.146816452,0.125346153,0.248594114,0.025432227,,,,,,,,,,,,,,,,,,,
33,0.484853094,-1.431748314,0.517346436,0.43179527,0.517081553,-1.062695702,1.305221928,0.345028747,-0.664379515,-0.08365772,-0.412955761,-0.833766095,0.290963862,-0.544382162,0.030688154,-0.111028252,0.126036526,0.27515708,-0.002150163,,,,,,,,,,,,,,,,,,,
34,0.487287255,-1.503416363,0.487746329,0.46104689,0.536432552,-1.083730529,1.288899638,0.379570974,-0.595394318,-0.052265967,-0.426009308,-0.794088887,0.264888319,-0.5614399,0.046132804,-0.077411241,0.164627219,0.320249549,0.033592143,,,,,,,,,,,,,,,,,,,
