time,route10,route13,route4,route5,route6,route7,route8,route9,route3,route11,route12,route1,route14,route15,route16,route17,route18,route19,route20
1,-1.258019524,-1.309433557,0.85813284,0.927294312,0.302408667,-0.808251671,1.273816701,0.01790746,-0.98476863,-0.488206589,-1.004334151,0.488742693,0.286677136,-0.382363509,0.573821706,0.454681695,0.703091447,0.853576067,0.584549506
2,-1.2246317,-1.335599209,0.884402403,0.912869656,0.268892482,-0.85397221,1.260057214,-0.016066246,-0.960215791,-0.473061517,-1.038881185,0.494979911,0.341879409,-0.426458501,0.539290055,0.431679951,0.748899696,0.850734846,0.551114138
3,-1.288464618,-1.340371383,0.858922474,0.869181136,0.313907799,-0.797917527,1.305757252,-0.020542104,-0.985274554,-0.487386417,-1.033577491,0.47023566,0.287781897,-0.462255308,0.534015932,0.416676298,0.675541996,0.825797216,0.556099437
4,-1.312464328,-1.335300874,0.795131578,0.873956259,0.249594003,-0.932613155,1.270377421,0.015524487,-0.980226884,-0.511486905,-1.067856854,0.405480063,0.342832082,-0.485872164,0.550099527,0.402648936,0.649791659,0.790692704,0.54203366
5,-1.297762849,-1.359716677,0.810218896,0.879234173,0.235288808,-0.936178049,1.255210443,-0.029137493,-0.856314057,-0.517061632,-1.012264834,0.38246856,0.368568065,-0.441564392,0.45547932,0.358405145,0.625086848,0.816700071,0.54739605
6,-1.221950536,-1.255350612,0.824713427,0.815440856,0.250708639,-0.970350526,1.271052684,-0.004070563,-0.870130229,-0.450522008,-1.047225293,0.417250188,0.294581605,-0.464816246,0.480791844,0.403700834,0.661000035,0.731723774,0.563221719
7,-1.276540427,-1.258156655,0.790600737,0.84005809,0.285189364,-1.014963224,1.286835797,0.001798355,-0.894780855,-0.456196661,-1.001339946,0.472555177,0.319501275,-0.48997089,0.406447865,0.328858738,0.585430971,0.728015549,0.498528839
8,-1.211553323,-1.223077228,0.755778577,0.805379778,0.320749416,-1.019858623,1.331668515,0.105669387,-0.93889286,-0.420030567,-0.956089618,0.456978379,0.35408096,-0.444286755,0.421372645,0.333793738,0.602228208,0.732185902,0.513354539
9,-1.186628201,-1.158635978,0.732534388,0.800188962,0.34469139,-1.053513075,1.386202767,0.091271708,-0.844844429,-0.39480383,-0.931717176,0.542216963,0.389289888,-0.429733077,0.427417532,0.349750438,0.586417954,0.707613017,0.468880333
10,-1.151105941,-1.152690082,0.727000786,0.825300819,0.380017938,-1.068380793,1.3712682,0.106244069,-0.799073507,-0.389498328,-0.8668499,0.5374959,0.384338706,-0.444129293,0.402402499,0.324311301,0.592592902,0.683754795,0.424777441
11,-1.086114012,-1.127395028,0.712331177,0.781114265,0.395312239,-1.112550641,1.415563474,0.219925946,-0.832918579,-0.325082076,-0.792071934,0.533302519,0.309824324,-0.419422846,0.407345706,0.310471345,0.53765634,0.648868874,0.420435368
12,-1.130777438,-1.08255352,0.658646905,0.776512059,0.410509846,-1.127422466,1.440732128,0.165707007,-0.966986345,-0.339755995,-0.825981057,0.557385679,0.296017475,-0.484075062,0.353448301,0.245576934,0.513498306,0.603576305,0.454576842
13,-1.106152377,-1.087937408,0.673296288,0.672437491,0.445561418,-1.162150475,1.466913488,0.200340109,-0.992784405,-0.284100795,-0.780734455,0.524090677,0.290966095,-0.438174171,0.288677295,0.230817566,0.488409929,0.639305603,0.399649562
14,-1.070703683,-1.062844507,0.65852834,0.698047725,0.43098401,-1.176789012,1.451426745,0.165812948,-0.917898834,-0.339080335,-0.735889815,0.558035422,0.276054146,-0.502398098,0.324250805,0.215274166,0.443908743,0.594635431,0.385707307
15,-1.056895137,-1.058055235,0.672335608,0.672720393,0.446272078,-1.162091378,1.426641705,0.180853553,-0.892402834,-0.303886299,-0.721179174,0.583556347,0.291678441,-0.528704997,0.309055645,0.190664252,0.459458936,0.560195567,0.330372419
16,-1.050942634,-1.032846612,0.619406379,0.607565783,0.480786483,-1.16659039,1.422137441,0.205213315,-0.926775306,-0.269004723,-0.715733677,0.548583392,0.256794959,-0.483095193,0.233724953,0.135821433,0.403566026,0.534743544,0.335768619
17,-1.018269448,-1.068217226,0.635003028,0.634407602,0.437019413,-1.173585259,1.478679907,0.230798358,-0.962761312,-0.244278703,-0.671583127,0.594660908,0.281599064,-0.538686491,0.229948554,0.171958302,0.38033608,0.550587653,0.291947313
18,-0.982146593,-1.022869852,0.618408356,0.688108154,0.472160327,-1.20596313,1.442490063,0.195609032,-0.94693635,-0.188022656,-0.75425568,0.569226492,0.226761285,-0.522693993,0.2337585,0.107250659,0.364717932,0.525979636,0.266970557
