time,route1,route3,route4,route6,route7,route8,route9,route10,route5,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,,,,,,,,,
1,0.732458751,1.148354946,0.971693336,0.793536246,0.340029219,0.414795609,0.598078204,0.512251511,0.758185274,-0.164989635,0.094219355,0.055746248,0.306558319,0.281117893,-0.098035696,0.204674656,0.431620624,0.114938256,0.450341761,,,,,,,,,
2,0.668061345,1.119159154,1.015467554,0.77780168,0.328582617,0.412211326,0.590066942,0.454603986,0.782513509,-0.1160587,0.031137445,0.064842411,0.3075029,0.303836355,-0.074823512,0.218234386,0.416051191,0.094614688,0.431811509,,,,,,,,,
3,0.716569823,1.123976975,1.023258889,0.770629569,0.332408601,0.437520853,0.54406479,0.483945859,0.791332463,-0.14662926,-0.016740345,0.059050512,0.287302977,0.354353544,-0.046263087,0.229422386,0.383803807,0.069665947,0.489018668,,,,,,,,,
4,0.757870061,1.163728935,1.050419523,0.774669184,0.314433967,0.429410303,0.602727678,0.472045636,0.815509495,-0.138760621,-0.010335356,0.066022738,0.31088785,0.33285416,-0.031229392,0.264464872,0.46705824,0.136205168,0.497693975,,,,,,,,,
5,0.726403869,1.182779255,1.066640781,0.736537811,0.337655693,0.389694998,0.505996094,0.416538787,0.809629759,-0.170171737,0.021609373,0.025270803,0.201717431,0.301817063,-0.026252068,0.266263184,0.451799918,0.134114572,0.485451116,,,,,,,,,
6,0.764709878,1.178865225,1.106405209,0.737033351,0.408514103,0.340750555,0.510010511,0.438230809,0.834345845,-0.17373326,0.064356949,-0.014417261,0.200528775,0.255782376,-0.013923768,0.313959835,0.446645978,0.141884477,0.517460307,,,,,,,,,
7,0.797987559,1.232200944,1.097435845,0.711481692,0.397771073,0.332736326,0.499557947,0.450975526,0.838100445,-0.166270604,0.056542408,0.040312022,0.164687265,0.257299686,0.029955845,0.331662643,0.494754727,0.171556747,0.570090549,,,,,,,,,
8,0.860450686,1.236374176,1.119111567,0.70858206,0.409300263,0.345501885,0.489887993,0.45292993,0.851739308,-0.170628296,0.139437479,-0.005982078,0.118363601,0.255590732,0.014332591,0.338262677,0.551664527,0.170417482,0.554426298,,,,,,,,,
9,0.831603902,1.256492483,1.110430242,0.673825002,0.43252762,0.332372364,0.451384887,0.479695082,0.876228693,-0.120941242,0.125945781,-0.025359906,0.156075844,0.232492598,0.004835775,0.343525942,0.472022214,0.182017466,0.56035429,,,,,,,,,
10,0.858693613,1.29545113,1.174624059,0.676050808,0.464296711,0.281401924,0.419745464,0.417274883,0.893017556,-0.179794562,0.178190932,-0.019814637,0.190848926,0.237726716,0.065870429,0.37814467,0.540664877,0.178198518,0.589227196,,,,,,,,,
11,0.894122306,1.292198115,1.174615105,0.668316651,0.456964416,0.333864637,0.47318441,0.477593816,0.939941081,-0.19883347,0.161304722,-0.054317479,0.231857448,0.204191392,0.052105497,0.414375126,0.588439875,0.21322705,0.577357826,,,,,,,,,
12,0.831250763,1.292457585,1.20787518,0.62864298,0.497142388,0.316339669,0.468378437,0.421602827,0.93903269,-0.175025136,0.161147377,-0.038914162,0.268224367,0.227091808,0.10118299,0.407050614,0.597889023,0.242311056,0.588449868,,,,,,,,,
13,0.897138216,1.319626098,1.224694284,0.638240649,0.502457907,0.272946743,0.402423426,0.457631984,0.969740334,-0.180340507,0.12509448,-0.070373485,0.280327358,0.218514435,0.120310763,0.442619617,0.608563688,0.258817867,0.627731232,,,,,,,,,
14,0.918782371,1.313359755,1.235658106,0.63861671,0.529220895,0.273795962,0.418421239,0.364414865,0.994781688,-0.218858303,0.153973991,-0.021744821,0.180870461,0.187306295,0.128472167,0.475392108,0.601692322,0.243935663,0.640667956,,,,,,,,,
15,0.960110359,1.342830632,1.237945737,0.65112089,0.575520559,0.313749503,0.444339388,0.352784072,0.976606121,-0.147085601,0.178410427,-0.030854178,0.163831436,0.185886132,0.137005678,0.45002778,0.663795928,0.25255409,0.672298142,,,,,,,,,
16,0.990331082,1.348193888,1.229986376,0.630518374,0.631160419,0.262526683,0.429161445,0.314040307,1.037403548,-0.164817935,0.177957563,0.014744469,0.157571525,0.228453269,0.161292941,0.468579318,0.666211753,0.297318819,0.694603346,,,,,,,,,
17,0.945560356,1.387280008,1.269000934,0.655842301,0.600665361,0.291898402,0.421184437,0.378742427,1.050047099,-0.215103875,0.294818576,-0.005076463,0.093793008,0.168445742,0.16465288,0.504948228,0.676201097,0.274898862,0.683139481,,,,,,,,,
18,0.989592283,1.375248489,1.248307773,0.630568893,0.593057052,0.256500964,0.403767409,0.371729792,1.030814824,-0.193545672,0.285778506,-0.04923138,0.126356894,0.197892465,0.186203536,0.526926396,0.712556407,0.286429627,0.684965529,,,,,,,,,
19,1.005661264,1.375325563,1.27872917,0.658236448,0.577291401,0.283337658,0.414591509,0.380556645,1.042925843,-0.178824743,0.326797177,-0.028486465,0.185586696,0.21129072,0.162417802,0.527605095,0.711295053,0.336462091,0.708327614,,,,,,,,,
20,1.041581094,1.406173491,1.320771374,0.630130394,0.583466592,0.232604265,0.418106006,0.398201482,1.113001738,-0.197039322,0.367448483,-0.045153305,0.173405215,0.188500679,0.181109953,0.527396376,0.732409727,0.32038371,0.705973784,,,,,,,,,
