Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-8.522706506,-6.737865602,-4.333684661,-6.41926084,-6.643203207,-10.37867537,-9.803408608,-9.626359668,
2,-8.523713072,-6.716730229,-4.283216668,-6.412505236,-6.643238488,-10.38900677,-9.792005712,-9.621846424,
3,-8.525765967,-6.696560426,-4.237466106,-6.405629627,-6.644018718,-10.39972123,-9.781481044,-9.617641187,
4,-8.52887505,-6.677372171,-4.196318065,-6.39866014,-6.645520575,-10.41081353,-9.771819356,-9.613752726,
5,-8.533050179,-6.659181444,-4.159657637,-6.391622905,-6.647720735,-10.42227844,-9.763005397,-9.610189814,
6,-8.538301213,-6.642004224,-4.127369911,-6.38454405,-6.650595876,-10.43411074,-9.75502392,-9.606961221,
7,-8.54463801,-6.625856491,-4.099339978,-6.377449706,-6.654122675,-10.44630519,-9.747859672,-9.604075716,
8,-8.552070429,-6.610754222,-4.07545293,-6.370365999,-6.65827781,-10.45885657,-9.741497407,-9.601542071,
9,-8.560608328,-6.596713398,-4.055593858,-6.36331906,-6.663037957,-10.47175965,-9.735921872,-9.599369056,
10,-8.570261566,-6.583749998,-4.03964785,-6.356335018,-6.668379795,-10.4850092,-9.73111782,-9.597565443,
11,-8.58104,-6.57188,-4.0275,-6.34944,-6.67428,-10.4986,-9.72707,-9.59614,
12,-8.59295349,-6.561119384,-4.019035397,-6.342660136,-6.68071525,-10.51252682,-9.723763163,-9.595101499,
13,-8.606011893,-6.551484129,-4.014139132,-6.336021555,-6.687662221,-10.52678443,-9.721182059,-9.594458711,
14,-8.620225069,-6.542990214,-4.012696296,-6.329550386,-6.695097592,-10.5413676,-9.719311439,-9.594220406,
15,-8.635602875,-6.535653618,-4.01459198,-6.323272758,-6.70299804,-10.5562711,-9.718136053,-9.594395355,
16,-8.65215517,-6.529490321,-4.019711274,-6.317214798,-6.711340241,-10.57148972,-9.717640652,-9.594992328,
17,-8.669891813,-6.524516301,-4.027939269,-6.311402638,-6.720100874,-10.58701821,-9.717809985,-9.596020096,
18,-8.688822662,-6.520747538,-4.039161056,-6.305862404,-6.729256614,-10.60285136,-9.718628804,-9.597487429,
19,-8.708957575,-6.51820001,-4.053261726,-6.300620226,-6.738784141,-10.61898393,-9.720081859,-9.599403098,
20,-8.73030641,-6.516889698,-4.070126369,-6.295702234,-6.74866013,-10.6354107,-9.7221539,-9.601775874,
21,-8.752879027,-6.516832579,-4.089640077,-6.291134555,-6.75886126,-10.65212644,-9.724829677,-9.604614526,
22,-8.776685283,-6.518044634,-4.11168794,-6.286943319,-6.769364207,-10.66912593,-9.728093942,-9.607927827,
23,-8.801734005,-6.520541841,-4.136151939,-6.283154654,-6.780145649,-10.68640393,-9.731931443,-9.611724545,
24,-8.828019756,-6.524340179,-4.162871133,-6.279794691,-6.791182263,-10.70395521,-9.736326933,-9.616013452,
25,-8.855526709,-6.529451975,-4.191653297,-6.276893768,-6.802453223,-10.72177459,-9.74126564,-9.620803319,
26,-8.884238798,-6.535869018,-4.222305493,-6.274496346,-6.813972036,-10.73985875,-9.746734868,-9.626103013,
27,-8.914139958,-6.54357593,-4.254634785,-6.272649845,-6.825777173,-10.7582072,-9.752722482,-9.631921728,
28,-8.945214124,-6.552557322,-4.288448235,-6.271401684,-6.83790767,-10.77681969,-9.759216345,-9.638268729,
29,-8.977443143,-6.562797809,-4.323557207,-6.270799283,-6.850402561,-10.79569596,-9.766204322,-9.64515328,
30,-9.010798575,-6.574282004,-4.35979422,-6.270890062,-6.863300882,-10.81483577,-9.773674278,-9.652584644,
31,-9.045248822,-6.586994445,-4.396998297,-6.271721346,-6.876641667,-10.83423884,-9.781614048,-9.660572085,
32,-9.080762287,-6.60091514,-4.435008459,-6.273338984,-6.890470607,-10.85390509,-9.790010642,-9.669124869,
33,-9.117307371,-6.616017033,-4.473663728,-6.275787654,-6.904866013,-10.87383759,-9.798850156,-9.678254472,
34,-9.154852484,-6.632272453,-4.512803227,-6.279111998,-6.919916174,-10.89404246,-9.80811864,-9.687979245,
35,-9.193367176,-6.649653732,-4.552279295,-6.283356663,-6.935709381,-10.91452595,-9.817802143,-9.698318872,
36,-9.232823269,-6.6681332,-4.591970551,-6.288566292,-6.952333926,-10.9352943,-9.827886713,-9.709293039,
37,-9.273192849,-6.687683187,-4.631758725,-6.294785526,-6.969878101,-10.95635376,-9.8383584,-9.720921429,
38,-9.314448005,-6.70827634,-4.671525546,-6.302054539,-6.988430182,-10.97771058,-9.849202639,-9.733223727,
39,-9.356560825,-6.729887831,-4.711152741,-6.310400913,-7.008076393,-10.99937096,-9.860401999,-9.746219619,
40,-9.399504111,-6.752494048,-4.750523758,-6.31985002,-7.0288989,-11.02134062,-9.871938208,-9.75993028,
41,-9.443263714,-6.776071386,-4.789553408,-6.330427235,-7.050979392,-11.043625,-9.883792993,-9.774381151,
42,-9.487836884,-6.800596242,-4.828183901,-6.34215793,-7.074399559,-11.06622953,-9.895948082,-9.789598433,
43,-9.533221254,-6.826045011,-4.866358372,-6.35506748,-7.099241089,-11.08915967,-9.908385203,-9.805608324,
44,-9.579414458,-6.852394106,-4.904019954,-6.369180154,-7.125585672,-11.11242082,-9.921086081,-9.822437025,
45,-9.626414129,-6.87962278,-4.94111178,-6.384506426,-7.153513577,-11.13601845,-9.93403234,-9.840110735,
46,-9.674220684,-6.907716311,-4.977582337,-6.401047396,-7.183079408,-11.15995742,-9.94720549,-9.858655654,
47,-9.722851452,-6.936660742,-5.013412647,-6.418803981,-7.214315487,-11.18423929,-9.96058703,-9.878097542,
48,-9.77233012,-6.966442116,-5.048595957,-6.437777101,-7.247253394,-11.20886434,-9.974158462,-9.89846101,
49,-9.822680382,-6.997046476,-5.083125537,-6.457967675,-7.281924708,-11.23383288,-9.987901286,-9.919770477,
50,-9.873925937,-7.028459867,-5.116994654,-6.479376608,-7.318361009,-11.2591452,-10.001797,-9.942050365,
51,-9.926090489,-7.060668421,-5.15019661,-6.502000695,-7.356593878,-11.28480158,-10.01582797,-9.965325095,
52,-9.97920047,-7.093659322,-5.182734977,-6.525826932,-7.396649725,-11.31080231,-10.02998084,-9.989619087,
53,-10.03328888,-7.127420441,-5.214638093,-6.550840887,-7.438523812,-11.33714538,-10.04424366,-10.01495675,
54,-10.0883897,-7.161939663,-5.245937954,-6.577028128,-7.482199789,-11.36382041,-10.05860445,-10.04135912,
55,-10.14453689,-7.19720487,-5.276666555,-6.604374223,-7.52766129,-11.39081514,-10.07305126,-10.06883898,
56,-10.20176444,-7.233203946,-5.306855892,-6.63286474,-7.574891946,-11.41811731,-10.0875721,-10.09740791,
57,-10.26010618,-7.269924773,-5.336538498,-6.662485151,-7.62387539,-11.44571468,-10.10215509,-10.12707745,
58,-10.31959273,-7.307354905,-5.365760259,-6.693219967,-7.674595237,-11.47359497,-10.11679076,-10.15785919,
59,-10.38025132,-7.345480935,-5.394581039,-6.725053141,-7.727029834,-11.50174594,-10.13147273,-10.18976469,
60,-10.442109,-7.384289282,-5.423061356,-6.757968617,-7.781144953,-11.53015443,-10.14619486,-10.22280549,
61,-10.50519285,-7.423766362,-5.451261728,-6.791950342,-7.836904524,-11.55880533,-10.16095097,-10.25698998,
62,-10.56952993,-7.463898594,-5.479242676,-6.82698226,-7.894272476,-11.58768329,-10.17573491,-10.29231947,
63,-10.63514696,-7.504672396,-5.507065635,-6.86304833,-7.953212741,-11.61677294,-10.19054051,-10.32879426,
64,-10.70206806,-7.546074428,-5.534798977,-6.900134174,-8.013689249,-11.64605893,-10.20536334,-10.36641467,
65,-10.77031616,-7.588095783,-5.56251424,-6.938228782,-8.075665954,-11.67552589,-10.22020853,-10.40518104,
66,-10.83991417,-7.630731451,-5.590282981,-6.977321551,-8.139107407,-11.70515853,-10.23508447,-10.44509366,
67,-10.91088501,-7.673976557,-5.618176753,-7.017401879,-8.203978775,-11.73494478,-10.24999953,-10.48615286,
68,-10.98325159,-7.717826222,-5.646267114,-7.058459161,-8.270245257,-11.76487695,-10.26496212,-10.52835604,
69,-11.05703285,-7.76227557,-5.674625612,-7.100482796,-8.337872047,-11.79494768,-10.27998061,-10.57169466,
70,-11.13223597,-7.807319723,-5.703323781,-7.14346244,-8.406824342,-11.82514961,-10.29506353,-10.61615941,
71,-11.208866,-7.852958233,-5.732433153,-7.187389926,-8.477067339,-11.85547538,-10.31022509,-10.66174099,
72,-11.286928,-7.899208724,-5.762025259,-7.232258156,-8.54856554,-11.88591762,-10.32548731,-10.7084301,
73,-11.36642701,-7.94609343,-5.79217163,-7.278060041,-8.621278274,-11.91646927,-10.34087272,-10.75621743,
74,-11.44736805,-7.993634581,-5.822943806,-7.324788492,-8.695162535,-11.94712874,-10.3564039,-10.80509366,
75,-11.52975505,-8.041854412,-5.854413661,-7.372436421,-8.770175302,-11.9778992,-10.37210339,-10.85504613,
76,-11.6135906,-8.090775153,-5.886653489,-7.42099673,-8.846273559,-12.00878398,-10.38799376,-10.9060558,
77,-11.69887719,-8.140419459,-5.919735608,-7.470461551,-8.923414285,-12.03978642,-10.40409808,-10.9581029,
78,-11.78561731,-8.190823231,-5.953732339,-7.520821693,-9.001554457,-12.07090985,-10.42044253,-11.01116766,
79,-11.87381346,-8.242037988,-5.988715999,-7.572067832,-9.080645191,-12.1021576,-10.43705447,-11.06523031,
80,-11.96346682,-8.294116147,-6.024758237,-7.624190647,-9.160620596,-12.13353351,-10.45396121,-11.12027109,
81,-12.05456607,-8.347110124,-6.061924316,-7.677180813,-9.241411717,-12.16504598,-10.47119011,-11.17627016,
82,-12.14709301,-8.401072335,-6.100275971,-7.73102901,-9.322949596,-12.19670598,-10.48876849,-11.23320301,
83,-12.24102936,-8.456055197,-6.139874899,-7.785725429,-9.405165277,-12.22852449,-10.50672369,-11.2910367,
84,-12.33635683,-8.512111841,-6.1807828,-7.841256938,-9.487989804,-12.26051252,-10.52508277,-11.34973744,
85,-12.43305715,-8.569299515,-6.223061372,-7.897609008,-9.571353962,-12.29268104,-10.54387237,-11.40927145,
86,-12.5311104,-8.627676929,-6.266765941,-7.954767109,-9.655179596,-12.32504104,-10.56311912,-11.46960493,
87,-12.63049081,-8.687302793,-6.311928856,-8.012716706,-9.739377494,-12.35760422,-10.58284963,-11.53070409,
88,-12.7311713,-8.748235821,-6.358577283,-8.071443269,-9.823857762,-12.39038608,-10.60309053,-11.59253505,
