Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-0.142255859,-0.020616329,-0.232523496,-0.438246979,-0.233530419,-0.170113377,-0.098850352,-0.496869831,
2,-0.147373749,-0.025202722,-0.240338513,-0.443732817,-0.238426482,-0.174761439,-0.104507567,-0.502348434,
3,-0.152484576,-0.029760197,-0.248004595,-0.449151436,-0.243268898,-0.179404472,-0.11013391,-0.507861004,
4,-0.157587574,-0.034290063,-0.255526039,-0.454502873,-0.248060841,-0.184041945,-0.115730896,-0.513406354,
5,-0.162681978,-0.038793632,-0.262907137,-0.459787166,-0.252805488,-0.188673327,-0.121300038,-0.518983298,
6,-0.167767021,-0.043272214,-0.270152186,-0.465004352,-0.257506015,-0.193298088,-0.126842852,-0.524590649,
7,-0.172841936,-0.04772712,-0.27726548,-0.470154469,-0.262165598,-0.197915697,-0.132360852,-0.530227222,
8,-0.177905958,-0.052159661,-0.284251313,-0.475237555,-0.266787412,-0.202525624,-0.137855553,-0.53589183,
9,-0.18295832,-0.056571147,-0.291113981,-0.480253647,-0.271374633,-0.207127337,-0.143328468,-0.541583286,
10,-0.187998256,-0.06096289,-0.297857779,-0.485202783,-0.275930437,-0.211720306,-0.148781112,-0.547300405,
11,-0.193025,-0.0653362,-0.304487,-0.490085,-0.280458,-0.216304,-0.154215,-0.553042,
12,-0.198037785,-0.069692388,-0.31100594,-0.494900337,-0.284960498,-0.220877889,-0.159631646,-0.558806884,
13,-0.203035846,-0.074032764,-0.317418894,-0.49964883,-0.289441106,-0.225441441,-0.165032564,-0.564593872,
14,-0.208018415,-0.078358639,-0.323730156,-0.504330518,-0.293903,-0.229994127,-0.170419269,-0.570401776,
15,-0.212984728,-0.082671325,-0.329944022,-0.508945439,-0.298349357,-0.234535415,-0.175793276,-0.576229411,
16,-0.217934016,-0.086972131,-0.336064785,-0.513493629,-0.302783352,-0.239064775,-0.181156097,-0.582075591,
17,-0.222865515,-0.091262369,-0.342096742,-0.517975126,-0.30720816,-0.243581675,-0.18650925,-0.587939128,
18,-0.227778458,-0.095543349,-0.348044185,-0.522389969,-0.311626958,-0.248085587,-0.191854246,-0.593818836,
19,-0.232672079,-0.099816382,-0.353911411,-0.526738194,-0.316042921,-0.252575977,-0.197192601,-0.59971353,
20,-0.237545611,-0.104082779,-0.359702715,-0.53101984,-0.320459226,-0.257052317,-0.20252583,-0.605622023,
21,-0.242398289,-0.108343851,-0.36542239,-0.535234944,-0.324879048,-0.261514075,-0.207855447,-0.611543128,
22,-0.247229345,-0.112600907,-0.371074731,-0.539383543,-0.329305563,-0.26596072,-0.213182965,-0.617475659,
23,-0.252038173,-0.11685526,-0.376664119,-0.543465676,-0.333741946,-0.270391722,-0.2185099,-0.62341843,
24,-0.256826353,-0.121108219,-0.382196095,-0.54748138,-0.338191374,-0.274806551,-0.223837767,-0.629370254,
25,-0.261597061,-0.125361104,-0.387677052,-0.551430639,-0.342656951,-0.279204676,-0.22916798,-0.635329946,
26,-0.26635351,-0.129615276,-0.3931134,-0.555313258,-0.347140792,-0.283585654,-0.234501531,-0.641296238,
27,-0.271098912,-0.133872111,-0.398511551,-0.559129004,-0.351644293,-0.287949168,-0.239839294,-0.647267595,
28,-0.275836478,-0.138132987,-0.403877915,-0.562877646,-0.356168836,-0.292294911,-0.245182147,-0.653242424,
29,-0.280569793,-0.14239928,-0.409218548,-0.566558951,-0.360715801,-0.296622578,-0.250530962,-0.659219131,
30,-0.285304259,-0.146672367,-0.414537765,-0.570172686,-0.365286569,-0.300931862,-0.255886617,-0.665196123,
