Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-3.209520767,-0.737984079,-5.033132329,-9.152163377,-5.056399761,-3.77336587,-2.328605975,-10.31150966,
2,-3.313299771,-0.831295717,-5.190683885,-9.260938807,-5.155227621,-3.867497545,-2.443479475,-10.41934752,
3,-3.416924466,-0.924017449,-5.345202055,-9.368328894,-5.252956845,-3.961505365,-2.557708919,-10.52775206,
4,-3.520378543,-1.016175484,-5.496772126,-9.474335495,-5.349650434,-4.055378587,-2.671324151,-10.63670006,
5,-3.623645696,-1.107796035,-5.645479385,-9.578960466,-5.445371391,-4.149106469,-2.78435502,-10.74616825,
6,-3.726709617,-1.198905313,-5.791409119,-9.682205663,-5.540182718,-4.242678268,-2.896831371,-10.8561334,
7,-3.829554,-1.289529529,-5.934646618,-9.784072942,-5.634147419,-4.33608324,-3.008783052,-10.96657226,
8,-3.932162536,-1.379694895,-6.075277168,-9.884564159,-5.727328495,-4.429310642,-3.120239908,-11.0774616,
9,-4.03451892,-1.469427621,-6.213386056,-9.983681171,-5.819788949,-4.522349731,-3.231231787,-11.18877816,
10,-4.136606844,-1.558753919,-6.349058571,-10.08142583,-5.911591783,-4.615189765,-3.341788536,-11.30049871,
11,-4.23841,-1.6477,-6.48238,-10.1778,-6.0028,-4.70782,-3.45194,-11.4126,
12,-4.339912082,-1.736292076,-6.61343563,-10.27280553,-6.093476602,-4.800229693,-3.561716027,-11.52505879,
13,-4.441096782,-1.824556357,-6.74231075,-10.36644428,-6.183684592,-4.892408101,-3.671146463,-11.63785182,
14,-4.541947793,-1.912519056,-6.869090646,-10.4587181,-6.273486973,-4.984344481,-3.780261155,-11.75095587,
15,-4.642448808,-2.000206383,-6.993860607,-10.54962885,-6.362946746,-5.076028091,-3.88908995,-11.86434769,
16,-4.742583519,-2.087644549,-7.11670592,-10.63917839,-6.452126914,-5.167448186,-3.997662693,-11.97800403,
17,-4.842335621,-2.174859767,-7.237711872,-10.72736858,-6.54109048,-5.258594024,-4.106009233,-12.09190165,
18,-4.941688804,-2.261878246,-7.356963751,-10.81420126,-6.629900446,-5.349454862,-4.214159415,-12.2060173,
19,-5.040626763,-2.348726199,-7.474546845,-10.89967829,-6.718619814,-5.440019957,-4.322143086,-12.32032775,
20,-5.13913319,-2.435429837,-7.590546442,-10.98380154,-6.807311588,-5.530278565,-4.429990094,-12.43480974,
21,-5.237191778,-2.52201537,-7.705047828,-11.06657285,-6.896038769,-5.620219944,-4.537730283,-12.54944005,
22,-5.33478622,-2.608509011,-7.818136292,-11.14799408,-6.98486436,-5.709833351,-4.645393502,-12.66419541,
23,-5.431903354,-2.69493697,-7.929898785,-11.2280671,-7.073851363,-5.799108043,-4.753009596,-12.77905259,
24,-5.528573449,-2.78132546,-8.040445214,-11.30679374,-7.163062781,-5.888033276,-4.860608413,-12.89398835,
25,-5.624858428,-2.867700821,-8.149902223,-11.38417499,-7.252560167,-5.976598339,-4.96821784,-13.00897944,
26,-5.720820934,-2.954090139,-8.258396835,-11.46020883,-7.342385125,-6.064794223,-5.07585728,-13.1240008,
27,-5.816523607,-3.040520753,-8.366056073,-11.53489263,-7.432564757,-6.152614486,-5.183543845,-13.23902121,
28,-5.912029091,-3.127020006,-8.473006958,-11.60822374,-7.523125837,-6.240052892,-5.291294644,-13.35400818,
29,-6.007407413,-3.213615239,-8.579369571,-11.68019954,-7.61409514,-6.327103211,-5.399126788,-13.46892917,
30,-6.10276496,-3.300333793,-8.685229812,-11.75081738,-7.705499441,-6.413759207,-5.507057385,-13.5837517,
31,-6.198219285,-3.38720302,-8.790663085,-11.82007509,-7.797365513,-6.500014649,-5.615103206,-13.69844325,
32,-6.293887945,-3.474250882,-8.895744789,-11.8879777,-7.889715118,-6.585863292,-5.723271513,-13.8129713,
33,-6.389888496,-3.56150629,-9.000550324,-11.95453595,-7.982545441,-6.671298642,-5.831559032,-13.92730295,
34,-6.486338535,-3.64899824,-9.105155026,-12.01976074,-8.075846154,-6.756313967,-5.939961939,-14.04140404,
35,-6.583361037,-3.736755725,-9.209625637,-12.08366298,-8.169606922,-6.840902527,-6.048476412,-14.15524018,
36,-6.68108967,-3.82480774,-9.314011811,-12.14625357,-8.263817415,-6.925057581,-6.157098629,-14.26877697,
37,-6.779659369,-3.913183281,-9.41836118,-12.20754342,-8.3584673,-7.008772387,-6.265824766,-14.38198,
38,-6.879205066,-4.00191084,-9.522721379,-12.26754886,-8.453546287,-7.092040205,-6.374647837,-14.49481489,
39,-6.979861694,-4.091014891,-9.627140039,-12.32630153,-8.549049767,-7.174854859,-6.48354604,-14.60724723,
40,-7.08176344,-4.180517976,-9.731664278,-12.38383577,-8.644984357,-7.257216226,-6.592493234,-14.71924202,
41,-7.185030854,-4.270442626,-9.836331801,-12.4401859,-8.741357998,-7.339127854,-6.701463277,-14.83076251,
42,-7.289772578,-4.360811368,-9.941172086,-12.49538623,-8.83817863,-7.420593343,-6.81043003,-14.94177164,
43,-7.39609685,-4.451646733,-10.04621434,-12.54947111,-8.935454192,-7.501616293,-6.919367351,-15.05223237,
44,-7.504111908,-4.542971244,-10.15148776,-12.60247621,-9.033192623,-7.582200303,-7.028248967,-15.16210763,
45,-7.613925992,-4.63480653,-10.25702155,-12.65445419,-9.131402918,-7.662348974,-7.137044381,-15.27136036,
46,-7.725642035,-4.727172318,-10.36284344,-12.70546923,-9.230113116,-7.742068347,-7.245718078,-15.37995352,
47,-7.839330716,-4.820088094,-10.46897217,-12.75558575,-9.329367793,-7.821379299,-7.354234249,-15.48785094,
48,-7.955050599,-4.913573343,-10.57542314,-12.80486814,-9.429212077,-7.900308285,-7.462557089,-15.59501886,
49,-8.072860226,-5.007647552,-10.68221171,-12.85338082,-9.529691095,-7.978881766,-7.57065079,-15.70142389,
50,-8.192818137,-5.102330206,-10.78935325,-12.9011882,-9.630849974,-8.057126208,-7.678479544,-15.80703264,
51,-8.31498282,-5.197641394,-10.89686311,-12.94835713,-9.732733841,-8.135068072,-7.78600921,-15.91181173,
52,-8.439396456,-5.293608334,-11.0047503,-12.99496023,-9.835388208,-8.212733822,-7.893214081,-16.01572778,
53,-8.566061888,-5.390262898,-11.11300847,-13.04107098,-9.938860908,-8.290153956,-8.000071125,-16.11874738,
54,-8.694976152,-5.487637038,-11.22162902,-13.08676285,-10.04320064,-8.36737353,-8.106557308,-16.22083774,
55,-8.826136283,-5.585762704,-11.33060334,-13.13210932,-10.14845609,-8.444440878,-8.212649597,-16.32196739,
56,-8.959539315,-5.684671848,-11.43992283,-13.17718385,-10.25467597,-8.521404338,-8.318324959,-16.4221051,
57,-9.095180903,-5.784396424,-11.54957824,-13.22205992,-10.36190897,-8.598312244,-8.423560655,-16.52121962,
58,-9.23302219,-5.884971165,-11.65954429,-13.26681107,-10.47020376,-8.675212932,-8.528344813,-16.6192797,
59,-9.372988226,-5.986438916,-11.76977892,-13.31151088,-10.5795991,-8.752154747,-8.632679394,-16.7162541,
60,-9.515002361,-6.088843996,-11.88023928,-13.35623292,-10.69011012,-8.829187801,-8.736567255,-16.81211159,
61,-9.658987944,-6.192230723,-11.99088251,-13.40105076,-10.80174846,-8.906366065,-8.840011251,-16.90682196,
62,-9.804868324,-6.296643416,-12.10166578,-13.44603798,-10.9145258,-8.983744027,-8.943014238,-17.00035734,
63,-9.95256202,-6.402126394,-12.21254525,-13.4912681,-11.02845379,-9.06137617,-9.045579073,-17.09269019,
64,-10.10195104,-6.508723834,-12.32346976,-13.53680907,-11.1435441,-9.139316981,-9.147711678,-17.18379297,
65,-10.25290069,-6.616477321,-12.43438478,-13.5827175,-11.25980764,-9.217620945,-9.249434835,-17.27363812,
66,-10.40527622,-6.725426161,-12.54523578,-13.62904863,-11.37723746,-9.29634244,-9.350777085,-17.36219809,
67,-10.55894286,-6.835609582,-12.65596822,-13.67585771,-11.49580802,-9.375531199,-9.451766975,-17.44944537,
68,-10.71376584,-6.947066815,-12.76652755,-13.72319998,-11.61549295,-9.455230573,-9.552433054,-17.53535584,
69,-10.86960572,-7.059837087,-12.87686059,-13.77113069,-11.73626586,-9.535483453,-9.652803867,-17.61991246,
70,-11.02630934,-7.173959627,-12.98691815,-13.81970294,-11.85810039,-9.616332729,-9.752908091,-17.70309909,
71,-11.18372101,-7.28946857,-13.09665179,-13.86895215,-11.98097014,-9.697821293,-9.852779955,-17.78489958,
72,-11.34168506,-7.406377264,-13.20601304,-13.91890494,-12.10484738,-9.779992034,-9.952461264,-17.86529777,
73,-11.5000458,-7.524693755,-13.31495346,-13.96958789,-12.22969426,-9.862887428,-10.05199437,-17.94427753,
74,-11.65864781,-7.644426092,-13.42342473,-14.0210276,-12.35546833,-9.946542384,-10.15142162,-18.02182274,
75,-11.81734466,-7.765582322,-13.53138426,-14.07325063,-12.48212714,-10.0309852,-10.25078536,-18.09792188,
76,-11.9760012,-7.888170491,-13.63879653,-14.12628346,-12.60962824,-10.11624394,-10.35012794,-18.17257225,
77,-12.13448299,-8.012197999,-13.74562652,-14.18014423,-12.73792917,-10.20234668,-10.44949078,-18.24577215,
78,-12.2926556,-8.137651852,-13.85183916,-14.23483667,-12.86698747,-10.2893215,-10.5489097,-18.31751987,
79,-12.45038458,-8.26449501,-13.95739942,-14.29036312,-12.99676345,-10.37719647,-10.64841847,-18.38781373,
80,-12.60753737,-8.392689058,-14.06227382,-14.34672589,-13.12722533,-10.46599827,-10.74805086,-18.45665202,
81,-12.76399933,-8.522195576,-14.16644392,-14.40392733,-13.2583428,-10.5557403,-10.84784061,-18.52403315,
82,-12.91966567,-8.652976147,-14.26989955,-14.46196975,-13.39008555,-10.64642863,-10.94782151,-18.5899656,
83,-13.07443171,-8.784992353,-14.37263065,-14.52085398,-13.52242325,-10.73806928,-11.04802708,-18.65447578,
84,-13.22819279,-8.918201762,-14.47462713,-14.5805706,-13.65532558,-10.83066823,-11.14847948,-18.71759195,
85,-13.38084423,-9.052538916,-14.57587894,-14.64110589,-13.78876217,-10.92423149,-11.24918415,-18.77934236,
86,-13.53228673,-9.187930163,-14.67638393,-14.70244612,-13.92270076,-11.01876505,-11.35014526,-18.83975527,
87,-13.68244033,-9.32430184,-14.77616864,-14.76457754,-14.05710678,-11.11427097,-11.45136693,-18.89885894,
88,-13.83122947,-9.461580284,-14.87526606,-14.82748643,-14.1919455,-11.21072977,-11.55285331,-18.95668175,
89,-13.97857856,-9.599691832,-14.97370916,-14.89115893,-14.32718221,-11.30811466,-11.65460854,-19.01326097,
90,-14.12441201,-9.738562781,-15.07153093,-14.9555761,-14.46278217,-11.40639883,-11.75663415,-19.06864857,
91,-14.26865438,-9.878116823,-15.16876467,-15.02071143,-14.59871068,-11.50555546,-11.85891478,-19.12289788,
92,-14.4112378,-10.01827352,-15.26546022,-15.0865378,-14.73493206,-11.60555776,-11.96142834,-19.17606222,
93,-14.55210574,-10.15895205,-15.36169238,-15.15302812,-14.87140185,-11.70637892,-12.06415274,-19.22819493,
94,-14.69120263,-10.30007161,-15.457538,-15.22015526,-15.00807081,-11.80798595,-12.16706588,-19.27934934,
95,-14.82847289,-10.4415514,-15.5530739,-15.28789213,-15.14488963,-11.91032582,-12.27014565,-19.32957882,
96,-14.96386095,-10.5833106,-15.64837695,-15.35620968,-15.28180903,-12.01334139,-12.37336993,-19.37893901,
97,-15.09731284,-10.72526903,-15.74352518,-15.42506789,-15.4187797,-12.11697555,-12.47671498,-19.42748903,
98,-15.22879402,-10.86735162,-15.83861134,-15.49442283,-15.55575236,-12.22117116,-12.58015453,-19.4752883,
99,-15.35828292,-11.0094858,-15.93373792,-15.56423056,-15.69267253,-12.32587109,-12.68366208,-19.52239622,
100,-15.48575817,-11.15159904,-16.02900758,-15.63444716,-15.82946748,-12.4310182,-12.78721115,-19.5688722,
101,-15.61119842,-11.29361879,-16.12452302,-15.70502869,-15.96606038,-12.53655286,-12.89077525,-19.61477567,
102,-15.73458232,-11.4354725,-16.22038689,-15.77593107,-16.10237443,-12.64241049,-12.99432787,-19.6601659,
103,-15.85589429,-11.57708767,-16.31670179,-15.84710502,-16.23833283,-12.74852592,-13.09784355,-19.705096,
104,-15.97514443,-11.71840054,-16.41356991,-15.91849467,-16.37385877,-12.85483399,-13.20130396,-19.74961029,
105,-16.09234995,-11.85936619,-16.51109332,-15.99004372,-16.5088754,-12.96126953,-13.30469382,-19.79375242,
106,-16.20752806,-11.99994217,-16.60937412,-16.0616959,-16.6433029,-13.06776738,-13.40799788,-19.83756605,
107,-16.32069596,-12.14008601,-16.70851438,-16.13339491,-16.77705713,-13.17426253,-13.51120088,-19.88109483,
108,-16.43187098,-12.27975524,-16.8086161,-16.20508446,-16.9100536,-13.28069567,-13.61428756,-19.92438241,
109,-16.54108142,-12.41890742,-16.90977238,-16.2767101,-17.04220781,-13.38701466,-13.71724276,-19.96747222,
