time,Fx,Tx,Fy,Ty,Fz,Tz
1,61.5137,-2.3507,-39.8025,0.3711,-106.553,0.1484
2,61.254,-2.5488,-39.7471,0.4831,-112.2863,0.1463
3,61.3276,-2.5488,-39.792,0.4916,-112.0755,0.1436
4,61.4121,-2.5345,-39.8377,0.4839,-111.6682,0.1576
5,61.3811,-2.7323,-39.8257,0.5876,-117.6102,0.1612
6,61.7357,-2.4914,-39.66,0.4683,-110.8667,0.1687
7,61.826,-2.7387,-39.8371,0.6173,-117.8177,0.1783
8,61.9423,-2.5265,-39.7158,0.4973,-111.6851,0.183
9,61.9986,-2.5617,-39.6788,0.5174,-112.7122,0.1859
10,61.9353,-2.6823,-39.9604,0.5774,-115.765,0.1865
11,62.1876,-2.4906,-39.9335,0.4856,-111.0648,0.1942
12,62.0103,-2.6532,-39.4869,0.6282,-115.1667,0.1837
13,62.0149,-2.4974,-39.3374,0.5654,-110.6687,0.1916
14,61.9106,-2.5466,-39.0437,0.6018,-112.5325,0.203
15,61.8888,-2.5816,-38.788,0.6299,-113.9819,0.2032
16,61.775,-2.5333,-39.0357,0.5609,-111.0976,0.2027
17,61.802,-2.3642,-39.3046,0.4229,-105.9693,0.1991
18,62.0363,-2.2227,-39.4597,0.3267,-101.6709,0.2209
19,62.1039,-2.4973,-38.9453,0.5161,-110.7146,0.2333
20,62.9809,-2.1146,-38.8571,0.3597,-98.8396,0.2517
21,62.5453,-2.3696,-38.8943,0.4786,-106.2098,0.2527
22,62.5054,-2.5893,-39.1482,0.5867,-111.7207,0.2563
23,62.9736,-2.3141,-39.4475,0.3731,-102.7077,0.2746
24,63.1161,-2.3503,-39.6258,0.3526,-102.2905,0.2885
25,63.4322,-2.3216,-39.4513,0.3454,-101.2796,0.2996
26,63.7376,-2.3068,-39.2849,0.3631,-100.8831,0.3194
27,63.9676,-2.5678,-39.3817,0.5368,-108.454,0.3347
28,63.8966,-2.8366,-39.2984,0.6897,-115.6223,0.3442
29,64.2248,-2.6524,-39.3158,0.5859,-110.3046,0.3575
30,64.1638,-2.8997,-39.1443,0.735,-117.2765,0.3726
31,64.4061,-2.7444,-39.1164,0.6224,-112.1641,0.3802
32,64.5564,-2.7664,-39.2924,0.5939,-111.3377,0.394
33,65.0122,-2.9003,-39.3706,0.6798,-114.4092,0.4256
34,65.2937,-2.3842,-39.1077,0.3873,-99.4787,0.4177
35,65.6468,-2.6944,-39.1314,0.598,-108.2843,0.4473
36,66.0731,-2.4752,-38.8347,0.4582,-101.1409,0.463
37,66.0649,-2.7648,-38.7158,0.6314,-109.3403,0.4839
38,66.3861,-2.8634,-38.6984,0.705,-111.8002,0.5041
39,66.9008,-2.6087,-38.6229,0.5789,-103.409,0.5227
40,66.9194,-2.5809,-38.7087,0.5555,-101.5588,0.5338
41,67.1403,-2.7581,-38.9975,0.5983,-105.6497,0.5596
42,67.2108,-2.8996,-38.6798,0.6963,-108.7333,0.5741
43,6.78E+01,-2.8642,-38.7326,0.6951,-106.0664,0.605
44,67.5822,-3.2045,-38.7848,0.8466,-114.4565,0.6145
45,67.8291,-3.0354,-38.6735,0.7437,-107.9066,0.6277
46,67.9367,-3.1136,-38.6926,0.7974,-108.7155,0.6364
47,67.9972,-2.8809,-38.6077,0.6327,-100.9429,0.6464
48,68.7741,-3.1055,-38.6689,0.8039,-107.7102,0.6983
49,68.7533,-3.0072,-38.4297,0.74,-103.8245,0.6864
50,69.3773,-2.844,-38.7222,0.6409,-98.7064,0.7336
51,69.6249,-3.2035,-38.3612,0.8877,-109.3778,0.7634
52,69.4566,-3.3738,-38.2598,0.9848,-113.0586,0.764
53,69.7782,-3.2113,-38.3692,0.8771,-107.5313,0.7885
54,70.087,-3.0701,-38.3911,0.7812,-102.6199,0.8018
55,69.9937,-3.5375,-38.6414,1.005,-114.6861,0.8176
56,70.658,-3.007,-38.3502,0.7314,-98.119,0.8463
57,70.5185,-3.3887,-37.9398,0.9735,-108.576,0.8535
58,71.0583,-3.5013,-37.8897,1.0646,-110.6282,0.8934
59,71.6587,-3.098,-37.9623,0.8374,-98.3468,0.9171
60,71.467,-3.3251,-37.9514,0.9329,-103.8738,0.9205
61,71.9106,-3.0852,-38.0024,0.7651,-95.2776,0.9474
62,72.1124,-3.5372,-37.9171,1.0477,-107.7724,0.9775
63,72.3121,-3.3112,-37.5778,0.9208,-100.0076,0.9876
64,72.5136,-3.2194,-37.6588,0.8781,-96.5219,1.007
65,72.0154,-3.5809,-37.6276,1.0744,-105.9288,0.9971
66,72.3491,-3.2709,-37.8329,0.8495,-95.0665,1.0039
67,71.9419,-3.4919,-38.1255,0.9167,-99.1384,1.013
68,71.4072,-3.4243,-38.6125,0.7442,-94.1942,1.0035
69,70.8937,-3.6948,-39.0383,0.8469,-100.0941,0.9875
70,69.827,-3.7181,-37.7991,0.8256,-99.1171,0.9474
71,70.6715,-4.0547,-37.017,1.1444,-109.6029,0.9887
72,71.4167,-3.6441,-37.1022,0.9641,-96.4911,1.021
73,70.6913,-3.9011,-37.9075,1.0247,-102.1655,0.9881
74,70.9515,-3.7471,-38.3909,0.8376,-95.8005,0.9953
75,71.4321,-3.8459,-38.458,0.8783,-97.854,1.0266
76,72.2966,-3.3643,-38.308,0.6326,-83.3348,1.064
77,72.8294,-3.9005,-38.1151,0.9725,-98.0949,1.1198
78,73.0743,-3.7306,-38.1777,0.8767,-93.1826,1.1303
79,73.6587,-3.9064,-38.1788,0.9865,-98.1111,1.1761
80,74.6852,-3.9346,-40.3857,1.0871,-97.3423,1.1551
81,75.881,-3.3752,-41.6144,0.8458,-81.0827,1.1284
82,75.0951,-3.7369,-41.7493,0.983,-91.3184,1.1324
83,74.5326,-4.0325,-44.123,1.2558,-103.8652,1.0877
84,73.2329,-3.7641,-44.9752,1.1322,-99.5004,1.003
85,73.4509,-3.6,-44.8641,1.1216,-97.0412,0.9663
86,73.7327,-3.5081,-44.6341,1.0539,-93.58,0.9882
87,73.7332,-3.6571,-44.6219,1.1229,-96.4481,1.0167
88,73.9566,-3.6641,-44.5834,1.1277,-96.0413,1.028
89,74.1401,-3.7493,-44.8195,1.1684,-97.4595,1.0396
90,74.4768,-3.5812,-46.2295,1.0154,-90.2109,1.0474
91,74.0329,-3.9923,-47.3745,1.2131,-102.2178,1.0129
92,74.1572,-3.7885,-48.9925,1.0552,-95.3657,0.9983
93,74.4971,-3.7023,-48.4681,1.0491,-93.7665,1.0234
94,74.5653,-3.4556,-49.0747,0.8755,-86.157,1.0139
95,74.4938,-3.8958,-50.0139,1.0587,-96.1282,1.0184
96,74.4324,-4.1884,-51.4919,1.1414,-100.9432,1.0111
97,74.6266,-3.888,-52.9206,0.8728,-86.5118,1.0237
98,74.2651,-4.2413,-56.9215,0.8643,-88.5024,0.997
99,74.6254,-4.1654,-57.5172,0.7644,-82.7263,1.0077
100,74.7152,-4.3747,-56.8298,0.9749,-92.1985,1.0315
101,74.7916,-4.4125,-58.355,0.9216,-90.0528,1.026
102,74.1766,-4.6737,-62.4199,0.8594,-90.607,0.9766
103,74.5842,-4.8094,-63.4705,0.8193,-93.0177,0.9768
104,74.7989,-4.5848,-64.7768,0.6334,-84.7493,0.9647
105,74.9697,-4.5197,-63.91,0.6644,-83.7772,0.987
106,74.8342,-4.6403,-65.1059,0.7151,-87.6004,0.9795
107,74.6785,-4.8486,-68.3959,0.715,-90.6788,0.9556
108,74.5842,-4.8989,-69.4078,0.7183,-91.4392,0.9589
109,74.7084,-4.7103,-71.0233,0.5361,-83.3531,0.9441
110,74.5494,-4.9263,-73.7965,0.5418,-84.8149,0.9368
111,74.7487,-5.0128,-75.0655,0.5156,-85.3559,0.9315
112,74.6138,-5.1032,-74.5236,0.6085,-90.1086,0.9517
113,75.1343,-5.0716,-72.667,0.6925,-91.8709,0.9966
114,75.1759,-5.0974,-71.0724,0.7829,-95.2521,1.0247
115,75.2545,-4.9711,-71.7453,0.6779,-90.5024,1.0214
116,75.8562,-4.9252,-69.4968,0.7627,-91.6733,1.0745
117,76.0838,-4.8801,-67.6342,0.8304,-92.6109,1.1108
118,76.0157,-4.8581,-67.5009,0.834,-93.4445,1.1108
119,76.4554,-4.8561,-66.8162,0.8921,-95.1324,1.1306
120,76.8295,-4.438,-66.3191,0.681,-83.7041,1.1485
121,76.8452,-4.6702,-65.9291,0.8463,-91.5117,1.1609
122,77.0078,-4.6411,-66.1003,0.8459,-92.1238,1.1582
123,77.0515,-4.7274,-67.3771,0.845,-92.6608,1.1615
124,77.4899,-4.487,-67.599,0.6925,-85.4894,1.1689
125,77.7425,-4.4445,-67.7246,0.6606,-83.8471,1.1771
126,77.5306,-4.8631,-69.2713,0.8388,-94.8144,1.1763
127,77.8413,-4.8191,-68.3151,0.8731,-94.6673,1.1874
128,77.9306,-4.6341,-67.8588,0.8186,-90.6025,1.198
129,77.7685,-4.7893,-67.4014,0.9063,-95.7503,1.1957
130,77.7444,-4.5552,-67.2716,0.7726,-90.8567,1.192
131,78.0943,-4.5743,-66.2939,0.8602,-92.7653,1.2315
132,78.3049,-4.602,-66.2619,0.8848,-94.0045,1.2514
133,78.6385,-4.5674,-67.562,0.8235,-92.0906,1.2515
134,79.1878,-4.5175,-67.6957,0.8299,-89.8247,1.2599
135,79.4477,-4.3342,-68.6257,0.7011,-83.8368,1.265
136,79.293,-4.6392,-69.5454,0.832,-91.7699,1.2692
137,79.3618,-4.3623,-68.9267,0.6908,-85.8767,1.2539
138,79.0485,-4.3689,-68.2221,0.71,-87.5541,1.2313
139,78.8187,-4.8009,-68.8125,0.9295,-99.3909,1.2247
140,79.3199,-4.3658,-65.4496,0.8268,-89.7661,1.2591
141,79.2252,-4.2597,-64.9994,0.7755,-86.5159,1.2697
142,79.1812,-4.5091,-66.474,0.8584,-91.3356,1.2625
143,79.059,-4.3704,-68.8274,0.6695,-85.4627,1.2256
144,79.1443,-4.6026,-68.1378,0.8605,-92.6654,1.2407
145,78.8061,-4.6812,-68.4091,0.8797,-94.2853,1.241
146,78.683,-4.3415,-68.1697,0.7024,-85.902,1.2087
147,78.137,-4.5781,-71.1443,0.6918,-91.0506,1.1622
148,78.4335,-4.4434,-71.2565,0.6323,-87.3592,1.1618
149,78.7351,-4.2638,-70.3274,0.6225,-85.5845,1.1782
150,78.3714,-4.6383,-69.8742,0.8686,-96.2493,1.1882
151,78.4964,-4.6655,-69.1009,0.9262,-97.9338,1.1968
152,78.5738,-4.2331,-68.4179,0.7056,-87.3355,1.1921
153,78.3202,-4.6999,-68.3201,0.962,-100.4423,1.1967
154,78.7159,-4.4928,-66.7311,0.9211,-95.8309,1.221
155,78.5272,-4.5717,-66.8239,0.9406,-96.8393,1.2071
156,78.7222,-4.3601,-66.7334,0.7953,-90.083,1.1835
157,78.5734,-4.3677,-66.8966,0.7652,-90.484,1.1637
158,78.4005,-4.6936,-67.1182,0.9245,-99.2707,1.1537
159,78.7796,-4.5443,-66.4877,0.8575,-95.2179,1.167
160,78.5995,-4.601,-66.4951,0.8809,-97.0619,1.1672
161,78.5213,-4.3255,-66.1359,0.7242,-89.0906,1.1434
162,78.1681,-4.6933,-65.846,0.9324,-99.7506,1.142
163,78.1794,-4.6797,-65.9271,0.9081,-98.513,1.1362
164,78.1799,-4.516,-65.0777,0.8655,-95.0821,1.1384
165,78.0082,-4.5815,-66.2101,0.8434,-95.212,1.1162
166,77.9917,-4.7439,-65.6708,0.9442,-99.7454,1.1195
167,77.6873,-4.6173,-65.7752,0.8552,-95.8461,1.1104
