time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-4.2134,-4.5315,-4.3954,-4.8166,-4.9666,-5.1236,-4.7161,-4.9042,-4.4219,-4.4381
2,-4.194982382,-4.566716016,-4.495052853,-4.870372372,-5.081855455,-5.112034835,-4.693782683,-4.850795495,-4.511495796,-4.444763463
3,-4.176564765,-4.601932032,-4.594705706,-4.924144745,-5.197110911,-5.10046967,-4.671465365,-4.797390991,-4.601091592,-4.451426927
4,-4.254630631,-4.620236637,-4.694358559,-4.977917117,-5.281078078,-5.088904505,-4.680215916,-4.743986486,-4.592252853,-4.45809039
5,-4.388707508,-4.596182182,-4.717494895,-5.00703033,-5.310404104,-5.086659359,-4.696521221,-4.766327427,-4.52627047,-4.470156256
6,-4.471414615,-4.572127728,-4.616018619,-5.017312913,-5.33973013,-5.084499199,-4.712854254,-4.802184284,-4.466667267,-4.48342032
7,-4.411937538,-4.570187387,-4.514542342,-5.027595495,-5.312751051,-5.082339039,-4.729205105,-4.838041141,-4.424720721,-4.496684384
8,-4.35246046,-4.584885285,-4.413066066,-5.03039039,-5.26475956,-5.202388088,-4.716367968,-4.925708008,-4.382774174,-4.478857357
9,-4.365255155,-4.599583183,-4.436433634,-4.984803303,-5.220222523,-5.324686386,-4.662077678,-5.035880581,-4.464315616,-4.443308408
10,-4.38624955,-4.6017,-4.499037838,-4.939216216,-5.209637838,-5.446984685,-4.641362162,-5.146053153,-4.559867568,-4.407759459
11,-4.335940641,-4.6017,-4.561642042,-4.893629129,-5.199053153,-5.427408709,-4.74138018,-5.171647948,-4.557164464,-4.413693393
12,-4.222604705,-4.593335235,-4.60654985,-4.879816216,-5.209387788,-5.40387958,-4.834666466,-5.126842743,-4.467610911,-4.469232733
13,-4.137041441,-4.534138438,-4.543918018,-4.879554054,-5.244632132,-5.38035045,-4.628390691,-5.082037538,-4.400497898,-4.524772072
14,-4.193561562,-4.474941642,-4.481286186,-4.879291892,-5.279876476,-5.359255756,-4.422114915,-5.055838438,-4.448189389,-4.548037738
15,-4.250081682,-4.432089189,-4.418654354,-4.866498198,-5.356525225,-5.338252352,-4.372976276,-5.058218318,-4.495880881,-4.485740641
