time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-0.3521,-0.4143,-0.4531,-0.2347,-0.28,-0.0706,-0.239,-0.1135,-0.5521,-0.5851
2,-0.381693694,-0.427786787,-0.474012412,-0.237358859,-0.279109409,-0.115419219,-0.203311311,-0.114781281,-0.581693694,-0.543873874
3,-0.411287387,-0.441273574,-0.494924825,-0.240017718,-0.278218819,-0.160238438,-0.167622623,-0.116062563,-0.611287387,-0.502647748
4,-0.440881081,-0.45476036,-0.515837237,-0.242676577,-0.277328228,-0.159693694,-0.147399399,-0.117343844,-0.640881081,-0.461421622
5,-0.406542342,-0.438831231,-0.53674965,-0.245335435,-0.292262362,-0.090658258,-0.202699199,-0.138877377,-0.606542342,-0.420195495
6,-0.364127928,-0.400439039,-0.555389389,-0.244155856,-0.321852953,-0.021622823,-0.257998999,-0.163221722,-0.564127928,-0.380894294
7,-0.321713514,-0.362046847,-0.573267267,-0.241427027,-0.351443544,-0.012041441,-0.31037988,-0.187566066,-0.521713514,-0.404153153
8,-0.305993694,-0.324681381,-0.591145145,-0.238698198,-0.380114715,-0.017615015,-0.357093193,-0.208882382,-0.505993694,-0.427412012
9,-0.297992793,-0.29395015,-0.609023023,-0.235969369,-0.385716817,-0.026657057,-0.403806507,-0.229222723,-0.497992793,-0.450670871
10,-0.289991892,-0.263218919,-0.594307207,-0.253902703,-0.391318919,-0.049989189,-0.387690991,-0.249563063,-0.489991892,-0.47392973
11,-0.29245976,-0.232487688,-0.546719119,-0.299803003,-0.396921021,-0.073321321,-0.31118999,-0.231741842,-0.49245976,-0.497207808
12,-0.300235736,-0.242372673,-0.499131031,-0.345703303,-0.402459059,-0.070110511,-0.234688989,-0.191926026,-0.500235736,-0.520788589
13,-0.308011712,-0.269579279,-0.451542943,-0.391603604,-0.407946246,-0.048738739,-0.229347147,-0.15211021,-0.508011712,-0.544369369
14,-0.303775075,-0.296785886,-0.428478579,-0.427266466,-0.413433433,-0.027366967,-0.257509409,-0.15587998,-0.503775075,-0.56795015
15,-0.289765465,-0.300982883,-0.480253854,-0.398625425,-0.418865566,-0.054926426,-0.285671672,-0.201109209,-0.489765465,-0.591530931
16,-0.275755856,-0.242345946,-0.532029129,-0.369984384,-0.423634535,-0.082871171,-0.311461562,-0.246338438,-0.475755856,-0.608967568
17,-0.292769069,-0.183709009,-0.583804404,-0.341343343,-0.428403504,-0.084074174,-0.336832332,-0.267956557,-0.492769069,-0.563938739
18,-0.349385886,-0.125072072,-0.63557968,-0.312702302,-0.433172472,-0.04356006,-0.360690991,-0.252741341,-0.549385886,-0.51890991
19,-0.406002703,-0.163854054,-0.59078018,-0.293218018,-0.40974955,-0.003045946,-0.309808108,-0.237526126,-0.606002703,-0.473881081
20,-0.433967868,-0.221879279,-0.545567968,-0.275352352,-0.367202302,-0.017642042,-0.258925225,-0.22052032,-0.633967868,-0.428852252
21,-0.402992492,-0.279904505,-0.500355756,-0.257486687,-0.324655055,-0.046970571,-0.234835636,-0.198642442,-0.602992492,-0.396633033
22,-0.372017117,-0.309411712,-0.455143544,-0.239621021,-0.292176276,-0.066518919,-0.325117417,-0.176764565,-0.572017117,-0.458884685
23,-0.354068168,-0.296507508,-0.426730631,-0.245621221,-0.337194194,-0.043686486,-0.415399199,-0.155954655,-0.554068168,-0.521136336
24,-0.383693994,-0.283603303,-0.404077477,-0.270204004,-0.382212112,-0.020854054,-0.446732132,-0.141348048,-0.583693994,-0.583387988
25,-0.41331982,-0.270699099,-0.381424324,-0.294786787,-0.42723003,-0.055927027,-0.373163964,-0.126741441,-0.61331982,-0.64563964
26,-0.438036937,-0.293108408,-0.358771171,-0.31936957,-0.40781011,-0.13191982,-0.299595796,-0.112434334,-0.638036937,-0.691867267
27,-0.419914414,-0.316644745,-0.357076977,-0.333727728,-0.351214515,-0.207912613,-0.239673574,-0.109807708,-0.619914414,-0.646757958
28,-0.401791892,-0.340181081,-0.376883784,-0.321086486,-0.294618919,-0.180645946,-0.191864865,-0.107181081,-0.601791892,-0.601648649
29,-0.383669369,-0.317463964,-0.396690591,-0.308445245,-0.247382683,-0.15174024,-0.144056156,-0.104554454,-0.583669369,-0.556539339
30,-0.341545646,-0.25471982,-0.416497397,-0.295804004,-0.251835636,-0.125586186,-0.175935235,-0.153160961,-0.541545646,-0.51143003
31,-0.299195495,-0.191975676,-0.429137838,-0.283162763,-0.256288589,-0.103868468,-0.242012312,-0.207263063,-0.499195495,-0.482742342
32,-0.256845345,-0.142672973,-0.419399099,-0.29016016,-0.260741542,-0.082150751,-0.308089389,-0.261365165,-0.456845345,-0.52932042
33,-0.267338438,-0.210310811,-0.40966036,-0.297413714,-0.262064765,-0.091604204,-0.246511011,-0.236938739,-0.467338438,-0.575898498
34,-0.28513964,-0.277948649,-0.399921622,-0.304667267,-0.261863664,-0.109785586,-0.165805105,-0.190524324,-0.48513964,-0.622476577
35,-0.302940841,-0.345586486,-0.390182883,-0.311920821,-0.261662563,-0.124092192,-0.090203103,-0.14410991,-0.502940841,-0.669054655
36,-0.300475976,-0.334228829,-0.442904004,-0.314524224,-0.256214715,-0.12070961,-0.138188488,-0.122533934,-0.500475976,-0.699303604
37,-0.291832432,-0.283981081,-0.496161261,-0.315130631,-0.228635135,-0.117327027,-0.186173874,-0.113789189,-0.491832432,-0.667735135
38,-0.283188889,-0.233733333,-0.549418519,-0.315737037,-0.201055556,-0.114233333,-0.220166667,-0.105044444,-0.483188889,-0.636166667
39,-0.316314114,-0.202424324,-0.602675776,-0.316343443,-0.173475976,-0.11135045,-0.201403604,-0.109212613,-0.516314114,-0.604598198
40,-0.371517117,-0.232048649,-0.608157057,-0.312414114,-0.204707207,-0.108467568,-0.182640541,-0.124491892,-0.571517117,-0.57302973
41,-0.42672012,-0.261672973,-0.596889289,-0.302011912,-0.259866366,-0.110239339,-0.192997998,-0.139771171,-0.62672012,-0.556524324
42,-0.433763964,-0.291297297,-0.585621522,-0.29160971,-0.315025526,-0.112122823,-0.250947948,-0.13749019,-0.633763964,-0.588032432
43,-4.00E-01,-0.289604505,-0.574353754,-0.281207508,-0.350278979,-0.106813514,-0.308897898,-0.110519219,-0.600121622,-0.619540541
44,-0.366479279,-0.280283183,-0.544161061,-0.274114615,-0.318878478,-0.089516216,-0.321134535,-0.083548248,-0.566479279,-0.651048649
