Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_8,Var2_9,Var2_10,Var2_11
1,-19.6404,-17.41,-15.4955,-16.2533,-16.9009,-17.6655,-18.535,-16.637,-17.1524,-16.2621
2,-19.64064775,-17.43132052,-15.49404304,-16.258297,-16.90675786,-17.66593604,-18.54158789,-16.64146276,-17.16027548,-16.23530721
3,-19.6408955,-17.45264104,-15.49258609,-16.26329399,-16.91261572,-17.66637207,-18.54817578,-16.64592553,-17.16815095,-16.20851441
4,-19.64114324,-17.47396156,-15.49112913,-16.26829099,-16.91847357,-17.66680811,-18.55476366,-16.65038829,-17.17602643,-16.18172162
5,-19.64139099,-17.49528208,-15.48967217,-16.27328799,-16.92433143,-17.66724414,-18.56135155,-16.65485105,-17.1839019,-16.15492883
6,-19.64163874,-17.51654515,-15.48831411,-16.2783958,-16.93018929,-17.66768018,-18.56793944,-16.65931381,-17.19177738,-16.12813604
7,-19.64188649,-17.53757417,-15.48763694,-16.28395495,-16.93748679,-17.66919459,-18.57397027,-16.66681652,-17.19995676,-16.1035
8,-19.64214985,-17.5586032,-15.48695976,-16.28951411,-16.94528458,-17.67076036,-18.57988198,-16.67496927,-17.20861622,-16.0815
9,-19.64241411,-17.57963223,-15.48628258,-16.29507327,-16.95308238,-17.67232613,-18.58579369,-16.68312202,-17.21727568,-16.0595
10,-19.64267838,-17.60066126,-15.48560541,-16.30063243,-16.96088018,-17.67389189,-18.59170541,-16.69127477,-17.22593514,-16.0375
11,-19.64294264,-17.62118138,-15.48516246,-16.30632292,-16.96867798,-17.67545766,-18.59761712,-16.69942753,-17.23459459,-16.0155
12,-19.64320691,-17.64091952,-15.48540871,-16.31221522,-16.9773046,-17.67837477,-18.60297828,-16.70950721,-17.24325405,-15.9935
13,-19.64347117,-17.66065766,-15.48565495,-16.31810751,-16.98681411,-17.68142703,-18.60803994,-16.72063514,-17.25231411,-15.97644595
14,-19.64380901,-17.6803958,-15.4859012,-16.3239998,-16.99632362,-17.68447928,-18.6131016,-16.73176306,-17.26149029,-15.95994144
15,-19.64415586,-17.70013393,-15.48614745,-16.32989209,-17.00583313,-17.68753153,-18.61816326,-16.74289099,-17.27066647,-15.94343694
16,-19.6445027,-17.71873934,-15.48674505,-16.33593213,-17.01534264,-17.69058378,-18.62322492,-16.75401892,-17.27984264,-15.92693243
17,-19.64484955,-17.73656196,-15.48791471,-16.34207427,-17.02513193,-17.69495405,-18.62793133,-16.76609419,-17.28901882,-15.91042793
