Var1,Var2_1,Var2_2,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11
1,7.1905,2.0335,5.4115,4.831,7.174,5.7145,10.696,5.107,4.465,3.046
2,7.20809009,2.03225075,5.408421922,4.841618618,7.18912012,5.70231081,10.69802853,5.112795796,4.482372372,3.018702702
3,7.22568018,2.031001502,5.405343844,4.852237238,7.20424024,5.690121622,10.70005706,5.118591592,4.499744744,2.991405406
4,7.24327027,2.029752252,5.402265766,4.862855856,7.21936036,5.677932432,10.70208559,5.124387388,4.517117118,2.964108108
5,7.26086036,2.028503004,5.399187688,4.873474474,7.23448048,5.665743244,10.70411411,5.130183184,4.53448949,2.93681081
6,7.27845045,2.026822822,5.39607057,4.8844009,7.2496006,5.653554054,10.70614264,5.135978978,4.551861862,2.909513514
7,7.29604054,2.023387388,5.392684684,4.896581082,7.266202702,5.648743244,10.70912613,5.145117118,4.57027027,2.885013514
8,7.316441442,2.019951952,5.389298798,4.908761262,7.28331982,5.644283784,10.71231381,5.15496997,4.590315316,2.863932432
9,7.337004504,2.016516516,5.385912912,4.920941442,7.300436936,5.639824324,10.7155015,5.164822822,4.61036036,2.842851352
10,7.357567568,2.013081082,5.382527028,4.933121622,7.317554054,5.635364864,10.71868919,5.174675676,4.630405406,2.82177027
11,7.37813063,2.00903003,5.379063064,4.945548048,7.334671172,5.630905406,10.72187688,5.184528528,4.65045045,2.80068919
12,7.398693694,2.004033034,5.37536937,4.958352852,7.35234084,5.632932432,10.72562763,5.196633634,4.670495496,2.779608108
13,7.419256756,1.999036036,5.371675676,4.971157658,7.3705991,5.635608108,10.72968468,5.209963964,4.692198198,2.763635136
14,7.442027028,1.99403904,5.367981982,4.983962462,7.388857358,5.638283784,10.73374174,5.223294294,4.714381382,2.74822973
15,7.465067568,1.989042042,5.364288288,4.996767268,7.407115616,5.64095946,10.7377988,5.236624624,4.736564564,2.732824324
16,7.488108108,1.983675676,5.360711712,5.009756756,7.425373874,5.643635136,10.74185586,5.249954954,4.758747748,2.717418918
17,7.511148648,1.978054054,5.357325826,5.022873874,7.443696696,5.65195946,10.74645946,5.264378378,4.78093093,2.702013514
18,7.53418919,1.972432432,5.35393994,5.03599099,7.46224024,5.661175676,10.75167568,5.280027028,4.803375376,2.68868919
19,7.55722973,1.96681081,5.350554054,5.049108108,7.480783784,5.670391892,10.75689189,5.295675676,4.827162162,2.67922973
20,7.58254955,1.96118919,5.347168168,5.062225226,7.499327328,5.679608108,10.76210811,5.311324324,4.850948948,2.66977027
21,7.608315316,1.957045046,5.343626126,5.074603604,7.51787087,5.688824324,10.76732432,5.326972972,4.874735736,2.66031081
22,7.634081082,1.953297298,5.339932432,5.086783784,7.536414414,5.702662162,10.77288288,5.343135136,4.898522522,2.650851352
23,7.659846846,1.94954955,5.336238738,5.098963964,7.554681682,5.717527028,10.77925826,5.360522522,4.92230931,2.641391892
24,7.685612612,1.945801802,5.332545046,5.111144144,7.57293994,5.732391892,10.78563363,5.37790991,4.946978978,2.63604054
25,7.711378378,1.942054054,5.328851352,5.123324324,7.591198198,5.747256756,10.79200901,5.395297298,4.97236937,2.631716216
26,7.738693694,1.942307808,5.324962462,5.134581082,7.609456456,5.762121622,10.79838438,5.412684684,4.99775976,2.627391892
27,7.766441442,1.94262012,5.32096096,5.145824324,7.627714714,5.780662162,10.80486336,5.430141142,5.02315015,2.623067568
