Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_10,Var2_11
1,-9.88322,-7.60736,-9.09926,-8.84374,-9.876,-9.23338,-11.42366,-8.96518,-8.682,-8.05516
2,-9.89096955,-7.606781182,-9.097905646,-8.848328908,-9.882721322,-9.22798901,-11.4245371,-8.967695376,-8.689693734,-8.043152792
3,-9.8987191,-7.606202362,-9.096551292,-8.852917818,-9.889442642,-9.222598018,-11.42541419,-8.97021075,-8.697387468,-8.031145586
4,-9.906468648,-7.605623544,-9.095196936,-8.857506726,-9.896163964,-9.217207028,-11.42629129,-8.972726126,-8.705081202,-8.019138378
5,-9.914218198,-7.605044724,-9.093842582,-8.862095636,-9.902885286,-9.211816036,-11.42716839,-8.975241502,-8.712774934,-8.007131172
6,-9.921967748,-7.604286966,-9.09247053,-8.866841322,-9.909606606,-9.206425046,-11.42804549,-8.977756876,-8.720468668,-7.995123964
7,-9.929717298,-7.60280036,-9.090976636,-8.872225586,-9.916892492,-9.20426919,-11.42931411,-8.98180973,-8.728592012,-7.984303784
8,-9.938681742,-7.601313754,-9.089482742,-8.87760985,-9.924374574,-9.202267388,-11.43066647,-8.986191352,-8.737394014,-7.974934414
9,-9.947716276,-7.599827148,-9.087988848,-8.882994114,-9.931856656,-9.200265586,-11.43201882,-8.990572972,-8.746196016,-7.965565046
10,-9.95675081,-7.59834054,-9.086494954,-8.888378378,-9.939338738,-9.198263784,-11.43337117,-8.994954594,-8.754998018,-7.956195676
11,-9.965785346,-7.596568288,-9.084993774,-8.893892332,-9.94682082,-9.196261982,-11.43472352,-8.999336216,-8.76380002,-7.946826306
12,-9.97481988,-7.594357118,-9.083471152,-8.899605566,-9.954558918,-9.197153874,-11.43637367,-9.004678798,-8.772602022,-7.937456936
13,-9.983854414,-7.592145946,-9.081948528,-8.905318798,-9.96256973,-9.198335136,-11.43818583,-9.010544144,-8.782138918,-7.930438918
14,-9.993942522,-7.589934774,-9.080425906,-8.911032032,-9.97058054,-9.199516396,-11.43999798,-9.01640949,-8.791888828,-7.923682162
15,-10.00415964,-7.587723604,-9.078903284,-8.916745266,-9.978591352,-9.200697658,-11.44181013,-9.022274834,-8.801638738,-7.916925406
16,-10.01437676,-7.585406546,-9.077375976,-8.922436336,-9.986602162,-9.201878918,-11.44362228,-9.02814018,-8.811388648,-7.910168648
17,-10.02459387,-7.583016316,-9.075841042,-8.928112092,-9.99466032,-9.20555928,-11.44566034,-9.034506526,-8.821138558,-7.903411892
18,-10.03481099,-7.580626086,-9.074306106,-8.933787848,-10.00288034,-9.209634234,-11.44795161,-9.041434434,-8.831015036,-7.897538018
19,-10.04502811,-7.578235856,-9.072771172,-8.939463604,-10.01110036,-9.21370919,-11.45024288,-9.048362342,-8.841541802,-7.893303784
20,-10.05612655,-7.575845626,-9.071236236,-8.94513936,-10.01932038,-9.217784144,-11.45253415,-9.05529025,-8.852068568,-7.88906955
21,-10.06739742,-7.574023404,-9.069653414,-8.950601702,-10.0275404,-9.2218591,-11.45482543,-9.062218158,-8.862595336,-7.884835316
22,-10.07866829,-7.572353574,-9.068024084,-8.956006786,-10.03576042,-9.227974054,-11.45725706,-9.06934919,-8.873122102,-7.880601082
23,-10.08993916,-7.570683744,-9.066394754,-8.961411872,-10.04381836,-9.234542342,-11.46002358,-9.076964864,-8.883648868,-7.876366846
24,-10.10121003,-7.569013914,-9.064765426,-8.966816956,-10.05187101,-9.24111063,-11.46279011,-9.08458054,-8.894536636,-7.874035316
25,-10.1124809,-7.567344084,-9.063136096,-8.972222042,-10.05992366,-9.247678918,-11.46555664,-9.092196216,-8.9057191,-7.87217946
26,-10.12447748,-7.567443124,-9.061428688,-8.977241342,-10.06797632,-9.254247208,-11.46832316,-9.099811892,-8.916901562,-7.870323604
