time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,2.0595,2.0865,2.0517,2.057,2.1173,2.168,1.9253,2.1426,2.1214,2.0824
2,2.068167067,2.088306206,2.05423033,2.059233033,2.118197898,2.172719119,1.927418919,2.147205405,2.124264665,2.082082683
3,2.076834134,2.090112412,2.056760661,2.061466066,2.119095796,2.177438238,1.929537838,2.151810811,2.127129329,2.081765365
4,2.085501201,2.090989489,2.058765465,2.063633033,2.120000901,2.182157357,1.9313,2.156416216,2.129974775,2.081448048
5,2.09043974,2.085119319,2.059953954,2.064377377,2.120967868,2.181310811,1.9329,2.155551351,2.1326997,2.083473373
6,2.088574675,2.079249149,2.061142442,2.065121722,2.121934835,2.180413514,1.93582973,2.154189189,2.135424625,2.085916717
7,2.08670961,2.075514715,2.064733333,2.065403604,2.122548649,2.179516216,1.940975676,2.152827027,2.13690991,2.08836006
8,2.084844545,2.078467167,2.068988889,2.060937538,2.121823423,2.18122953,1.945935135,2.154491892,2.135128228,2.089033634
9,2.083911612,2.08141962,2.07188969,2.056471471,2.121098198,2.182990891,1.948097297,2.156762162,2.133346547,2.088938438
10,2.083363063,2.082026126,2.068400901,2.052442342,2.120675676,2.184752252,1.950259459,2.159032432,2.13180991,2.088843243
11,2.082814515,2.078517918,2.064912112,2.051258158,2.120917417,2.185446647,1.952583784,2.15942973,2.130622122,2.088419019
12,2.08245996,2.07500971,2.060206907,2.050073974,2.121159159,2.186111311,1.954962162,2.159202703,2.129434334,2.087720921
13,2.085038138,2.072157357,2.054571171,2.049652553,2.121631532,2.186775976,1.958513514,2.158975676,2.129995495,2.087022823
14,2.087616316,2.070003804,2.048935435,2.052765265,2.122425826,2.18663984,1.963572973,2.158791892,2.131986787,2.086862763
15,2.090194494,2.06785025,2.047891792,2.055877978,2.12322012,2.186473674,1.968394595,2.15862973,2.133978078,2.087529129
16,2.090102402,2.066411411,2.047048348,2.058465165,2.124320721,2.186307508,1.971551351,2.158467568,2.134383784,2.088195495
17,2.086262563,2.065438839,2.044246547,2.05920951,2.125702102,2.184903804,1.974708108,2.157472973,2.134069369,2.088268368
18,2.082422723,2.064466266,2.037805706,2.059953854,2.127083483,2.183441542,1.975721622,2.155883784,2.133754955,2.086491391
19,2.078582883,2.063544144,2.031364865,2.058968468,2.126583784,2.181979279,1.976240541,2.154294595,2.134017117,2.084714414
20,2.078354755,2.062641041,2.034561261,2.053216717,2.124960661,2.18278008,1.979267568,2.155364865,2.134401401,2.083227728
21,2.079205005,2.061737938,2.041117117,2.047464965,2.123337538,2.183710611,1.984802703,2.159094595,2.134785686,2.084623924
22,2.080055255,2.062276877,2.047101201,2.044288288,2.119444144,2.184641141,1.989583784,2.162824324,2.1348,2.08602012
23,2.080956557,2.063075776,2.049363163,2.046825826,2.114712913,2.182178378,1.991097297,2.165121622,2.1348,2.087416316
24,2.082218218,2.063874675,2.051625125,2.049363363,2.109981682,2.179486486,1.992610811,2.165413514,2.134792993,2.089021321
25,2.08347988,2.063092793,2.050265465,2.051732733,2.112717117,2.176794595,1.997075676,2.165705405,2.134723123,2.09063964
26,2.084741542,2.062259159,2.045626527,2.053796597,2.11693033,2.1766,2.001962162,2.165510811,2.134653253,2.092257958
27,2.087773473,2.061555856,2.040987588,2.05586046,2.121143544,2.1766,2.006702703,2.164343243,2.135264665,2.091674074
28,2.092737838,2.062181081,2.038913514,2.057316216,2.123151351,2.1766,2.01132973,2.163175676,2.138059459,2.0905
29,2.097702202,2.062806306,2.037073273,2.057857558,2.125016216,2.177424324,2.015167568,2.162559459,2.140854254,2.089325926
30,2.102666567,2.063102703,2.035693694,2.058398899,2.12684955,2.178321622,2.016637838,2.163597297,2.141905005,2.0889
31,2.098205105,2.062164865,2.035348649,2.058414715,2.127989189,2.179218919,2.018108108,2.164635135,2.140053453,2.0889
32,2.091841942,2.061227027,2.035003604,2.057771872,2.129128829,2.176851351,2.019051351,2.165494595,2.138201902,2.0889
33,2.085478779,2.059909309,2.035758458,2.057129029,2.130064264,2.174159459,2.019959459,2.165462162,2.138303403,2.089377878
34,2.080458258,2.057825225,2.036985285,2.057543243,2.129822523,2.171467568,2.023110811,2.16542973,2.14025976,2.090361562
35,2.081308509,2.055741141,2.038397798,2.059065766,2.129580781,2.173534535,2.027608108,2.16522973,2.142216116,2.091345245
36,2.082158759,2.054694294,2.041656557,2.060588288,2.130863063,2.176126727,2.031078378,2.163186486,2.144195195,2.091946947
37,2.083009009,2.054902703,2.044915315,2.061245946,2.136664865,2.178718919,2.032289189,2.161143243,2.146186486,2.091788288
38,2.083074074,2.055111111,2.046933333,2.061144444,2.142466667,2.178407407,2.0335,2.1591,2.148177778,2.09162963
39,2.082470671,2.056813514,2.047623423,2.061042943,2.146089189,2.177742743,2.035272973,2.160235135,2.147113514,2.091412913
40,2.081867267,2.059627027,2.048313514,2.060882883,2.145778378,2.177078078,2.037045946,2.16137027,2.145227027,2.090936937
41,2.081263864,2.062440541,2.046153253,2.06067988,2.145467568,2.179258358,2.039978378,2.162505405,2.143340541,2.090460961
42,2.080243544,2.064795696,2.043584585,2.060476877,2.145045345,2.181817317,2.043437838,2.161291892,2.141939039,2.089985986
43,2.08E+00,2.066949249,2.041638739,2.061114715,2.144492793,2.184376276,2.046086486,2.159864865,2.140576577,2.089541742
44,2.078104204,2.069102803,2.041408709,2.062265065,2.14394024,2.185570871,2.047383784,2.158437838,2.139359459,2.089097497
45,2.076054354,2.070264865,2.041178679,2.063415415,2.144832132,2.186567868,2.048418919,2.157659459,2.140302703,2.088653253
46,2.071035135,2.071202703,2.041755856,2.063011712,2.146835135,2.187564865,2.045521622,2.157010811,2.141245946,2.08940991
47,2.066015916,2.072140541,2.042752653,2.061827528,2.148838138,2.184942042,2.042624324,2.156362162,2.142105105,2.09033013
48,2.060996697,2.074835135,2.043639139,2.060643343,2.149430631,2.181751652,2.043554054,2.156418919,2.142629129,2.09125035
49,2.058256757,2.077648649,2.042412312,2.0603,2.149327027,2.178561261,2.045759459,2.156710811,2.143153153,2.092818018
50,2.057022523,2.080306006,2.041185485,2.0603,2.149223423,2.176081582,2.047151351,2.157002703,2.143311011,2.094626727
51,2.055788288,2.08041021,2.041345846,2.0603,2.150536336,2.173722022,2.047497297,2.157489189,2.142752052,2.096435435
52,2.054554054,2.080514414,2.043262763,2.06007027,2.152263063,2.171362462,2.047902703,2.158072973,2.142193093,2.096485586
