Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6
1,-19.79794497,-23.10796942,-26.13379634,-26.22962849,-25.06978595,-18.9311765
2,-19.82776467,-23.07801255,-26.10444001,-26.2295199,-25.06978466,-18.93101719
3,-19.85758438,-23.04805568,-26.07508368,-26.2293044,-25.06978209,-18.93070101
4,-19.88740408,-23.01809881,-26.04572735,-26.22898363,-25.06977826,-18.93023041
5,-19.91722379,-22.98814194,-26.01637102,-26.22855923,-25.06977321,-18.92960777
6,-19.94704349,-22.95818507,-25.9870147,-26.2280328,-25.06976693,-18.92883543
7,-19.9768632,-22.95797819,-25.95765837,-26.22740593,-25.06975946,-18.92791573
8,-19.99981219,-23.00476768,-25.92874118,-26.22668015,-25.06972861,-18.92700438
9,-20.01810682,-23.05155717,-25.90641104,-26.22560088,-25.06966758,-18.92627389
10,-20.03640145,-23.09834666,-25.88408091,-26.22390564,-25.06957685,-18.92572148
11,-20.05469608,-23.14513614,-25.86175077,-26.22160395,-25.06945688,-18.92534438
12,-20.07299071,-23.19192563,-25.83942064,-26.21870519,-25.06930811,-18.92513988
13,-20.09128534,-23.24219756,-25.8170905,-26.2152186,-25.06913099,-18.92510532
14,-20.10872688,-23.29347889,-25.79476037,-26.21115327,-25.06885721,-18.92523806
15,-20.12258549,-23.34476022,-25.7729322,-26.20651815,-25.0684229,-18.92497985
16,-20.1364441,-23.39604154,-25.75461778,-26.20132204,-25.06783051,-18.92430201
17,-20.15030271,-23.44732287,-25.73630337,-26.19601204,-25.06708251,-18.92321104
18,-20.16416132,-23.48594421,-25.71798895,-26.19060003,-25.0661813,-18.9217133
19,-20.17801993,-23.45951936,-25.69967454,-26.18508758,-25.06512925,-18.91981511
20,-20.19187853,-23.43309451,-25.68136012,-26.17947625,-25.06395786,-18.91752265
21,-20.20580988,-23.40666967,-25.66304571,-26.17376757,-25.06274836,-18.91485469
22,-20.21976074,-23.38024482,-25.64453337,-26.16796303,-25.06150133,-18.91183514
23,-20.23371159,-23.35381998,-25.62516336,-26.16206413,-25.06021736,-18.90846945
24,-20.24766245,-23.35965112,-25.60579336,-26.15603663,-25.05889702,-18.90476295
25,-20.26161331,-23.39181367,-25.58642336,-26.14984164,-25.05754087,-18.90072093
26,-20.27556417,-23.42397623,-25.56705335,-26.14348176,-25.05614022,-18.89634857
27,-20.28017246,-23.45613878,-25.54768335,-26.13695952,-25.05433547,-18.89165099
28,-20.26983266,-23.48830134,-25.52831334,-26.13027745,-25.05213286,-18.88647259
29,-20.25949285,-23.5204639,-25.50371263,-26.12343802,-25.04953854,-18.8807994
30,-20.24915304,-23.5510899,-25.46341977,-26.11644365,-25.04655858,-18.87463906
31,-20.23881324,-23.5816147,-25.42312691,-26.10929675,-25.04319894,-18.86799912
32,-20.22847343,-23.6121395,-25.38283405,-26.10189286,-25.03946549,-18.86088699
33,-20.21813363,-23.64266429,-25.34254119,-26.09423089,-25.03524965,-18.85330997
34,-20.20867567,-23.67318909,-25.30224833,-26.08631485,-25.03052687,-18.84521725
35,-20.19923501,-23.70471946,-25.26195547,-26.07814867,-25.02530498,-18.83651047
36,-20.18979435,-23.73833034,-25.2228314,-26.0697362,-25.01959171,-18.82719914
37,-20.18035369,-23.77194121,-25.18627867,-26.06108127,-25.01339466,-18.81729259
38,-20.17091303,-23.80555209,-25.14972594,-26.05218761,-25.0067213,-18.80680003
39,-20.16147237,-23.83916296,-25.11317321,-26.04300488,-24.99975214,-18.79573054
40,-20.14600536,-23.87277384,-25.07662048,-26.03346975,-24.99264072,-18.78409302
41,-20.12611903,-23.90498618,-25.04006774,-26.02358767,-24.98538925,-18.77209138
