Var1,Var2_1,Var2_2,Var2_3,Var2_4
1,-20.57552318,-21.22948831,-19.19707027,-22.08746379
2,-20.57611028,-21.22967738,-19.19778908,-22.08746379
3,-20.57727541,-21.23005259,-19.19921559,-22.08746379
4,-20.57900963,-21.23061107,-19.20133885,-22.08746379
5,-20.58130413,-21.23134998,-19.20414809,-22.08838004
6,-20.58415025,-21.23226654,-19.2076327,-22.08928213
7,-20.58684619,-21.23335799,-19.21174616,-22.09017027
8,-20.58915334,-21.23450483,-19.21628641,-22.09104467
9,-20.59107772,-21.23563965,-19.22124685,-22.09190555
10,-20.59262526,-21.23676262,-19.22662097,-22.09275311
11,-20.59380177,-21.23787393,-19.23240238,-22.09384411
12,-20.5946468,-21.23897375,-19.23858479,-22.09491823
13,-20.5952015,-21.24006228,-19.24478575,-22.09597573
14,-20.59547036,-21.24113695,-19.25018983,-22.09701689
15,-20.59545779,-21.24219074,-19.25480935,-22.09804194
16,-20.59516816,-21.24322397,-19.25865643,-22.09905114
17,-20.59477662,-21.24423697,-19.26174303,-22.10004473
18,-20.59486895,-21.24523005,-19.2640809,-22.10129618
19,-20.59543767,-21.24620351,-19.26624221,-22.10252826
20,-20.5964754,-21.24715765,-19.26885256,-22.1037413
21,-20.5979749,-21.24793257,-19.27190499,-22.10493557
22,-20.59992901,-21.24851535,-19.27539269,-22.10611138
23,-20.60158827,-21.24890895,-19.2793089,-22.107269
24,-20.60293301,-21.24911631,-19.28364701,-22.10840871
25,-20.60396809,-21.2491403,-19.28757795,-22.10817782
26,-20.60469832,-21.24898377,-19.29062821,-22.1079505
27,-20.60512839,-21.24864418,-19.29281139,-22.10772669
28,-20.60532657,-21.24812001,-19.29414092,-22.10750635
29,-20.60532234,-21.24741409,-19.29462999,-22.10728941
30,-20.60511883,-21.24652925,-19.29429159,-22.10707583
31,-20.60471913,-21.24546824,-19.29317862,-22.10677727
32,-20.60412627,-21.24423379,-19.29131373,-22.10648333
33,-20.60333441,-21.24279634,-19.28870855,-22.10619393
34,-20.60233596,-21.24101668,-19.28537454,-22.10590901
35,-20.60113412,-21.23890012,-19.28132296,-22.10562849
36,-20.59973203,-21.23645185,-19.27656491,-22.10535232
