Var1,Var2_1,Var2_2,Var2_3,Var2_4
1,20.44064811,24.85553651,44.59771211,22.04142393
2,20.44242491,24.85582915,44.59941513,22.04142393
3,20.44595103,24.85640989,44.60279483,22.04142393
4,20.45119941,24.8572743,44.60782528,22.04142393
5,20.45814342,24.85841796,44.61448096,22.05181508
6,20.46675685,24.85983658,44.62273672,22.06204554
7,20.47605771,24.8615259,44.63253148,22.07211777
8,20.48570312,24.86324102,44.64364761,22.08203424
9,20.49568774,24.86484437,44.65606466,22.09179736
10,20.50600632,24.86633766,44.66976251,22.10140948
11,20.5166537,24.8677226,44.68472137,22.11938116
12,20.52765858,24.86900086,44.70092173,22.13707491
13,20.53905145,24.87017409,44.71827744,22.15449503
14,20.55082629,24.87125905,44.7366256,22.17164574
15,20.56297721,24.87229722,44.75595085,22.18853121
16,20.57549837,24.87328931,44.77623809,22.20515555
17,20.58863899,24.87423605,44.79747245,22.2215228
18,20.60326093,24.87513813,44.81963926,22.24488312
19,20.61934129,24.87599624,44.84380274,22.26788218
20,20.63685752,24.87681107,44.87113048,22.29052555
21,20.6557874,24.87764194,44.90157353,22.31281875
22,20.67610909,24.87849435,44.93508373,22.33476718
23,20.69627178,24.87936797,44.97161363,22.35637617
24,20.71622809,24.88026246,45.01111655,22.37765098
25,20.73598119,24.88117751,45.05282815,22.40448671
26,20.75553423,24.88211281,45.09629524,22.43090742
27,20.77489031,24.88303605,45.14149069,22.45691954
28,20.7940552,24.88392105,45.18838775,22.48252937
29,20.81303296,24.88476838,45.23696012,22.50774315
30,20.83182649,24.88557864,45.28718188,22.532567
31,20.85043863,24.88635239,45.3388202,22.56287671
32,20.86887221,24.88709021,45.39179787,22.59271768
33,20.88711668,24.88779856,45.4460942,22.62209715
34,20.9051589,24.88850404,45.50168878,22.65102228
35,20.92300201,24.88920668,45.55856154,22.67950007
36,20.94064908,24.88990653,45.61669271,22.70753746
37,20.95810314,24.89060364,45.67595965,22.73514124
38,20.97536133,24.89129805,45.73633908,22.76782023
39,20.99240246,24.89198979,45.7978138,22.79999383
40,21.00922987,24.89133628,45.86036685,22.83166987
