Fx,Tx,Fy,Ty,Fz,Tz
24.1758,-1.0878,12.0678,-2.067,-122.9386,0.9576
24.3995,-1.0801,12.1985,-2.0464,-123.3545,0.9493
24.4164,-1.0671,11.7661,-2.0867,-121.278,0.9548
24.5647,-0.9473,11.5683,-2.1792,-117.1763,0.9654
24.7525,-1.1821,11.2681,-2.0946,-120.8375,0.9829
24.7658,-1.1608,11.2737,-2.1152,-120.4316,0.9828
24.9569,-1.2392,11.042,-2.0951,-121.4423,0.9943
24.9592,-1.3885,10.7953,-2.0343,-123.8819,1.0144
25.2583,-0.7846,11.2356,-2.2613,-111.0134,0.9845
25.0786,-1.1025,10.9179,-2.0566,-120.8184,0.9778
25.3947,-0.641,11.124,-2.2776,-110.8142,0.9677
25.0932,-0.8941,11.2556,-2.0938,-120.8595,0.955
25.1464,-0.9361,11.1155,-2.07,-122.7016,0.9638
25.2603,-1.0221,10.926,-2.0535,-122.89,0.9779
25.2389,-1.0507,10.7434,-2.0121,-123.0712,0.967
25.7286,-0.8386,10.5496,-2.1059,-115.6821,0.9775
25.382,-0.8347,9.9087,-2.2158,-111.3356,0.9854
25.3146,-1.1182,9.2957,-2.0967,-118.6764,1.0006
24.9777,-1.3766,8.7852,-2.0655,-120.2654,1.0121
24.6658,-1.8682,8.0564,-1.9018,-128.6027,1.0388
24.859,-1.649,7.962,-2.0176,-122.0411,1.0295
24.8725,-1.5909,7.7871,-1.9763,-122.8504,1.0187
24.9041,-1.4965,7.7974,-1.9564,-124.5016,1.0021
25.0978,-1.105,8.2058,-2.1046,-117.5796,0.9897
25.0759,-1.4084,8.3275,-1.9078,-127.0028,0.9855
25.1034,-1.2252,8.2272,-2.0196,-120.6441,0.9847
24.9765,-1.3318,8.08,-1.9841,-123.0943,0.9934
25.1062,-1.0837,7.5016,-2.0915,-116.9212,0.9957
24.7786,-1.2832,7.0844,-2.0121,-120.9786,0.9796
24.8072,-1.5322,6.2551,-1.9115,-125.4282,0.9974
24.6463,-1.4424,5.7079,-2.0202,-119.8587,1.0024
24.4936,-1.4425,5.2721,-2.0124,-120.2397,0.9914
24.9847,-1.0804,5.676,-2.1841,-111.4703,0.9957
24.5702,-1.5314,5.5067,-1.8631,-127.2253,0.9841
24.8135,-1.317,5.616,-1.8851,-124.1624,0.9727
24.9854,-1.1104,5.8586,-1.9357,-120.2891,0.9694
25.0735,-0.9101,6.1439,-1.9668,-118.0614,0.9607
25.2452,-0.8148,6.5861,-1.9056,-120.5541,0.9386
25.0961,-1.0608,6.624,-1.7085,-129.978,0.9373
25.2673,-0.7123,6.9353,-1.8317,-123.0419,0.9279
25.1106,-0.6969,6.9379,-1.7918,-125.0893,0.9029
25.1891,-0.675,7.0697,-1.7712,-125.5057,0.8946
25.2615,-0.2575,6.872,-1.9829,-114.0288,0.8931
24.8517,-0.7391,6.4456,-1.7269,-127.0999,0.8896
25.2247,-0.1639,6.8378,-1.987,-114.4483,0.8904
24.934,-0.3814,7.4936,-1.7895,-123.2878,0.8776
25.2634,-0.2944,8.0233,-1.764,-123.3224,0.8691
24.986,-0.0957,7.8374,-1.8447,-119.8349,0.8546
25.0272,-0.2932,7.7148,-1.7244,-125.9727,0.8584
25.1665,-0.0009,8.4546,-1.8159,-121.3189,0.8519
25.0497,0.0776,8.2049,-1.8281,-120.6899,0.8351
25.2177,0.3887,8.3432,-1.9959,-111.4818,0.831
25.0452,0.189,7.9188,-1.9235,-114.5177,0.84
24.7594,0.239,7.8392,-1.9113,-114.5068,0.8177
24.9841,0.381,7.6861,-1.9753,-111.2257,0.8145
24.8947,0.2408,7.6569,-1.8464,-117.1623,0.807
24.8912,0.5172,7.6128,-1.9869,-110.6162,0.8089
24.2573,0.0122,6.8856,-1.7756,-121.4052,0.8022
24.3774,-0.1633,6.8064,-1.6346,-127.9549,0.8005
24.4163,0.3168,6.4961,-1.9154,-113.6012,0.7901
23.4736,-0.5603,4.4988,-1.6583,-128.6078,0.8152
23.6084,-0.03,4.5865,-1.9423,-113.4586,0.8046
23.6718,-0.1625,4.5581,-1.8098,-120.2215,0.7972
23.55,-0.4036,4.0816,-1.7061,-126.1334,0.8122
23.4514,-0.1699,3.9907,-1.8393,-120.6085,0.8114
23.2723,-0.5101,3.7609,-1.6712,-129.1904,0.8183
23.1771,-0.2773,3.4998,-1.8203,-122.2115,0.8061
23.4228,0.0559,3.4175,-1.9593,-113.811,0.7966
23.4129,0.0501,3.154,-1.9322,-116.4681,0.7886
22.9563,0.1099,1.6602,-2.1168,-110.8497,0.7823
22.5865,-0.3083,1.1638,-1.9221,-122.0775,0.7727
22.7491,-0.4064,1.271,-1.8247,-125.7684,0.7733
22.5635,-0.18,1.2163,-1.9198,-119.6164,0.767
22.8392,0.2475,1.7573,-2.0386,-112.2831,0.7379
22.9335,0.045,2.1043,-1.8411,-121.7319,0.7393
22.8914,0.0125,2.4388,-1.7324,-127.2915,0.7288
22.9616,0.1691,2.5481,-1.7634,-124.427,0.7089
23.0418,0.3179,2.3948,-1.8393,-120.5316,0.714
23.0617,0.6208,1.924,-2.0275,-110.2572,0.7043
22.9027,0.4796,1.6812,-1.9231,-114.9465,0.6912
22.6247,-0.0224,1.2456,-1.6223,-129.6572,0.6879
22.7538,0.1957,0.8474,-1.7787,-121.6459,0.6925
22.6898,0.224,0.72,-1.7783,-121.0195,0.6841
22.7666,0.6485,0.6165,-2.0027,-109.5479,0.6713
22.5339,0.3509,0.0868,-1.8507,-117.2936,0.6754
22.1799,-0.0323,-0.2342,-1.6585,-126.4743,0.6685
22.3251,0.2364,-0.6252,-1.8028,-119.0799,0.6564
22.0592,0.1584,-0.9444,-1.7673,-121.521,0.6624
22.1909,0.1304,-1.2126,-1.7348,-122.5259,0.6543
22.1553,0.1934,-1.5078,-1.787,-119.8456,0.6597
22.1838,0.392,-1.6053,-1.8836,-115.5454,0.6506
22.3758,0.6187,-1.7913,-1.9787,-109.3886,0.6444
22.1607,0.3567,-1.8747,-1.8472,-116.7538,0.6426
22.2841,0.5755,-2.5368,-1.9795,-109.9573,0.639
21.9935,0.1945,-2.2984,-1.739,-122.2588,0.6436
22.0137,0.5201,-2.5914,-1.8995,-114.0497,0.62
22.181,0.6976,-2.7854,-1.9754,-110.1546,0.6224
22.2014,0.4502,-2.9143,-1.8515,-117.1136,0.6346
22.1498,0.7825,-3.0757,-2.0156,-108.0881,0.611
22.0712,0.5074,-3.1695,-1.8431,-116.8906,0.618
21.8001,0.1466,-3.5308,-1.6477,-127.5139,0.6083
21.8785,0.4368,-3.5253,-1.796,-119.9388,0.596
21.8422,0.3806,-3.7136,-1.7393,-122.1786,0.5937
21.7303,0.3089,-3.943,-1.7066,-122.5616,0.5883
21.7191,0.4216,-4.2287,-1.7789,-118.8573,0.5851
21.3826,0.2086,-4.6512,-1.6837,-124.356,0.5776
21.4142,0.4064,-4.926,-1.7875,-118.3987,0.5741
21.3936,0.0956,-5.2418,-1.6031,-127.7997,0.5756
21.4932,0.6888,-5.4423,-1.9481,-110.1735,0.5534
21.2346,0.215,-5.784,-1.6798,-123.8695,0.5555
21.5911,0.724,-5.7434,-1.9761,-108.7238,0.559
21.2211,0.4692,-6.0039,-1.8157,-116.2754,0.5462
20.9528,-0.0262,-6.6081,-1.5437,-130.1568,0.54
21.2711,0.5466,-6.7739,-1.885,-113.9836,0.546
21.3945,0.6388,-6.8886,-1.9291,-111.7246,0.5373
21.3619,0.7237,-7.095,-1.9608,-109.4567,0.5316
21.0681,0.3201,-7.5526,-1.7408,-120.6848,0.5249
20.9104,0.0302,-7.7778,-1.5765,-129.0667,0.5319
20.9428,0.0935,-8.2012,-1.6044,-126.9858,0.5121
21.247,0.6593,-8.2865,-1.8998,-110.5979,0.5071
21.3081,0.6311,-8.4252,-1.8836,-111.4118,0.5158
21.2623,0.5389,-9.3081,-1.8489,-114.4332,0.5024
20.9953,0.0435,-9.3881,-1.5847,-127.9368,0.5043
20.7373,0.388,-10.0199,-1.8056,-116.0057,0.4748
21.1881,0.6643,-10.3308,-1.9449,-108.2123,0.4851
20.8778,0.2401,-10.4432,-1.6967,-120.8956,0.4758
20.9105,0.5718,-10.9071,-1.8935,-110.8299,0.4576
20.7163,0.3525,-11.2519,-1.7693,-117.1571,0.4643
20.7664,0.4443,-11.3224,-1.8215,-114.49,0.4583
20.7215,0.6346,-11.6355,-1.9381,-108.5282,0.4436
20.4254,0.3649,-12.2004,-1.7939,-115.2386,0.4279
20.4302,-0.0451,-12.2271,-1.5694,-126.7046,0.4408
20.2365,0.2712,-12.6456,-1.7905,-115.4066,0.4253
20.2398,0.397,-13.1029,-1.8945,-109.4329,0.4274
20.0363,0.4318,-13.8307,-1.9322,-108.7743,0.405
19.8141,0.0289,-14.0734,-1.6959,-120.839,0.4041
19.6359,-0.0212,-14.4286,-1.6678,-121.6272,0.3903
19.7111,0.3962,-14.6198,-1.8967,-110.5639,0.3803
19.891,0.4532,-14.6115,-1.9206,-109.3387,0.3802
19.7353,0.1702,-14.742,-1.7607,-117.5155,0.3673
19.7065,0.1209,-14.9258,-1.7247,-119.3478,0.3649
