Fx,Tx,Fy,Ty,Fz,Tz
18.615,1.0375,-16.2393,-1.578,-124.6929,0.3815
17.9322,1.2969,-17.1851,-1.7518,-115.8101,0.3328
18.5308,1.2898,-17.8934,-1.73,-114.9451,0.3388
18.3389,1.3602,-18.5342,-1.7541,-113.0544,0.3136
18.329,1.3528,-19.5887,-1.7168,-112.9798,0.2974
18.1253,1.1189,-19.8432,-1.5845,-119.097,0.2844
18.0137,1.3232,-20.5481,-1.7092,-112.7024,0.2697
18.0387,0.9558,-19.784,-1.4999,-122.7808,0.2906
17.791,0.9047,-20.9609,-1.497,-122.9008,0.2573
18.1794,0.9121,-18.1239,-1.5399,-120.8265,0.312
18.0584,1.0957,-17.9637,-1.6603,-115.3136,0.3279
17.9604,0.9189,-18.0837,-1.5516,-120.2174,0.3315
18.454,0.9909,-16.5084,-1.5989,-118.4885,0.3812
18.0006,0.8347,-14.2171,-1.5588,-121.288,0.4198
18.1361,0.7986,-14.2213,-1.5544,-120.8718,0.4198
17.9547,0.7416,-15.014,-1.5228,-122.4572,0.4035
17.8831,0.77,-16.718,-1.4818,-122.5483,0.3708
17.7801,0.9879,-17.069,-1.6222,-114.7344,0.353
17.4324,0.752,-18.4533,-1.5138,-118.3075,0.3177
16.7907,0.6024,-17.7406,-1.6182,-109.8822,0.2768
15.2632,0.0839,-16.948,-1.5065,-111.2622,0.1952
17.1705,0.286,-15.5641,-1.5324,-106.6739,0.3097
15.7794,-0.0561,-14.1124,-1.3814,-113.8881,0.2623
16.4207,0.2753,-15.2026,-1.5759,-101.945,0.2809
15.1216,-0.3456,-16.2831,-1.3163,-112.6703,0.2184
15.146,-0.3364,-14.6922,-1.4097,-102.8781,0.1997
14.7513,-0.4173,-11.7663,-1.4858,-99.1475,0.2427
14.8572,-0.1927,-11.0134,-1.5717,-89.7175,0.1516
14.1827,-0.3494,-11.1116,-1.5508,-94.0161,0.1462
13.4116,-0.2795,-11.74,-1.6759,-93.389,0.1542
13.5185,-0.3693,-12.1227,-1.6247,-99.1442,0.2252
13.6795,-0.3024,-12.3101,-1.5464,-101.8112,0.2401
14.5931,0.1636,-12.3965,-1.7112,-97.7901,0.3152
13.4844,-0.2234,-10.5011,-1.5668,-101.5112,0.228
13.5255,-0.0267,-11.1247,-1.7026,-93.8933,0.2356
12.9346,-0.4244,-10.7554,-1.5256,-90.9005,0.0757
12.8116,-0.3992,-10.9139,-1.5973,-85.3326,0.0554
11.2805,-0.3183,-11.6941,-1.7049,-80.5326,-0.0407
11.2841,-0.4427,-13.1777,-1.5938,-89.2953,0.0116
11.9209,-0.0142,-14.3453,-1.6393,-83.6944,-0.0584
12.0507,0.353,-16.7976,-1.5288,-96.7879,0.0146
11.6264,0.2083,-19.9227,-1.2456,-121.9165,0.0752
12.3868,1.1271,-23.2436,-1.5388,-119.4413,0.202
12.3558,1.2783,-25.8345,-1.4472,-133.5336,0.2579
12.775,1.2481,-27.8718,-1.3408,-143.3028,0.2909
12.3963,1.2173,-28.4269,-1.3907,-141.4096,0.2626
13.012,1.3411,-27.8265,-1.5412,-130.5589,0.2553
12.5316,0.6755,-26.9575,-1.3008,-135.2316,0.242
13.091,0.4315,-25.2941,-1.2159,-133.2345,0.2584
12.7918,0.3763,-23.2605,-1.3404,-125.1133,0.2338
12.3701,0.1865,-21.2644,-1.5026,-108.715,0.1466
12.3226,0.035,-18.0903,-1.6036,-94.8522,0.0509
