time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-1.5085,-2.4439,0.3169,0.6179,0.4516,0.2871,0.3062,0.2615,0.5669,0.1839
2,-1.277777177,-2.449141241,0.19181952,0.509818919,0.323848248,0.410914114,0.261582883,0.320957457,0.469263964,0.263159459
3,-1.047054354,-2.454382482,0.066739039,0.401737838,0.196096496,0.534728228,0.216965766,0.380414915,0.371627928,0.342418919
4,-0.816331532,-2.459623724,-0.058341441,0.293656757,0.068344745,0.658542342,0.172348649,0.426950751,0.273991892,0.375705405
5,-0.68905976,-2.380154655,-0.089277778,0.185575676,0.043585485,0.615592192,0.292117117,0.277201001,0.245231231,0.345140541
6,-0.6054997,-2.273418318,-0.048322222,0.124296597,0.067056857,0.51584024,0.445896396,0.127451251,0.328639039,0.314575676
7,-0.52193964,-2.166681982,-0.007366667,0.148615916,0.090528228,0.416088288,0.599675676,0.024427027,0.412046847,0.300908108
8,-0.437086787,-2.106697197,0.024121922,0.172935235,0.124037638,0.398577678,0.574676577,0.252931532,0.495454655,0.290526126
9,-0.350342042,-2.091096797,-0.005560661,0.197254555,0.175228729,0.466031632,0.456401802,0.481436036,0.479958559,0.291233333
10,-0.263597297,-2.075496396,-0.035243243,0.221573874,0.22641982,0.533485586,0.338127027,0.632946847,0.433378378,0.3242
11,-0.190878378,-2.035594194,-0.064925826,0.244797698,0.279171171,0.574552853,0.322863063,0.44592983,0.386798198,0.357166667
12,-0.232916216,-1.929813614,0.031303904,0.267567467,0.366488288,0.531038138,0.416669369,0.258912813,0.334143544,0.425142342
13,-0.274954054,-1.824033033,0.181231532,0.290337237,0.453805405,0.487523423,0.510475676,0.128290991,0.244574775,0.510018919
14,-0.316991892,-1.724252853,0.331159159,0.313107007,0.541122523,0.444008709,0.557269369,0.16954024,0.155006006,0.580888288
15,-0.3331,-1.849487688,0.424878378,0.332568869,0.537573574,0.456057157,0.50149009,0.210789489,0.065437237,0.515187387
16,-0.3432,-1.974722523,0.365105405,0.300630931,0.499428829,0.469025526,0.445710811,0.257157357,0.054931532,0.449486486
17,-0.3533,-2.099957357,0.305332432,0.268692993,0.461284084,0.481993894,0.40203964,0.314981181,0.1169003,0.439756757
18,-0.328358559,-2.098781782,0.245559459,0.236755055,0.386759159,0.552117017,0.431017117,0.372805005,0.178869069,0.483454054
19,-0.270397297,-2.062463063,0.196027027,0.204817117,0.258856757,0.643418018,0.459994595,0.37892973,0.240837838,0.527151351
20,-0.212436036,-2.026144344,0.148517417,0.201868769,0.130954354,0.734719019,0.488972072,0.297248048,0.204976276,0.443281081
21,-0.178291592,-2.043696697,0.101007808,0.239961862,0.028083784,0.74126987,0.561383784,0.215566366,0.158506607,0.349843243
22,-0.229671171,-2.107331532,0.082672072,0.278054955,0.189972973,0.654363363,0.635072973,0.233827027,0.112036937,0.300459459
23,-0.281050751,-2.170966366,0.107723123,0.316148048,0.351862162,0.567456857,0.708762162,0.383304505,0.091496997,0.33330991
24,-0.33243033,-2.20956026,0.132774174,0.354241141,0.513751351,0.469468869,0.652289189,0.532781982,0.136778679,0.36616036
25,-0.289525225,-2.188441141,0.157825225,0.36314955,0.513824925,0.332532733,0.563275676,0.516983784,0.18206036,0.461948649
26,-0.23850961,-2.167322022,0.214604805,0.363214114,0.464863463,0.195596597,0.474262162,0.331974775,0.227342042,0.576809009
27,-0.187493994,-2.149242743,0.272396997,0.363278679,0.415902002,0.05866046,0.500163964,0.146965766,0.256631832,0.645298198
28,-0.204794595,-2.186640541,0.330189189,0.363343243,0.417548649,0.165686486,0.59397027,0.123562162,0.277794595,0.510913514
29,-0.263301802,-2.224038338,0.389136937,0.371127127,0.481424525,0.280926727,0.687776577,0.229271872,0.298957357,0.376528829
30,-0.321809009,-2.261436136,0.449084685,0.435024525,0.5453004,0.396166967,0.69586036,0.334981582,0.320736336,0.382989189
31,-0.316833333,-2.294546847,0.509032432,0.498921922,0.592362162,0.463288589,0.602148649,0.347778378,0.356072072,0.481540541
32,-0.181044444,-2.326641742,0.55325045,0.562819319,0.526467568,0.511074875,0.508436937,0.303057658,0.391407808,0.574931532
33,-0.045255556,-2.358736637,0.46061982,0.626716717,0.460572973,0.558861161,0.431968468,0.258336937,0.426743544,0.451587387
34,0.094082883,-2.369181682,0.367989189,0.624982883,0.394678378,0.556824625,0.398608108,0.275123724,0.466963063,0.328243243
35,0.349373273,-2.362953854,0.275358559,0.55053994,0.309635035,0.496131431,0.365247748,0.320933534,0.51381952,0.24722973
36,0.604663664,-2.356726026,0.246068769,0.476096997,0.220118418,0.435438238,0.337227928,0.366743343,0.560675976,0.219686486
37,0.859954054,-2.350854955,0.247962162,0.401654054,0.130601802,0.396085586,0.350597297,0.441259459,0.607532432,0.192143243
38,0.872266667,-2.345737037,0.249855556,0.327211111,0.119781481,0.439385185,0.363966667,0.5258,0.555277778,0.2521
39,0.795925225,-2.340619119,0.248447447,0.392531131,0.190316116,0.482684785,0.377336036,0.610340541,0.478915015,0.326245946
40,0.719583784,-2.328008108,0.236417117,0.486903003,0.260850751,0.525984384,0.432832432,0.525615616,0.402552252,0.382856757
41,0.702662162,-2.226728829,0.224386787,0.581274875,0.328782783,0.610701802,0.490881982,0.399349349,0.33959039,0.394168468
42,0.762716216,-2.12544955,0.212356456,0.675646747,0.384252352,0.697546847,0.548931532,0.273083083,0.33575015,0.40548018
43,0.82277027,-2.02417027,0.279614414,0.750702102,0.439721922,0.784391892,0.52602973,0.305088288,0.33190991,0.393710811
44,0.88052042,-1.980387988,0.366186186,0.738585485,0.495191491,0.753097798,0.479142342,0.361857057,0.32806967,0.37193964
45,0.923953453,-1.948015616,0.452757958,0.726468869,0.550815415,0.670462863,0.432254955,0.418625826,0.326368769,0.343195495
46,0.967386486,-1.915643243,0.508778378,0.714352252,0.606465766,0.587827928,0.373354054,0.393507207,0.326313514,0.261456757
47,1.01081952,-1.867603203,0.513031231,0.702235636,0.662116116,0.5744999,0.306444144,0.36188959,0.326258258,0.179718018
48,1.126668468,-1.808716316,0.517284084,0.642887287,0.635687087,0.648315115,0.239534234,0.330271972,0.326203003,0.175454054
49,1.256148649,-1.749829429,0.521536937,0.542467868,0.537884685,0.72213033,0.228002703,0.470354054,0.379836937,0.238559459
50,1.385628829,-1.693513113,0.386393093,0.442048448,0.440082282,0.753267067,0.290309009,0.61248018,0.436556456,0.301664865
51,1.436093994,-1.642025626,0.242058258,0.341629029,0.393414515,0.601180681,0.352615315,0.73966026,0.493275976,0.333447748
52,1.420473874,-1.590538138,0.097723423,0.24120961,0.532404805,0.449094294,0.392008108,0.582865465,0.539121622,0.363702703
53,1.404853754,-1.53283964,0.051359159,0.243536336,0.671395095,0.297007908,0.365206306,0.426070671,0.562494595,0.408256757
54,1.413167568,-1.421571171,0.100966066,0.258773574,0.810385385,0.392764264,0.338404505,0.297271872,0.585867568,0.476940541
55,1.494240541,-1.310302703,0.150572973,0.274010811,0.771213514,0.505791892,0.322889189,0.390967568,0.609240541,0.545624324
56,1.575313514,-1.199034234,0.201800601,0.289248048,0.711585986,0.61881952,0.427763063,0.484663263,0.597185586,0.600646847
57,1.656386486,-1.191351852,0.273866066,0.309648849,0.651958458,0.681595095,0.532636937,0.547358859,0.570414414,0.652053153
58,1.719845045,-1.200477778,0.345931532,0.346235435,0.644008408,0.720807508,0.637510811,0.46240991,0.543643243,0.647821622
59,1.782386186,-1.209603704,0.417996997,0.382822022,0.673776977,0.76001992,0.632114414,0.377460961,0.5188997,0.433402703
60,1.844927327,-1.267627528,0.487586186,0.419408609,0.703545546,0.765807007,0.61638018,0.320956456,0.515446246,0.218983784
61,1.847117117,-1.35601952,0.555777477,0.455995195,0.709640841,0.726686787,0.600645946,0.356896396,0.511992793,0.187143243
