time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-2.3075,-2.3995,-2.3496,-2.4344,-2.2106,-2.0006,-2.1188,-2.2287,-2.0663,-2.151
2,-2.245468969,-2.383272973,-2.345721622,-2.383155155,-2.255615315,-1.983532933,-2.184625425,-2.237927628,-2.138968268,-2.070656456
3,-2.183437938,-2.367045946,-2.341843243,-2.33191031,-2.300630631,-1.966465866,-2.250450851,-2.247155255,-2.211636537,-1.990312913
4,-2.121406907,-2.350818919,-2.337964865,-2.280665465,-2.345645946,-1.949398799,-2.316276276,-2.255566667,-2.284304805,-1.909969369
5,-2.139443844,-2.370402703,-2.33844955,-2.33550951,-2.381255856,-1.965888388,-2.291938038,-2.173922222,-2.299760961,-1.976865465
6,-2.180404805,-2.396878378,-2.339836937,-2.432886887,-2.37171982,-1.991985485,-2.250247548,-2.092277778,-2.296801201,-2.068031832
7,-2.221365766,-2.423354054,-2.341224324,-2.530264264,-2.362183784,-2.018082583,-2.208557057,-2.012725225,-2.293841441,-2.159198198
8,-2.257643644,-2.399896396,-2.340912613,-2.567196196,-2.352647748,-2.008402302,-2.135848348,-2.047529429,-2.262444845,-2.106489489
9,-2.290164164,-2.352638739,-2.339714414,-2.523224224,-2.372048649,-1.970016917,-2.048355255,-2.082333634,-2.204051251,-1.996987988
10,-2.322684685,-2.305381081,-2.338516216,-2.479252252,-2.44642973,-1.931631532,-1.960862162,-2.116200901,-2.145657658,-1.887486486
11,-2.329285085,-2.289581281,-2.337210811,-2.444736837,-2.520810811,-1.932755255,-1.976635035,-2.116234334,-2.085934735,-1.874394294
12,-2.283793594,-2.303309409,-2.335791892,-2.467620521,-2.595191892,-2.013280781,-2.089338539,-2.116267768,-2.022608208,-1.932423724
13,-2.238302102,-2.317037538,-2.334372973,-2.490504204,-2.603532432,-2.093806306,-2.202042042,-2.116250751,-1.959281682,-1.990453153
14,-2.192691491,-2.336987888,-2.34113964,-2.513387888,-2.550235135,-2.155667568,-2.235269269,-2.11487998,-1.898673874,-2.021504204
15,-2.146113914,-2.368271572,-2.365765766,-2.488435736,-2.496937838,-2.066018919,-2.123736136,-2.113509209,-1.940018018,-2.017366066
16,-2.099536336,-2.399555255,-2.390391892,-2.455388288,-2.443640541,-1.97637027,-2.012203003,-2.111536336,-1.981362162,-2.013227928
17,-2.052958759,-2.430032933,-2.407869369,-2.422340841,-2.467045946,-1.886721622,-1.94638018,-2.096758759,-2.022706306,-2.004612012
18,-2.062427227,-2.457141241,-2.382454955,-2.414905706,-2.524967568,-1.900879279,-2.071641441,-2.081981181,-2.087643844,-1.985162763
19,-2.079028829,-2.48424955,-2.357040541,-2.426864865,-2.582889189,-1.928248649,-2.196902703,-2.071181982,-2.159140541,-1.965713514
20,-2.09563043,-2.509187688,-2.331626126,-2.438824024,-2.640810811,-1.955618018,-2.31647027,-2.130225425,-2.230637237,-1.956551351
21,-2.077197598,-2.467718619,-2.343305405,-2.460106306,-2.620804505,-1.977852853,-2.261810811,-2.189268869,-2.256837037,-2.005254054
22,-2.041077477,-2.42624955,-2.356075676,-2.505021622,-2.58832973,-1.997495495,-2.207151351,-2.24164024,-2.244288889,-2.053956757
23,-2.004957357,-2.38478048,-2.368845946,-2.549936937,-2.555854955,-2.017138138,-2.152491892,-2.194565966,-2.231740741,-2.102437838
24,-2.017027227,-2.361231832,-2.356390991,-2.594852252,-2.522190991,-2.036300801,-2.196105706,-2.147491692,-2.198442042,-2.127648649
25,-2.08995015,-2.340354955,-2.33762973,-2.52796997,-2.45522973,-2.054857357,-2.254371171,-2.105911712,-2.115661261,-2.152859459
26,-2.162873073,-2.319478078,-2.318868468,-2.460718719,-2.388268468,-2.073413914,-2.312636637,-2.1352997,-2.03288048,-2.17807027
27,-2.205253854,-2.310731732,-2.306172072,-2.393467467,-2.321307207,-2.088900601,-2.266570571,-2.164687688,-1.95714034,-2.221653453
28,-2.138940541,-2.306967568,-2.297059459,-2.372054054,-2.278891892,-2.093462162,-2.177654054,-2.194513514,-2.009891892,-2.268032432
29,-2.072627227,-2.303203403,-2.287946847,-2.369315315,-2.330569369,-2.098023724,-2.088737538,-2.229317718,-2.062643443,-2.314411411
30,-2.006313914,-2.297274575,-2.270430631,-2.366576577,-2.382246847,-2.102585285,-2.087966166,-2.264121922,-2.115394995,-2.223138438
31,-2.004553453,-2.289556456,-2.242935135,-2.358672673,-2.433924324,-2.029603003,-2.160054655,-2.29143964,-2.156506607,-2.080022523
32,-2.003001902,-2.281838338,-2.21543964,-2.343761762,-2.455198198,-1.95636977,-2.232143143,-2.242894294,-2.19486016,-1.936906607
33,-2.00145035,-2.297042543,-2.212448649,-2.328850851,-2.426720721,-1.883136537,-2.248946947,-2.194348949,-2.233213714,-1.911758258
34,-2.019238138,-2.348696997,-2.270718919,-2.32270991,-2.398243243,-1.90020961,-2.177839039,-2.15574985,-2.238665766,-1.970328829
35,-2.042666567,-2.400351451,-2.328989189,-2.371276877,-2.369765766,-1.943622022,-2.106731131,-2.207872573,-2.21877988,-2.028899399
36,-2.066094995,-2.427322923,-2.381338739,-2.419843844,-2.370189189,-1.987034434,-2.061507307,-2.259995295,-2.198893994,-2.049023123
37,-2.059927928,-2.369120721,-2.387802703,-2.468410811,-2.394094595,-1.993371171,-2.105601802,-2.2981,-2.193734234,-2.020883784
38,-2.029703704,-2.310918519,-2.394266667,-2.492218519,-2.418,-1.96957037,-2.149696296,-2.220166667,-2.219662963,-1.992744444
39,-1.999479479,-2.257923524,-2.400730631,-2.511724424,-2.441905405,-1.94576957,-2.188821822,-2.142233333,-2.245591692,-1.972965465
40,-1.987745946,-2.281995195,-2.341164865,-2.53123033,-2.449445946,-1.933873874,-2.154406607,-2.079775075,-2.266706006,-1.97251982
41,-2.013718919,-2.306066867,-2.277597297,-2.518075175,-2.450752252,-1.946255255,-2.119991391,-2.134371872,-2.23084975,-1.972074174
42,-2.039691892,-2.330138539,-2.21402973,-2.479854555,-2.452058559,-1.958636637,-2.085576176,-2.188968669,-2.194993493,-1.978464264
43,-2.062074174,-2.309962462,-2.261867568,-2.441633934,-2.453364865,-1.972603604,-2.103796096,-2.235838138,-2.159137237,-2.020641441
44,-2.054316416,-2.284973473,-2.342714414,-2.409258659,-2.498707207,-1.99987988,-2.127741241,-2.228984284,-2.169818819,-2.062818619
45,-2.046558659,-2.259984484,-2.423561261,-2.391943744,-2.549130631,-2.027156156,-2.151686386,-2.22213043,-2.189735536,-2.103330931
46,-2.038800901,-2.268327027,-2.424456757,-2.374628829,-2.599554054,-2.054432432,-2.138973874,-2.203177477,-2.209652252,-2.05727027
47,-2.080961061,-2.28834985,-2.372051351,-2.357313914,-2.642031532,-2.105817417,-2.113415516,-2.106521421,-2.228803804,-2.01120961
48,-2.12967978,-2.308372673,-2.319645946,-2.349823824,-2.577238739,-2.16036997,-2.087857157,-2.009865365,-2.247425626,-1.965148949
49,-2.178398498,-2.314491892,-2.278335135,-2.342398799,-2.512445946,-2.214922523,-2.037972072,-1.932505405,-2.266047447,-1.991533333
50,-2.188087187,-2.310506306,-2.251817117,-2.334973774,-2.447653153,-2.186531131,-1.970406907,-1.970118018,-2.237799199,-2.028044444
51,-2.177784885,-2.306520721,-2.225299099,-2.372248949,-2.398525225,-2.115656256,-1.902841742,-2.007730631,-2.121505305,-2.064555556
52,-2.167482583,-2.335541742,-2.222878378,-2.428027928,-2.39862973,-2.044781381,-1.886226727,-2.046175375,-2.005211411,-2.027376577
53,-2.159508208,-2.410571972,-2.290072072,-2.483806907,-2.398734234,-2.029000801,-1.940633133,-2.089237638,-1.907265465,-1.963744745
54,-2.154512212,-2.485602202,-2.357265766,-2.486848348,-2.398838739,-2.083708509,-1.99503954,-2.1322999,-1.967570571,-1.900112913
55,-2.149516216,-2.520383784,-2.413191892,-2.417375676,-2.408348649,-2.138416216,-2.03382973,-2.174394595,-2.027875676,-1.906745946
56,-2.142467968,-2.438394595,-2.348930631,-2.347903003,-2.431182883,-2.185612412,-2.027313614,-2.211472272,-2.088180781,-1.961337538
57,-2.127976476,-2.356405405,-2.284669369,-2.287607107,-2.454017117,-2.205565365,-2.020797497,-2.24854995,-2.040178078,-2.015929129
58,-2.113484985,-2.289425225,-2.220408108,-2.286176877,-2.476851351,-2.225518318,-2.020299399,-2.267101201,-1.974600901,-2.039227027
59,-2.098993493,-2.365530931,-2.260968468,-2.284746647,-2.489730631,-2.245471271,-2.077173073,-2.195620521,-1.909023724,-2.024711712
60,-2.113667968,-2.441636637,-2.311355856,-2.283316416,-2.495582883,-2.21332012,-2.134046747,-2.12413984,-1.9156998,-2.010196396
61,-2.128531832,-2.517742342,-2.361743243,-2.301823724,-2.501435135,-2.180830631,-2.19092042,-2.075566066,-1.967248949,-1.998198198
62,-2.143395696,-2.477737938,-2.329211712,-2.323885786,-2.507287387,-2.148341141,-2.213451251,-2.131600501,-2.018798098,-1.991768168
63,-2.168475075,-2.429468068,-2.267977477,-2.345947848,-2.5395,-2.12833994,-2.233537337,-2.187634935,-2.050789189,-1.985338138
64,-2.196589189,-2.381198198,-2.206743243,-2.337010811,-2.5801,-2.112048649,-2.253623423,-2.229587387,-2.049956757,-1.983827027
65,-2.224703303,-2.399436036,-2.184572072,-2.303963363,-2.6207,-2.095757357,-2.230722523,-2.210964965,-2.049124324,-2.006363964
66,-2.222459059,-2.437299099,-2.191698198,-2.270915916,-2.6613,-2.086426026,-2.195136937,-2.192342543,-2.045673273,-2.028900901
67,-2.195213814,-2.475162162,-2.198824324,-2.272612012,-2.574197297,-2.082826426,-2.159551351,-2.178225826,-2.024677477,-2.051747748
68,-2.167968569,-2.454970671,-2.206316216,-2.365303103,-2.477635135,-2.079226827,-2.17039009,-2.182405005,-2.003681682,-2.085234835
69,-2.156363664,-2.397780681,-2.214356757,-2.457994194,-2.381072973,-2.095837337,-2.210815315,-2.186584184,-1.982685886,-2.118721922
70,-2.177123423,-2.340590691,-2.222397297,-2.550685285,-2.297075676,-2.154268769,-2.251240541,-2.182212613,-2.014677778,-2.152209009
71,-2.197883183,-2.332510811,-2.230272072,-2.503331532,-2.321973874,-2.2127002,-2.248411912,-2.145001201,-2.053462963,-2.189817417
72,-2.215862563,-2.384608108,-2.237587387,-2.454581982,-2.346872072,-2.26354004,-2.192582082,-2.10778979,-2.092248148,-2.227951952
73,-2.209687387,-2.436705405,-2.244902703,-2.405832432,-2.37177027,-2.248427928,-2.136752252,-2.08401982,-2.072525225,-2.266086486
74,-2.203512212,-2.473034835,-2.25307027,-2.386108909,-2.39294955,-2.233315816,-2.111529029,-2.109161762,-2.020297798,-2.233832733
75,-2.197337037,-2.470377778,-2.2753,-2.378592593,-2.404366667,-2.218203704,-2.161981481,-2.134303704,-1.96807037,-2.177522222
76,-2.191161862,-2.467720721,-2.29752973,-2.371076276,-2.415783784,-2.209732132,-2.212433934,-2.162486186,-1.956498198,-2.121211712
77,-2.184986687,-2.456234835,-2.319759459,-2.361627628,-2.427200901,-2.202160561,-2.252968468,-2.201168669,-2.006074174,-2.089578679
78,-2.178811512,-2.38383003,-2.370699099,-2.349485886,-2.448256757,-2.194588989,-2.225069369,-2.239851151,-2.05565015,-2.07414024
79,-2.168674775,-2.311425225,-2.425343243,-2.337344144,-2.481175676,-2.206621021,-2.19717027,-2.257007508,-2.095395495,-2.058701802
80,-2.15647958,-2.23902042,-2.479987387,-2.333811011,-2.514094595,-2.228839239,-2.169271171,-2.203514014,-2.081891592,-2.04266006
81,-2.144284384,-2.249658659,-2.4856,-2.387094695,-2.547013514,-2.251057457,-2.120641842,-2.150020521,-2.068387688,-2.025916517
82,-2.112954054,-2.263291892,-2.4716,-2.440378378,-2.567543243,-2.236451351,-2.071264865,-2.12282973,-2.054883784,-2.009172973
83,-2.056818919,-2.276925125,-2.4576,-2.493662062,-2.580501802,-2.17411001,-2.021887888,-2.177794294,-2.051477878,-2.017689489
84,-2.000683784,-2.299508108,-2.409331532,-2.508948849,-2.59346036,-2.111768669,-2.023158358,-2.232758859,-2.049042242,-2.079697898
85,-1.967341441,-2.324275676,-2.332205405,-2.517286787,-2.606418919,-2.079718619,-2.036791592,-2.258336036,-2.046606607,-2.141706306
86,-2.018263363,-2.349043243,-2.255079279,-2.525624725,-2.569751351,-2.159654555,-2.050424825,-2.196450751,-2.049697297,-2.194830931
87,-2.069185285,-2.38642973,-2.215793694,-2.480495195,-2.520137838,-2.23959049,-2.08065976,-2.134565465,-2.055524324,-2.207277177
88,-2.120107207,-2.430840541,-2.240545946,-2.393220721,-2.470524324,-2.319526426,-2.120136036,-2.102672973,-2.061351351,-2.219723423
89,-2.111565165,-2.475251351,-2.265298198,-2.305946246,-2.420910811,-2.278414014,-2.159612312,-2.155932432,-2.079268669,-2.230883183
90,-2.102442042,-2.484347648,-2.291847748,-2.268247447,-2.406738739,-2.236118719,-2.167212713,-2.209191892,-2.113521722,-2.209237538
91,-2.093318919,-2.455341441,-2.325586486,-2.362551351,-2.393832432,-2.193823423,-2.140420721,-2.245415315,-2.147774775,-2.187591892
92,-2.127340741,-2.426335235,-2.359325225,-2.456855255,-2.380926126,-2.208967367,-2.113628729,-2.235452152,-2.181360761,-2.165946246
93,-2.174414815,-2.413495095,-2.392881982,-2.551159159,-2.369194595,-2.241487888,-2.072743243,-2.225488989,-2.211944945,-2.134971772
94,-2.221488889,-2.435067868,-2.420251351,-2.503030631,-2.364805405,-2.274008408,-2.001856757,-2.193239339,-2.242529129,-2.102917117
95,-2.219182482,-2.456640641,-2.447620721,-2.453003003,-2.360416216,-2.258907808,-1.93097027,-2.103236537,-2.273113313,-2.070862462
96,-2.175676977,-2.466346547,-2.47499009,-2.402975375,-2.356027027,-2.204075976,-1.888882583,-2.013233734,-2.220526827,-2.075684685
97,-2.132171471,-2.412920721,-2.450197297,-2.354653453,-2.365291892,-2.149244144,-2.000004505,-1.961678979,-2.162472372,-2.092491892
98,-2.084671972,-2.359494895,-2.416710811,-2.30706026,-2.404899099,-2.126574474,-2.111126426,-2.005443343,-2.104417918,-2.109299099
99,-2.028785085,-2.306069069,-2.383224324,-2.259467067,-2.444506306,-2.171445345,-2.222248348,-2.049207708,-2.147708208,-2.15072042
100,-1.972898198,-2.337336937,-2.334948649,-2.261542342,-2.484113514,-2.216316216,-2.122928829,-2.085975676,-2.235514414,-2.207667568
101,-1.9292996,-2.368873674,-2.279894595,-2.333784184,-2.513176577,-2.25966967,-2.022941241,-2.106136036,-2.323320621,-2.264614715
102,-1.996295596,-2.40041041,-2.224840541,-2.406026026,-2.530942342,-2.289366366,-1.922953654,-2.126296396,-2.328032933,-2.271081381
103,-2.063291592,-2.421535135,-2.226462162,-2.457561562,-2.548708108,-2.319063063,-1.940352252,-2.154982282,-2.231717417,-2.22100991
104,-2.130287588,-2.440609009,-2.281610811,-2.3684004,-2.566473874,-2.34875976,-1.980872372,-2.20305956,-2.135401902,-2.170938438
105,-2.154727427,-2.459682883,-2.336759459,-2.279239239,-2.486055856,-2.323893093,-2.021392492,-2.251136837,-2.049073974,-2.110461562
106,-2.173221922,-2.429461862,-2.389194595,-2.190078078,-2.353962162,-2.291403604,-2.040356757,-2.263751652,-2.000823724,-2.028876577
107,-2.191716416,-2.375403403,-2.436428829,-2.265894695,-2.221868468,-2.258914114,-2.048897297,-2.199024525,-1.952573473,-1.947291592
108,-2.209763864,-2.321344945,-2.483663063,-2.372644645,-2.089774775,-2.267898398,-2.057437838,-2.134297397,-1.904323223,-1.892205105
109,-2.227575676,-2.329135135,-2.517967568,-2.479394595,-2.062545946,-2.298743243,-2.021286486,-2.075645946,-1.953854054,-1.951062162
110,-2.245387487,-2.39571972,-2.489778378,-2.475135736,-2.057163964,-2.329588088,-1.94265025,-2.029708408,-2.007006406,-2.009919219
111,-2.231744845,-2.462304304,-2.461589189,-2.382201201,-2.051781982,-2.311554454,-1.864014014,-1.983770871,-2.060158759,-2.068222222
112,-2.176788889,-2.490722222,-2.4334,-2.289266667,-2.0464,-2.229322222,-1.852655556,-1.981144444,-2.058177778,-2.115333333
113,-2.121832933,-2.448652152,-2.351985586,-2.248634835,-2.056928829,-2.14708999,-1.965548849,-2.06553043,-2.034838839,-2.162444444
114,-2.082206306,-2.406582082,-2.270571171,-2.349603003,-2.067457658,-2.095627027,-2.078442142,-2.149916416,-2.0114999,-2.209555556
115,-2.100359459,-2.36068018,-2.189156757,-2.450571171,-2.077986486,-2.160140541,-2.157077177,-2.201585886,-2.054700901,-2.23689009
116,-2.118512613,-2.298429129,-2.183717117,-2.551539339,-2.090866667,-2.224654054,-2.089543644,-2.190118218,-2.170778979,-2.262164565
117,-2.136665766,-2.236178078,-2.193996396,-2.505342042,-2.115033333,-2.289167568,-2.02201011,-2.178650551,-2.286857057,-2.287439039
118,-2.143608108,-2.177859459,-2.204275676,-2.456683784,-2.1392,-2.299740541,-1.957918919,-2.180054054,-2.360441441,-2.258178378
119,-2.150403904,-2.25368048,-2.220087387,-2.408025526,-2.163366667,-2.309608408,-2.01124985,-2.20532973,-2.294740941,-2.212085886
120,-2.1571997,-2.329501502,-2.238785586,-2.360916416,-2.171578378,-2.319476276,-2.064580781,-2.230605405,-2.22904044,-2.165993393
121,-2.185441742,-2.405322523,-2.257483784,-2.31447958,-2.149475676,-2.33416006,-2.117911712,-2.217322523,-2.16333994,-2.181223423
122,-2.22028959,-2.372201802,-2.264572973,-2.268042743,-2.127372973,-2.350327227,-2.111697698,-2.135276877,-2.207671471,-2.233618619
123,-2.255137437,-2.322381982,-2.25937027,-2.268728028,-2.10527027,-2.366494394,-2.096356356,-2.053231231,-2.253085285,-2.286013814
124,-2.251525225,-2.272562162,-2.254167568,-2.336892192,-2.097383784,-2.368384084,-2.081015015,-2.030727928,-2.298499099,-2.276336036
125,-2.215405105,-2.292722823,-2.265038739,-2.405056356,-2.102765766,-2.358205906,-2.025582783,-2.110366366,-2.26574975,-2.199716817
126,-2.179284985,-2.342068168,-2.31098018,-2.45372983,-2.108147748,-2.348027728,-1.953431031,-2.190004805,-2.206492893,-2.123097598
127,-2.160120721,-2.391413514,-2.356921622,-2.365968468,-2.11352973,-2.323232432,-1.881279279,-2.209632432,-2.147236036,-2.097635135
128,-2.177094695,-2.412953053,-2.388435135,-2.278207107,-2.111578378,-2.267283483,-1.874501301,-2.130194595,-2.113517718,-2.171644144
129,-2.194068669,-2.411213313,-2.333381081,-2.190445746,-2.106327027,-2.211334535,-1.922454855,-2.050756757,-2.105008408,-2.245653153
130,-2.207562162,-2.409473574,-2.278327027,-2.214971171,-2.101075676,-2.166334535,-1.970408408,-2.021834234,-2.096499099,-2.300661261
131,-2.188571171,-2.383061461,-2.223272973,-2.261073273,-2.095824324,-2.223524725,-2.005825926,-2.073187988,-2.088638438,-2.278760961
132,-2.16958018,-2.316888088,-2.310038739,-2.307175375,-2.081406306,-2.280714915,-2.021040741,-2.124541742,-2.082626426,-2.256860661
133,-2.150589189,-2.250714715,-2.400975676,-2.32515976,-2.065521622,-2.337905105,-2.036255556,-2.115907508,-2.076614414,-2.230192793
134,-2.132222122,-2.205891692,-2.491912613,-2.320382182,-2.049636937,-2.325622723,-2.055352252,-2.015473473,-2.070734034,-2.124065465
135,-2.113944845,-2.2360999,-2.487296396,-2.315604605,-2.036345045,-2.303342442,-2.088090991,-1.915039439,-2.072830531,-2.017938138
