time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-0.3064,-0.1643,-0.0134,-0.0305,-0.0433,-0.176,-0.0877,-0.1495,-0.2395,-0.1464
2,-0.324925526,-0.150287187,-0.01258018,-0.028461161,-0.043718018,-0.1724004,-0.090072372,-0.149667167,-0.228832533,-0.145890691
3,-0.343451051,-0.136274374,-0.01176036,-0.026422322,-0.044136036,-0.168800801,-0.092444745,-0.149834334,-0.218165065,-0.145381381
4,-0.361976577,-0.122261562,-0.010940541,-0.024383483,-0.044554054,-0.165201201,-0.094817117,-0.150045646,-0.207497598,-0.144872072
5,-0.334304404,-0.118753253,-0.010852252,-0.02254014,-0.045661261,-0.163217918,-0.094987788,-0.155127528,-0.191255856,-0.150074174
6,-0.293405506,-0.117266567,-0.010915315,-0.020775175,-0.050076577,-0.161697397,-0.094734735,-0.160209409,-0.17321982,-0.156217718
7,-0.252506607,-0.11577988,-0.010978378,-0.01901021,-0.054491892,-0.160176877,-0.094481682,-0.165224024,-0.155183784,-0.162361261
8,-0.228704404,-0.112086787,-0.007518919,-0.01678979,-0.058907207,-0.157916016,-0.094614214,-0.166561361,-0.142667467,-0.164214114
9,-0.218619319,-0.107342042,-0.002221622,-0.01395976,-0.062268468,-0.155061161,-0.094930531,-0.167898699,-0.135391391,-0.164373273
10,-0.208534234,-0.102597297,0.003075676,-0.01112973,-0.063627027,-0.152206306,-0.095246847,-0.169176577,-0.128115315,-0.164532432
11,-0.200305005,-0.09626987,0.008755856,-0.008372873,-0.064985586,-0.149949449,-0.09633003,-0.168307307,-0.119451752,-0.164343544
12,-0.195805506,-0.088456857,0.014841441,-0.00606016,-0.066344144,-0.148894394,-0.098133033,-0.167438038,-0.107026927,-0.163897898
13,-0.191306006,-0.080643844,0.020927027,-0.003747447,-0.066445946,-0.147839339,-0.099936036,-0.166670871,-0.094602102,-0.163452252
14,-0.186513814,-0.079041842,0.02616036,-0.001434735,-0.065374775,-0.146355455,-0.10146997,-0.168643443,-0.082128428,-0.162854655
15,-0.179345646,-0.088752753,0.029534234,0.001997097,-0.064303604,-0.14139049,-0.102513814,-0.170616016,-0.067822923,-0.162058859
16,-0.172177477,-0.098463664,0.032908108,0.005618318,-0.063232432,-0.136425526,-0.103557658,-0.172456456,-0.053517417,-0.161263063
17,-0.165009309,-0.107649449,0.036957658,0.00923954,-0.065764865,-0.131460561,-0.104247347,-0.171486887,-0.039211912,-0.160420721
18,-0.160566366,-0.11464004,0.045061261,0.011198298,-0.069918919,-0.128835435,-0.103456557,-0.170517317,-0.030503203,-0.159465766
19,-0.15647027,-0.121630631,0.053164865,0.011898198,-0.074072973,-0.126508108,-0.102665766,-0.169524324,-0.02335045,-0.158510811
20,-0.152374174,-0.127554154,0.061268468,0.012598098,-0.078227027,-0.124180781,-0.101833934,-0.16812012,-0.016197698,-0.157892192
21,-0.149721522,-0.100825425,0.055312613,0.013952252,-0.07925045,-0.119461461,-0.099746246,-0.166715916,-0.006353053,-0.159165465
22,-0.147797598,-0.074096697,0.048943243,0.016964865,-0.079772973,-0.113534535,-0.097658559,-0.165383183,0.005794294,-0.160438739
23,-0.145873674,-0.047367968,0.042573874,0.019977477,-0.080295495,-0.107607608,-0.095570871,-0.165115716,0.017941642,-0.161726727
24,-0.142002402,-0.02931041,0.047732432,0.02299009,-0.080734234,-0.104395996,-0.09496967,-0.164848248,0.029742843,-0.16455976
25,-0.135672072,-0.012545646,0.055772973,0.030248949,-0.078827027,-0.104613213,-0.09459009,-0.164484685,0.040718619,-0.167392793
26,-0.129341742,0.004219119,0.063813514,0.037521822,-0.07691982,-0.10483043,-0.094210511,-0.16287988,0.051694394,-0.170225826
27,-0.1228004,0.016589089,0.067374775,0.044794695,-0.075012613,-0.103686286,-0.093068569,-0.161275075,0.062434735,-0.16792012
28,-0.115508108,0.027154054,0.068289189,0.048089189,-0.073743243,-0.097697297,-0.091613514,-0.159678378,0.068878378,-0.164832432
29,-0.108215816,0.037719019,0.069203604,0.049762863,-0.074918919,-0.091708308,-0.090158458,-0.158173874,0.075322022,-0.161744745
30,-0.100923524,0.049305706,0.072582883,0.051436537,-0.076094595,-0.085719319,-0.088374374,-0.156669369,0.081765666,-0.158263964
31,-0.093136336,0.061736937,0.078889189,0.053536336,-0.07727027,-0.079142643,-0.086318318,-0.155020721,0.090452553,-0.154635135
32,-0.085347548,0.074168168,0.085195495,0.056214214,-0.078505405,-0.072564064,-0.084262262,-0.151911411,0.099670971,-0.151006306
33,-0.077558759,0.086086486,0.088826126,0.058892092,-0.079837838,-0.065985485,-0.082145145,-0.148802102,0.108889389,-0.149295195
34,-0.071283483,0.097189189,0.085767568,0.061969369,-0.08117027,-0.06277027,-0.079930931,-0.145953754,0.11930961,-0.148945045
35,-0.06544965,0.108291892,0.082709009,0.067538138,-0.082502703,-0.060536036,-0.077716717,-0.145485686,0.130655355,-0.148594895
36,-0.059615816,0.117191391,0.081816216,0.073106907,-0.081211712,-0.058301802,-0.075886286,-0.145017618,0.142001101,-0.145548949
37,-0.05308018,0.118488288,0.097708108,0.078675676,-0.077789189,-0.053859459,-0.07538018,-0.14383964,0.151305405,-0.139118919
38,-0.045974074,0.119785185,0.1136,0.080122222,-0.074366667,-0.047622222,-0.074874074,-0.136785185,0.1563,-0.132688889
39,-0.038867968,0.122285285,0.129491892,0.080852553,-0.070944144,-0.041384985,-0.074053654,-0.129730731,0.161294595,-0.126883483
40,-0.030454955,0.142592793,0.13257027,0.081582883,-0.070018919,-0.034371772,-0.068581381,-0.123336036,0.166865766,-0.122522523
41,-0.019376877,0.1629003,0.134872072,0.08542953,-0.070045045,-0.025776176,-0.063109109,-0.121931832,0.17925976,-0.118161562
42,-0.008298799,0.183207808,0.137173874,0.091667768,-0.070071171,-0.017180581,-0.057636837,-0.120527628,0.191653754,-0.114413213
43,0.00233994,0.203087387,0.146821622,0.097906006,-0.070097297,-0.009156456,-0.055702102,-0.119064565,0.204047748,-0.113872072
44,0.009290891,0.22292042,0.158645946,0.105284384,-0.069818919,-0.005929229,-0.054152152,-0.117192292,0.214640941,-0.113330931
45,0.016241842,0.242753453,0.17047027,0.1156003,-0.069505405,-0.002702002,-0.052602202,-0.11532002,0.224876777,-0.11266006
46,0.023192793,0.251647748,0.178037838,0.125916216,-0.069191892,0.000525225,-0.04885045,-0.113227027,0.235112613,-0.105243243
47,0.032145946,0.256708809,0.182767568,0.136232132,-0.068921622,0.006687187,-0.044327127,-0.109716517,0.244346446,-0.097826426
48,0.041362162,0.26176987,0.187497297,0.142255355,-0.069235135,0.013234735,-0.039803804,-0.106206006,0.252886587,-0.09040961
49,0.050578378,0.271080781,0.195564865,0.14825015,-0.069548649,0.019782282,-0.034034835,-0.103233634,0.261426727,-0.086679279
50,0.061210511,0.28348038,0.208082883,0.154244945,-0.069862162,0.028094595,-0.027360561,-0.103467668,0.270298899,-0.083464264
51,0.072567868,0.29587998,0.220600901,0.160497998,-0.072181081,0.037310811,-0.020686286,-0.103701702,0.279794795,-0.080249249
52,0.083925225,0.306614715,0.232956757,0.166857958,-0.080802703,0.046527027,-0.016258258,-0.104803604,0.289290691,-0.087457658
53,0.091075976,0.315028729,0.244844144,0.173217918,-0.089424324,0.054572472,-0.014961361,-0.110721321,0.298648849,-0.098407808
54,0.092844745,0.323442743,0.256731532,0.180718218,-0.098045946,0.06112002,-0.013664464,-0.116639039,0.306819019,-0.109357958
55,0.094613514,0.328354054,0.267948649,0.189786486,-0.103791892,0.067667568,-0.010883784,-0.120432432,0.314989189,-0.114008108
56,0.098286987,0.323103203,0.272016216,0.198854755,-0.105463964,0.073893193,-0.003798298,-0.113210811,0.323159359,-0.114358258
57,0.108868569,0.317852352,0.276083784,0.207968168,-0.107136036,0.078951251,0.003287187,-0.105989189,0.327695395,-0.114708408
58,0.11945015,0.312733634,0.280151351,0.217371171,-0.108808108,0.084009309,0.009916216,-0.098162763,0.331641742,-0.108442342
59,0.130031732,0.308874575,0.283469369,0.226774174,-0.104476577,0.089067367,0.012193694,-0.087397197,0.335588088,-0.094181682
60,0.14381972,0.305015516,0.286717117,0.236177177,-0.095907207,0.097979279,0.014471171,-0.076631632,0.342159059,-0.079921021
61,0.157628529,0.301156456,0.289964865,0.24180961,-0.087337838,0.106916216,0.016748649,-0.067385586,0.35036006,-0.065967568
62,0.171437337,0.293074675,0.298389189,0.24676977,-0.078768468,0.115853153,0.018435536,-0.065078679,0.358561061,-0.052693694
63,0.179097698,0.284692292,0.308605405,0.25172993,-0.072022523,0.124694394,0.02008038,-0.062771772,0.366612412,-0.03941982
64,0.184931532,0.27630991,0.318821622,0.257871171,-0.065856757,0.133507207,0.021725225,-0.059809009,0.374412613,-0.026464865
65,0.190765365,0.283046246,0.321668468,0.264931031,-0.059690991,0.14232002,0.027082583,-0.054025025,0.382212813,-0.015069069
66,0.194948549,0.294243844,0.318988288,0.271990891,-0.053525225,0.148699399,0.033535435,-0.048241041,0.389812813,-0.003673273
67,0.197772372,0.305441441,0.316308108,0.279504805,-0.049086486,0.153074775,0.039988288,-0.043018619,0.396071471,0.00727027
68,0.200596196,0.318764164,0.320665766,0.288207908,-0.044775676,0.15745015,0.045591091,-0.040076476,0.40233013,0.002686486
69,0.204987087,0.333441241,0.33558018,0.296911011,-0.040464865,0.163099399,0.050652152,-0.037134334,0.408588789,-0.001897297
70,0.212620721,0.348118318,0.350494595,0.305614114,-0.036548649,0.171384685,0.055713213,-0.037196697,0.410557057,-0.006481081
71,0.220254354,0.361302903,0.364212613,0.312810711,-0.036052252,0.17966997,0.062252553,-0.048798098,0.411975275,-0.009512312
72,0.227823924,0.372658659,0.373892793,0.319992292,-0.035555856,0.188099399,0.070603303,-0.060399499,0.413393493,-0.012345345
73,0.234836937,0.384014414,0.383572973,0.327173874,-0.035059459,0.197781081,0.078954054,-0.068130631,0.412453153,-0.015178378
74,0.24184995,0.393639439,0.393451351,0.335940641,-0.033316216,0.207462763,0.087578078,-0.061778278,0.410202503,-0.004299099
75,0.248862963,0.398985185,0.4066,0.345374074,-0.0283,0.217144444,0.096877778,-0.055425926,0.407951852,0.011266667
76,0.255875976,0.404330931,0.419748649,0.354807508,-0.023283784,0.226798799,0.106177477,-0.04845045,0.409912012,0.026832432
77,0.262888989,0.409404404,0.432897297,0.363554454,-0.018267568,0.236449449,0.115449149,-0.039323123,0.418205506,0.035190991
78,0.269902002,0.412599199,0.444146847,0.371344645,-0.020465766,0.2461001,0.124527427,-0.030195796,0.426498999,0.03881982
79,0.276363664,0.415793994,0.455151351,0.379134835,-0.031543243,0.252728529,0.133605706,-0.02092012,0.435537237,0.042448649
80,0.282538839,0.418988789,0.466155856,0.387085185,-0.042620721,0.257786587,0.142683984,-0.011157558,0.44860951,0.050639039
81,0.288714014,0.423984885,0.468714414,0.396092593,-0.053698198,0.262844645,0.156158659,-0.001394995,0.461681782,0.064135736
82,0.29692973,0.429045946,0.467894595,0.4051,-0.053472973,0.271591892,0.169791892,0.006137838,0.474754054,0.077632432
83,0.307790591,0.434107007,0.467074775,0.414107407,-0.046340541,0.285121421,0.183425125,0.006706206,0.481413113,0.090904505
84,0.318651451,0.450533233,0.472297297,0.412695896,-0.039208108,0.298650951,0.192405506,0.007274575,0.487455956,0.103700901
85,0.328415616,0.469733634,0.482608108,0.409378979,-0.032075676,0.310297598,0.20025015,0.003024925,0.493498799,0.116497297
86,0.334125325,0.488934034,0.492918919,0.406062062,-0.02742973,0.314983283,0.208094795,-0.015564064,0.4995004,0.128888589
87,0.339835035,0.5047003,0.502269369,0.39843984,-0.023432432,0.319668969,0.215858158,-0.034153053,0.505481582,0.139424925
88,0.345544745,0.518554955,0.509994595,0.387424024,-0.019435135,0.324354655,0.223576276,-0.047011712,0.511462763,0.149961261
89,0.354296797,0.53240961,0.51771982,0.376408208,-0.015437838,0.335954755,0.231294394,-0.043601502,0.517732432,0.160575676
90,0.363078579,0.5409998,0.525085586,0.375378979,-0.006799099,0.347622422,0.240077578,-0.040191291,0.524391892,0.173181081
91,0.37186036,0.54390991,0.531013514,0.400940541,0.002005405,0.35929009,0.25000991,-0.034177477,0.531051351,0.185786486
92,0.382976877,0.54682002,0.536941441,0.426502102,0.01080991,0.368551552,0.259942242,-0.021105005,0.538338639,0.198391892
93,0.3947997,0.547384585,0.543174775,0.452063664,0.019502703,0.377085085,0.268853453,-0.008032533,0.548451151,0.207887688
94,0.406622523,0.542956156,0.559791892,0.46197958,0.027497297,0.385618619,0.275590991,0.006771471,0.558563664,0.217023423
95,0.415011211,0.538527728,0.576409009,0.471686887,0.035491892,0.394473574,0.282328529,0.026062563,0.568676176,0.226159159
