Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-22.78888,-24.29332,-24.15112,-24.62812,-25.6348,-24.85072,-25.90792,-24.26836,-26.62984
2,-22.78465178,-24.28939928,-24.150911,-24.62948757,-25.63730739,-24.84461309,-25.89495928,-24.27275783,-26.62743496
3,-22.78042354,-24.28547856,-24.15070198,-24.63085514,-25.63981478,-24.83850618,-25.88199856,-24.27715568,-26.62502991
4,-22.77619532,-24.28155784,-24.15049298,-24.6322227,-25.64232216,-24.83239928,-25.86903784,-24.28155351,-26.62262487
5,-22.77196709,-24.27763712,-24.15028396,-24.63359027,-25.64482955,-24.82629237,-25.85607712,-24.28595135,-26.62021982
6,-22.76773886,-24.27371639,-24.15007496,-24.63495784,-25.64733694,-24.82018546,-25.8431164,-24.29034918,-26.61781478
7,-22.76351063,-24.2699546,-24.1484173,-24.63632541,-25.64984433,-24.81407856,-25.83015568,-24.29474703,-26.61540972
8,-22.75822138,-24.26732036,-24.14260685,-24.63415136,-25.65235172,-24.80868756,-25.81777874,-24.29693946,-26.61300468
9,-22.75259015,-24.26468613,-24.13679639,-24.63177297,-25.6537236,-24.80336865,-25.80767856,-24.29869082,-26.60917406
10,-22.74695892,-24.26205189,-24.13098594,-24.62939459,-25.65505406,-24.79804973,-25.79757838,-24.30044217,-26.60521082
11,-22.74132768,-24.25941766,-24.1251755,-24.62701622,-25.65638451,-24.79273082,-25.7874782,-24.30219351,-26.60124756
12,-22.73569646,-24.25678342,-24.11936505,-24.62463784,-25.65771496,-24.78741189,-25.77737802,-24.30394486,-26.59728432
13,-22.73006523,-24.25338234,-24.11919784,-24.62225946,-25.6590454,-24.78209297,-25.76727784,-24.30569621,-26.59332108
14,-22.72553717,-24.24764421,-24.12429766,-24.62867459,-25.66037585,-24.78034739,-25.75717766,-24.30605946,-26.58935783
15,-22.7220585,-24.24190607,-24.12939748,-24.63616649,-25.6617063,-24.7794018,-25.74639279,-24.30572865,-26.58539459
16,-22.71857982,-24.23616792,-24.1344973,-24.64365838,-25.65769334,-24.77845622,-25.73461514,-24.30539783,-26.58306162
17,-22.71510114,-24.23042979,-24.13959712,-24.65115027,-25.65327556,-24.77751063,-25.72283747,-24.30506703,-26.58106306
18,-22.71162246,-24.22469165,-24.14469694,-24.65864217,-25.64885777,-24.77656504,-25.71105982,-24.30473621,-26.57906451
19,-22.70814378,-24.2205427,-24.14629406,-24.66613406,-25.64444,-24.77561946,-25.69928217,-24.30440541,-26.57706594
20,-22.70152468,-24.21909285,-24.14687928,-24.6628346,-25.64002222,-24.77536,-25.6875045,-24.30072756,-26.57506739
21,-22.68636072,-24.21764301,-24.1474645,-24.65742378,-25.63560444,-24.77536,-25.67572685,-24.2937027,-26.57306883
22,-22.67119676,-24.21619316,-24.14804973,-24.65201297,-25.63118667,-24.77536,-25.66429514,-24.28667783,-26.57107028
23,-22.65603279,-24.2147433,-24.14863496,-24.64660216,-25.62411448,-24.77536,-25.65308253,-24.27965297,-26.56900865
24,-22.64086883,-24.21329345,-24.14921081,-24.64119135,-25.61672877,-24.77536,-25.64186991,-24.27262811,-26.5669254
25,-22.62570486,-24.20884685,-24.14952432,-24.63578054,-25.60934307,-24.77536,-25.6306573,-24.26560324,-26.56484217
26,-22.61064228,-24.20133213,-24.14983784,-24.6339027,-25.60195736,-24.76078126,-25.61944468,-24.26241838,-26.56275892
27,-22.59953357,-24.19381742,-24.15015135,-24.63301082,-25.59457166,-24.73779171,-25.60823207,-24.26691351,-26.56067567
28,-22.58842486,-24.1863027,-24.15046486,-24.63211892,-25.58718594,-24.71480217,-25.59701946,-24.27140865,-26.55859244
29,-22.57731616,-24.17878799,-24.15077838,-24.63122703,-25.57980024,-24.69181262,-25.58482667,-24.27590379,-26.55650919
30,-22.56620745,-24.17127327,-24.14948072,-24.63033514,-25.56866295,-24.66882306,-25.57241333,-24.28039892,-26.54588
31,-22.55509874,-24.16652072,-24.14429729,-24.62944324,-25.55691063,-24.64583351,-25.56,-24.28489406,-26.53084
32,-22.54399004,-24.16347808,-24.13911387,-24.62627387,-25.54515832,-24.63329946,-25.54758666,-24.28953514,-26.5158
33,-22.5377612,-24.16043543,-24.13393046,-24.62225045,-25.53340601,-24.62957621,-25.53517334,-24.29490594,-26.50076
34,-22.53289874,-24.1573928,-24.12874703,-24.61822703,-25.52165369,-24.62585297,-25.52276,-24.30027676,-26.48572
35,-22.52803628,-24.15435015,-24.12356361,-24.6142036,-25.50990138,-24.62212973,-25.51012901,-24.30564756,-26.47068
36,-22.52317382,-24.15130751,-24.12055964,-24.61018018,-25.49814906,-24.61840649,-25.48705046,-24.31101838,-26.45564
37,-22.51831136,-24.14428432,-24.11932649,-24.60615676,-25.48285514,-24.61468324,-25.46397189,-24.31638918,-26.44968756
38,-22.51344888,-24.13587111,-24.11809334,-24.60312,-25.46680444,-24.6096,-25.44089333,-24.32176,-26.45046666
39,-22.50548733,-24.1274579,-24.11686018,-24.60056325,-25.45075376,-24.6028627,-25.41781478,-24.32253838,-26.45124576
40,-22.4948591,-24.11904468,-24.11562702,-24.59800649,-25.43470306,-24.59612541,-25.39473622,-24.32331676,-26.45202486
41,-22.48423088,-24.11063147,-24.11439387,-24.59544972,-25.41865238,-24.5893881,-25.37165765,-24.32409514,-26.45280396
42,-22.47360264,-24.10221826,-24.11580288,-24.59289297,-25.40260168,-24.58265081,-25.3483373,-24.32487351,-26.45358306
43,-22.46297441,-24.08645946,-24.11783027,-24.59033621,-25.386551,-24.57591351,-25.32418162,-24.32565189,-26.45436216
44,-22.45234619,-24.06955136,-24.11985766,-24.58607639,-25.37335244,-24.56919748,-25.30002594,-24.32643027,-26.45170991
45,-22.44206799,-24.05264325,-24.12188505,-24.58076469,-25.36091783,-24.56251928,-25.27587027,-24.32600865,-26.44547711
46,-22.43263136,-24.03573514,-24.12391244,-24.57545297,-25.34848324,-24.55584108,-25.25171459,-24.32534703,-26.43924432
47,-22.42319471,-24.01882703,-24.12505334,-24.57014126,-25.33604865,-24.54916288,-25.22755892,-24.32468541,-26.43301154
48,-22.41375808,-24.00191892,-24.11422667,-24.56482955,-25.32361406,-24.54248469,-25.20340324,-24.32402379,-26.42677874
49,-22.40432144,-23.98604,-24.1034,-24.55951784,-25.31117946,-24.53580648,-25.18163135,-24.32336217,-26.42054595
50,-22.3948848,-23.97017333,-24.09257333,-24.55417262,-25.29874486,-24.52848876,-25.16303783,-24.32270054,-26.41431315
51,-22.38503495,-23.95430667,-24.08174667,-24.54880144,-25.2799224,-24.5194269,-25.14444432,-24.32412756,-26.40876504
52,-22.36733405,-23.93844,-24.07092,-24.54343028,-25.25901045,-24.51036504,-25.12585082,-24.32659892,-26.40422595
53,-22.34963315,-23.92257333,-24.0633045,-24.5380591,-25.2380985,-24.50130318,-25.1072573,-24.32907027,-26.39968685
54,-22.33193225,-23.90636433,-24.06228036,-24.53268792,-25.21718655,-24.49224132,-25.08866379,-24.33154162,-26.39514774
55,-22.31423135,-23.88743459,-24.06125621,-24.52731676,-25.19627459,-24.48317946,-25.07007027,-24.33401297,-26.39060865
56,-22.29653045,-23.86850487,-24.06023207,-24.52249046,-25.17536265,-24.47357417,-25.05132036,-24.33648432,-26.38606955
57,-22.27882955,-23.84957513,-24.05920793,-24.51818955,-25.15445069,-24.46143916,-25.03247964,-24.33593946,-26.38153046
58,-22.25493045,-23.83064541,-24.05818378,-24.51388865,-25.14009369,-24.44930415,-25.01363892,-24.33237838,-26.37909946
59,-22.22954186,-23.81171567,-24.05491748,-24.50958774,-25.12830726,-24.43716912,-24.9947982,-24.3288173,-26.38116576
60,-22.20415328,-23.79248325,-24.05006847,-24.50528685,-25.11652084,-24.42503411,-24.97595747,-24.32525621,-26.38323207
61,-22.17876468,-23.77226703,-24.04521946,-24.50098594,-25.10473442,-24.4128991,-24.95711675,-24.32169514,-26.38529838
62,-22.15337609,-23.75205081,-24.04037045,-24.49533369,-25.09294799,-24.40155111,-24.93827603,-24.31813406,-26.38736469
63,-22.12798751,-23.7318346,-24.03552144,-24.48805982,-25.08116156,-24.39863555,-24.91850451,-24.31360649,-26.38943099
64,-22.10281514,-23.71161838,-24.03067244,-24.48078594,-25.06937513,-24.39572,-24.89855135,-24.30714594,-26.3914973
65,-22.07781093,-23.69140216,-24.02405765,-24.47351207,-25.05109874,-24.39280444,-24.8785982,-24.30068541,-26.39173226
66,-22.05280673,-23.67275399,-24.01711856,-24.4662382,-25.02981153,-24.38988888,-24.85864504,-24.29422486,-26.3859737
67,-22.02780252,-23.65690775,-24.01017946,-24.45896433,-25.00852432,-24.38697333,-24.8386919,-24.28776432,-26.38021514
68,-22.00279832,-23.6410615,-24.00324036,-24.45056469,-24.98723711,-24.38405777,-24.81873874,-24.28130379,-26.37445658
69,-21.97779412,-23.62521526,-23.99630126,-24.4404764,-24.9659499,-24.38400084,-24.79839712,-24.27500217,-26.36869802
70,-21.9527164,-23.60936901,-23.98837622,-24.4303881,-24.94466271,-24.38396144,-24.76892649,-24.26949514,-26.36293946
71,-21.92748156,-23.59352277,-23.97190631,-24.42029982,-24.9233755,-24.38392204,-24.73945586,-24.26398811,-26.3571809
72,-21.90224673,-23.57688852,-23.9554364,-24.41021153,-24.90525994,-24.38388264,-24.70998522,-24.25848108,-26.35075892
73,-21.87701189,-23.55940865,-23.93896649,-24.40012324,-24.88886811,-24.38384325,-24.68051459,-24.25297406,-26.34054594
74,-21.85177706,-23.54192877,-23.92249658,-24.38727568,-24.87247628,-24.38380384,-24.65104396,-24.24746703,-26.33033297
75,-21.82654222,-23.52444888,-23.90602667,-24.3692,-24.85608444,-24.37108889,-24.62157333,-24.24196,-26.32012
76,-21.80105225,-23.50696901,-23.89125189,-24.35112432,-24.83969261,-24.3570036,-24.59425622,-24.24557946,-26.30990703
77,-21.77241562,-23.48948913,-23.87946378,-24.33304865,-24.82330078,-24.34291832,-24.5735791,-24.24919892,-26.29969406
78,-21.74377898,-23.47527556,-23.86767568,-24.31497297,-24.80690895,-24.32883303,-24.55290198,-24.25281838,-26.28948108
79,-21.71514234,-23.46318666,-23.85588756,-24.2968973,-24.79989117,-24.31474775,-24.53222487,-24.25643783,-26.27934594
80,-21.6865057,-23.45109778,-23.84409946,-24.27895424,-24.79879952,-24.30066246,-24.51154775,-24.2600573,-26.27035244
81,-21.65786907,-23.43900888,-23.83231136,-24.26133442,-24.79770786,-24.29482078,-24.49087064,-24.26367676,-26.26135892
82,-21.62923244,-23.42692,-23.81763027,-24.24371459,-24.79661621,-24.29090054,-24.47019351,-24.25949621,-26.25236541
83,-21.59410955,-23.41483112,-23.80118126,-24.22609478,-24.79552456,-24.2869803,-24.44571892,-24.25375568,-26.24337189
84,-21.55766991,-23.39670978,-23.78473226,-24.20847496,-24.79443291,-24.28306006,-24.41658378,-24.24801514,-26.23437838
85,-21.52123028,-23.37635063,-23.76828324,-24.19085513,-24.79334126,-24.27913982,-24.38744865,-24.24227459,-26.22538486
86,-21.48479063,-23.35599147,-23.75183423,-24.17377406,-24.78445838,-24.27521958,-24.35831351,-24.23653406,-26.21639135
87,-21.44835099,-23.33563232,-23.73538522,-24.15843351,-24.7698746,-24.26683448,-24.32917838,-24.23079351,-26.20703315
88,-21.41191136,-23.31527315,-23.71103351,-24.14309297,-24.75529082,-24.25670883,-24.30004324,-24.22828324,-26.19766703
89,-21.38377082,-23.29491399,-23.68559711,-24.12775244,-24.74070702,-24.24658318,-24.2709081,-24.22738811,-26.1883009
90,-21.3614573,-23.25548277,-23.66016072,-24.11241189,-24.72612324,-24.23645753,-24.23815208,-24.22649297,-26.17893478
91,-21.33914379,-23.21276325,-23.63472432,-24.09707135,-24.71153946,-24.2263319,-24.20347244,-24.22559783,-26.16956865
92,-21.31683027,-23.17004373,-23.60928792,-24.08051279,-24.69695567,-24.21620625,-24.1687928,-24.2247027,-26.16020253
93,-21.29451676,-23.12732421,-23.58228612,-24.05847315,-24.68870763,-24.20531351,-24.13411316,-24.22380756,-26.1508364
94,-21.27220324,-23.08460469,-23.54550054,-24.03643352,-24.68580792,-24.19396649,-24.09943352,-24.22396324,-26.14039568
95,-21.25127711,-23.04188517,-23.50871495,-24.01439387,-24.68290823,-24.18261946,-24.06475388,-24.22516973,-26.12982702
96,-21.23299964,-22.99681274,-23.47192937,-23.99235424,-24.68000853,-24.17127243,-24.03007424,-24.22637621,-26.11925838
97,-21.21472216,-22.9516836,-23.43514378,-23.9703146,-24.67710882,-24.15992541,-23.99083892,-24.2275827,-26.10868973
98,-21.19644468,-22.90655447,-23.3983582,-23.94903424,-24.67420913,-24.14857838,-23.95084432,-24.22878918,-26.09812108
99,-21.17816721,-22.86142534,-23.36802918,-23.93296036,-24.67130943,-24.13285514,-23.91084972,-24.22999568,-26.08755243
100,-21.15988973,-22.81629622,-23.34752541,-23.91688649,-24.65317082,-24.11335244,-23.87085514,-24.2314227,-26.07698379
101,-21.13967303,-22.77158162,-23.32702162,-23.90081261,-24.62021657,-24.09384972,-23.83086054,-24.23329082,-26.06441585
102,-21.10200336,-22.73059784,-23.30651783,-23.88473874,-24.58726234,-24.07434702,-23.79086595,-24.23515892,-26.05137442
103,-21.0643337,-22.68961406,-23.28601406,-23.86866486,-24.55430811,-24.05484432,-23.75039783,-24.23702703,-26.03833298
104,-21.02666403,-22.64863028,-23.26551027,-23.85268468,-24.52135388,-24.03534162,-23.70266919,-24.23889514,-26.02529153
105,-20.98899436,-22.60764648,-23.23789946,-23.8378991,-24.48839964,-24.01362918,-23.65494054,-24.24076324,-26.01225009
106,-20.95132468,-22.5666627,-23.20654811,-23.82311351,-24.4554454,-23.98916217,-23.60721189,-24.24152217,-25.99920864
107,-20.91365501,-22.52503076,-23.17519676,-23.80832793,-24.43300192,-23.96469514,-23.55948324,-24.23673514,-25.98616721
108,-20.86737862,-22.48114727,-23.1438454,-23.79354234,-24.4223242,-23.94022811,-23.5117546,-24.23194811,-25.98053838
109,-20.8196573,-22.43726379,-23.11249406,-23.77875676,-24.41164649,-23.91576108,-23.46402594,-24.22716108,-25.97774379
110,-20.77193597,-22.3933803,-23.0811427,-23.76371495,-24.40096877,-23.89129406,-23.41374882,-24.22237406,-25.97494919
111,-20.72421466,-22.34949682,-23.04772865,-23.73483748,-24.39029105,-23.86197105,-23.35641442,-24.21758703,-25.9721546
112,-20.67649334,-22.30561334,-23.01412,-23.70596,-24.37961333,-23.82377333,-23.29908,-24.2128,-25.96936
113,-20.62877201,-22.26039039,-22.98051135,-23.67708252,-24.36893561,-23.78557562,-23.24174559,-24.18639351,-25.9665654
114,-20.58200421,-22.21264745,-22.94690271,-23.64820504,-24.34693034,-23.7473779,-23.18441117,-24.15998703,-25.96377081
