Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,1.3853,0.8759,1.5794,3.5283,1.4774,2.4416,1.4388,1.2381,1.5531
2,1.38493393,0.89757688,1.57780681,3.52758629,1.46864585,2.44869059,1.44574955,1.23162553,1.54585676
3,1.38456787,0.91925375,1.57621361,3.52687257,1.45989169,2.45578118,1.4526991,1.22515105,1.53861351
4,1.3842018,0.94093063,1.57462042,3.52615886,1.45113754,2.46287177,1.45964865,1.21867658,1.53137027
5,1.38383574,0.96260751,1.57302723,3.52544515,1.44238338,2.46996236,1.4665982,1.2122021,1.52412703
6,1.38346967,0.98428438,1.57143403,3.52473143,1.43362923,2.47705295,1.47354775,1.20572763,1.51688378
7,1.3831036,1.0042027,1.57053183,3.52401772,1.42487508,2.48414354,1.48077207,1.19925315,1.50964054
8,1.37914294,0.99305315,1.5720038,3.51998108,1.41776246,2.48316787,1.48878408,1.19277868,1.5023973
9,1.37376336,0.9819036,1.57347578,3.51327838,1.41942853,2.47572042,1.4967961,1.18506877,1.49558519
10,1.36838378,0.97075405,1.57494775,3.50657568,1.42109459,2.46827297,1.50480811,1.17716486,1.48913333
11,1.3630042,0.9596045,1.57641972,3.49987297,1.42276066,2.46082553,1.51282012,1.16926096,1.48268148
12,1.35762462,0.94845495,1.57789169,3.49317027,1.42442673,2.45337808,1.52083213,1.16135706,1.47622963
13,1.35224505,0.93441351,1.57912162,3.48646757,1.42609279,2.44593063,1.52416847,1.15345315,1.46977778
14,1.34393003,0.89627297,1.58005676,3.47942623,1.42775886,2.43719329,1.52314084,1.14554925,1.46332593
15,1.33178619,0.85813243,1.58099189,3.46963594,1.42655165,2.41798509,1.52211321,1.13764535,1.45687407
16,1.31964234,0.81999189,1.58192703,3.45984565,1.4190982,2.39877688,1.52108559,1.12886336,1.45085225
17,1.3074985,0.78185135,1.58286216,3.45005536,1.41164474,2.37956867,1.52005796,1.11975425,1.4492024
18,1.29535465,0.74371081,1.5837973,3.44026507,1.40419129,2.36036046,1.51903033,1.11064515,1.44755255
19,1.28321081,0.70870541,1.58722703,3.43047477,1.39673784,2.34115225,1.51717838,1.10153604,1.4459027
20,1.27266456,0.69007237,1.59185075,3.42068448,1.38928438,2.32194404,1.51508829,1.09242693,1.44425285
21,1.2711048,0.67143934,1.59647447,3.4099972,1.38183093,2.30681872,1.5129982,1.08331782,1.442603
22,1.26954505,0.65280631,1.6010982,3.39885706,1.37296156,2.29375465,1.51090811,1.07420871,1.44095315
23,1.26798529,0.63417327,1.60572192,3.38771692,1.36251211,2.28069059,1.50881802,1.06307237,1.4393033
24,1.26642553,0.61554024,1.61034565,3.37657678,1.35206266,2.26762653,1.50633153,1.05054384,1.43476907
25,1.26486577,0.5996027,1.60608408,3.36543664,1.34161321,2.25456246,1.49274595,1.03801532,1.42857207
26,1.26330601,0.59354865,1.60085425,3.3542965,1.33116376,2.2414984,1.47916036,1.02548679,1.42237508
27,1.23656366,0.58749459,1.59562442,3.34099179,1.32071431,2.22961532,1.46557477,1.01295826,1.41617808
28,1.20598919,0.58144054,1.59039459,3.31998378,1.31026486,2.22193514,1.45198919,1.00042973,1.40998108
29,1.17541471,0.57538649,1.58516476,3.29897578,1.30220981,2.21425495,1.4384036,0.9879012,1.40378408
30,1.14484024,0.56933243,1.58043483,3.27796777,1.29556016,2.20657477,1.42604324,0.98201612,1.39758709
31,1.11426577,0.56282793,1.57913604,3.25695976,1.28891051,2.19889459,1.41663784,0.98402012,1.39193303
32,1.08369129,0.55509219,1.57783724,3.23595175,1.28226086,2.19121441,1.40723243,0.98602412,1.38876747
33,1.04414264,0.54735646,1.57653844,3.21494374,1.27561121,2.18353423,1.39782703,0.98802813,1.3856019
