Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-6.29688,-6.21861,-6.30501,-6.46302,-6.66921,-6.54773,-6.50151,-6.27963,-6.53737
2,-6.295523443,-6.218002492,-6.305879129,-6.462040571,-6.668133984,-6.545146056,-6.500750721,-6.27969,-6.536039039
3,-6.294166887,-6.217394985,-6.306748258,-6.461061141,-6.667057968,-6.542562112,-6.499991441,-6.27975,-6.534708078
4,-6.29281033,-6.216787477,-6.307617387,-6.460081712,-6.665981952,-6.539978168,-6.499232162,-6.27981,-6.533377117
5,-6.291453774,-6.21617997,-6.308486517,-6.459102282,-6.664905936,-6.537394224,-6.498472883,-6.27987,-6.532046156
6,-6.290097217,-6.215572462,-6.309355646,-6.458122853,-6.66382992,-6.53481028,-6.497713604,-6.27993,-6.530715195
7,-6.288740661,-6.215053874,-6.309741441,-6.457143423,-6.662753904,-6.532226336,-6.496954324,-6.27999,-6.529384234
8,-6.287591221,-6.215166186,-6.308741682,-6.457122793,-6.661677888,-6.531994474,-6.496586937,-6.278886486,-6.528053273
9,-6.286508539,-6.215278498,-6.307741922,-6.457157477,-6.660319369,-6.531999399,-6.497747928,-6.27755027,-6.527222042
10,-6.285425856,-6.215390811,-6.306742162,-6.457192162,-6.658950541,-6.532004324,-6.498908919,-6.276214054,-6.526437297
11,-6.284343173,-6.215503123,-6.305742402,-6.457226847,-6.657581712,-6.532009249,-6.50006991,-6.274877838,-6.525652553
12,-6.28326049,-6.215615435,-6.304742643,-6.457261532,-6.656212883,-6.532014174,-6.501230901,-6.273541622,-6.524867808
13,-6.282177808,-6.215808889,-6.304746486,-6.457296216,-6.654844054,-6.532019099,-6.502391892,-6.272205405,-6.524083063
14,-6.281213323,-6.21624963,-6.305687027,-6.457685526,-6.653475225,-6.530799379,-6.503552883,-6.271115676,-6.523298318
15,-6.280361271,-6.21669037,-6.306627568,-6.458118258,-6.652106396,-6.529305485,-6.504716276,-6.270149189,-6.522513574
16,-6.279509219,-6.217131111,-6.307568108,-6.458550991,-6.650209039,-6.527811592,-6.505883153,-6.269182703,-6.522090721
17,-6.278657167,-6.217571852,-6.308508649,-6.458983724,-6.648271642,-6.526317698,-6.50705003,-6.268216216,-6.521742102
18,-6.277805115,-6.218012593,-6.309449189,-6.459416456,-6.646334244,-6.524823804,-6.508216907,-6.26724973,-6.521393483
