time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,,,,,,,,,
1,-1.4212,-1.7827,-1.3523,-1.4419,-1.5268,-1.5521,-1.446,-1.3656,-1.393,-1.7375,,,,,,,,,,
2,-1.460561862,-1.803367067,-1.381564064,-1.462989089,-1.5463999,-1.594025526,-1.471394995,-1.402252052,-1.425558759,-1.75350961,,,,,,,,,,
3,-1.499923724,-1.824034134,-1.410828128,-1.484078178,-1.5659998,-1.635951051,-1.49678999,-1.438904104,-1.458117518,-1.769519219,,,,,,,,,,
4,-1.539285586,-1.844701201,-1.440092192,-1.505167267,-1.5855997,-1.677876577,-1.522184985,-1.475556156,-1.490676276,-1.785528829,,,,,,,,,,
5,-1.578647447,-1.865368268,-1.469356256,-1.526256356,-1.6051996,-1.719802102,-1.54757998,-1.512208208,-1.523235035,-1.801538438,,,,,,,,,,
6,-1.618009309,-1.886035335,-1.49862032,-1.547345445,-1.624799499,-1.761727628,-1.572974975,-1.54886026,-1.555793794,-1.817548048,,,,,,,,,,
7,-1.657371171,-1.906702402,-1.527884384,-1.568434535,-1.644399399,-1.803653153,-1.59836997,-1.585512312,-1.588352553,-1.833557658,,,,,,,,,,
8,-1.696733033,-1.927369469,-1.557148448,-1.589523624,-1.663999299,-1.845578679,-1.623764965,-1.622164364,-1.620911311,-1.849567267,,,,,,,,,,
9,-1.736094895,-1.940626627,-1.586412513,-1.610612713,-1.683599199,-1.887504204,-1.648091391,-1.658816416,-1.65347007,-1.865576877,,,,,,,,,,
10,-1.775456757,-1.923354955,-1.615676577,-1.626847748,-1.703199099,-1.910513514,-1.668015315,-1.674563063,-1.686028829,-1.888736036,,,,,,,,,,
11,-1.795357958,-1.906083283,-1.647975375,-1.632430831,-1.720828529,-1.872570571,-1.687939239,-1.672058959,-1.718587588,-1.916562262,,,,,,,,,,
12,-1.794653754,-1.888811612,-1.682512913,-1.638013914,-1.733881381,-1.834627628,-1.707863163,-1.669554855,-1.705897297,-1.944388488,,,,,,,,,,
13,-1.79394955,-1.87153994,-1.71705045,-1.643596997,-1.746934234,-1.796684685,-1.727787087,-1.667050751,-1.682324324,-1.972214715,,,,,,,,,,
14,-1.793245345,-1.854268268,-1.751587988,-1.64918008,-1.759987087,-1.758741742,-1.747711011,-1.664546647,-1.658751351,-2.000040941,,,,,,,,,,
15,-1.792541141,-1.836996597,-1.786125526,-1.654763163,-1.77303994,-1.720798799,-1.767634935,-1.662042543,-1.635178378,-2.027867167,,,,,,,,,,
16,-1.791836937,-1.819724925,-1.820663063,-1.660346246,-1.786092793,-1.682855856,-1.787558859,-1.659538438,-1.611605405,-2.055693393,,,,,,,,,,
17,-1.791132733,-1.809575375,-1.855200601,-1.665929329,-1.799145646,-1.644912913,-1.789094394,-1.657034334,-1.588032432,-2.08351962,,,,,,,,,,
18,-1.790428529,-1.810536336,-1.889738138,-1.671512412,-1.812198498,-1.60696997,-1.761944044,-1.652204705,-1.564459459,-2.099659159,,,,,,,,,,
19,-1.789724324,-1.811497297,-1.924275676,-1.677124324,-1.825251351,-1.606118919,-1.734793694,-1.615399099,-1.540886486,-2.071856757,,,,,,,,,,
20,-1.78902012,-1.812458258,-1.947595596,-1.682753453,-1.838304204,-1.646481081,-1.707643343,-1.578593493,-1.517313514,-2.044054354,,,,,,,,,,
21,-1.778851051,-1.813419219,-1.907816416,-1.688382583,-1.831621321,-1.686843243,-1.680492993,-1.541787888,-1.493740541,-2.016251952,,,,,,,,,,
22,-1.768403604,-1.81438018,-1.868037237,-1.694011712,-1.811887387,-1.727205405,-1.653342643,-1.504982282,-1.501170571,-1.98844955,,,,,,,,,,
23,-1.757956156,-1.815341141,-1.828258058,-1.699640841,-1.792153453,-1.767567568,-1.626192292,-1.468176677,-1.528235836,-1.960647147,,,,,,,,,,
24,-1.747508709,-1.816302102,-1.788478879,-1.70526997,-1.77241952,-1.80792973,-1.599041942,-1.431371071,-1.555301101,-1.932844745,,,,,,,,,,
25,-1.737061261,-1.846925225,-1.7486997,-1.710899099,-1.752685586,-1.848291892,-1.605315015,-1.394565465,-1.582366366,-1.905042342,,,,,,,,,,
26,-1.726613814,-1.89850961,-1.708920521,-1.716528228,-1.732951652,-1.888654054,-1.635207307,-1.35775986,-1.609431632,-1.87723994,,,,,,,,,,
27,-1.716166366,-1.950093994,-1.669141341,-1.722157357,-1.713217718,-1.929016216,-1.6650996,-1.356155756,-1.636496897,-1.880974675,,,,,,,,,,
28,-1.705718919,-2.001678378,-1.629362162,-1.700337838,-1.693483784,-1.922343243,-1.694991892,-1.377854054,-1.663562162,-1.891862162,,,,,,,,,,
29,-1.695271471,-2.053262763,-1.589582983,-1.676739239,-1.67374985,-1.896507808,-1.724884184,-1.399552352,-1.690627427,-1.90274965,,,,,,,,,,
30,-1.687221622,-2.104847147,-1.61303013,-1.653140641,-1.654015916,-1.870672372,-1.754776476,-1.421250651,-1.717692693,-1.913637137,,,,,,,,,,
