time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-0.805439107,-1.370796991,-1.686009315,0.293104761,0.141282312,0.010064337,-0.173207049,0.295273653,0.285152157,0.252980257
2,-0.731522765,-1.304911671,-1.612459184,0.360532969,0.247331672,0.09687594,-0.127882138,0.335053223,0.351717267,0.2398047
3,-0.657567772,-1.239010985,-1.538875302,0.427987992,0.353506947,0.183763167,-0.082589611,0.374788178,0.418306922,0.226447525
4,-0.583572913,-1.173093995,-1.465256587,0.495471061,0.459810273,0.27072767,-0.03732884,0.414479094,0.484922337,0.212908025
5,-0.509537032,-1.107159868,-1.391602084,0.562983393,0.566243795,0.357771093,0.007900749,0.454126498,0.551564704,0.199185407
6,-0.435459023,-1.041207855,-1.317910934,0.630526223,0.672809724,0.444895101,0.053099686,0.493730906,0.618235236,0.185278783
7,-0.361337806,-0.975237282,-1.244182343,0.698100801,0.779510323,0.532101393,0.098268463,0.5332928,0.684935156,0.171187158
8,-0.287172317,-0.90924753,-1.17041559,0.765708413,0.886347964,0.619391711,0.143407529,0.572812643,0.751665712,0.156909422
9,-0.212961487,-0.892198537,-1.09660998,0.833350374,0.993325116,0.706767874,0.188517319,0.612290894,0.818428203,0.142444338
10,-0.21639343,-0.926549674,-1.022764856,0.810988207,1.085259809,0.756715171,0.229617563,0.616079796,0.795625675,0.127790539
11,-0.2707701,-0.961151588,-0.948879569,0.745008771,1.003284369,0.685600631,0.268076565,0.602544508,0.741712352,0.142508695
12,-0.325448852,-0.996007179,-0.874953452,0.678703486,0.920941638,0.614145859,0.306489512,0.588824606,0.687505899,0.225869389
13,-0.38043312,-1.031119575,-0.800985828,0.612069119,0.83822797,0.542347394,0.344856555,0.574918611,0.633003503,0.309306371
14,-0.435726603,-1.066492172,-0.789359323,0.545102148,0.755139395,0.470201497,0.38317782,0.5608249,0.578202099,0.392821387
15,-0.491333304,-1.102128607,-0.837286481,0.477798765,0.671671629,0.397704108,0.421453433,0.5465417,0.523098365,0.476416295
16,-0.547257526,-1.138032791,-0.88551313,0.410154853,0.587820034,0.324850849,0.459683499,0.532067085,0.467688708,0.560093075
17,-0.603503873,-1.078135171,-0.934043795,0.342165982,0.503579613,0.251637001,0.497868128,0.517398967,0.411969258,0.643853843
18,-0.650469857,-1.016018724,-0.982883302,0.312981229,0.418944977,0.178057492,0.516700024,0.501928663,0.432955892,0.727700842
19,-0.661564279,-0.953897318,-1.032036766,0.356374156,0.345188972,0.178605825,0.462730168,0.485130564,0.534899958,0.811636476
20,-0.672862692,-0.891770811,-1.081509625,0.399734561,0.330045169,0.261892231,0.408446108,0.468126617,0.636984008,0.895663296
21,-0.684368533,-0.829638996,-1.131307604,0.443062662,0.314696239,0.345261763,0.353843001,0.450913956,0.739211492,0.934550394
22,-0.696085415,-0.767501585,-1.181436741,0.486358695,0.299139132,0.428716755,0.298915688,0.433489523,0.841586079,0.943442074
23,-0.708017107,-0.705358207,-1.231903352,0.529622915,0.283370614,0.512259698,0.243658698,0.415850092,0.944111644,0.952205452
24,-0.720167538,-0.683968987,-1.282714054,0.572855596,0.267387279,0.595893247,0.18806625,0.397992235,1.04679229,0.960839075
25,-0.732540787,-0.709448434,-1.333875718,0.616057029,0.251185531,0.679620199,0.132132255,0.379912345,1.149632327,0.969341386
26,-0.745141071,-0.735195344,-1.382948677,0.657550354,0.234761613,0.763443509,0.075850315,0.362148449,1.212642029,0.977710725
27,-0.667436541,-0.761214922,-1.33680254,0.633494449,0.218111594,0.847366263,0.111169686,0.365320961,1.1426448,0.985945307
28,-0.569109949,-0.787512543,-1.29071439,0.609192284,0.215430245,0.828812793,0.167312455,0.368329313,1.072263837,0.99404325
29,-0.470659315,-0.814093704,-1.244684904,0.584639338,0.257333576,0.768171845,0.223456562,0.371170758,1.001491625,1.002002548
30,-0.372080979,-0.840964031,-1.198714658,0.559830888,0.299193136,0.707160532,0.279602961,0.373842467,0.930320312,1.009821083
31,-0.27337108,-0.868129225,-1.152804104,0.534762047,0.341008876,0.645771342,0.335752669,0.376341501,0.858741736,0.952045621
32,-0.174525567,-0.816492665,-1.106953553,0.509427763,0.382780756,0.583996498,0.391906732,0.378664851,0.786747427,0.886853155
33,-0.07554023,-0.761147083,-1.06116319,0.483822834,0.424508732,0.521827995,0.448066223,0.380809411,0.714328649,0.821261498
34,0.023589276,-0.705822491,-1.01543305,0.457941931,0.46619276,0.459257645,0.504232236,0.382772018,0.641476451,0.755262249
35,0.067178957,-0.65051799,-0.969763006,0.442515619,0.50783276,0.396277096,0.545970212,0.37432467,0.618722746,0.688846815
36,0.033734935,-0.595232545,-0.924152782,0.431450174,0.549428618,0.332877907,0.567708355,0.361262376,0.596985283,0.622006464
37,-3.42E-05,-0.539965008,-0.878601941,0.420148224,0.589619579,0.363426426,0.589330974,0.34795497,0.574976157,0.554732361
38,-0.034134564,-0.484714128,-0.83310987,0.408605389,0.626883385,0.39913842,0.610836237,0.334397941,0.552690094,0.487015656
39,-0.068571935,-0.447157162,-0.827745972,0.396817301,0.664086499,0.43477966,0.632222256,0.320586809,0.530121801,0.418847539
40,-0.103352086,-0.431895381,-0.857133549,0.384779615,0.701228132,0.470349414,0.653487045,0.306517126,0.507266008,0.357498992
41,-0.138480519,-0.416798197,-0.886861922,0.372488045,0.738307355,0.505846852,0.674628545,0.292184528,0.484117504,0.324188936
42,-0.173962439,-0.401866877,-0.916934994,0.359938402,0.775323067,0.541271047,0.695644585,0.277584784,0.460671184,0.290539675
43,-2.07E-01,-0.38710247,-0.947356112,0.386688626,0.81227396,0.576620935,0.716247955,0.303127165,0.493522801,0.256545832
44,-0.211316076,-0.372505806,-0.978127963,0.479392937,0.849158498,0.611895293,0.725680739,0.396039588,0.54845115,0.222202344
45,-0.21391407,-0.358077442,-1.009252483,0.572244383,0.885974854,0.649347468,0.734936295,0.489099101,0.603379043,0.187504569
46,-0.216746791,-0.343817657,-1.040730718,0.665244474,0.900297437,0.696735177,0.744011422,0.582307432,0.658305965,0.15244837
47,-0.219815332,-0.399986587,-1.072562715,0.7583939,0.881005556,0.744091172,0.752902881,0.6756655,0.713230934,0.1170302
48,-0.223120291,-0.461713699,-1.104747384,0.851692358,0.861414592,0.791413581,0.761607392,0.769173287,0.768152439,0.081247239
49,-0.226661737,-0.523910297,-1.137282375,0.94513841,0.841520159,0.838699995,0.770121664,0.862829646,0.82306835,0.045097496
50,-0.230439135,-0.58657551,-1.170163908,1.038729269,0.821318246,0.885947386,0.778442384,0.95663213,0.877975818,0.041477817
51,-0.234451307,-0.649706672,-1.200890227,1.125204406,0.800805289,0.933152041,0.786566241,1.041334114,0.878216839,0.069950621
52,-0.285449253,-0.713299111,-1.184415167,1.073644311,0.779978253,0.980309462,0.747589627,0.950177715,0.814661484,0.098314913
53,-0.364342872,-0.777345919,-1.168069142,1.021640523,0.75883472,1.027414283,0.680656839,0.858424065,0.75062048,0.126570659
54,-0.443750357,-0.787347704,-1.15184402,0.969191154,0.737372999,1.032205298,0.613229224,0.766074012,0.686094076,0.154717734
55,-0.523661276,-0.722507553,-1.135730808,0.91629576,0.726543744,0.978557307,0.545309595,0.67313096,0.621084446,0.182755903
56,-0.604062058,-0.657601416,-1.119719647,0.862955567,0.727221264,0.92445919,0.47690303,0.579601164,0.555595886,0.210684787
57,-0.684935721,-0.592627199,-1.103799817,0.809173654,0.727663618,0.869913647,0.408017102,0.485494075,0.489635066,0.23850382
58,-0.766261601,-0.527583787,-1.087959755,0.754955143,0.727869608,0.814925409,0.338662122,0.390822622,0.423211263,0.266212211
59,-0.848015102,-0.46247117,-1.072187077,0.700307431,0.727838462,0.759501478,0.268851372,0.295603548,0.388739036,0.293808921
60,-0.88702701,-0.397290636,-1.056468621,0.68569978,0.727569905,0.703651297,0.204788204,0.280672447,0.478568309,0.306263404
61,-0.785842845,-0.332044916,-1.040790495,0.686182973,0.727064189,0.64738698,0.160463919,0.29619536,0.56847076,0.314928839
62,-0.684446802,-0.320518785,-1.025138145,0.686436588,0.726322152,0.590723478,0.115821263,0.311570134,0.658427201,0.323423507
63,-0.582850405,-0.314427385,-1.009496437,0.686462239,0.725345264,0.580400146,0.070879867,0.326798175,0.748415319,0.331750546
64,-0.481068543,-0.308433908,-1.012748563,0.68626217,0.725399187,0.594161487,0.025662127,0.341880984,0.838409531,0.339913483
65,-0.379119678,-0.302526596,-1.03073915,0.68583932,0.726210036,0.607745122,-0.019806691,0.356820132,0.928380867,0.34791624
66,-0.277026067,-0.296693112,-1.048758463,0.685197323,0.726799044,0.6211504,-0.065498443,0.371617275,1.018296887,0.355763124
67,-0.174813918,-0.29092057,-1.066775475,0.684340562,0.727169614,0.63437675,-0.111382062,0.386274096,1.108121639,0.363458812
68,-0.0725135,-0.285195644,-1.084757585,0.648351361,0.727325855,0.647423693,-0.157423614,0.37823842,1.035848395,0.371008337
69,-0.07389478,-0.283497332,-1.102670748,0.559706467,0.727272567,0.660290841,-0.127688192,0.33619127,0.954766778,0.369399123
70,-0.095056258,-0.287850967,-1.12047969,0.470804786,0.727015262,0.672977902,-0.083551181,0.293970415,0.873365283,0.292196774
71,-0.116272406,-0.292213422,-1.138148118,0.381703471,0.726560152,0.685484664,-0.039434073,0.251609654,0.791692515,0.214835074
72,-0.137515202,-0.296564476,-1.155638951,0.292464213,0.725914145,0.674540406,0.004652681,0.209145184,0.709801432,0.137370763
73,-0.158755496,-0.300883574,-1.172914627,0.203153005,0.675207413,0.660688852,0.048697026,0.166615421,0.627749173,0.059864311
74,-0.179963165,-0.305149991,-1.189937374,0.113839828,0.596671982,0.646684922,0.092685265,0.124060821,0.545596826,-0.017620413
75,-0.201107362,-0.309342996,-1.206669572,0.024598266,0.518085435,0.632546815,0.136602115,0.081523628,0.46340909,-0.09501648
76,-0.22215672,-0.313442068,-1.226860179,-0.056365335,0.439512726,0.618293683,0.180430729,0.048947205,0.483008363,-0.172254372
77,-0.247146212,-0.342218518,-1.29331961,-0.036970072,0.361021538,0.603945496,0.221555293,0.1384087,0.547245014,-0.249262445
78,-0.277023178,-0.373938686,-1.359237287,-0.017572385,0.28268181,0.589522895,0.259330849,0.227648798,0.611220714,-0.325967528
79,-0.306679519,-0.405407254,-1.42454098,0.001826928,0.204565165,0.575047074,0.296979291,0.316612146,0.674896959,-0.344332881
80,-0.336077516,-0.436584599,-1.489159775,0.021226066,0.126744314,0.558189311,0.334483206,0.405241472,0.738234292,-0.278448925
81,-0.365180323,-0.467432105,-1.55302485,0.0406222,0.049292412,0.525854135,0.371824367,0.493478138,0.801192682,-0.212678081
82,-0.39395237,-0.497912581,-1.616070273,0.060011511,0.065189109,0.493619471,0.408983956,0.581262717,0.863732,-0.147060298
83,-0.422359776,-0.527990685,-1.678233814,0.079389224,0.116550529,0.461521143,0.445942774,0.668535648,0.925812463,-0.081636871
84,-0.450370711,-0.580279527,-1.739457757,0.098749692,0.167700907,0.429594471,0.482681486,0.755237945,0.947016539,-0.01644998
85,-0.477487403,-0.669423751,-1.799689696,0.17911964,0.218609056,0.397873923,0.517021105,0.759839728,0.916312962,0.048457769
86,-0.495364795,-0.757644154,-1.858883277,0.279299226,0.269243955,0.36639278,0.510585375,0.737272909,0.885699135,0.11304389
87,-0.512836771,-0.84487295,-1.916998927,0.378809652,0.319575164,0.335182798,0.504198304,0.714811335,0.855209198,0.177266568
88,-0.529889901,-0.931048624,-1.974004482,0.477586293,0.369573297,0.304273881,0.497873083,0.692481478,0.824876511,0.241085235
