time,route1,route2,route4,route5,route6,route7,route8,route9
1,-0.028,-0.2078,-0.0053,0.0034,-0.0149,0.0039,0.1131,0.1287
2,-0.028248248,-0.202965165,-0.004598699,0.003376777,-0.013395596,0.003922623,0.111068769,0.127493393
3,-0.028496496,-0.19813033,-0.003897397,0.003353554,-0.011891191,0.003945245,0.109037538,0.126286787
4,-0.028744745,-0.193295495,-0.003196096,0.00333033,-0.010386787,0.003967868,0.107006306,0.12508018
5,-0.028992993,-0.188460661,-0.002494795,0.003307107,-0.008882382,0.00399049,0.104975075,0.123873574
6,-0.029241241,-0.183625826,-0.001793493,0.003283884,-0.007377978,0.004013113,0.102943844,0.122666967
7,-0.029489489,-0.178790991,-0.001092192,0.003260661,-0.005873574,0.004035736,0.100912613,0.12146036
8,-0.029737738,-0.173956156,-0.000390891,0.003237437,-0.004369169,0.004058358,0.098881381,0.120253754
9,-0.029985986,-0.169121321,0.00031041,0.003214214,-0.002864765,0.004080981,0.09685015,0.119047147
10,-0.030245946,-0.164286486,0.000932432,0.004118919,-0.001491892,0.004033333,0.095394595,0.118024324
11,-0.030506607,-0.160370571,0.001136036,0.006487688,-0.000813213,0.003614815,0.095793994,0.117027027
12,-0.030767267,-0.157427628,0.00133964,0.008856456,-0.000134535,0.003196296,0.096193393,0.11602973
13,-0.031027928,-0.154484685,0.001543243,0.011225225,0.000544144,0.002777778,0.096592793,0.115032432
14,-0.031288589,-0.151541742,0.001746847,0.013593994,0.001222823,0.002359259,0.096992192,0.114035135
15,-0.031549249,-0.148598799,0.00195045,0.015962763,0.001901502,0.001940741,0.097391592,0.113037838
16,-0.03180991,-0.145655856,0.002154054,0.018331532,0.00258018,0.001522222,0.097790991,0.112040541
17,-0.032070571,-0.142712913,0.002357658,0.0207003,0.003258859,0.001103704,0.09819039,0.111043243
18,-0.030943844,-0.13976997,0.002561261,0.023069069,0.003937538,0.000685185,0.09858979,0.11174955
19,-0.029640541,-0.136827027,0.002354054,0.022654054,0.004500901,0.000482883,0.098783784,0.113005405
20,-0.028337237,-0.133884084,0.001268168,0.021434835,0.004817618,0.000743043,0.09874955,0.114261261
21,-0.027033934,-0.130542943,0.000182282,0.020215616,0.005134334,0.001003203,0.098715315,0.115517117
22,-0.025730631,-0.12719009,-0.000903604,0.018996396,0.005451051,0.001263363,0.098681081,0.116772973
23,-0.024427327,-0.123837237,-0.001989489,0.017777177,0.005767768,0.001523524,0.098646847,0.118028829
24,-0.023124024,-0.120484384,-0.003075375,0.016557958,0.006084484,0.001783684,0.098612613,0.119284685
25,-0.021820721,-0.117131532,-0.004161261,0.015338739,0.006401201,0.002043844,0.098578378,0.120540541
26,-0.021177277,-0.113778679,-0.005247147,0.01411952,0.006717918,0.002304004,0.098544144,0.120898498
27,-0.020668368,-0.110425826,-0.006333033,0.012987788,0.007034635,0.002564164,0.09850991,0.120738438
28,-0.020159459,-0.107072973,-0.006921622,0.012302703,0.007789189,0.003051351,0.098710811,0.120578378
29,-0.019650551,-0.10372012,-0.006966867,0.011617618,0.009022122,0.003786587,0.099007508,0.120418318
30,-0.019141642,-0.102423724,-0.007012112,0.010932533,0.010255055,0.004521822,0.099304204,0.120258258
31,-0.018632733,-0.103569369,-0.007057357,0.010247447,0.011487988,0.005257057,0.099600901,0.120098198
32,-0.018123824,-0.104715015,-0.007102603,0.009562362,0.012720921,0.005992292,0.099897598,0.119938138
33,-0.017614915,-0.105860661,-0.007147848,0.008877277,0.013953854,0.006727528,0.100194294,0.119778078
34,-0.017048348,-0.107006306,-0.007193093,0.008192192,0.015186787,0.007462763,0.100490991,0.11929009
35,-0.016464965,-0.108151952,-0.007238338,0.007507107,0.01641972,0.008197998,0.100787688,0.11848979
36,-0.015881582,-0.109297598,-0.007283584,0.006847648,0.017652653,0.008933233,0.101084384,0.117689489
37,-0.015298198,-0.110443243,-0.006961261,0.006209009,0.018157658,0.00883964,0.101705405,0.116889189
38,-0.014714815,-0.111588889,-0.00642963,0.00557037,0.018248148,0.008274074,0.102344444,0.116088889
39,-0.014131431,-0.112734535,-0.005897998,0.004931732,0.018338639,0.007708509,0.102983483,0.115288589
40,-0.013548048,-0.109252252,-0.005366366,0.004293093,0.018429129,0.007142943,0.103622523,0.114488288
41,-0.012964665,-0.105489489,-0.004834735,0.003654454,0.01851962,0.006577377,0.104261562,0.113687988
42,-0.012817818,-0.101726727,-0.004303103,0.003015816,0.01861011,0.006011812,0.104900601,0.113310511
43,-1.28E-02,-0.097963964,-0.003771471,0.002377177,0.018700601,0.005446246,0.10553964,0.113593694
44,-0.012867467,-0.094201201,-0.00323984,0.001738539,0.018791091,0.004880681,0.106178679,0.113876877
45,-0.012892292,-0.090438438,-0.002708208,0.004482282,0.018881582,0.004315115,0.106935435,0.11416006
46,-0.012917117,-0.086675676,-0.00150991,0.007443243,0.020305405,0.004704505,0.108213514,0.114443243
47,-0.012941942,-0.082912913,-0.000141241,0.010404204,0.02206997,0.005337938,0.109491592,0.114726426
48,-0.012966767,-0.07915015,0.001227427,0.013365165,0.023834535,0.005971371,0.11076967,0.11500961
49,-0.012991592,-0.075306306,0.002596096,0.016326126,0.025599099,0.006604805,0.112047748,0.115292793
50,-0.012179179,-0.071354354,0.003964765,0.019287087,0.027363664,0.007238238,0.113325826,0.115932733
51,-0.010937938,-0.067402402,0.005333433,0.022248048,0.029128228,0.007871672,0.114603904,0.117545646
52,-0.009696697,-0.06345045,0.006702102,0.025209009,0.030892793,0.008505105,0.115881982,0.119158559
53,-0.008455455,-0.059498498,0.008070771,0.027047848,0.032657357,0.009138539,0.11716006,0.120771471
54,-0.007214214,-0.055546547,0.009439439,0.026583383,0.034421922,0.009771972,0.117832733,0.122384384
55,-0.005972973,-0.051594595,0.011056757,0.026118919,0.034067568,0.011627027,0.117672973,0.123997297
56,-0.004731732,-0.047642643,0.012685586,0.025654454,0.033615115,0.013538639,0.117513213,0.12561021
57,-0.00349049,-0.043690691,0.014314414,0.02518999,0.033162663,0.01545025,0.117353453,0.127223123
58,-0.002196697,-0.039738739,0.015943243,0.024725526,0.03271021,0.017361862,0.117193694,0.128771171
59,-0.000868569,-0.038285285,0.017572072,0.024261061,0.032257758,0.019273473,0.117033934,0.129940841
