time,route2,route6,route8,route1,route4,route3,route7,route5,,,route9,route10
1,-0.187996121,-1.210518703,0.614439565,-0.006580824,-0.058901223,-0.009424324,-0.113496423,0.703156763,,,,
2,-0.203671978,-1.208760717,0.597772825,-0.018603578,-0.06762393,-0.02174365,-0.118229574,0.692258264,,,,
3,-0.21835958,-1.204214213,0.580941841,-0.029819122,-0.075397913,-0.033257831,-0.121855148,0.681188659,,,,
4,-0.232184493,-1.197538915,0.564213441,-0.04027248,-0.082300635,-0.044012664,-0.124485586,0.67024574,,,,
5,-0.245155301,-1.188697156,0.547509953,-0.049997893,-0.088370172,-0.054041349,-0.126164389,0.659329013,,,,
6,-0.25696139,-1.176229501,0.53012194,-0.058951549,-0.093526424,-0.063293673,-0.126778701,0.647561373,,,,
7,-0.268686455,-1.165059567,0.51421885,-0.067408438,-0.098195381,-0.072061817,-0.126901738,0.637582967,,,,
8,-0.279320249,-1.150527744,0.497653608,-0.075161775,-0.102039196,-0.080120868,-0.126071533,0.626761747,,,,
9,-0.288641328,-1.131984187,0.480152232,-0.082150767,-0.10500538,-0.087404514,-0.12425111,0.614695186,,,,
10,-0.297889057,-1.114124008,0.467194408,-0.089146645,-0.108029468,-0.088625472,-0.1227923,0.604997312,,,,
11,-0.307244209,-1.103174838,0.466846722,-0.098115487,-0.113307816,-0.080507772,-0.125254679,0.596983065,,,,
12,-0.314503665,-1.09163412,0.464469289,-0.106118666,-0.117510264,-0.071390495,-0.126555132,0.586176044,,,,
13,-0.322763791,-1.084486303,0.464650188,-0.114184139,-0.121801164,-0.06206378,-0.127965558,0.578421913,,,,
14,-0.329649532,-1.073484466,0.4638409,-0.121518234,-0.125306355,-0.052024935,-0.128547745,0.569261307,,,,
15,-0.335977266,-1.061462771,0.463211719,-0.128402762,-0.128342585,-0.041492785,-0.12864597,0.560188808,,,,
16,-0.341761978,-1.048477484,0.462754736,-0.134847851,-0.13092566,-0.030501579,-0.12828042,0.55121092,,,,
17,-0.346072776,-1.031767402,0.46120624,-0.140478591,-0.132707339,-0.019030687,-0.127122238,0.540860485,,,,
18,-0.343121796,-1.019813331,0.462331056,-0.146449389,-0.134783764,-0.0072642,-0.126225938,0.544159736,,,,
19,-0.337612801,-1.004220551,0.461076041,-0.150271013,-0.138633939,-0.012385399,-0.125282397,0.549522291,,,,
20,-0.331604105,-0.987837452,0.458552968,-0.150798614,-0.14753367,-0.022148215,-0.125465105,0.554996418,,,,
21,-0.325111516,-0.968223108,0.456180861,-0.150914043,-0.156014506,-0.031545443,-0.125246922,0.560572099,,,,
22,-0.318149132,-0.947814814,0.453960105,-0.150622202,-0.164070576,-0.040569553,-0.124633069,0.566239863,,,,
23,-0.310729811,-0.926716978,0.451891459,-0.149927017,-0.171695178,-0.049212293,-0.12362783,0.571990675,,,,
24,-0.302865694,-0.904960002,0.449975979,-0.148831863,-0.178881174,-0.057465045,-0.122234927,0.577815861,,,,
25,-0.294028377,-0.880955058,0.447392693,-0.147069708,-0.185280921,-0.065199367,-0.12023698,0.582636316,,,,
26,-0.289434322,-0.858177381,0.445875572,-0.145216035,-0.191594002,-0.072647019,-0.118106479,0.583172453,,,,
27,-0.285233209,-0.83483664,0.444519971,-0.142975623,-0.197454996,-0.079149623,-0.115602007,0.580629833,,,,
28,-0.280604847,-0.810964938,0.444760453,-0.138968791,-0.199825459,-0.08251557,-0.11005775,0.578199826,,,,
29,-0.275560262,-0.786598228,0.445732517,-0.133091739,-0.198459307,-0.085488853,-0.101266226,0.575883497,,,,
30,-0.27011415,-0.774225365,0.446845342,-0.126877847,-0.19669341,-0.088073446,-0.092174259,0.573681431,,,,
31,-0.264434373,-0.776480752,0.448345258,-0.120413124,-0.194651419,-0.090328213,-0.082849526,0.571914629,,,,
32,-0.258190315,-0.777508682,0.449626397,-0.113557336,-0.192092108,-0.092146348,-0.073203339,0.569816689,,,,
33,-0.251590574,-0.777846177,0.450967444,-0.106423836,-0.189169971,-0.093603757,-0.06332947,0.567755805,,,,
34,-0.244444634,-0.777891249,0.45255832,-0.099094857,-0.186003419,-0.094769376,-0.053291744,0.564036126,,,,
35,-0.236939562,-0.777378249,0.454193083,-0.091566486,-0.182554241,-0.095638865,-0.043104465,0.558536143,,,,
36,-0.2293414,-0.7767478,0.456064819,-0.083929627,-0.178958186,-0.096150899,-0.032834895,0.553368699,,,,
37,-0.221510762,-0.775404376,0.459633995,-8.10E-02,-0.172976693,-0.096305034,-0.026745128,0.548027468,,,,
38,-0.213816386,-0.77447954,0.463669454,-0.080767134,-0.165865497,-0.096414945,-0.023041723,0.543216061,,,,
39,-0.206098333,-0.773250099,0.467530869,-0.080477942,-0.158740736,-0.096449589,-0.019334866,0.538308181,,,,
40,-0.198533952,-0.745702448,0.471363946,-0.080237598,-0.15175692,-0.096531011,-0.015711222,0.533486654,,,,
41,-0.191225137,-0.717178095,0.47514177,-0.08013933,-0.145010937,-0.096754546,-0.012254218,0.52872584,,,,
42,-0.186746681,-0.689439484,0.478835686,-0.080283565,-0.138604307,-0.097222988,-0.009052528,0.52638549,,,,
43,-0.183441216,-0.662629762,0.482415531,-8.08E-02,-0.132640766,-0.098044423,-0.00619809,0.527732943,,,,
44,-0.181167113,-0.636881041,0.485849929,-0.081724018,-0.127223399,-0.099329479,-0.003783818,0.528983029,,,,
45,-0.179316189,-0.612309295,0.489763867,-0.083235481,-0.122451491,-0.082302073,-0.001900945,0.530103883,,,,
46,-0.178233536,-0.589009583,0.496366978,-0.080095227,-0.114704537,-0.064842652,0.00678928,0.531061574,,,,
47,-0.178014218,-0.567051872,0.502714577,-0.076378332,-0.106842493,-0.048209962,0.01665154,0.531820184,,,,
48,-0.178739785,-0.546477864,0.508783241,-0.07351285,-0.099871866,-0.032430339,0.025741152,0.532341834,,,,
49,-0.180475283,-0.526848302,0.514549229,-0.071549754,-0.093831949,-0.017514309,0.034029018,0.532586639,,,,
50,-0.178606596,-0.507991425,0.519987784,-0.070524066,-0.088745092,-0.003456955,0.04149943,0.534498524,,,,
51,-0.175404625,-0.490455469,0.525072463,-0.070453952,-0.084616387,0.009760914,0.048149776,0.541486297,,,,
52,-0.173237588,-0.474160886,0.529774726,-0.071340586,-0.081434125,0.022170911,0.053989769,0.548117601,,,,
53,-0.172071581,-0.459005166,0.534064023,-0.073168627,-0.079170982,0.027506841,0.05904016,0.554365224,,,,
54,-0.171856242,-0.444868158,0.534488859,-0.075907404,-0.077785763,0.019054193,0.063331273,0.560199493,,,,
55,-0.172052452,-0.430429986,0.528214948,-0.072375054,-0.075604771,0.009699611,0.054716693,0.564032684,,,,
56,-0.173048708,-0.416802484,0.521358992,-0.06926457,-0.074110304,-0.000441149,0.044779079,0.567353671,,,,
57,-0.174777305,-0.403892873,0.513956285,-0.066827137,-0.07330068,-0.011316816,0.034122347,0.570207125,,,,
58,-0.176851801,-0.391574178,0.506003664,-0.064986275,-0.073100091,-0.022869668,0.022798875,0.57222125,,,,
59,-0.179287241,-0.394069601,0.497505931,-0.063666315,-0.073432831,-0.035036173,0.010867093,0.571595169,,,,
60,-0.182195417,-0.398382813,0.488476199,-0.062794417,-0.074225421,-0.047749339,-0.001610689,0.570492595,,,,
61,-0.185497238,-0.403076013,0.478935478,-0.062302197,-0.075408348,-0.060941062,-0.014570391,0.568926767,,,,
62,-0.189119964,-0.408060676,0.468911673,-0.062126841,-0.076917327,-0.07213446,-0.027948222,0.566916668,,,,
63,-0.192998241,-0.413258964,0.463374582,-0.062446528,-0.078277669,-0.08269867,-0.040819165,0.564486167,,,,
64,-0.197074568,-0.418604088,0.460027513,-0.064788787,-0.076638886,-0.093530797,-0.04732383,0.561662861,,,,
65,-0.201299327,-0.424039996,0.456344409,-0.067308558,-0.07515237,-0.104578522,-0.054033882,0.558476758,,,,
66,-0.200920314,-0.429520666,0.452358126,-0.069967017,-0.073782566,-0.115795326,-0.060907133,0.554921954,,,,
67,-0.196707228,-0.43500909,0.448100543,-0.072731184,-0.072500027,-0.127140535,-0.067906953,0.549584092,,,,
68,-0.192509041,-0.438471752,0.443601783,-0.075573488,-0.071280768,-0.138579073,-0.075001991,0.543970374,,,,
69,-0.18831004,-0.438874174,0.438889717,-0.078471188,-0.070105594,-0.150081082,-0.082165754,0.538110368,,,,
70,-0.184098934,-0.439205138,0.433989644,-0.081405788,-0.068959418,-0.15987778,-0.089376135,0.532031359,,,,
71,-0.17986803,-0.439456211,0.428924188,-0.084362447,-0.06783063,-0.15456457,-0.096614843,0.525758109,,,,
72,-0.175612479,-0.439622301,0.426367971,-0.086870995,-0.068965948,-0.149231663,-0.101574781,0.519312733,,,,
73,-0.171137888,-0.439208571,0.423523255,-0.088068635,-0.075988065,-0.143715887,-0.100356676,0.512140739,,,,
74,-0.173125224,-0.438699215,0.420564003,-0.089255685,-0.082992171,-0.138187602,-0.09912922,0.504839774,,,,
75,-0.181299534,-0.436977928,0.416436859,-0.090197238,-0.089740202,-0.132309744,-0.09764038,0.503404076,,,,
76,-0.190358362,-0.437436812,0.414382032,-0.091590226,-0.096921982,-0.127110504,-0.096646384,0.505249705,,,,
77,-0.198888105,-0.436684165,0.411172678,-0.092732188,-0.103835174,-0.121564665,-0.095388442,0.50568648,,,,
78,-0.207162945,-0.423293443,0.407518072,-0.093769221,-0.110605987,-0.115911013,-0.094033065,0.505557248,,,,
79,-0.215670405,-0.408935345,0.404397149,-0.094924173,-0.117492301,-0.113568478,-0.092805942,0.506072274,,,,
80,-0.2240696,-0.394469725,0.400813272,-0.096041294,-0.124313334,-0.114433492,-0.091549608,0.506388975,,,,
81,-0.232314595,-0.379853294,0.394946118,-0.094276115,-0.130612466,-0.115235472,-0.091537117,0.506426559,,,,
82,-0.239039831,-0.365729611,0.389550914,-0.088939636,-0.136483679,-0.116170549,-0.093310421,0.507043186,,,,
83,-0.24324563,-0.351315919,0.383805496,-0.083542281,-0.142211913,-0.116998222,-0.094994862,0.504055844,,,,
84,-0.24678056,-0.33607301,0.377073617,-0.077965474,-0.147527471,-0.117514278,-0.096420274,0.498868692,,,,
85,-0.251492623,-0.322526726,0.372181816,-0.072797077,-0.153534048,-0.118599898,-0.098309398,0.496100293,,,,
86,-0.254593092,-0.307034728,0.364960241,-0.067208871,-0.158540127,-0.118936816,-0.099573028,0.490205423,,,,
