Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-13.5009,-22.4515,-13.6147,-14.0606,-13.3761,-11.4838,-13.37,-12.3922,-13.4753,-14.0443
2,-13.5074963,-22.47113714,-13.61505916,-14.06096997,-13.37731922,-11.48412372,-13.36372973,-12.39083784,-13.47625676,-14.02697808
3,-13.51409259,-22.49077427,-13.61541832,-14.06133994,-13.37853844,-11.48444745,-13.35745946,-12.38947568,-13.47721351,-14.00965616
4,-13.52068889,-22.51041141,-13.61577748,-14.06170991,-13.37975766,-11.48477117,-13.35118919,-12.38811351,-13.47817027,-13.99233423
5,-13.52728519,-22.53004855,-13.61613664,-14.06207988,-13.38097688,-11.48509489,-13.34491892,-12.38675135,-13.47912703,-13.97501231
6,-13.53388148,-22.54968569,-13.6164958,-14.06244985,-13.3821961,-11.48541862,-13.33864865,-12.38538919,-13.48008378,-13.95769039
7,-13.54047778,-22.57578589,-13.61685495,-14.06309459,-13.38314054,-11.48574234,-13.33237838,-12.38402703,-13.48104054,-13.94036847
8,-13.54707407,-22.6176002,-13.62014655,-14.06859369,-13.3832973,-11.48477708,-13.32761622,-12.38243514,-13.48282162,-13.92632683
9,-13.55019429,-22.65941451,-13.62542462,-14.07409279,-13.38345405,-11.48258809,-13.34547568,-12.3807973,-13.48476757,-13.91754494
10,-13.55188108,-22.70122883,-13.6307027,-14.07959189,-13.38361081,-11.4803991,-13.36333514,-12.37915946,-13.48671351,-13.90876306
11,-13.55356787,-22.74304314,-13.63598078,-14.08509099,-13.38376757,-11.47821011,-13.38119459,-12.37752162,-13.48865946,-13.89998118
12,-13.55525465,-22.78485746,-13.64125886,-14.09059009,-13.38392432,-11.47602112,-13.39905405,-12.37588378,-13.49060541,-13.8911993
13,-13.55694144,-22.81602252,-13.64653694,-14.09601532,-13.3872973,-11.47383213,-13.41691351,-12.37424595,-13.49255135,-13.88241742
14,-13.55862823,-22.83956607,-13.65309129,-14.10082492,-13.39367207,-11.47171842,-13.43477297,-12.37750541,-13.50163243,-13.87363554
15,-13.56031502,-22.86310961,-13.66500601,-14.10563453,-13.40004685,-11.47242753,-13.4517009,-12.38321351,-13.51428108,-13.86556196
16,-13.56393604,-22.88665315,-13.67692072,-14.11044414,-13.40642162,-11.47313664,-13.46210811,-12.38892162,-13.52692973,-13.8577021
17,-13.57027177,-22.9101967,-13.68883544,-14.11525375,-13.4127964,-11.47384575,-13.47251532,-12.39462973,-13.53957838,-13.84984224
18,-13.57660751,-22.93374024,-13.70075015,-14.12006336,-13.41917117,-11.47455485,-13.48292252,-12.40033784,-13.55222703,-13.84198238
19,-13.58294324,-22.95474144,-13.71266486,-14.12061622,-13.42184324,-11.47526396,-13.49332973,-12.40604595,-13.56487568,-13.83412252
20,-13.58927898,-22.97537708,-13.72457958,-14.09893934,-13.42344565,-11.47597307,-13.50373694,-12.41248378,-13.57557838,-13.82626266
21,-13.59561471,-22.99601271,-13.72830661,-14.07726246,-13.42504805,-11.47988919,-13.51414414,-12.41965135,-13.58433514,-13.81771211
22,-13.60195045,-23.01664835,-13.72983694,-14.05558559,-13.42665045,-11.48654865,-13.52421892,-12.42681892,-13.59309189,-13.80531772
23,-13.6079016,-23.03728398,-13.73136727,-14.03390871,-13.42825285,-11.49320811,-13.53285315,-12.43398649,-13.60184865,-13.79292332
24,-13.61113804,-23.05766126,-13.7328976,-14.01223183,-13.42974895,-11.49986757,-13.54148739,-12.44115405,-13.61060541,-13.78052893
25,-13.61437447,-23.07673784,-13.73442793,-13.99758919,-13.42826847,-11.50652703,-13.55012162,-12.44832162,-13.61936216,-13.76813453
26,-13.61761091,-23.09581441,-13.73595826,-14.00873874,-13.42678799,-11.51318649,-13.55875586,-12.45879189,-13.63164865,-13.75574014
27,-13.62084735,-23.11489099,-13.74843754,-14.01988829,-13.42530751,-11.52000531,-13.56739009,-12.47586757,-13.65099459,-13.74334575
28,-13.62408378,-23.13396757,-13.77843514,-14.03103784,-13.42382703,-11.52973243,-13.57602432,-12.49294324,-13.67034054,-13.73347297
29,-13.62732022,-23.15304414,-13.80843273,-14.04218739,-13.42234655,-11.53945956,-13.58208919,-12.51001892,-13.68968649,-13.72577938
30,-13.63055666,-23.16792452,-13.83843033,-14.05333694,-13.42102432,-11.54918669,-13.58044595,-12.52709459,-13.70903243,-13.71808579
31,-13.62905736,-23.17782192,-13.86842793,-14.07171622,-13.42008378,-11.55891381,-13.5788027,-12.54417027,-13.72837838,-13.71039219
32,-13.6266026,-23.18771932,-13.89842553,-14.10985676,-13.41914324,-11.56864094,-13.57715946,-12.55716486,-13.74667568,-13.7026986
33,-13.62414785,-23.19761672,-13.92842312,-14.1479973,-13.4182027,-11.57836807,-13.57551622,-12.54975405,-13.75972973,-13.69500501
34,-13.62169309,-23.20751411,-13.97318468,-14.18613784,-13.41726216,-11.58885285,-13.57387297,-12.54234324,-13.77278378,-13.68731141
35,-13.61923834,-23.21741151,-14.01823574,-14.22427838,-13.41632162,-11.59992112,-13.57222973,-12.53493243,-13.78583784,-13.68562863
36,-13.61678358,-23.21875916,-14.06328679,-14.26241892,-13.41333423,-11.61098939,-13.5733973,-12.52752162,-13.79889189,-13.68446476
37,-13.61432883,-23.21723514,-14.10833784,-14.29428919,-13.40868378,-11.62205766,-13.58074865,-12.52011081,-13.81194595,-13.6833009
38,-13.6125037,-23.21571111,-14.15338889,-14.31292222,-13.40403333,-11.63312593,-13.5881,-12.5127,-13.825,-13.68213704
39,-13.61121461,-23.21418709,-14.19843994,-14.33155526,-13.39938288,-11.64419419,-13.59545135,-12.52048378,-13.8357027,-13.68097317
40,-13.60992553,-23.21266306,-14.23453604,-14.35018829,-13.39473243,-11.65602643,-13.6028027,-12.52826757,-13.84640541,-13.67980931
41,-13.60863644,-23.21126867,-14.26406517,-14.36882132,-13.39008198,-11.6768989,-13.61015405,-12.53605135,-13.85710811,-13.67867768
42,-13.60734735,-23.21298539,-14.29359429,-14.38745435,-13.39346246,-11.69777137,-13.61750541,-12.54383514,-13.86781081,-13.67761962
43,-13.60605826,-23.2147021,-14.32312342,-14.40137027,-13.39872252,-11.71864384,-13.62596486,-12.55161892,-13.87851351,-13.67656156
44,-13.60476917,-23.21641882,-14.35265255,-14.40742432,-13.40398258,-11.73951632,-13.63627117,-12.5594027,-13.88921622,-13.6755035
45,-13.60646827,-23.21813554,-14.38218168,-14.41347838,-13.40924264,-11.76038879,-13.64657748,-12.57742973,-13.90201351,-13.67444545
46,-13.61721982,-23.21985225,-14.41567027,-14.41953243,-13.4145027,-11.78126126,-13.65688378,-12.59750541,-13.91522973,-13.67338739
47,-13.62797137,-23.21841061,-14.46807628,-14.42558649,-13.41949009,-11.80532192,-13.66719009,-12.61758108,-13.92844595,-13.67232933
48,-13.63872292,-23.2105978,-14.52048228,-14.43164054,-13.4207964,-11.83158979,-13.6774964,-12.63765676,-13.94166216,-13.67462342
49,-13.64947447,-23.20278498,-14.57288829,-14.43841532,-13.4221027,-11.85785766,-13.6878027,-12.65773243,-13.95487838,-13.67843243
50,-13.66022603,-23.19497217,-14.62529429,-14.44615105,-13.42340901,-11.88412553,-13.69646937,-12.67780811,-13.96809459,-13.68224144
51,-13.67097758,-23.18715936,-14.6777003,-14.45388679,-13.42471532,-11.91039339,-13.70302793,-12.6936027,-13.9837,-13.68605045
52,-13.68172913,-23.17934655,-14.73010631,-14.46162252,-13.42602162,-11.93666126,-13.70958649,-12.70725676,-14.0005,-13.68985946
53,-13.69225776,-23.17427237,-14.77767147,-14.46935826,-13.42843483,-11.96310531,-13.71614505,-12.72091081,-14.0173,-13.69366847
54,-13.70277618,-23.17085646,-14.82378438,-14.47709399,-13.43312012,-11.99106887,-13.7227036,-12.73456486,-14.0341,-13.6973002
55,-13.71329459,-23.16744054,-14.8698973,-14.49061892,-13.43780541,-12.01903243,-13.72926216,-12.74821892,-14.0509,-13.69867568
56,-13.72381301,-23.16402462,-14.91601021,-14.51036186,-13.44249069,-12.046996,-13.73582072,-12.76187297,-14.0677,-13.70005115
57,-13.73433143,-23.16060871,-14.96212312,-14.5301048,-13.44717598,-12.07495956,-13.74803694,-12.77271351,-14.07974865,-13.70142663
