Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,6.565312,2.668288,2.939584,3.106112,1.191936,1.692544,2.752128,1.409856,1.181248,-0.390912
2,6.570387347,2.664969994,2.944057465,3.107814438,1.181880505,1.701451467,2.746181574,1.41122774,1.186215912,-0.385493205
3,6.575462695,2.661651988,2.948530931,3.109516877,1.171825009,1.710358935,2.740235147,1.412599479,1.191183824,-0.38007441
4,6.580538042,2.658333982,2.953004396,3.111219315,1.161769514,1.719266402,2.734288721,1.413971219,1.196151736,-0.374655616
5,6.585613389,2.655015976,2.957510342,3.112921754,1.151714018,1.72817387,2.728342294,1.415342959,1.201119648,-0.369236821
6,6.590357654,2.651193658,2.962615928,3.114622206,1.143232577,1.737081337,2.722395868,1.416788949,1.20608756,-0.362966871
7,6.594880384,2.647365189,2.967721514,3.116311447,1.136947892,1.746350318,2.717402523,1.418418739,1.211686438,-0.355509045
8,6.599403115,2.643536721,2.972827099,3.118000689,1.130663207,1.756374038,2.712542943,1.420048529,1.217474178,-0.348051219
9,6.603925846,2.639708252,2.97799598,3.11968993,1.124378523,1.766397758,2.707683363,1.421678318,1.223261918,-0.340593393
10,6.608388036,2.635023568,2.983717477,3.121379171,1.118093838,1.776421477,2.702823784,1.423308108,1.229049658,-0.333135568
11,6.612605373,2.630317742,2.989438975,3.123052525,1.114735728,1.786445197,2.697964204,1.425047319,1.234837397,-0.324418498
12,6.616822711,2.625611916,2.995160472,3.124688977,1.111956501,1.796468917,2.693735592,1.426867251,1.241166222,-0.315452348
13,6.621040048,2.62090609,3.000971916,3.126325429,1.109177273,1.807354426,2.689713009,1.428687183,1.247957333,-0.306486198
14,6.625257385,2.615477622,3.007276909,3.127961882,1.106398046,1.818708629,2.685690426,1.430507115,1.254748444,-0.297520048
15,6.629567487,2.610022054,3.013581902,3.129598334,1.1044398,1.830062831,2.681667844,1.432327047,1.261539556,-0.28828611
16,6.633901165,2.604566486,3.019886895,3.131258619,1.104914643,1.841417033,2.677645261,1.434381453,1.268330667,-0.278258547
17,6.638234843,2.599110919,3.026281834,3.13294786,1.105389485,1.852771235,2.674056072,1.436473017,1.275526214,-0.268230983
18,6.642568521,2.593336505,3.033024448,3.134637101,1.105864328,1.864125437,2.670720577,1.438564581,1.283626603,-0.258203419
19,6.647155892,2.587545946,3.039767063,3.136326342,1.106339171,1.877144793,2.667385081,1.440656144,1.291726991,-0.248175856
20,6.652129441,2.581755387,3.046509678,3.138015584,1.108815632,1.890212837,2.664049586,1.442807159,1.299827379,-0.237699331
21,6.657102991,2.575964829,3.053331411,3.139823984,1.112279191,1.903280881,2.66071409,1.445292589,1.307927768,-0.227001401
22,6.662076541,2.570459099,3.060381982,3.141711183,1.115742751,1.916348925,2.657632288,1.447778018,1.31616173,-0.216303471
23,6.66705009,2.564971628,3.067432553,3.143598382,1.11920631,1.929416969,2.654796492,1.450263447,1.325962955,-0.205605542
24,6.673152961,2.559484156,3.074483123,3.145485582,1.122919399,1.943114635,2.651960697,1.452748877,1.33576418,-0.194877181
25,6.679260829,2.553996685,3.081578667,3.147372781,1.129245982,1.958313706,2.649124901,1.455508372,1.345565405,-0.183830102
26,6.685368697,2.549604324,3.088775111,3.149587668,1.135572565,1.973512777,2.646289105,1.458618555,1.355366631,-0.172783023
27,6.691476565,2.545297297,3.095971556,3.151910374,1.141899147,1.988711848,2.643621477,1.461728737,1.365167856,-0.161735944
28,6.698457946,2.54099027,3.103168,3.154233081,1.14822573,2.003910919,2.641222919,1.464838919,1.376816432,-0.150688865
29,6.706034611,2.536683243,3.110341125,3.156555788,1.155891251,2.01910999,2.63882436,1.467949101,1.388795708,-0.139564268
30,6.713611275,2.534289682,3.117472737,3.158878494,1.164871367,2.035796436,2.636425802,1.471661101,1.400774983,-0.128363564
31,6.72118794,2.53207236,3.124604348,3.161832745,1.173851483,2.053397141,2.634027243,1.47559976,1.412754258,-0.117162859
32,6.72908595,2.529855039,3.13173596,3.164854903,1.1828316,2.070997846,2.631746306,1.479538418,1.424733534,-0.105962154
33,6.738320464,2.527637718,3.138727656,3.167877061,1.191811716,2.088598551,2.629797477,1.483477077,1.438300316,-0.094761449
34,6.747554979,2.52791409,3.145518895,3.170899219,1.202980901,2.106199255,2.627848649,1.487428997,1.452849201,-0.083419099
35,6.756789493,2.528456456,3.152310134,3.173965069,1.214335231,2.12379996,2.62589982,1.492304785,1.467398086,-0.072064769
36,6.766024008,2.528998823,3.159101373,3.177805453,1.225689562,2.143750919,2.623950991,1.497180573,1.481946971,-0.060710438
37,6.776550054,2.529541189,3.165652757,3.181645838,1.237043892,2.163843459,2.622076541,1.50205636,1.496495856,-0.049356108
38,6.787413333,2.532757333,3.171925333,3.185486222,1.249080889,2.183936,2.620664889,1.506932148,1.512139852,-0.037930667
39,6.798276613,2.536298667,3.17819791,3.189326607,1.262446318,2.204028541,2.619253237,1.512041642,1.529515307,-0.026366847
40,6.809139892,2.53984,3.184470486,3.193352649,1.275811748,2.224121081,2.617841586,1.51769158,1.546890763,-0.014803027
41,6.820641762,2.543381333,3.190426587,3.19810364,1.289177177,2.244854967,2.616429934,1.523341518,1.564266218,-0.003239207
42,6.833133806,2.549546282,3.196083251,3.202854631,1.302542607,2.267349141,2.615028468,1.528991455,1.581641674,0.008324613
43,6.84562585,2.556070631,3.201739916,3.207605622,1.317144793,2.289843315,2.614278919,1.534641393,1.599461093,0.020131556
44,6.858117894,2.562594979,3.207396581,3.212356613,1.33214424,2.312337489,2.613529369,1.5406597,1.619663119,0.032016593
45,6.870609938,2.569119327,3.212760088,3.217434971,1.347143688,2.334831664,2.61277982,1.54693439,1.639865145,0.04390163
46,6.884831712,2.578051459,3.21789809,3.223109766,1.362143135,2.357325838,2.61203027,1.553209081,1.660067171,0.055786667
47,6.899068861,2.587351447,3.223036092,3.228784561,1.377368985,2.381085918,2.611280721,1.559483772,1.680269197,0.067759343
48,6.91330601,2.596651435,3.228174094,3.234459355,1.393667267,2.405722394,2.611244589,1.565758462,1.700471223,0.080147155
49,6.927543159,2.605951423,3.233112216,3.24013415,1.40996555,2.430358871,2.611294559,1.572497874,1.723099868,0.092534967
50,6.943042242,2.617380132,3.237926054,3.246288657,1.426263832,2.454995347,2.611344529,1.579302246,1.745920448,0.104922779
51,6.959417145,2.629168625,3.242739892,3.25291365,1.442562114,2.479631824,2.611394498,1.586106619,1.768741029,0.117310591
52,6.975792048,2.640957117,3.24755373,3.259538643,1.459505009,2.5042683,2.611444468,1.592910991,1.79156161,0.130095087
53,6.992166951,2.65274561,3.252270126,3.266163636,1.476892637,2.530555067,2.612176721,1.599822991,1.81438219,0.143153265
54,7.009023936,2.666417586,3.25693809,3.272788629,1.494280264,2.556995588,2.613113658,1.607279279,1.838762026,0.156211443
55,7.027943784,2.680439351,3.261606054,3.280036324,1.511667892,2.583436108,2.614050595,1.614735568,1.863821838,0.169269622
56,7.046863632,2.694461117,3.266274018,3.287611516,1.529063207,2.609876629,2.614987532,1.622191856,1.88888165,0.182335487
57,7.065783479,2.708482883,3.270918663,3.295186707,1.547288793,2.636317149,2.615924468,1.629648144,1.913941461,0.196231624
58,7.084703327,2.724347964,3.27555421,3.302761898,1.565514378,2.663094006,2.617499099,1.637485742,1.939001273,0.21012776
59,7.105652917,2.740587051,3.280189758,3.310337089,1.583739964,2.690943936,2.619422943,1.645784088,1.964859323,0.224023896
60,7.127146795,2.756826138,3.284825305,3.318688609,1.60196555,2.718793866,2.621346787,1.654082434,1.991632208,0.237920032
61,7.148640673,2.773065225,3.28934842,3.327227195,1.620429453,2.746643796,2.623270631,1.662380781,2.018405093,0.252268973
62,7.170134551,2.791133982,3.293838094,3.335765782,1.639213678,2.774493726,2.625194474,1.670679127,2.045177978,0.267226523
63,7.192496625,2.809606342,3.298327768,3.344304368,1.657997902,2.802343656,2.627686823,1.679782118,2.071950863,0.282184072
64,7.216230054,2.828078703,3.302817441,3.352842955,1.676782126,2.830745369,2.630697514,1.689166991,2.09898609,0.297141622
65,7.239963483,2.846551063,3.307080585,3.362403812,1.69556635,2.859576248,2.633708204,1.698551864,2.126872472,0.312099171
66,7.263696913,2.866748925,3.311294719,3.372011371,1.714492028,2.888407127,2.636718895,1.707936737,2.154758855,0.328235499
67,7.287430342,2.887358847,3.315508853,3.381618931,1.733443844,2.917238006,2.639729586,1.717360048,2.182645237,0.344589646
68,7.312684909,2.907968769,3.319722987,3.39122649,1.75239566,2.946068885,2.643209994,1.728103079,2.21053162,0.360943792
69,7.337959848,2.928578691,3.32379554,3.400972172,1.771347475,2.974899764,2.647394979,1.73884611,2.238420757,0.377297938
70,7.363234787,2.950495135,3.327847592,3.411873057,1.790270078,3.004290306,2.651579964,1.749589141,2.266833297,0.39415236
71,7.388509726,2.972748108,3.331899644,3.422773942,1.809110166,3.033752601,2.655764949,1.760332172,2.295245838,0.412419844
72,7.414151047,2.995001081,3.335951696,3.433674827,1.827950254,3.063214895,2.659949934,1.771560232,2.323658378,0.430687327
73,7.440051315,3.017254054,3.34018364,3.444575712,1.846790342,3.092677189,2.664491243,1.783837982,2.352070919,0.448954811
74,7.465951584,3.040244084,3.34443019,3.455867067,1.86563043,3.122139483,2.669962955,1.796115732,2.380483459,0.467222294
