Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-7.79803,-7.40511,-8.6541,-8.22076,-8.2793,-8.2528,-7.70872,-8.18123,-7.47493,-7.87191
2,-7.800224194,-7.405215105,-8.653987568,-8.222683844,-8.280264925,-8.254077938,-7.70694991,-8.179545135,-7.476558108,-7.871887327
3,-7.802418388,-7.40532021,-8.653875135,-8.224607688,-8.28122985,-8.255355876,-7.70517982,-8.17786027,-7.478186216,-7.871864655
4,-7.804612583,-7.405425315,-8.653762703,-8.226531532,-8.282194775,-8.256633814,-7.70340973,-8.176175405,-7.479814324,-7.871841982
5,-7.806806777,-7.40553042,-8.65365027,-8.228455375,-8.2831597,-8.257911752,-7.70163964,-8.174490541,-7.481442432,-7.871819309
6,-7.809000971,-7.405635526,-8.653537838,-8.230379219,-8.284124625,-8.25918969,-7.69986955,-8.172805676,-7.483070541,-7.871796637
7,-7.811195165,-7.401779069,-8.653425405,-8.23207982,-8.284993604,-8.260467628,-7.698099459,-8.171120811,-7.484698649,-7.871773964
8,-7.813389359,-7.388290581,-8.652284294,-8.229836456,-8.285587538,-8.261570801,-7.696517207,-8.170985946,-7.486521351,-7.871836056
9,-7.813568789,-7.374802092,-8.650446336,-8.227593093,-8.286181471,-8.262508058,-7.697752523,-8.171161081,-7.488382973,-7.872034064
10,-7.812917387,-7.361313604,-8.648608378,-8.22534973,-8.286775405,-8.263445315,-7.698987838,-8.171336216,-7.490244595,-7.872232072
11,-7.812265986,-7.347825115,-8.64677042,-8.223106366,-8.287369339,-8.264382573,-7.700223153,-8.171511351,-7.492106216,-7.87243008
12,-7.811614585,-7.334336627,-8.644932462,-8.220863003,-8.287963273,-8.26531983,-7.701458468,-8.171686486,-7.493967838,-7.872628088
13,-7.810963183,-7.320552042,-8.643094505,-8.218880541,-8.288134685,-8.266257087,-7.702693784,-8.171861622,-7.495829459,-7.872826096
14,-7.810311782,-7.306555546,-8.641098589,-8.219072252,-8.287911742,-8.267207397,-7.703929099,-8.17168,-7.498233784,-7.873024104
