time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-4.8561,-5.3392,-4.7354,-4.0976,-4.8772,-5.1201,-4.3052,-4.063,-3.8827,-4.1186
2,-4.732637037,-5.368775275,-4.676900701,-4.048014615,-4.829866967,-4.943682583,-4.412211011,-4.064989189,-3.792711411,-3.948611612
3,-4.609174074,-5.398350551,-4.618401401,-3.998429229,-4.782533934,-4.767265165,-4.519222022,-4.066978378,-3.702722823,-3.778623223
4,-4.485711111,-5.407063363,-4.559902102,-3.948843844,-4.735200901,-4.738585586,-4.626233033,-4.068967568,-3.612734234,-3.608634835
5,-4.48007027,-5.340617818,-4.579484084,-3.899258458,-4.687867868,-4.899114114,-4.500279379,-4.065806607,-3.592375676,-3.695608909
6,-4.548637838,-5.274172272,-4.610905105,-3.926026426,-4.643814114,-5.059642643,-4.347724224,-4.054258258,-3.583494595,-3.832036136
7,-4.617205405,-5.22872973,-4.642326126,-3.983611712,-4.601336937,-5.076627027,-4.195169069,-4.04270991,-3.574613514,-3.968463363
8,-4.668248348,-5.210618018,-4.630510911,-4.041196997,-4.55885976,-5.073464865,-4.245543243,-4.031161562,-3.675418919,-4.027794895
9,-4.659655255,-5.192506306,-4.603241041,-4.098782282,-4.516382583,-5.017175075,-4.348235135,-4.044817417,-3.819521622,-4.05037988
10,-4.651062162,-5.220445045,-4.575971171,-4.118006306,-4.505997297,-4.845559459,-4.450927027,-4.066394595,-3.963624324,-4.072964865
11,-4.642469069,-5.272983383,-4.542016817,-4.085307007,-4.555041441,-4.673943844,-4.430622923,-4.087971772,-3.961436937,-4.052784785
12,-4.662523824,-5.325521722,-4.503698498,-4.052607708,-4.604085586,-4.672812913,-4.355715215,-4.100163964,-3.851330631,-3.992463263
13,-4.688007808,-5.268032432,-4.46538018,-4.019908408,-4.65312973,-4.72735045,-4.280807508,-4.055324324,-3.741224324,-3.932141742
14,-4.713491792,-5.193968468,-4.478362563,-3.99194024,-4.699327628,-4.769628228,-4.282318218,-4.010484685,-3.709248949,-3.927315716
15,-4.695154154,-5.13483974,-4.548421221,-3.993689489,-4.638791291,-4.760415015,-4.33691962,-3.965645045,-3.779183483,-4.023570771
16,-4.624165165,-5.233735435,-4.61847988,-3.995438739,-4.578254955,-4.751201802,-4.391521021,-3.948351351,-3.849118018,-4.119825826
17,-4.553176176,-5.332631131,-4.64686977,-3.997187988,-4.517718619,-4.743933934,-4.449548448,-3.956308108,-3.911093093,-4.170321722
18,-4.486149149,-5.406999099,-4.59498038,-3.998937237,-4.457182282,-4.737804805,-4.511176476,-3.964264865,-3.953811411,-4.029529329
19,-4.473599099,-5.425110811,-4.543090991,-3.961383784,-4.473624324,-4.724432432,-4.572804505,-3.972221622,-3.99652973,-3.888736937
20,-4.461049049,-5.443222523,-4.503951051,-3.916882883,-4.522853453,-4.613678679,-4.582498999,-3.913205105,-4.024646246,-3.756647247
21,-4.448498999,-5.442372172,-4.512764264,-3.872381982,-4.572082583,-4.502924925,-4.509267367,-3.846926426,-3.970627628,-3.89086026
22,-4.528722823,-5.424080781,-4.521577477,-3.827881081,-4.621311712,-4.441363964,-4.436035736,-3.780647748,-3.916609009,-4.025073273
23,-4.652333433,-5.405789389,-4.524437237,-3.842808809,-4.684675075,-4.427505105,-4.384192292,-3.762402703,-3.863269369,-4.159286286
24,-4.775944044,-5.430842342,-4.457284384,-3.904009209,-4.771433033,-4.413646246,-4.386641942,-3.866089189,-3.881222523,-4.155256056
25,-4.859268168,-5.47127027,-4.390131532,-3.96520961,-4.858190991,-4.481824324,-4.389091592,-3.969775676,-3.899175676,-4.130615015
26,-4.846275175,-5.511698198,-4.322978679,-4.02641001,-4.944948949,-4.554671171,-4.394031932,-4.073462162,-3.917128829,-4.105973974
27,-4.833282182,-5.47507988,-4.38772032,-4.050901702,-5.02458018,-4.573914414,-4.410309209,-4.124025526,-3.915715015,-4.011554354
28,-4.820289189,-5.434867568,-4.459886486,-3.978459459,-4.974148649,-4.507391892,-4.426586486,-4.147591892,-3.911354054,-3.888475676
29,-4.76947037,-5.420479279,-4.532052653,-3.906017217,-4.923717117,-4.440869369,-4.440896797,-4.171158258,-3.906993093,-3.765396997
30,-4.714840741,-5.529796396,-4.582044645,-3.833574975,-4.873285586,-4.50596006,-4.43183954,-4.192525225,-3.936854354,-3.755071371
31,-4.660211111,-5.639113514,-4.627004805,-3.761132733,-4.822854054,-4.599341441,-4.422782282,-4.165505405,-3.979604505,-3.837946246
32,-4.658024725,-5.6520002,-4.671964965,-3.742195996,-4.845945646,-4.64451021,-4.413725025,-4.138485586,-4.022354655,-3.920821121
33,-4.703854555,-5.514042142,-4.650477678,-3.723957157,-4.896608408,-4.553549249,-4.353434535,-4.111465766,-4.026918018,-3.918198298
34,-4.749684384,-5.376084084,-4.598205105,-3.705718318,-4.947271171,-4.462588288,-4.291838739,-4.090981081,-4.004381081,-3.77962012
