time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,0.7933,0.6141,0.7311,0.4688,0.5949,0.5566,0.725,0.6586,0.6049,0.6642
2,0.762815115,0.598737638,0.665313514,0.557021021,0.576461562,0.578524324,0.703232032,0.721387988,0.656761662,0.695133534
3,0.73233023,0.583375275,0.599527027,0.645242042,0.558023123,0.600448649,0.681464064,0.784175976,0.708623323,0.726067067
4,0.701845345,0.568012913,0.533740541,0.723041141,0.539584685,0.622372973,0.659696096,0.846963964,0.760484985,0.757000601
5,0.725045946,0.6136996,0.562919219,0.702621522,0.557456156,0.688505405,0.694178478,0.84188008,0.743842943,0.786465866
6,0.766532432,0.692599499,0.632224024,0.682201902,0.587695195,0.758656757,0.738698098,0.8207001,0.719378679,0.815132332
7,0.808018919,0.771499399,0.701528829,0.661736036,0.617934234,0.828808108,0.783217718,0.79952012,0.694914414,0.843798799
8,0.819713514,0.817216517,0.73285015,0.641075375,0.645497898,0.813635135,0.810924525,0.8107,0.699048348,0.860881682
9,0.80062973,0.783747447,0.708585886,0.620414715,0.670297598,0.781397297,0.831328028,0.842,0.710555255,0.850321922
10,0.781545946,0.750278378,0.684321622,0.625163063,0.695097297,0.749159459,0.851731532,0.8733,0.722062162,0.839762162
11,0.750565866,0.716809309,0.662964264,0.692792292,0.712743143,0.755621622,0.85054034,0.879051752,0.726537538,0.829202402
12,0.681452452,0.72061001,0.665390691,0.760421522,0.707457457,0.774983784,0.831374374,0.850226927,0.727891291,0.791386486
13,0.612339039,0.726665465,0.667817117,0.776783483,0.702171772,0.794345946,0.812208408,0.821402102,0.729245045,0.751921622
14,0.543225626,0.732720921,0.670243544,0.710807107,0.696886086,0.793859459,0.798097497,0.80575966,0.72146967,0.712456757
15,0.581731832,0.709249249,0.641470571,0.644830731,0.715603203,0.783448649,0.791751151,0.833456557,0.707351952,0.694837738
16,0.62201982,0.66530991,0.605468468,0.613803303,0.734717718,0.773037838,0.785404805,0.861153453,0.693234234,0.692361862
17,0.662307808,0.621370571,0.569466366,0.62069019,0.753832232,0.749781081,0.772930831,0.887075375,0.680986687,0.689885986
18,0.716923724,0.598105806,0.553733333,0.627577077,0.736375776,0.717348649,0.741357758,0.872036336,0.670704605,0.699954154
19,0.776848649,0.640941441,0.5571,0.598015315,0.705368468,0.684916216,0.709784685,0.856997297,0.660422523,0.750127928
20,0.836773574,0.683777077,0.560466667,0.541577277,0.674361161,0.693510811,0.685494995,0.841958258,0.647633133,0.800301702
21,0.865262462,0.726612713,0.57478048,0.485139239,0.641132432,0.743132432,0.733536837,0.832351051,0.63084014,0.850475475
22,0.859085586,0.768444144,0.628404505,0.504614414,0.605454054,0.792754054,0.781578679,0.823703604,0.614047147,0.858446246
23,0.852908709,0.810146246,0.682028529,0.561224625,0.569775676,0.805956757,0.829620521,0.815056156,0.611856056,0.860981782
24,0.847637137,0.851848348,0.735652553,0.617834835,0.545376176,0.768172973,0.777672773,0.794654955,0.646731331,0.863517317
25,0.845547447,0.854811111,0.730181081,0.656448649,0.560618619,0.730389189,0.71934985,0.768148649,0.681606607,0.849372973
26,0.843457758,0.823907407,0.719626126,0.689609009,0.575861061,0.720778378,0.661026927,0.741642342,0.711157958,0.820646847
27,0.841368068,0.793003704,0.709071171,0.722769369,0.591103504,0.767513514,0.664841141,0.746878979,0.716476276,0.791920721
28,0.805178378,0.765943243,0.705724324,0.694032432,0.573791892,0.814248649,0.685308108,0.788424324,0.721794595,0.774702703
29,0.767840541,0.756248549,0.706725225,0.6555003,0.555384184,0.840551351,0.705775075,0.82996967,0.722893694,0.809484284
30,0.730502703,0.746553854,0.707726126,0.616968168,0.536976476,0.805556757,0.750364765,0.854926226,0.673868468,0.844265866
31,0.712280781,0.736859159,0.689283784,0.611634234,0.550793994,0.770562162,0.808687688,0.836096096,0.624843243,0.879047447
32,0.70174014,0.70646987,0.630776577,0.607708709,0.57756046,0.742335135,0.867010611,0.817265966,0.575818018,0.86615976
33,0.691199499,0.671807608,0.572269369,0.60636026,0.604326927,0.747945946,0.89215956,0.802092492,0.625047447,0.843429429
34,0.703368468,0.637145345,0.516516216,0.649093393,0.602992192,0.753556757,0.882195796,0.827282883,0.67678018,0.820699099
35,0.742273574,0.607102703,0.550728829,0.691826527,0.568573774,0.75622973,0.872232032,0.852473273,0.728512913,0.812211411
36,0.781178679,0.582135135,0.584941441,0.723103003,0.534155355,0.726586486,0.847317918,0.877663664,0.727392893,0.819370571
37,0.810845045,0.557167568,0.619154054,0.690045946,0.512141441,0.696943243,0.792644144,0.856856757,0.718561261,0.82652973
38,0.80472963,0.540959259,0.599144444,0.656988889,0.53817037,0.6673,0.73797037,0.830444444,0.70972963,0.828059259
39,0.798614214,0.586539239,0.559351051,0.609943844,0.564199299,0.642845946,0.703767868,0.804032132,0.704696196,0.789877077
40,0.792498799,0.632119219,0.519557658,0.520276577,0.590228228,0.618391892,0.76098018,0.799673273,0.700796096,0.751694895
41,0.81266046,0.677699199,0.510828529,0.430609309,0.642943443,0.593937838,0.818192492,0.80478028,0.696895996,0.713512713
42,0.834171972,0.654025926,0.542341742,0.382602302,0.69702953,0.617527027,0.872995395,0.809887287,0.66871962,0.733463664
43,8.56E-01,0.609877778,0.573854955,0.414385285,0.751115616,0.645483784,0.853829429,0.788908108,0.628461562,0.770601802
44,0.839343343,0.56572963,0.60535976,0.446168268,0.751348248,0.673440541,0.834663463,0.742663063,0.588203504,0.80773994
45,0.806553654,0.565675576,0.636812312,0.494290691,0.728177277,0.649072973,0.815497497,0.696418018,0.578989289,0.820804004
46,0.773763964,0.626647748,0.668264865,0.563297297,0.705006306,0.614240541,0.813423423,0.668347748,0.593654955,0.80054955
47,0.759025926,0.68761992,0.699717417,0.632303904,0.707292793,0.579408108,0.813677277,0.679564364,0.608320621,0.780295095
48,0.766985185,0.747086587,0.666845646,0.643845045,0.741588288,0.594245946,0.813931131,0.690780981,0.632203704,0.759628228
49,0.774944444,0.785626727,0.621865766,0.605416216,0.775883784,0.625640541,0.787177177,0.701084084,0.666788889,0.733228829
50,0.784552553,0.824166867,0.576885886,0.566987387,0.799322422,0.657035135,0.750368368,0.704969169,0.701374074,0.706829429
51,0.801239339,0.862707007,0.561173273,0.530947948,0.776151451,0.709943243,0.71355956,0.708854254,0.723964464,0.68043003
52,0.817926126,0.855193093,0.569938739,0.496306907,0.75298048,0.773608108,0.708313213,0.712739339,0.725253754,0.699509009
53,0.834612913,0.829300801,0.578704204,0.461665866,0.72980951,0.837272973,0.726178178,0.701337538,0.726543043,0.736736637
54,0.805534835,0.803408509,0.584984685,0.489412212,0.709884885,0.811508108,0.744043143,0.688836336,0.725530931,0.773964264
55,0.773267568,0.800316216,0.583710811,0.540616216,0.690186486,0.721864865,0.776962162,0.676335135,0.717891892,0.808078378
56,0.7410003,0.837335035,0.582436937,0.59182022,0.670488088,0.632221622,0.830176276,0.710303604,0.710252853,0.836715015
57,0.733168669,0.874353854,0.581163063,0.616877177,0.660078579,0.607540541,0.88339039,0.760496396,0.705406607,0.865351652
58,0.736794895,0.910734835,0.611168468,0.636298198,0.654024625,0.647821622,0.903171772,0.810689189,0.715753153,0.893544144
59,0.740421121,0.884395095,0.642803003,0.655719219,0.647970671,0.688102703,0.834567768,0.842356256,0.7260997,0.878062462
60,0.732520921,0.858055355,0.674437538,0.659704004,0.627164464,0.725167568,0.765963764,0.858836537,0.736250551,0.862580781
61,0.709134835,0.831715616,0.688610811,0.662321021,0.586538438,0.75772973,0.713642943,0.875316817,0.74289039,0.847099099
62,0.685748749,0.813380681,0.693524324,0.664256857,0.545912412,0.790291892,0.777391992,0.875966867,0.74953023,0.857495696
63,0.674002503,0.799211512,0.698437838,0.620008609,0.518682282,0.804637838,0.841141041,0.848207307,0.75617007,0.88135956
64,0.71803964,0.785042342,0.707621622,0.57576036,0.555651351,0.782551351,0.90489009,0.820447748,0.739254955,0.905223423
