time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,-0.047,-0.1754,-0.1855,-0.2286,-0.2094,-0.127,-0.0867,-0.1005,-0.2072,-0.1512
2,-0.043773273,-0.176324725,-0.186834535,-0.225018819,-0.207771271,-0.12592973,-0.08597017,-0.097398198,-0.204073473,-0.149261061
3,-0.040546547,-0.177249449,-0.188169069,-0.221437638,-0.206142543,-0.124859459,-0.08524034,-0.094296396,-0.200946947,-0.147322122
4,-0.03731982,-0.178174174,-0.189503604,-0.217935736,-0.204513814,-0.123789189,-0.084510511,-0.091194595,-0.19782042,-0.145383183
5,-0.031158959,-0.174848649,-0.187746547,-0.215180981,-0.20261001,-0.123194595,-0.081815015,-0.089992192,-0.195214615,-0.143482883
6,-0.023998699,-0.169210811,-0.184683183,-0.212426226,-0.200612513,-0.122643243,-0.078768769,-0.08924024,-0.192668268,-0.141603604
7,-0.016838438,-0.163572973,-0.18161982,-0.210233033,-0.198615015,-0.122091892,-0.075722523,-0.088488288,-0.190121922,-0.139724324
8,-0.014938238,-0.159679279,-0.180230931,-0.210405205,-0.198370871,-0.120702703,-0.07406997,-0.088605706,-0.190266266,-0.138664264
9,-0.018472272,-0.159947748,-0.181292492,-0.210577377,-0.199938138,-0.119145946,-0.073022823,-0.089263664,-0.191104304,-0.139559159
10,-0.022006306,-0.160216216,-0.182354054,-0.209718919,-0.201505405,-0.117589189,-0.071975676,-0.089921622,-0.191942342,-0.140454054
11,-0.026453754,-0.160484685,-0.183296697,-0.20630991,-0.201698899,-0.116397297,-0.07104975,-0.089634334,-0.190302603,-0.141348949
12,-0.033829129,-0.160471872,-0.183266366,-0.202900901,-0.197488789,-0.115327027,-0.070224725,-0.088067768,-0.187562863,-0.139262262
13,-0.041204505,-0.160442042,-0.183236036,-0.200628228,-0.193278679,-0.114256757,-0.0693997,-0.086501201,-0.184823123,-0.136995195
14,-0.04857988,-0.160412212,-0.183205706,-0.200180581,-0.189068569,-0.113964865,-0.068537137,-0.084635035,-0.183224525,-0.134728128
15,-0.039026326,-0.160100501,-0.182067267,-0.199732933,-0.189665065,-0.114062162,-0.067616917,-0.081783884,-0.182418719,-0.1338
16,-0.029192492,-0.159593393,-0.180672072,-0.199004505,-0.190341141,-0.114159459,-0.066696697,-0.078932733,-0.181612913,-0.1338
17,-0.019358659,-0.159086286,-0.179276877,-0.197971471,-0.191017217,-0.113272973,-0.064974875,-0.076131031,-0.180351351,-0.1338
18,-0.013852352,-0.158223824,-0.178131532,-0.196938438,-0.193262863,-0.111683784,-0.060754555,-0.07447047,-0.178610811,-0.133508609
19,-0.00994955,-0.156225225,-0.177221622,-0.195627928,-0.19609009,-0.110094595,-0.056534234,-0.07280991,-0.17687027,-0.132285586
20,-0.006046747,-0.154226627,-0.176311712,-0.194112813,-0.198917317,-0.107743243,-0.0524997,-0.071149349,-0.175502102,-0.131062563
21,0.000881281,-0.152228028,-0.175144144,-0.192597698,-0.200107708,-0.10462973,-0.05031021,-0.071725425,-0.174728529,-0.12983954
22,0.011145345,-0.153955556,-0.173051351,-0.191799399,-0.199493093,-0.101516216,-0.048120721,-0.072696697,-0.173954955,-0.127453754
23,0.021409409,-0.156162963,-0.170958559,-0.191351752,-0.198878478,-0.099064865,-0.045931231,-0.073667968,-0.172552853,-0.124918218
24,0.029576977,-0.15837037,-0.168865766,-0.190904104,-0.197031832,-0.097540541,-0.044547147,-0.071793594,-0.169555255,-0.122382683
25,0.030375976,-0.159988889,-0.16721982,-0.189161562,-0.190854955,-0.096016216,-0.043214414,-0.068441141,-0.166557658,-0.120865766
26,0.031174975,-0.161092593,-0.165612312,-0.187026627,-0.184678078,-0.095183784,-0.041881682,-0.065088689,-0.164256757,-0.120239339
27,0.031973974,-0.162196296,-0.164004805,-0.184891692,-0.178501201,-0.095735135,-0.040749149,-0.063153854,-0.165127027,-0.119612913
28,0.035121622,-0.162645946,-0.163381081,-0.182340541,-0.176783784,-0.096286486,-0.03967027,-0.062840541,-0.165997297,-0.119056757
