Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-31.4925,-32.8067,-33.4838,-34.476,-33.458,-33.7577,-34.2121,-34.795,-35.7824
2,-31.50663874,-32.8064998,-33.48780801,-34.48112513,-33.45952803,-33.75926096,-34.21793664,-34.80016977,-35.78295716
3,-31.52077748,-32.8062996,-33.49181602,-34.48625025,-33.46105606,-33.76082192,-34.22377327,-34.80533954,-35.78351431
4,-31.53491622,-32.8060994,-33.49582402,-34.49137538,-33.46258408,-33.76238288,-34.22960991,-34.81050931,-35.78407147
5,-31.54906797,-32.8058992,-33.49983203,-34.4965005,-33.46411211,-33.76394384,-34.23544655,-34.81567908,-35.78435536
6,-31.56325996,-32.80569269,-33.50354685,-34.50161722,-33.46603574,-33.76553103,-34.24033904,-34.82122763,-35.77959419
7,-31.57745195,-32.80423123,-33.50691622,-34.50506066,-33.46868288,-33.76713724,-34.24454685,-34.82735315,-35.77483303
8,-31.59164394,-32.80276977,-33.51028559,-34.5085041,-33.47133003,-33.76874344,-34.24875465,-34.83347868,-35.77007187
9,-31.60586196,-32.80130831,-33.51365495,-34.51194755,-33.47397718,-33.77034965,-34.25296246,-34.8396042,-35.76485005
10,-31.62010721,-32.79984685,-33.51702432,-34.51539099,-33.47662432,-33.7718982,-34.25697207,-34.84572973,-35.75560631
11,-31.63435245,-32.79837417,-33.52047457,-34.51882222,-33.48018438,-33.77314244,-34.25993564,-34.8521996,-35.74636256
12,-31.6485977,-32.79579159,-33.52393203,-34.52104444,-33.48412282,-33.77438669,-34.2628992,-34.85875956,-35.73711882
13,-31.6629991,-32.79320901,-33.52738949,-34.52326667,-33.48806126,-33.77563093,-34.26586276,-34.86531952,-35.7273988
14,-31.67745736,-32.79062643,-33.53084695,-34.52548889,-33.4919997,-33.77687518,-34.26882633,-34.87187948,-35.71506537
15,-31.69191562,-32.78804384,-33.5346035,-34.52771111,-33.4960032,-33.77753433,-34.27122152,-34.87835736,-35.70273193
16,-31.70637387,-32.78544474,-33.53885375,-34.52992072,-33.50101772,-33.77798679,-34.27341592,-34.88448288,-35.6903985
17,-31.72127457,-32.78176106,-33.543104,-34.5313021,-33.50603223,-33.77843924,-34.27561031,-34.89060841,-35.6776955
