Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,6.5252,3.2912,4.214,2.5004,4.796,3.4352,1.9568,3.866,3.3104
2,6.503792,3.2657348,4.1677532,2.4672464,4.7737892,3.3982796,1.9209656,3.8417588,3.290342
3,6.482384,3.2402696,4.1215076,2.434094,4.7515796,3.3613592,1.8851312,3.8175176,3.2702852
4,6.460976,3.2148032,4.0752608,2.4009404,4.7293688,3.32444,1.8492968,3.7932752,3.2502272
5,6.4396472,3.189338,4.0290152,2.3677868,4.7071592,3.2875196,1.8134636,3.769034,3.2302004
6,6.4185584,3.1638668,3.9826472,2.3346404,4.6854056,3.2515436,1.7787308,3.7436564,3.2107508
7,6.3974708,3.1372004,3.9361364,2.302688,4.664486,3.2162528,1.744796,3.7165472,3.1913012
8,6.376382,3.1105328,3.8896268,2.2707368,4.6435676,3.1809608,1.7108624,3.6894392,3.1718516
9,6.3548252,3.0838664,3.843116,2.2387844,4.6226492,3.14567,1.6769288,3.66233,3.152432
10,6.3327788,3.0572,3.7966052,2.206832,4.6017296,3.1108112,1.6432976,3.635222,3.133286
11,6.3107312,3.0305264,3.750338,2.1748928,4.5808112,3.0782348,1.6112636,3.6064604,3.11414
12,6.2886848,3.0031388,3.7040912,2.1441416,4.5598916,3.0456572,1.5792296,3.5772656,3.094994
13,6.2654672,2.9757512,3.6578456,2.1133904,4.5389732,3.0130808,1.5471968,3.548072,3.0757544
14,6.2418224,2.9483636,3.6115988,2.0826404,4.5180536,2.9805044,1.5151628,3.5188784,3.0560012
15,6.2181776,2.920976,3.5654528,2.0518892,4.4970728,2.950736,1.4839316,3.48929,3.036248
16,6.1945328,2.893586,3.51947,2.0211572,4.4751212,2.92196,1.4529836,3.4580108,3.0164936
17,6.1674536,2.8659584,3.4734884,1.9916072,4.4531684,2.893184,1.4220356,3.4267316,2.996678
18,6.140294,2.8383308,3.4275068,1.9620572,4.4312168,2.864408,1.3910888,3.3954524,2.97662
19,6.1131356,2.8107032,3.381524,1.9325084,4.4092652,2.8369292,1.3604864,3.3641732,2.956562
20,6.085196,2.7830756,3.335984,1.9029584,4.386992,2.812226,1.3306244,3.3319784,2.936504
21,6.0545228,2.755448,3.2905304,1.8734384,4.3642652,2.7875216,1.3007624,3.2991356,2.9162132
22,6.0238484,2.7278204,3.245078,1.8453296,4.3415384,2.7628184,1.2709004,3.2662916,2.8952432
23,5.9931752,2.7001916,3.1996244,1.817222,4.3188116,2.738114,1.2410396,3.2334488,2.8742744
24,5.9610116,2.672564,3.1545608,1.7891132,4.2960848,2.7170684,1.2123968,3.200606,2.8533044
25,5.9271428,2.6449364,3.1104284,1.7610056,4.272566,2.6964356,1.183892,3.1659716,2.8320536
26,5.8932728,2.6173268,3.0662972,1.7329208,4.248806,2.675804,1.1553872,3.1313036,2.8101728
