Var1,route1,route2,route3,route4,route5,route6,route7,route8,route9
1,-7.9386,-8.4929,-8.3351,-8.6279,-8.2354,-8.4683,-8.7206,-8.3946,-8.4896
2,-7.94227447,-8.49724434,-8.34300591,-8.63354565,-8.23918779,-8.47456647,-8.72670811,-8.39874885,-8.49301892
3,-7.94594895,-8.50158869,-8.35091181,-8.63919129,-8.24297558,-8.48083293,-8.73281622,-8.4028977,-8.49643784
4,-7.94962342,-8.50593303,-8.35881772,-8.64483694,-8.24676336,-8.4870994,-8.73892432,-8.40704655,-8.49985676
5,-7.95329139,-8.51027738,-8.36672362,-8.65048258,-8.25055115,-8.49336587,-8.74503243,-8.4111954,-8.50327047
6,-7.95693924,-8.51462272,-8.37463964,-8.65612723,-8.25427808,-8.49952743,-8.75093073,-8.41552503,-8.50658809
7,-7.96058709,-8.51916727,-8.38256757,-8.66157267,-8.25789369,-8.50561291,-8.75667688,-8.42013003,-8.50990571
8,-7.96423493,-8.52371181,-8.3904955,-8.66701812,-8.26150931,-8.5116984,-8.76242302,-8.42473504,-8.51322332
9,-7.96793483,-8.52825636,-8.39842342,-8.67246356,-8.26512492,-8.51778388,-8.76816917,-8.42934004,-8.51653834
10,-7.97168919,-8.5328009,-8.40635135,-8.67790901,-8.26874054,-8.52378649,-8.77386847,-8.43394505,-8.51983063
11,-7.97544354,-8.53734665,-8.41425906,-8.68335245,-8.27234094,-8.52935165,-8.77932052,-8.43889439,-8.52312292
12,-7.9791979,-8.54201131,-8.42216496,-8.6885977,-8.27593504,-8.53491682,-8.78477257,-8.44393383,-8.52641522
13,-7.98320601,-8.54667598,-8.43007087,-8.69384294,-8.27952913,-8.54048198,-8.79022462,-8.44897327,-8.52971532
14,-7.98730651,-8.55134064,-8.43797678,-8.69908819,-8.28312322,-8.54604715,-8.79567668,-8.45401271,-8.53305826
15,-7.99140701,-8.55600531,-8.44586607,-8.70433343,-8.28672513,-8.55111081,-8.80099499,-8.45910961,-8.5364012
16,-7.99550751,-8.56067117,-8.45372793,-8.70957538,-8.29044835,-8.5559973,-8.80626607,-8.46445315,-8.53974414
17,-8.00012853,-8.56541592,-8.46158979,-8.7146004,-8.29417157,-8.56088378,-8.81153714,-8.4697967,-8.54310791
18,-8.00476156,-8.57016066,-8.46945165,-8.71962543,-8.29789479,-8.56577027,-8.81680821,-8.47514024,-8.54655215
19,-8.00939459,-8.57490541,-8.47731351,-8.72465045,-8.30161802,-8.57044054,-8.82201441,-8.48048378,-8.5499964
20,-8.01416937,-8.57965015,-8.4851017,-8.72967548,-8.30541251,-8.57464835,-8.82708188,-8.48597988,-8.55344064
21,-8.01944144,-8.58439369,-8.49287548,-8.7346961,-8.30930791,-8.57885616,-8.83214935,-8.49158408,-8.55691091
22,-8.02471351,-8.58907838,-8.50064925,-8.7395009,-8.3132033,-8.58306396,-8.83721682,-8.49718829,-8.56045646
23,-8.02998559,-8.59376306,-8.50842302,-8.74430571,-8.3170987,-8.58727177,-8.84228428,-8.50279249,-8.564002
24,-8.03550591,-8.59844775,-8.51613173,-8.74911051,-8.32099409,-8.59084965,-8.84716887,-8.5083967,-8.56754755
25,-8.04131051,-8.60313243,-8.52368529,-8.75391532,-8.32502162,-8.59435616,-8.85203273,-8.51432072,-8.57115556
26,-8.04711512,-8.60781461,-8.53123884,-8.75871512,-8.32908919,-8.59786266,-8.8568966,-8.52025075,-8.5749037
27,-8.05291972,-8.6123992,-8.53879239,-8.76331972,-8.33315676,-8.60136917,-8.86176046,-8.52618078,-8.57865185
28,-8.05904595,-8.61698378,-8.54634595,-8.76792432,-8.33722432,-8.60462703,-8.86644054,-8.53211081,-8.5824
29,-8.0653032,-8.62156837,-8.55365025,-8.77252893,-8.34130751,-8.60761321,-8.87091982,-8.53814755,-8.58621191
30,-8.07156046,-8.62615295,-8.56087347,-8.77713353,-8.3455042,-8.6105994,-8.8753991,-8.54435996,-8.59013734
31,-8.07781772,-8.63073273,-8.5680967,-8.78173333,-8.3497009,-8.61358559,-8.87987838,-8.55057237,-8.59406276
32,-8.08425295,-8.63515716,-8.57531992,-8.78617778,-8.3538976,-8.61654965,-8.88432773,-8.55678478,-8.59798819
33,-8.0906966,-8.63958158,-8.58245375,-8.79062222,-8.35809429,-8.61915125,-8.88828669,-8.5629972,-8.60200731
34,-8.09714024,-8.64400601,-8.58925856,-8.79506667,-8.36232162,-8.62175285,-8.89224565,-8.56937778,-8.60616066
35,-8.10357858,-8.64843043,-8.59606336,-8.79951111,-8.36658288,-8.62435445,-8.8962046,-8.57580741,-8.61031401
36,-8.1099956,-8.65284785,-8.60286817,-8.80395345,-8.37084414,-8.62695606,-8.90016356,-8.58223704,-8.61446737
37,-8.11641261,-8.65707207,-8.60967297,-8.80833784,-8.37510541,-8.62948559,-8.90371892,-8.58866667,-8.61872613
38,-8.12282963,-8.6612963,-8.61615185,-8.81272222,-8.37936667,-8.63197407,-8.90704444,-8.5951037,-8.62310741
39,-8.12916396,-8.66552052,-8.62247217,-8.81710661,-8.38371702,-8.63446256,-8.91036997,-8.60157678,-8.62748869
40,-8.13539459,-8.66974474,-8.62879249,-8.82149099,-8.38808589,-8.63695105,-8.9136955,-8.60804985,-8.63186997
41,-8.14162523,-8.67395936,-8.63511281,-8.82587938,-8.39245475,-8.63945916,-8.9168984,-8.61452292,-8.63640741
42,-8.14785586,-8.67794334,-8.64138088,-8.83036386,-8.39682362,-8.64203814,-8.91965836,-8.620996,-8.64109259
43,-8.15388498,-8.68192733,-8.6473048,-8.83484835,-8.40121982,-8.64461712,-8.92241832,-8.62748138,-8.64577778
44,-8.15982272,-8.68591131,-8.65322873,-8.83933283,-8.40573934,-8.6471961,-8.92517828,-8.63397618,-8.65046296
45,-8.16576046,-8.6898953,-8.65915265,-8.84381732,-8.41025886,-8.64977508,-8.92793824,-8.64047097,-8.65537718
46,-8.1716982,-8.69386757,-8.66507658,-8.84831171,-8.41477838,-8.65262432,-8.93044595,-8.64696577,-8.66046757
47,-8.17736286,-8.69759129,-8.67083133,-8.85301642,-8.4192979,-8.65554264,-8.93288919,-8.65346056,-8.66555796
48,-8.18300771,-8.70131502,-8.67646897,-8.85772112,-8.423898,-8.65846096,-8.93533243,-8.6599972,-8.67064835
49,-8.18865255,-8.70503874,-8.68210661,-8.86242583,-8.42856817,-8.66137928,-8.93777568,-8.66653544,-8.6760042
50,-8.19426446,-8.70876246,-8.68774424,-8.86713053,-8.43323834,-8.66445926,-8.94021041,-8.67307367,-8.68152513
51,-8.19972292,-8.71247117,-8.69337748,-8.87185125,-8.43790851,-8.66780741,-8.94263103,-8.67961191,-8.68704605
