time,Fx,Tx,Fy,Ty,Fz,Tz
1,35.7321,-1.2993,7.9744,-1.3109,-85.9258,1.0347
2,35.2024,-1.8511,7.6632,-0.9902,-101.6616,1.0316
3,35,-2.0772,7.6723,-0.8543,-108.618,1.0185
4,34.9992,-1.8017,7.7207,-1.0107,-100.6346,1.0089
5,34.9081,-1.8301,7.6731,-0.9948,-101.4491,1.0062
6,34.9293,-1.9364,7.4414,-0.9514,-104.3017,1.001
7,34.864,-1.781,7.3789,-1.0395,-99.7948,1.0032
8,34.8949,-2.0076,7.3436,-0.9275,-105.522,1.004
9,35.0176,-1.7814,7.3768,-1.0469,-98.7688,1.0116
10,34.8233,-1.7254,7.347,-1.0874,-96.7137,1
11,35.1489,-1.4071,7.3975,-1.2674,-87.5097,1.0071
12,35.1168,-1.605,7.1447,-1.1552,-93.2274,1.0108
13,34.6765,-2.1354,7.1493,-0.8636,-108.7822,1.0018
14,35.0177,-1.9231,7.1372,-0.975,-102.4365,1.0065
15,34.9399,-1.9232,7.1806,-0.9666,-102.2289,1.001
16,34.6981,-2.3686,6.9341,-0.723,-115.3165,1.0001
17,35.0774,-1.8247,6.5423,-1.0473,-98.7155,1.0091
18,34.9508,-1.7749,6.5526,-1.0679,-98.3092,1.0005
19,35.3888,-1.3564,7.0067,-1.2382,-87.6892,0.9906
20,35.4441,-1.4959,7.2358,-1.0846,-94.2549,0.9833
21,35.7618,-1.0357,7.0875,-1.3037,-81.7576,0.9761
22,35.431,-1.3907,6.3343,-1.1524,-90.1021,0.9831
23,34.8039,-1.8881,5.5203,-0.954,-101.5094,0.9877
24,34.0381,-2.0965,5.0314,-0.9535,-104.128,0.9654
25,34.4796,-1.8192,5.5109,-1.0692,-98.2281,0.9587
26,34.8365,-1.6832,5.6994,-1.0714,-96.1896,0.9446
27,35.3728,-1.8027,5.4864,-0.9767,-99.0495,0.9847
28,34.9,-1.8306,5.8382,-0.9541,-101.5276,0.9651
29,34.8466,-2.0487,5.8448,-0.7979,-109.5128,0.9522
30,35.7528,-1.7794,5.5251,-0.9485,-101.1168,0.9962
31,35.8057,-1.5316,5.7842,-1.0642,-94.5779,0.984
32,35.8226,-1.5105,5.6116,-1.0925,-93.755,0.9979
33,35.9515,-1.4261,5.4079,-1.165,-90.6771,1.0087
34,35.4171,-1.9919,5.5425,-0.8622,-107.4676,0.9913
35,35.1917,-1.9992,5.6708,-0.8745,-107.4802,1.008
36,35.0771,-1.7945,5.5761,-0.9909,-101.5347,0.9988
37,35.348,-1.3896,6.2944,-1.1295,-92.5632,0.9637
38,35.2031,-1.6506,6.3363,-0.9736,-101.1701,0.9705
39,34.9755,-1.807,6.1392,-0.9183,-104.6375,0.9766
40,35.1099,-1.4402,5.8979,-1.1592,-92.9565,0.9806
41,34.3985,-1.7807,5.9872,-0.9925,-102.1586,0.948
42,34.5013,-1.6117,6.0207,-1.1298,-96.4339,0.9554
43,3.44E+01,-1.4071,6.1874,-1.254,-90.0953,0.9544
44,34.3136,-1.8021,6.288,-0.9884,-102.3821,0.9591
45,34.0361,-2.0284,6.5994,-0.8518,-108.7402,0.9572
46,33.7392,-1.7316,6.9167,-1.0045,-100.9728,0.9307
47,33.4083,-2.3323,6.7294,-0.6561,-118.7689,0.9277
48,33.5722,-1.7667,6.0403,-0.9941,-103.3876,0.9256
49,33.1402,-2.0074,5.8305,-0.8669,-110.5368,0.9154
50,33.0538,-1.8875,5.9414,-0.9352,-107.0592,0.9036
51,33.2048,-1.3289,6.0312,-1.235,-91.0964,0.9013
52,32.9426,-1.5268,6.088,-1.1151,-97.2371,0.891
53,32.9777,-1.3292,5.9908,-1.2353,-91.089,0.8901
54,32.5985,-1.6197,5.9898,-1.0958,-98.8662,0.8939
55,32.3916,-1.7189,5.9713,-1.0313,-101.5217,0.8944
56,32.5027,-1.3799,6.1629,-1.2318,-91.2942,0.8844
57,32.2488,-1.7052,6.1542,-1.0477,-100.7068,0.8801
