time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10
1,0.9521,0.9695,0.9445,0.9883,1.1142,1.0422,1.0647,1.1121,1.1883,1.0767
2,0.96022983,0.964894294,0.932184484,0.990068769,1.11092973,1.04052022,1.062066266,1.111690691,1.185930831,1.075418118
3,0.96835966,0.960288589,0.919868969,0.991837538,1.107659459,1.03884044,1.059432533,1.111281381,1.183561662,1.074136236
4,0.976124324,0.955682883,0.908063964,0.993606306,1.104389189,1.037160661,1.056798799,1.110872072,1.181192492,1.072889189
5,0.973999099,0.955002603,0.907251952,0.995375075,1.101600901,1.035480881,1.057692492,1.110462763,1.178823323,1.072585586
6,0.971873874,0.955253253,0.90643994,0.997143844,1.098826126,1.033801101,1.059215616,1.110053453,1.176454154,1.072281982
7,0.970853754,0.955503904,0.906306607,1.000751351,1.096051351,1.03210961,1.060738739,1.109644144,1.177305706,1.072043243
8,0.984246046,0.9556,0.913141041,1.005443243,1.096462162,1.030377878,1.062859159,1.109234835,1.178723323,1.07265045
9,0.997638338,0.9556,0.919975475,1.010135135,1.097056757,1.028646146,1.065239039,1.108657658,1.180140941,1.073257658
10,1.009625225,0.9556,0.92708018,1.014827027,1.097651351,1.026914414,1.067618919,1.108064865,1.181558559,1.073864865
11,1.009861361,0.961537738,0.935944645,1.019518919,1.097578679,1.025182683,1.068821221,1.107472072,1.182976176,1.074472072
12,1.010097497,0.975511512,0.944809109,1.023927327,1.097446547,1.023450951,1.069043343,1.106879279,1.187143744,1.075079279
13,1.010621922,0.989485285,0.953547447,1.027520721,1.097314414,1.022336036,1.069265465,1.106286486,1.192484084,1.075527928
14,1.012882082,1.000083083,0.961701401,1.031114114,1.098006306,1.021972372,1.069637738,1.105693694,1.197824424,1.075021922
15,1.015142242,0.999581782,0.969855355,1.034707508,1.098799099,1.021608709,1.070240641,1.105100901,1.203164765,1.074515916
16,1.020147147,0.99908048,0.975727027,1.038300901,1.099591892,1.021245045,1.070843544,1.104297297,1.208505105,1.074364264
17,1.037823624,0.999266266,0.973595495,1.041894294,1.098216517,1.020881381,1.071477277,1.10345045,1.209636136,1.075848549
18,1.0555001,1.015307908,0.971463964,1.04448018,1.096498799,1.020517718,1.072207107,1.102603604,1.207344645,1.077332833
19,1.073508108,1.03134955,0.973476577,1.046937838,1.094781081,1.018736937,1.072936937,1.101756757,1.205053153,1.079357658
20,1.092736336,1.047391191,0.986908609,1.049395495,1.095853754,1.016277878,1.073495495,1.10090991,1.202761662,1.083371972
21,1.111964565,1.057548348,1.000340641,1.051853153,1.097472372,1.013818819,1.072353153,1.100063063,1.20047017,1.087386286
22,1.122658258,1.066665766,1.009673574,1.054310811,1.099090991,1.01135976,1.071210811,1.099216216,1.199545045,1.089542342
23,1.107646747,1.075783183,1.00991041,1.056278378,1.101671772,1.008900701,1.070068468,1.101070571,1.200651952,1.086101502
24,1.092635235,1.080013514,1.010147247,1.057786486,1.10447958,1.006441642,1.07181962,1.103851051,1.201758859,1.082660661
25,1.075759459,1.081705405,1.011104805,1.059294595,1.107287387,1.005075676,1.073755255,1.106631532,1.202865766,1.08143003
26,1.054203604,1.083397297,1.013371672,1.060802703,1.10759009,1.003828829,1.075690891,1.109412012,1.203972673,1.085747948
27,1.032647748,1.083306206,1.015638539,1.062310811,1.107193694,1.002581982,1.078827728,1.112192492,1.20506977,1.090065866
28,1.034086486,1.081175676,1.024081081,1.063797297,1.106797297,1.001335135,1.082286486,1.114972973,1.206137838,1.093518919
29,1.084282282,1.079045145,1.04181001,1.065156456,1.105578378,1.000088288,1.085745245,1.117753453,1.207205906,1.095138138
30,1.134478078,1.079617718,1.059538939,1.066515616,1.104091892,0.999229029,1.086838238,1.116503003,1.208273974,1.096757357
31,1.149550751,1.087325225,1.077958559,1.067874775,1.102605405,1.00103003,1.086584384,1.113172072,1.209342042,1.098905105
32,1.101109109,1.095032733,1.097243844,1.069233934,1.103353153,1.002831031,1.086330531,1.109841141,1.210291992,1.102008609
33,1.052667467,1.102516416,1.116529129,1.070593093,1.104938739,1.004632032,1.087078679,1.10651021,1.210214314,1.105112112
34,1.045517117,1.107529429,1.11905015,1.071375676,1.106524324,1.006433033,1.088887387,1.103179279,1.210136637,1.10663003
35,1.102493393,1.112542442,1.103994094,1.07199009,1.107231231,1.008234034,1.090696096,1.099848348,1.210058959,1.105685485
36,1.15946967,1.117555455,1.088938038,1.072604505,1.107561562,1.010981481,1.09312022,1.096517417,1.209981281,1.104740941
37,1.174399099,1.113687387,1.070386486,1.073218919,1.107891892,1.015466667,1.096769369,1.094118919,1.209903604,1.104776577
38,1.132974074,1.108737037,1.048766667,1.073833333,1.1048,1.019951852,1.100418519,1.092411111,1.209344444,1.106125926
39,1.091549049,1.103786687,1.027146847,1.075213514,1.100043243,1.024437037,1.104003804,1.090703303,1.208761862,1.107475275
40,1.078700601,1.108766967,1.047045045,1.077727027,1.095286486,1.028922222,1.107303904,1.088995495,1.208179279,1.110745345
41,1.099008308,1.11800971,1.09738979,1.080240541,1.094111712,1.033407407,1.110604004,1.087287688,1.207596697,1.116243944
42,1.119316016,1.127252452,1.147734535,1.082754054,1.094904505,1.036921622,1.113802002,1.08557988,1.207014114,1.121742543
43,1.11E+00,1.133884985,1.136613814,1.085267568,1.095697297,1.039727027,1.113865465,1.083872072,1.209289189,1.124264565
44,1.085167167,1.137989389,1.088028428,1.08774024,1.097225225,1.042532432,1.113928929,1.085396697,1.21226036,1.123792292
45,1.055582683,1.142093794,1.039443043,1.088987688,1.099207207,1.045337838,1.113992392,1.090294294,1.215231532,1.12332002
46,1.049457658,1.14599009,1.061240541,1.090235135,1.101189189,1.048143243,1.112771171,1.095191892,1.218202703,1.124991892
47,1.063794494,1.149436537,1.118385886,1.091482583,1.101492492,1.050948649,1.111374975,1.100089489,1.221173874,1.128533934
48,1.078131331,1.152882983,1.175531231,1.09273003,1.100633634,1.050804304,1.109978779,1.104987087,1.223928929,1.132075976
49,1.07666997,1.15686036,1.162598498,1.093977477,1.099774775,1.049938438,1.114525225,1.109884685,1.22656997,1.135483483
50,1.063277678,1.164567868,1.121050551,1.095754354,1.100256456,1.049072573,1.121284084,1.114782282,1.229211011,1.138789389
51,1.049885385,1.172275375,1.079502603,1.097802402,1.101775976,1.048206707,1.128042943,1.116747147,1.231852052,1.142095295
52,1.067021622,1.179982883,1.084666366,1.09985045,1.103295495,1.047340841,1.128683483,1.11439009,1.234493093,1.143665465
53,1.104061261,1.194968468,1.105034334,1.101898498,1.105683183,1.046621121,1.124843944,1.112033033,1.236731932,1.144104004
54,1.141100901,1.210477477,1.125402302,1.103946547,1.108821321,1.050811912,1.121004404,1.109675976,1.238576777,1.144542543
55,1.156475676,1.225986486,1.105797297,1.105751351,1.111959459,1.055002703,1.120232432,1.107318919,1.240421622,1.147013514
56,1.159714114,1.226516517,1.076125025,1.106961562,1.113045946,1.059193493,1.123595996,1.104961862,1.242266466,1.150623023
57,1.162952553,1.221816817,1.046452753,1.108171772,1.112154054,1.063384284,1.12695956,1.102604805,1.244111311,1.154232533
58,1.17264985,1.217117117,1.053924625,1.109381982,1.111262162,1.067575075,1.130079279,1.10086036,1.24547958,1.155696697
59,1.185434935,1.219201001,1.068304004,1.110592192,1.114396997,1.07055025,1.132554354,1.100422823,1.245984484,1.156135235
60,1.19822002,1.226845846,1.082683383,1.111802402,1.121862462,1.069961461,1.135029429,1.099985285,1.246489389,1.156573774
61,1.195293393,1.234490691,1.072378078,1.111643243,1.129327928,1.069372673,1.137207808,1.099547748,1.246994294,1.157396697
62,1.186016617,1.240823824,1.058946046,1.111363964,1.134616216,1.068783884,1.137271271,1.09911021,1.247499199,1.158374975
63,1.17673984,1.244802903,1.045514014,1.111084685,1.137291892,1.068195095,1.137334735,1.098672673,1.247715816,1.159353253
64,1.159794595,1.248781982,1.079221622,1.110805405,1.139967568,1.067606306,1.137398198,1.098235135,1.246822523,1.162147748
65,1.140262763,1.251746046,1.116371171,1.110526126,1.144605105,1.067075676,1.136845045,1.09865976,1.245929229,1.165554855
66,1.120730931,1.249615516,1.153520721,1.113136336,1.151872372,1.066608108,1.136273874,1.101906006,1.245035936,1.168961962
67,1.110104805,1.247484985,1.157571171,1.118126126,1.15913964,1.066140541,1.135702703,1.105152252,1.244142643,1.171576276
68,1.101941241,1.245354454,1.160819219,1.123115916,1.164134234,1.065672973,1.139868268,1.108398498,1.243294494,1.173971371
69,1.093777678,1.245452653,1.164265566,1.128105706,1.16571982,1.065205405,1.145072272,1.111644745,1.243197397,1.176366466
70,1.088128228,1.245609309,1.177088589,1.133095495,1.167305405,1.064737838,1.150276276,1.114890991,1.2431003,1.18006006
71,1.083034434,1.245765966,1.189911612,1.137408108,1.168767868,1.06565025,1.151766567,1.118137237,1.243003203,1.184040641
72,1.077940641,1.243568268,1.201294394,1.138581081,1.170023123,1.06713954,1.151417518,1.120721321,1.242906106,1.188021221
73,1.090778378,1.240717117,1.19199009,1.139754054,1.171278378,1.068628829,1.151068468,1.119521622,1.242809009,1.189407207
74,1.106666967,1.237865966,1.182685786,1.140927027,1.172282583,1.070118118,1.151425325,1.118321922,1.245407407,1.190351752
75,1.122555556,1.238662963,1.172255556,1.1421,1.172811111,1.071607407,1.152440741,1.117122222,1.248281481,1.191296296
76,1.127032733,1.241984084,1.152665766,1.143272973,1.17333964,1.073096697,1.153456156,1.115922523,1.251155556,1.193532132
77,1.130102503,1.245305205,1.133075976,1.146097598,1.173857658,1.073473974,1.155261161,1.114722823,1.25402963,1.195927227
78,1.133172272,1.249427127,1.11524034,1.149318619,1.174353153,1.073768368,1.158434334,1.113523123,1.256903704,1.198322322
79,1.139677477,1.254753453,1.107052553,1.15253964,1.174848649,1.074062763,1.161607508,1.112379279,1.25915976,1.200654955
80,1.146457958,1.26007978,1.098864765,1.155760661,1.176305105,1.074357157,1.164426727,1.112054655,1.261218218,1.202982583
81,1.153238438,1.263258959,1.091287287,1.158981682,1.180103904,1.074651552,1.16594985,1.11173003,1.263276677,1.20531021
82,1.170591892,1.258245946,1.086178378,1.161327027,1.183902703,1.075121622,1.167472973,1.111405405,1.265335135,1.207086486
83,1.18836957,1.253232933,1.081069469,1.162537237,1.187344444,1.076541642,1.168897998,1.111080781,1.267393594,1.208840641
84,1.206147247,1.248332533,1.081066066,1.163747447,1.189788889,1.077961662,1.168866266,1.110756156,1.268282683,1.210594795
85,1.21174955,1.250369069,1.097001802,1.164957658,1.192233333,1.079381682,1.168834535,1.110431532,1.268418619,1.213727928
86,1.217315616,1.252405606,1.112937538,1.166167868,1.194537237,1.080801702,1.168802803,1.110106907,1.268554555,1.216865165
87,1.222805706,1.254442142,1.125183584,1.167295195,1.196387087,1.082221722,1.172936837,1.110086186,1.26869049,1.219958358
88,1.226044144,1.259655255,1.128262462,1.167220721,1.198236937,1.083390691,1.177474474,1.110072072,1.268826426,1.221746246
89,1.229282583,1.265545546,1.131341341,1.167146246,1.200017718,1.084152653,1.182012112,1.110057958,1.270316517,1.223534134
90,1.232792693,1.271435836,1.135653453,1.167071772,1.201537237,1.084914615,1.184933433,1.110043844,1.273404204,1.225342743
91,1.240011712,1.272846847,1.142454054,1.166997297,1.203056757,1.085676577,1.187345045,1.11002973,1.276491892,1.227434234
92,1.247230731,1.271656256,1.149254655,1.166922823,1.204858559,1.086438539,1.189756657,1.110015616,1.27957958,1.229525726
93,1.254067868,1.270465666,1.1601996,1.168023423,1.207930631,1.087200501,1.191453453,1.110001502,1.282667267,1.231802903
94,1.25760991,1.270352553,1.17803003,1.169643243,1.211002703,1.089202703,1.192690991,1.109255856,1.285442643,1.235682282
95,1.261151952,1.271605806,1.19586046,1.171263063,1.213799099,1.092008108,1.193928529,1.108423123,1.287520521,1.239561662
96,1.264458759,1.272859059,1.208545345,1.172882883,1.215087387,1.094813514,1.196704605,1.10759039,1.289598398,1.243478679
97,1.266314114,1.275299099,1.214127928,1.174502703,1.216375676,1.097618919,1.201305706,1.106757658,1.291676276,1.247627928
98,1.268169469,1.281314715,1.219710511,1.175696096,1.217609309,1.100424324,1.205906807,1.105924925,1.293754154,1.251777177
99,1.270414615,1.28733033,1.224208709,1.175993994,1.218468168,1.10322973,1.209837938,1.105092192,1.295912713,1.255483483
100,1.274496396,1.29309009,1.227456757,1.176291892,1.219327027,1.105199099,1.21224955,1.104259459,1.298495495,1.257102703
101,1.278578178,1.294656657,1.230704805,1.17658979,1.220298198,1.1070001,1.214661161,1.10758048,1.301078278,1.258721922
102,1.282233534,1.296223223,1.235984484,1.176887688,1.22228018,1.108801101,1.216518519,1.111885285,1.303661061,1.260298498
103,1.284291291,1.29778979,1.243224925,1.177185586,1.224262162,1.110602102,1.215344444,1.11619009,1.306243844,1.261715315
104,1.286349049,1.297972873,1.250465365,1.178351652,1.226445946,1.112403103,1.21417037,1.120494895,1.308786787,1.263132132
105,1.289046547,1.297941542,1.255665465,1.179561862,1.231202703,1.114055956,1.213010911,1.1247997,1.307505105,1.265088989
106,1.293701802,1.29791021,1.259218018,1.180772072,1.235959459,1.113293994,1.21646967,1.129104505,1.306223423,1.268698498
107,1.298357057,1.300054354,1.262770571,1.181982282,1.240755255,1.112532032,1.219928428,1.133409309,1.304941742,1.272308008
108,1.303525826,1.30325015,1.265312112,1.183192492,1.246370871,1.11177007,1.223387187,1.132945946,1.30366006,1.275375475
109,1.310002703,1.306445946,1.267172973,1.184672973,1.251986486,1.111008108,1.22662973,1.130659459,1.302378378,1.277062162
110,1.31647958,1.308372072,1.269033834,1.186348649,1.257474775,1.110246146,1.229834635,1.128372973,1.305626927,1.278748849
111,1.321414114,1.308936036,1.272328328,1.188024324,1.256087387,1.110283684,1.23303954,1.126086486,1.309607908,1.280853253
112,1.323033333,1.3095,1.276422222,1.1897,1.2547,1.112344444,1.236288889,1.1238,1.313588889,1.283855556
