time,Fx,Tx,Fy
1,-32.4649,0.121962,2.16098
2,-32.4713,0.13106,2.34577
3,-32.4791,0.142876,2.58568
4,-32.4884,0.157098,2.87427
5,-32.4991,0.173322,3.2033
6,-32.5116,0.191238,3.56637
7,-32.5259,0.210648,3.95935
8,-32.5414,0.231374,4.37852
9,-32.557,0.253211,4.81966
10,-32.5711,0.275923,5.27788
11,-32.582,0.299217,5.74719
12,-32.5881,0.322705,6.21972
13,-32.5881,0.345875,6.68516
14,-32.5807,0.368189,7.1327
15,-32.5659,0.389281,7.555
16,-32.5457,0.409059,7.95028
17,-32.5231,0.42764,8.32091
18,-32.5007,0.445209,8.67063
19,-32.4803,0.461964,9.00346
20,-32.4632,0.478119,9.32374
21,-32.4486,0.493868,9.63532
22,-32.4345,0.509347,9.94098
23,-32.4178,0.524663,10.2428
24,-32.396,0.539872,10.542
25,-32.3669,0.554961,10.8382
26,-32.3282,0.569868,11.1303
27,-32.2774,0.584466,11.4158
28,-32.2124,0.598571,11.6913
29,-32.1323,0.612011,11.9532
30,-32.0382,0.624667,12.1994
31,-31.9316,0.63647,12.4287
32,-31.8143,0.64737,12.64
33,-31.6879,0.657269,12.8317
34,-31.5539,0.666017,13.0008
35,-31.4145,0.673478,13.1449
36,-31.273,0.67959,13.2628
37,-31.133,0.684391,13.3553
38,-30.9968,0.688093,13.4266
39,-30.8646,0.691071,13.4838
40,-30.7353,0.693711,13.5346
41,-30.6078,0.69629,13.5841
42,-30.4818,0.698959,13.6353
43,-30.3566,0.701791,13.6896
44,-30.2286,0.704811,13.7475
45,-30.0902,0.707995,13.8086
46,-29.9332,0.711283,13.8716
47,-29.7515,0.714572,13.9347
48,-29.5399,0.717608,13.9929
49,-29.2934,0.719967,14.0381
50,-29.0089,0.721236,14.0625
51,-28.6851,0.721144,14.0607
52,-28.3201,0.719513,14.0294
53,-27.9109,0.716195,13.9657
54,-27.4547,0.711136,13.8685
55,-26.9537,0.704571,13.7424
56,-26.4168,0.697109,13.599
57,-25.8602,0.689632,13.4553
58,-25.3044,0.683153,13.3307
59,-24.7703,0.678661,13.2443
60,-24.2728,0.67688,13.21
61,-23.8157,0.677998,13.2314
62,-23.3895,0.681452,13.2977
63,-22.9722,0.685777,13.3808
64,-22.5345,0.688734,13.4374
65,-22.0484,0.688004,13.423
66,-21.5021,0.682262,13.312
67,-20.9085,0.67186,13.1111
68,-20.2982,0.658437,12.8518
69,-19.7018,0.643802,12.5689
70,-19.1393,0.629195,12.2861
71,-18.6192,0.615239,12.0156
72,-18.1425,0.60212,11.7607
73,-17.7057,0.589719,11.5193
74,-17.303,0.577713,11.285
75,-16.9286,0.565664,11.0494
76,-16.5769,0.553094,10.8028
77,-16.2426,0.539504,10.5357
78,-15.9193,0.524453,10.2392
79,-15.6003,0.507653,9.90747
80,-15.278,0.488994,9.53828
81,-14.9445,0.468493,9.13179
82,-14.5934,0.446319,8.69125
83,-14.222,0.422841,8.22387
84,-13.8312,0.398567,7.73967
85,-13.4254,0.374001,7.24869
86,-13.0103,0.349557,6.75919
87,-12.5927,0.325525,6.27702
88,-12.1798,0.302057,5.80525
89,-11.78,0.27912,5.3433
90,-11.4026,0.256471,4.88635
91,-11.0548,0.233719,4.42657
92,-10.7391,0.210469,3.95604
93,-10.4531,0.186479,3.46995
94,-10.1913,0.161712,2.9676
95,-9.94763,0.13623,2.45032
96,-9.71744,0.110073,1.91896
97,-9.49778,0.0832968,1.37473
98,-9.28856,0.0560863,0.821466
99,-9.09333,0.0287363,0.265235
100,-8.91905,0.00150171,-0.288685
101,-8.77333,-0.025561,-0.839049
102,-8.66064,-0.0526309,-1.3894
103,-8.58141,-0.0799787,-1.94515
104,-8.53427,-0.107765,-2.50948
105,-8.51816,-0.13597,-3.08191
106,-8.53326,-0.16446,-3.65966
107,-8.58104,-0.193025,-4.23841
108,-8.66426,-0.221337,-4.81142
109,-8.78604,-0.249056,-5.37168
110,-8.9474,-0.276163,-5.91861
111,-9.1457,-0.303212,-6.46301
112,-9.37571,-0.331245,-7.02538
113,-9.63296,-0.36146,-7.62922
114,-9.91703,-0.394848,-8.29376
115,-10.2318,-0.43197,-9.02942
116,-10.583,-0.472815,-9.83528
117,-10.9757,-0.516729,-10.6977
118,-11.4137,-0.562541,-11.593
119,-11.8984,-0.608877,-12.4938
120,-12.4297,-0.654492,-13.3756
121,-13.0046,-0.698398,-14.2191
122,-13.6171,-0.739835,-15.0101
123,-14.2546,-0.778265,-15.7388
124,-14.8976,-0.813453,-16.4014
125,-15.5225,-0.84552,-17.0009
126,-16.1071,-0.874843,-17.5454
127,-16.6361,-0.901777,-18.0423
128,-17.1059,-0.926322,-18.4926
129,-17.5269,-0.948021,-18.889
130,-17.9159,-0.96635,-19.2224
131,-18.284,-0.981294,-19.4932
132,-18.6333,-0.993425,-19.7122
133,-18.9625,-1.00351,-19.8934
134,-19.2739,-1.01214,-20.0482
135,-19.5754,-1.01972,-20.1836
136,-19.8798,-1.02646,-20.304
137,-20.2009,-1.03246,-20.4111
138,-20.5514,-1.03769,-20.5043
139,-20.9402,-1.04209,-20.5826
140,-21.3701,-1.04568,-20.6466
141,-21.8366,-1.0487,-20.7003
142,-22.3297,-1.05155,-20.7508
143,-22.8362,-1.05469,-20.8066
144,-23.343,-1.05857,-20.8753
145,-23.838,-1.06344,-20.9615
146,-24.3118,-1.06921,-21.0637
147,-24.7585,-1.07542,-21.1736
148,-25.1762,-1.0813,-21.2775
149,-25.5669,-1.08595,-21.3598
150,-25.9354,-1.08856,-21.4059
151,-26.2881,-1.08866,-21.4077
152,-26.6324,-1.08629,-21.366
153,-26.9759,-1.08198,-21.2899
154,-27.325,-1.07644,-21.192
155,-27.6836,-1.07032,-21.084
156,-28.0531,-1.06405,-20.9731
157,-28.4329,-1.05776,-20.8617
158,-28.8216,-1.0513,-20.747
159,-29.216,-1.04423,-20.6213
160,-29.61,-1.036,-20.4745
161,-29.9975,-1.0262,-20.2992
162,-30.3745,-1.01469,-20.0928
163,-30.7394,-1.00155,-19.8567
164,-31.0921,-0.986874,-19.5922
165,-31.4336,-0.970748,-19.3005
166,-31.7665,-0.953238,-18.9827
167,-32.0942,-0.934389,-18.6392
168,-32.4199,-0.91421,-18.27
169,-32.7466,-0.892695,-17.8745
170,-33.076,-0.869826,-17.4521
171,-33.4086,-0.845547,-17.0013
172,-33.7431,-0.819742,-16.5198
173,-34.0768,-0.792291,-16.0048
174,-34.4051,-0.763188,-15.456
175,-34.7213,-0.732653,-14.8772
176,-35.0187,-0.701047,-14.275
177,-35.2943,-0.668634,-13.6541
178,-35.5497,-0.635463,-13.0152
179,-35.789,-0.601483,-12.3572
180,-36.0152,-0.566677,-11.6797
181,-36.2296,-0.531149,-10.9848
182,-36.432,-0.495194,-10.2784
183,-36.6213,-0.459282,-9.56996
184,-36.7965,-0.423961,-8.87051
185,-36.9575,-0.389716,-8.18997
186,-37.1053,-0.356851,-7.53461
187,-37.2424,-0.32539,-6.90528
188,-37.3719,-0.295109,-6.29773
189,-37.4968,-0.265657,-5.70526
190,-37.6187,-0.236704,-5.12147
191,-37.7386,-0.207979,-4.5411
192,-37.8567,-0.179258,-3.95984
193,-37.973,-0.150389,-3.37475
194,-38.0863,-0.121285,-2.78419
195,-38.1951,-0.0918439,-2.18621
196,-38.299,-0.0618832,-1.5772
197,-38.3991,-0.0311624,-0.952383
198,-38.497,0.000571237,-0.306782
199,-38.5949,0.0335726,0.364618
200,-38.6947,0.0680438,1.06571
201,-38.7975,0.10404,1.79737
202,-38.9032,0.141458,2.55717
203,-39.0103,0.180114,3.34106
204,-39.1169,0.21982,4.14481
