time,Fx,Tx,Fy,Ty,Fz,Tz
1,2.378,-3.3351,7.9005,-1.8139,-102.9512,-0.1748
2,2.3852,-3.3209,7.0202,-1.8052,-102.6968,-0.1631
3,2.2462,-3.2851,6.5857,-1.7928,-102.6683,-0.174
4,2.0286,-3.2637,6.1926,-1.7888,-102.8514,-0.1738
5,2.181,-3.2564,5.6649,-1.7761,-102.8201,-0.1735
6,2.3315,-3.2415,5.3083,-1.7428,-103.2088,-0.1703
7,2.5509,-3.2406,4.8155,-1.7012,-104.0022,-0.1585
8,2.3335,-3.2196,4.2472,-1.6968,-103.5553,-0.1611
9,1.6835,-3.171,3.7868,-1.7428,-102.4968,-0.1921
10,1.8306,-3.178,3.4299,-1.73,-102.4774,-0.1806
11,1.6786,-3.1925,2.7257,-1.7385,-102.6459,-0.1663
12,1.4714,-3.1787,2.5195,-1.7973,-102.8523,-0.1638
13,1.3306,-3.1643,2.5221,-1.8142,-103.2712,-0.1554
14,1.4023,-3.1784,2.4704,-1.8138,-103.274,-0.1329
15,1.1917,-3.1719,2.3482,-1.868,-103.0728,-0.1247
16,0.4661,-3.1586,2.9813,-1.977,-103.3373,-0.1115
17,0.5446,-3.1512,2.8473,-1.9727,-103.5388,-0.103
18,0.1823,-3.1375,2.8998,-2.0145,-103.3433,-0.1005
19,0.482,-3.1157,2.1922,-1.9598,-102.8799,-0.1111
20,1.0797,-3.0793,1.9128,-1.8621,-101.4063,-0.1189
21,0.5685,-3.0662,1.5319,-1.9123,-100.7701,-0.1274
22,0.5031,-3.0589,1.5796,-1.9417,-101.1947,-0.1164
23,0.4853,-3.0946,1.3075,-1.9211,-101.5863,-0.1077
24,1.0771,-3.0862,0.6752,-1.8412,-101.7488,-0.0957
25,0.4801,-3.1165,0.5155,-1.9251,-101.335,-0.099
26,0.2374,-3.1743,0.554,-1.9502,-101.3404,-0.0795
27,1.0436,-3.144,-0.2196,-1.7822,-100.855,-0.0922
28,0.3879,-3.1093,0.0217,-1.8372,-100.6635,-0.1207
29,0.1572,-3.1308,-0.9027,-1.842,-101.6432,-0.1034
30,0.8145,-3.1436,-1.5795,-1.7587,-102.6251,-0.0942
31,-0.1216,-3.1232,-1.0599,-1.9317,-104.1295,-0.0897
32,-0.7557,-3.095,-0.2033,-2.0827,-105.4556,-0.0544
33,0.4925,-3.0785,-1.0717,-1.8894,-104.9624,-0.0641
34,0.5516,-3.1143,-1.3926,-1.868,-104.737,-0.0413
35,-0.6859,-3.1026,-0.8663,-2.0612,-104.5875,-0.054
