time,route1,route2,route3,route4,route5,route6,route7,route8
1,-2.979247679,-3.833622159,-2.26331861,-3.517660759,-2.90734106,-2.831971232,-2.712366195,-3.05486691
2,-3.022473026,-3.805118577,-2.42955298,-3.412055908,-2.942645278,-2.804612069,-2.732501424,-2.987788757
3,-3.059265108,-3.769252727,-2.571191161,-3.321541723,-2.970958138,-2.782681403,-2.749580712,-2.931149716
4,-3.090093891,-3.727078072,-2.69016704,-3.245050771,-2.992923206,-2.765704551,-2.763847384,-2.884118576
5,-3.115429339,-3.679648078,-2.788414499,-3.181515614,-3.009184046,-2.75320683,-2.775544764,-2.845864124
6,-3.135741416,-3.628016209,-2.867867425,-3.129868817,-3.020384225,-2.744713557,-2.784916174,-2.815555149
7,-3.151500087,-3.57323593,-2.9304597,-3.089042946,-3.027167308,-2.739750049,-2.792204937,-2.792360438
8,-3.163175316,-3.516360705,-2.978125211,-3.057970564,-3.030176862,-2.737841623,-2.797654379,-2.77544878
9,-3.171237069,-3.458443998,-3.012797842,-3.035584236,-3.030056451,-2.738513594,-2.80150782,-2.763988962
10,-3.176155308,-3.400539275,-3.036411476,-3.020816527,-3.027449642,-2.741291281,-2.804008586,-2.757149773
11,-3.1784,-3.3437,-3.0509,-3.0126,-3.023,-2.7457,-2.8054,-2.7541
12,-3.178441108,-3.288979637,-3.058197297,-3.009867221,-3.017351091,-2.751265067,-2.805925385,-2.754008432
13,-3.176748597,-3.237431651,-3.060237252,-3.011550753,-3.011146481,-2.7575118,-2.805828064,-2.756043856
14,-3.173792431,-3.190109507,-3.05895375,-3.016583162,-3.005029735,-2.763965516,-2.80535136,-2.759375061
15,-3.170042576,-3.148066669,-3.056280675,-3.023897011,-2.999644419,-2.77015153,-2.804738598,-2.763170834
16,-3.165968994,-3.112356601,-3.054151913,-3.032424866,-2.995634099,-2.775595161,-2.804233101,-2.766599964
17,-3.162041652,-3.084032769,-3.054501346,-3.041099291,-2.99364234,-2.779821724,-2.804078191,-2.768831238
18,-3.158730513,-3.064148636,-3.059248771,-3.048852849,-2.994312709,-2.782356536,-2.804517193,-2.769033445
19,-3.156349776,-3.053700182,-3.068471665,-3.054682784,-2.998053526,-2.782794551,-2.805775086,-2.766588661
20,-3.154497689,-3.052521652,-3.078593076,-3.0578621,-3.003379957,-2.781840472,-2.807706117,-2.762329665
21,-3.152566928,-3.059368255,-3.085605321,-3.057737286,-3.007894155,-2.781089342,-2.809820195,-2.757693343
22,-3.149962036,-3.072954286,-3.086245026,-3.053712337,-3.009195871,-2.782161294,-2.811614173,-2.754114495
23,-3.146475729,-3.091773645,-3.081752759,-3.046735389,-3.00618417,-2.786213074,-2.812715157,-2.7524776
24,-3.142366054,-3.112651346,-3.075054488,-3.039432824,-3.000998823,-2.791707123,-2.813736596,-2.752565861
25,-3.137918526,-3.131648432,-3.069003624,-3.034515405,-2.996276473,-2.796134612,-2.81574346,-2.7540313
26,-3.133285739,-3.144822278,-3.064585082,-3.03397728,-2.994534308,-2.796990672,-2.819802956,-2.756498385
27,-3.127917529,-3.150117999,-3.0608389,-3.036555368,-2.996069455,-2.793501227,-2.826328819,-2.759253785
28,-3.121032346,-3.151855995,-3.056714582,-3.040061632,-2.999217586,-2.789112409,-2.833527869,-2.761357652
29,-3.111874343,-3.15570115,-3.051449693,-3.042341878,-3.002246895,-2.787901433,-2.839141511,-2.761866066
30,-3.100791886,-3.167258363,-3.04512333,-3.042257461,-3.003865533,-2.793792131,-2.840936569,-2.760313498
31,-3.089628183,-3.188184663,-3.037967447,-3.039836578,-3.00492591,-2.806432537,-2.838352777,-2.757809267
32,-3.080332659,-3.213808427,-3.030273744,-3.035171777,-3.00693272,-2.820732731,-2.83351164,-2.755786281
33,-3.074453883,-3.23888839,-3.022895934,-3.028582058,-3.011369219,-2.831356672,-2.828776046,-2.75562851
34,-3.071097631,-3.258310337,-3.016995923,-3.021483913,-3.018302294,-2.833617249,-2.826403959,-2.75747048
35,-3.068449574,-3.268979531,-3.013719816,-3.015625846,-3.025530816,-2.828422785,-2.826985496,-2.76012436
36,-3.064724163,-3.269418738,-3.013188012,-3.012706726,-3.030649819,-2.819540504,-2.82977491,-2.762338781
37,-3.059902497,-3.258196138,-3.013992529,-3.012755326,-3.031495902,-2.810760541,-2.833988951,-2.763109463
38,-3.056669518,-3.234710563,-3.014600842,-3.013771604,-3.028330722,-2.805054671,-2.838838481,-2.762804564
39,-3.05793877,-3.203617711,-3.013789059,-3.013633208,-3.022815893,-2.802533283,-2.843497117,-2.762266018
40,-3.065933927,-3.171623669,-3.011687061,-3.010724231,-3.016629765,-2.802681754,-2.847123946,-2.762327121
41,-3.078017814,-3.145436786,-3.008795805,-3.006046595,-3.011135042,-2.804982949,-2.848878655,-2.763142409
42,-3.089464292,-3.129488044,-3.005619723,-3.001445556,-3.006742405,-2.808773135,-2.848520197,-2.763729281
43,-3.10E+00,-3.121697434,-3.002717069,-2.998731749,-3.003683751,-2.813163604,-2.847520828,-2.762996651
44,-3.094672507,-3.118828834,-3.000688582,-2.998387608,-3.002174124,-2.81724656,-2.847657026,-2.760374895
45,-3.090306508,-3.117687232,-3.000134349,-2.999189402,-3.002005519,-2.820181331,-2.850669319,-2.76036274
46,-3.086550534,-3.116912404,-3.00132192,-2.999801281,-3.002526256,-2.822024009,-2.856694015,-2.77031153
47,-3.087154265,-3.117674197,-3.0038006,-2.999218174,-3.003063671,-2.823469805,-2.863655277,-2.797595189
48,-3.093222838,-3.121327145,-3.007026076,-2.998259354,-3.003074557,-2.825227667,-2.869315791,-2.843572521
49,-3.104568083,-3.12897093,-3.010427502,-2.998369626,-3.002786735,-2.827788618,-2.871637605,-2.893243257
50,-3.120981609,-3.138454823,-3.0132573,-3.000959066,-3.00271231,-2.83053909,-2.871125441,-2.928852323
51,-3.140811256,-3.1453858,-3.014695682,-3.005917205,-3.003361268,-2.832516372,-2.870038086,-2.933631964
52,-3.159566346,-3.145326363,-3.013961579,-3.011067705,-3.004949322,-2.832761411,-2.870669114,-2.909481021
53,-3.172425206,-3.135275656,-3.011397678,-3.014086659,-3.007129181,-2.830996803,-2.87477195,-2.874962353
54,-3.175096804,-3.119870346,-3.008614031,-3.013106875,-3.009490043,-2.82840974,-2.881228435,-2.849224014
