time,route1,route2,route3,route4,route5,route6,route7,route8
1,-4.418822764,-1.159179787,-0.720122144,-1.673422177,-1.209579206,-1.152298137,-1.061398308,-1.321698852
2,-3.854416576,-1.259630487,-0.846460265,-1.59316249,-1.236410412,-1.131505172,-1.076701082,-1.270719455
3,-3.374621512,-1.345758275,-0.954105283,-1.52437171,-1.257928185,-1.114837866,-1.089681341,-1.227673784
4,-2.973033728,-1.418481021,-1.04452695,-1.466238586,-1.274621636,-1.101935459,-1.100524012,-1.191930118
5,-2.643249377,-1.478716592,-1.119195019,-1.417951867,-1.286979875,-1.092437191,-1.10941402,-1.162856734
6,-2.378864613,-1.527382858,-1.179579243,-1.378700301,-1.295492011,-1.085982304,-1.116536292,-1.139821913
7,-2.173475591,-1.565397686,-1.227149372,-1.347672639,-1.300647154,-1.082210037,-1.122075752,-1.122193933
8,-2.020678465,-1.593678946,-1.263375161,-1.324057629,-1.302934415,-1.080759633,-1.126217328,-1.109341073
9,-1.914069388,-1.613144506,-1.28972636,-1.30704402,-1.302842903,-1.081270332,-1.129145943,-1.100631611
10,-1.847244515,-1.624712234,-1.307672722,-1.29582056,-1.300861728,-1.083381374,-1.131046526,-1.095433827
11,-1.8138,-1.6293,-1.318684,-1.289576,-1.29748,-1.086732,-1.132104,-1.093116
12,-1.807331997,-1.627825671,-1.324229946,-1.287499088,-1.293186829,-1.090961451,-1.132503292,-1.093046408
13,-1.82143666,-1.621207117,-1.325780312,-1.288778572,-1.288471325,-1.095708968,-1.132429328,-1.094593331
14,-1.849710143,-1.610362206,-1.32480485,-1.292603203,-1.283822598,-1.100613792,-1.132067034,-1.097125046
15,-1.885748601,-1.596208806,-1.322773313,-1.298161729,-1.279729758,-1.105315163,-1.131601335,-1.100009834
16,-1.923148187,-1.579664786,-1.321155454,-1.304642898,-1.276681915,-1.109452322,-1.131217157,-1.102615972
17,-1.955505055,-1.561648015,-1.321421023,-1.311235461,-1.275168179,-1.11266451,-1.131099425,-1.104311741
18,-1.97641536,-1.543076361,-1.325029066,-1.317128165,-1.275677659,-1.114590968,-1.131433067,-1.104465418
19,-1.981696021,-1.524861793,-1.332038465,-1.321558916,-1.27852068,-1.114923859,-1.132389065,-1.102607382
20,-1.97737131,-1.507541662,-1.339730738,-1.323975196,-1.282568767,-1.114198758,-1.133856649,-1.099370546
21,-1.972396324,-1.491060506,-1.345060044,-1.323880337,-1.285999558,-1.1136279,-1.135463348,-1.09584694
22,-1.975506809,-1.475310418,-1.34554622,-1.320821376,-1.286988862,-1.114442583,-1.136826771,-1.093127016
23,-1.988263833,-1.460182125,-1.342132096,-1.315518896,-1.284699969,-1.117521937,-1.137663519,-1.091882976
24,-2.003627791,-1.445533151,-1.337041411,-1.309968946,-1.280759106,-1.121697413,-1.138439813,-1.091950054
25,-2.014051333,-1.431186787,-1.332442754,-1.306231708,-1.277170119,-1.125062305,-1.13996503,-1.093063788
26,-2.013135006,-1.416964759,-1.329084662,-1.305822733,-1.275846074,-1.125712911,-1.143050247,-1.094938773
27,-2.000548237,-1.402922426,-1.326237564,-1.30778208,-1.277012785,-1.123060932,-1.148009902,-1.097032877
28,-1.977958662,-1.391989869,-1.323103083,-1.310446841,-1.279405366,-1.119725431,-1.15348118,-1.098631815
29,-1.947097047,-1.389030074,-1.319101766,-1.312179828,-1.28170764,-1.118805089,-1.157747548,-1.09901821
30,-1.912339749,-1.39894195,-1.314293731,-1.31211567,-1.282937805,-1.12328202,-1.159111792,-1.097838259
31,-1.881644597,-1.425527962,-1.308855259,-1.3102758,-1.283743692,-1.132888728,-1.157148111,-1.095935043
32,-1.863223916,-1.464840628,-1.303008045,-1.306730551,-1.285268867,-1.143756875,-1.153468846,-1.094397574
33,-1.863529398,-1.509592559,-1.29740091,-1.301722364,-1.288640607,-1.151831071,-1.149869795,-1.094277668
34,-1.878283633,-1.552483269,-1.292916902,-1.296327774,-1.293909743,-1.153549109,-1.148067009,-1.095677565
35,-1.89916796,-1.587927507,-1.29042706,-1.291875643,-1.29940342,-1.149601316,-1.148508977,-1.097694514
36,-1.9179225,-1.617696867,-1.290022889,-1.289657111,-1.303293863,-1.142850783,-1.150628932,-1.099377474
37,-1.930124173,-1.645534968,-1.290634322,-1.289694048,-1.303936885,-1.136178011,-1.153831603,-1.099963192
38,-1.937222089,-1.675183725,-1.29109664,-1.290466419,-1.301531349,-1.13184155,-1.157517246,-1.099731469
39,-1.941161843,-1.709451309,-1.290479685,-1.290361238,-1.297340079,-1.129925295,-1.161057809,-1.099322173
40,-1.943401173,-1.7486722,-1.288882166,-1.288150416,-1.292638621,-1.130038133,-1.163814199,-1.099368612
41,-1.941960354,-1.792775886,-1.286684812,-1.284595412,-1.288462632,-1.131787042,-1.165147778,-1.099988231
42,-1.933382407,-1.841671494,-1.28427099,-1.281098623,-1.285124228,-1.134667583,-1.164875349,-1.100434253
43,-1.91E+00,-1.893722007,-1.282064972,-1.279036129,-1.282799651,-1.138004339,-1.164115829,-1.099877455
44,-1.886027476,-1.944685967,-1.280523322,-1.278774582,-1.281652334,-1.141107386,-1.16421934,-1.09788492
45,-1.858470843,-1.990071685,-1.280102105,-1.279383946,-1.281524194,-1.143337812,-1.166508683,-1.097875682
46,-1.842222289,-2.025610345,-1.28100466,-1.279848973,-1.281919954,-1.144738247,-1.171087451,-1.105436763
47,-1.846467177,-2.053107731,-1.282888456,-1.279405813,-1.28232839,-1.145837052,-1.17637801,-1.126172343
48,-1.868577938,-2.081023172,-1.285339818,-1.278677109,-1.282336663,-1.147173027,-1.180680001,-1.161115116
49,-1.900149925,-2.118154957,-1.287924901,-1.278760915,-1.282117919,-1.14911935,-1.18244458,-1.198864875
50,-1.932741735,-2.172609709,-1.290075548,-1.28072889,-1.282061356,-1.151209709,-1.182055335,-1.225927766
51,-1.958239546,-2.243207612,-1.291168718,-1.284497076,-1.282554564,-1.152712443,-1.181228945,-1.229560293
52,-1.969173585,-2.322127518,-1.2906108,-1.288411456,-1.283761485,-1.152898672,-1.181708527,-1.211205576
53,-1.958149174,-2.401404346,-1.288662235,-1.290705861,-1.285418178,-1.15155757,-1.184826682,-1.184971389
54,-1.91946768,-2.473443737,-1.286546664,-1.289961225,-1.287212432,-1.149591403,-1.18973361,-1.165410251
55,-1.863633409,-2.533474559,-1.285539081,-1.28680215,-1.288853895,-1.148046633,-1.194857116,-1.163950981
56,-1.810146436,-2.578024415,-1.286423965,-1.282598674,-1.290330093,-1.147955054,-1.198626497,-1.17778475
57,-1.778558862,-2.603627791,-1.288417508,-1.27871154,-1.291819836,-1.150019798,-1.200104411,-1.200048489
58,-1.778969709,-2.607917262,-1.290423132,-1.27598904,-1.293505702,-1.154620113,-1.199892263,-1.223916349
59,-1.800344804,-2.593576383,-1.291440645,-1.274542928,-1.29558233,-1.162121533,-1.198820638,-1.244321611
60,-1.828783976,-2.564740062,-1.291478068,-1.274427895,-1.298288541,-1.172650179,-1.197710944,-1.258673824
