time,route1,route2,route3,route4,route5,route6,route7,route8
1,-0.015060276,0.181785658,0.263864304,-0.33311477,0.06688523,0.111983099,-0.475099662,-0.048113086
2,-0.041803627,0.110080371,0.160267844,-0.339360849,0.060639151,0.045989436,-0.428477589,-0.07280098
3,-0.064432265,0.046064002,0.072690401,-0.345969942,0.054030058,-0.011619165,-0.387814717,-0.09354023
4,-0.083242591,-0.010652899,-0.000140153,-0.35282029,0.04717971,-0.061387489,-0.352691521,-0.110643313
5,-0.098531008,-0.060459784,-0.059495948,-0.359790133,0.040209867,-0.103860323,-0.322688476,-0.124422701
6,-0.11059392,-0.103746103,-0.106649113,-0.36675771,0.03324229,-0.139582452,-0.297386058,-0.135190869
7,-0.119727729,-0.140901308,-0.142871776,-0.37360126,0.02639874,-0.16909866,-0.276364742,-0.143260291
8,-0.126228839,-0.172314849,-0.169436067,-0.380199025,0.019800975,-0.192953734,-0.259205002,-0.148943441
9,-0.130393652,-0.198376177,-0.187614116,-0.386429243,0.013570757,-0.211692458,-0.245487315,-0.152552793
10,-0.132518571,-0.219474744,-0.19867805,-0.392170155,0.007829845,-0.225859618,-0.234792156,-0.154400821
11,-0.1329,-0.236,-0.2039,-0.3973,0.0027,-0.236,-0.2267,-0.1548
12,-0.131834341,-0.248341397,-0.204552094,-0.401697018,-0.001697018,-0.242658388,-0.220791322,-0.154062803
13,-0.129617997,-0.256888385,-0.201906462,-0.405239449,-0.005239449,-0.246379568,-0.216646598,-0.152501705
14,-0.126547371,-0.262030415,-0.197235232,-0.407805533,-0.007805533,-0.247708326,-0.213846302,-0.150429179
15,-0.122918866,-0.264156939,-0.191810533,-0.40927351,-0.00927351,-0.247189446,-0.211970911,-0.1481577
16,-0.119028885,-0.263657408,-0.186904496,-0.409521619,-0.009521619,-0.245367714,-0.210600899,-0.145999742
17,-0.115173831,-0.260921272,-0.183789248,-0.4084281,-0.0084281,-0.242787916,-0.209316742,-0.144267779
18,-0.111650108,-0.256337982,-0.183729368,-0.405871193,-0.005871193,-0.239994836,-0.207698916,-0.143274285
19,-0.108689407,-0.250299187,-0.187002081,-0.401906128,-0.001906128,-0.237514983,-0.205349313,-0.143228872
20,-0.106225994,-0.243336001,-0.191926093,-0.39734277,0.00265723,-0.23558359,-0.202302687,-0.143641523
21,-0.104108733,-0.236200241,-0.196589268,-0.393192071,0.006807929,-0.234202203,-0.198995834,-0.143730881
22,-0.102194969,-0.229663249,-0.199309593,-0.39044087,0.00955913,-0.233365785,-0.195880797,-0.142717793
23,-0.100619277,-0.224477019,-0.199797566,-0.389428522,0.010571478,-0.233046656,-0.193311354,-0.140250891
24,-0.09984857,-0.22092329,-0.198284769,-0.389790658,0.010209342,-0.233085495,-0.190897182,-0.136834849
25,-0.10036938,-0.218799063,-0.195025295,-0.391127528,0.008872472,-0.233275523,-0.187907334,-0.133076312
26,-0.102505403,-0.217879093,-0.190807788,-0.393023623,0.006976377,-0.233409669,-0.183609174,-0.129560808
27,-0.105719427,-0.217903155,-0.186977296,-0.394991814,0.005008186,-0.233204458,-0.17777445,-0.126614992
28,-0.109190786,-0.218180613,-0.184904324,-0.396524635,0.003475365,-0.232190132,-0.171878318,-0.124391927
29,-0.112112227,-0.217731433,-0.1853702,-0.397133338,0.002866662,-0.229869072,-0.167755168,-0.123041446
30,-0.114257145,-0.215570203,-0.187435045,-0.396889857,0.003110143,-0.225776259,-0.167216198,-0.122600093
31,-0.116184981,-0.210940741,-0.189846344,-0.396510342,0.003489658,-0.220355358,-0.170546496,-0.122731472
32,-0.118511032,-0.204707151,-0.191382939,-0.396746469,0.003253531,-0.215056939,-0.175584699,-0.123022555
33,-0.121661587,-0.198431808,-0.191118616,-0.398017247,0.001982753,-0.211383874,-0.179949244,-0.123067502
34,-0.124911139,-0.193679827,-0.188288904,-0.399129455,0.000870545,-0.21062466,-0.18138843,-0.122643947
35,-0.127100343,-0.191575777,-0.182159836,-0.398402138,0.001597862,-0.212219296,-0.179714793,-0.121723706
36,-0.127084609,-0.191354679,-0.173557221,-0.394212632,0.005787368,-0.214663324,-0.176394228,-0.120287925
37,-0.124621009,-0.191745055,-0.165631062,-0.386900202,0.013099798,-0.216444728,-0.172939044,-0.118339263
38,-0.12084661,-0.19147613,-0.161720757,-0.379187455,0.020812545,-0.216511626,-0.170630127,-0.115999854
39,-0.117015153,-0.189662613,-0.164029175,-0.37394068,0.02605932,-0.215420969,-0.169283765,-0.113433077
40,-0.114189365,-0.186440422,-0.169773992,-0.373312459,0.026687541,-0.214081127,-0.168144995,-0.110800374
41,-0.112086084,-0.18211267,-0.174806417,-0.37576621,0.02423379,-0.213389623,-0.166457873,-0.108115313
42,-0.109843748,-0.176984135,-0.175225742,-0.378576885,0.021423115,-0.213610181,-0.163769909,-0.105143729
43,-1.07E-01,-0.17148592,-0.170988078,-0.379072158,0.020927842,-0.21403392,-0.160496177,-0.101627826
44,-0.102311984,-0.166261927,-0.165094064,-0.376600471,0.023399529,-0.213869425,-0.157205799,-0.097317468
45,-0.098252631,-0.161976501,-0.160619155,-0.3731061,0.0268939,-0.21239615,-0.154460626,-0.092036978
46,-0.095863127,-0.159251722,-0.159170139,-0.370703893,0.029296107,-0.209840327,-0.152497964,-0.085652591
47,-0.09629273,-0.157557633,-0.15918165,-0.371045287,0.028954713,-0.207102954,-0.151107595,-0.078032532
48,-0.098368273,-0.155102452,-0.158674863,-0.373225841,0.026774159,-0.205099531,-0.150046631,-0.070031465
49,-0.09978082,-0.15003011,-0.156066003,-0.37546475,0.02453525,-0.204555817,-0.149072224,-0.065186831
50,-0.098225841,-0.140727431,-0.152402256,-0.376015073,0.023984927,-0.205235812,-0.147942025,-0.067487838
51,-0.092935651,-0.128842349,-0.149805831,-0.374622742,0.025377258,-0.206599524,-0.146414033,-0.08063884
