time,route2,route5,route4,route6,route3,route1,route7,route8
1,-0.738796685,0.038085713,-0.473796298,0.101299237,0.578234601,-0.022223179,0.20161333,-0.08564588
2,-0.714600703,0.009325766,-0.38467922,0.125185462,0.439995442,-0.057678534,0.185712326,-0.02856591
3,-0.684257309,-0.01362308,-0.308142616,0.144545126,0.322214619,-0.087808321,0.172352475,0.019819324
4,-0.648628275,-0.031292317,-0.24330128,0.159771248,0.223289211,-0.113001178,0.161332902,0.060199292
5,-0.60857575,-0.04421266,-0.189272755,0.171256158,0.141620103,-0.133644634,0.152453202,0.093261882
6,-0.564962983,-0.052914491,-0.14517662,0.179391828,0.075610668,-0.15012543,0.14551328,0.119693966
7,-0.518655055,-0.057928303,-0.11013376,0.184570194,0.023665439,-0.16282984,0.140313174,0.140181975
8,-0.470519634,-0.05978515,-0.083265634,0.187183492,-0.015811233,-0.172143987,0.136652892,0.155412473
9,-0.421427731,-0.0590171,-0.063693539,0.187624594,-0.044416528,-0.178454178,0.134332249,0.166072744
10,-0.372254481,-0.056157707,-0.050537861,0.186287344,-0.063750538,-0.18214722,0.133150682,0.172851382
11,-0.32387994,-0.051742473,-0.04291731,0.183566912,-0.075417669,-0.183610768,0.132907084,0.176438896
12,-0.2771899,-0.046309341,-0.039948154,0.179860149,-0.081028059,-0.183233658,0.133399624,0.177528326
13,-0.233076733,-0.040399189,-0.040743419,0.175565946,-0.082199053,-0.18140626,0.13442556,0.176815872
14,-0.192440258,-0.034556335,-0.044412087,0.171085613,-0.080556689,-0.178520833,0.135781055,0.17500154
15,-0.156188634,-0.029329062,-0.050058255,0.166823264,-0.077737243,-0.174971897,0.13726098,0.172789809
16,-0.125239287,-0.025270165,-0.056780291,0.163186207,-0.075388817,-0.171156601,0.13865872,0.170890308
17,-0.100519873,-0.022937501,-0.063669942,0.160585364,-0.075172965,-0.167475127,0.139765967,0.170018531
18,-0.082969267,-0.022894572,-0.06981143,0.159435684,-0.078754274,-0.164331076,0.140372506,0.170896556
19,-0.073489039,-0.025508285,-0.074336277,0.160096543,-0.086225598,-0.161997591,0.140281814,0.174069904
20,-0.07198947,-0.029514092,-0.076605459,0.161972453,-0.094524174,-0.160131947,0.139615612,0.178836521
21,-0.077449507,-0.032844938,-0.076036201,0.163691393,-0.100185077,-0.15821025,0.138794847,0.183965054
22,-0.088806353,-0.033410602,-0.072088212,0.163845726,-0.100353857,-0.155713633,0.138255938,0.188213859
23,-0.104797566,-0.030229453,-0.065558889,0.16141595,-0.09606707,-0.152455659,0.138326542,0.190807304
24,-0.122691615,-0.025138474,-0.058719063,0.157724056,-0.089842455,-0.148653976,0.138476445,0.191922594
25,-0.139057855,-0.020429623,-0.053938903,0.154957327,-0.084161384,-0.144552421,0.137773835,0.191853014
26,-0.15042137,-0.0183169,-0.052987626,0.155325723,-0.079892157,-0.140280649,0.135273521,0.190918805
27,-0.154926678,-0.01908507,-0.054785969,0.1595417,-0.07619944,-0.135350072,0.130593988,0.189741451
28,-0.156331112,-0.021288884,-0.057424422,0.164595334,-0.072157617,-0.129060819,0.125300095,0.189150518
29,-0.159632648,-0.023405223,-0.058999129,0.166877739,-0.067084497,-0.120725854,0.121389891,0.189990367
30,-0.169844439,-0.024282298,-0.058484602,0.16286627,-0.061037725,-0.110631298,0.120866598,0.192691456
31,-0.188524052,-0.024668685,-0.055883021,0.152808264,-0.054211793,-0.100402705,0.124267731,0.196283316
32,-0.211576978,-0.025908865,-0.051253032,0.141203074,-0.046857114,-0.091784305,0.129734178,0.199491623
33,-0.234337219,-0.029348575,-0.044856879,0.132837881,-0.039733834,-0.086186158,0.135162956,0.201066915
34,-0.252181718,-0.035074433,-0.037952473,0.131988588,-0.033892711,-0.082832217,0.13851361,0.200869689
35,-0.262245179,-0.041115811,-0.032118927,0.137921382,-0.030387642,-0.080099783,0.1392269,0.199958216
36,-0.263085804,-0.045284062,-0.028916618,0.147286967,-0.029355641,-0.076366213,0.137951282,0.199465596
37,-0.253273039,-0.045573679,-0.028403844,0.156660751,-0.029537351,-0.071599376,0.13537923,0.200317955
38,-0.232108913,-0.042173545,-0.028774506,0.163311733,-0.02953767,-0.068254288,0.132219838,0.202195325
39,-0.203735907,-0.036567872,-0.028077629,0.167103814,-0.028221728,-0.069042227,0.129228953,0.204334632
40,-0.174272928,-0.030282319,-0.02479603,0.168477139,-0.025690507,-0.076086291,0.127189978,0.205966924
41,-0.149956353,-0.024576351,-0.019825933,0.16788094,-0.022392511,-0.087016062,0.126901251,0.206941988
42,-0.135010878,-0.019841121,-0.014871194,0.165909451,-0.018787731,-0.097457399,0.128615584,0.20817319
43,-0.12761143,-0.016307651,-0.011637205,0.163380091,-0.015395932,-1.07E-01,0.130976316,0.210694702
44,-0.124804178,-0.014196543,-0.010606311,0.161144859,-0.012788008,-0.101900052,0.132310792,0.215068446
45,-0.123614992,-0.013330708,-0.010645984,0.160010004,-0.011546842,-0.097511786,0.130944512,0.217037605
46,-0.122765108,-0.013104682,-0.010492286,0.159940339,-0.011950102,-0.093657601,0.126702681,0.209516381
47,-0.123386908,-0.012879672,-0.009171851,0.160284369,-0.013590217,-0.093959652,0.121537619,0.185232622
48,-0.126818795,-0.01212779,-0.007457614,0.160362629,-0.015960296,-0.099560946,0.117602371,0.142570294
49,-0.134183799,-0.011060701,-0.006750747,0.159692144,-0.018516111,-0.11037294,0.116906888,0.095825366
50,-0.143443395,-0.010174045,-0.008452744,0.158862263,-0.02052691,-0.126288534,0.119015375,0.062340249
51,-0.150294517,-0.009973709,-0.012498985,0.158821733,-0.021172156,-0.145774849,0.121750129,0.058919123
52,-0.150279335,-0.010686189,-0.016770406,0.160540188,-0.01964812,-0.164439799,0.12284417,0.084248996
53,-0.140258035,-0.011980849,-0.018945424,0.164331186,-0.0162537,-0.177445478,0.120511388,0.120320791
54,-0.124698202,-0.013454626,-0.017099745,0.169041887,-0.012571763,-0.18035658,0.115810103,0.148064827
55,-0.110750721,-0.014722779,-0.0119831,0.173296169,-0.010296532,-0.173755275,0.11079046,0.152059204
56,-0.10575625,-0.015763409,-0.005366384,0.175699084,-0.010510543,-0.161110249,0.10755736,0.135584835
57,-0.113507067,-0.0168129,0.00094273,0.17526005,-0.012204332,-0.146013422,0.107418746,0.107494496
58,-0.128704519,-0.018119614,0.005783148,0.171399895,-0.013913221,-0.131630018,0.109622746,0.076840131
59,-0.144515222,-0.019955965,0.008971071,0.163539045,-0.01426157,-0.120026954,0.113081512,0.050522305
60,-0.154060857,-0.022664107,0.01039518,0.151409748,-0.013228094,-0.113172526,0.116687678,0.032222683
61,-0.155482853,-0.026611349,0.010066758,0.137222371,-0.011629048,-0.112859405,0.11971074,0.025481768
62,-0.153131347,-0.032141332,0.00880211,0.124387602,-0.010308405,-0.118230319,0.121889133,0.0328783
63,-0.151862527,-0.038328121,0.00775834,0.116431597,-0.009526959,-0.126684753,0.122981272,0.048567246
64,-0.156252593,-0.042606478,0.008113748,0.115493452,-0.008558614,-0.135512693,0.122771582,0.062476316
65,-0.166422965,-0.042222523,0.010070795,0.119140064,-0.006561385,-0.142496044,0.12139858,0.064200168
66,-0.179744256,-0.034953418,0.012280977,0.123963853,-0.002950175,-0.146837699,0.119221447,0.049491386
67,-0.193460461,-0.023129086,0.013217311,0.126483903,0.001492473,-0.147948656,0.11661437,0.028799522
68,-0.204974664,-0.011237892,0.011608097,0.125038446,0.005535854,-0.145289065,0.113970986,0.014996875
69,-0.212755479,-0.003930995,0.008236139,0.120575115,0.007951007,-0.139259637,0.111727845,0.020312435
70,-0.215541582,-0.004049034,0.004786088,0.114268345,0.008286351,-0.130964823,0.11034578,0.041247836
71,-0.21203769,-0.009946609,0.002987407,0.107293384,0.006783505,-0.121563933,0.110301624,0.061891878
72,-0.20320831,-0.019269628,0.003254232,0.100386737,0.003718203,-0.111904208,0.111861465,0.065430761
73,-0.19488875,-0.029619167,0.003772253,0.09400494,2.99E-05,-0.101819704,0.114822443,0.040747428
74,-0.193747038,-0.039241983,0.002451797,0.088617666,-0.001751951,-0.090946914,0.11891399,0.000294255
75,-0.206416284,-0.046926111,-0.002424469,0.08465623,0.001227503,-0.079030568,0.123839302,-0.037311312
76,-0.232556695,-0.051428903,-0.009340307,0.082313751,0.01127091,-0.067780954,0.128907276,-0.053142246
77,-0.264321945,-0.051919893,-0.015258734,0.081719972,0.025831758,-0.06058113,0.133002909,-0.041451724
78,-0.293201662,-0.04962089,-0.017039128,0.083007212,0.04003492,-0.060997504,0.134947555,-0.012960303
79,-0.310739114,-0.04639171,-0.013516002,0.085988522,0.048902219,-0.070742647,0.133718733,0.020190926
80,-0.311628728,-0.044157,-0.007100491,0.089846452,0.05096258,-0.084852777,0.130022851,0.046408668
81,-0.292143439,-0.044255567,-0.000662478,0.093658918,0.049270189,-0.096734516,0.125505887,0.060372678
82,-0.248418098,-0.047084983,0.003129666,0.096477504,0.0472908,-0.099844819,0.12189086,0.059213331
83,-0.179142568,-0.052977261,0.004005506,0.097546649,0.047587277,-0.093807927,0.120601161,0.040006347
84,-0.093317344,-0.062294386,0.002862533,0.096285426,0.049114163,-0.084141104,0.121696506,0.00594058
85,-0.002811197,-0.075570279,0.000642422,0.092096215,0.049958851,-0.076815923,0.124898348,-0.027780384
86,0.080029032,-0.093444452,-0.001848428,0.084717852,0.048357781,-0.076515133,0.129915413,-0.043969084
87,0.145787219,-0.116579776,-0.004090622,0.076231392,0.045195697,-0.082136504,0.136468647,-0.026664399
88,0.190858641,-0.144656246,-0.005576467,0.069752635,0.043177347,-0.091077761,0.144312246,0.01835789
89,0.212140903,-0.174516765,-0.005636429,0.068530115,0.045124402,-0.10068428,0.153193444,0.070725195
90,0.206725389,-0.202376303,-0.002402821,0.074210637,0.0514243,-0.10970791,0.162830738,0.108956325
91,0.17740793,-0.224423841,0.00665181,0.083790994,0.05794504,-0.118420771,0.172615209,0.119776707
92,0.132314437,-0.239694259,0.024133159,0.093344433,0.059913497,-0.127178343,0.18163069,0.11780913
93,0.080115246,-0.2501374,0.049550897,0.098856944,0.053800039,-0.137056409,0.188912956,0.123836907
94,0.029076635,-0.257913059,0.076203031,0.098824098,0.043622581,-0.152314193,0.193594915,0.15860446
95,-0.017803235,-0.265129559,0.096401282,0.094954384,0.03612534,-0.178253266,0.195754397,0.222710165
96,-0.059867391,-0.273189009,0.103230412,0.089229957,0.038007549,-0.22001598,0.19590468,0.295554666
97,-0.096447139,-0.283277495,0.099187924,0.083642781,0.049701057,-0.271884456,0.194584791,0.354756979
98,-0.127034,-0.296614066,0.091990996,0.079545173,0.065531531,-0.315017501,0.192458147,0.381429663
99,-0.151689082,-0.313512226,0.089682585,0.077933611,0.079366556,-3.29E-01,0.190539199,0.378920522
100,-0.17060185,-0.332601248,0.096643059,0.079834364,0.087035749,-0.298689068,0.189946408,0.358250161
101,-0.183996609,-0.352280396,0.109284346,0.085764304,0.089913297,-0.235830462,0.191823095,0.330824465
102,-0.193159228,-0.370950977,0.122883999,0.094138043,0.090342033,-0.162135135,0.196471457,0.304200554
103,-0.201033418,-0.387674099,0.132870382,0.102793474,0.090576644,-0.099674113,0.202848639,0.279381823
104,-0.210804122,-0.401941718,0.13760904,0.109509904,0.091504874,-0.058818568,0.209757953,0.256796593
