time,route5,route3,route2,route1,route4,route6,route7,route8
1,0.075257697,0.056123284,-1.162283418,0.077870352,0.241948309,-0.119977212,0.112380965,0.013556453
2,0.038055285,0.046856952,-0.945509273,0.086621724,0.194669192,-0.088371421,0.107395444,0.033851965
3,0.006375552,0.039620353,-0.761574881,0.093781851,0.15462117,-0.061231896,0.103303915,0.051072027
4,-0.020166917,0.034216267,-0.607834704,0.099496848,0.121198995,-0.038220716,0.100030418,0.065476154
5,-0.041950702,0.030450239,-0.48168531,0.103910731,0.093806813,-0.019005575,0.097500178,0.077319886
6,-0.059348201,0.028130256,-0.380561011,0.107165657,0.071857166,-0.003259223,0.095639476,0.086855213
7,-0.072726244,0.027066438,-0.301929654,0.109402158,0.05477003,0.009341075,0.094375534,0.094330988
8,-0.082446693,0.027070733,-0.243288542,0.110759358,0.041971882,0.019114057,0.093636389,0.099993323
9,-0.088867019,0.027956627,-0.202160479,0.111375197,0.032894798,0.026374973,0.093350786,0.104085981
10,-0.092340866,0.029538857,-0.176089918,0.111386638,0.026975569,0.031436078,0.093448066,0.106850749
11,-0.093218596,0.031633121,-0.162639191,0.110929877,0.023654832,0.034607107,0.093858055,0.108527812
12,-0.091847822,0.034055811,-0.159384807,0.110140552,0.022376231,0.036195752,0.09451096,0.109356114
13,-0.088573936,0.03662373,-0.163913806,0.10915394,0.02258557,0.036508122,0.095337262,0.109573718
14,-0.083740625,0.03915382,-0.173820146,0.108105162,0.023729991,0.035849205,0.096267613,0.109418165
15,-0.07769038,0.041462891,-0.186701116,0.107129386,0.025257141,0.034523318,0.097232733,0.109126824
16,-0.070765012,0.043367347,-0.200153748,0.106362024,0.026614354,0.032834564,0.098163303,0.108937248
17,-0.063306151,0.044682907,-0.211771227,0.105938939,0.027247819,0.031087284,0.098989867,0.10908753
18,-0.055655761,0.045224329,-0.219139266,0.105996651,0.026605786,0.029586517,0.099642721,0.109816663
19,-0.048154423,0.044872643,-0.220671089,0.106652554,0.024662445,0.028619892,0.100057078,0.111303689
20,-0.041002443,0.044051607,-0.218627903,0.107706169,0.022440749,0.028397345,0.100274237,0.113312175
21,-0.034176864,0.043449035,-0.216386718,0.108700391,0.021091666,0.029109252,0.100434574,0.11543138
22,-0.027635012,0.043756986,-0.217257596,0.109168636,0.021558111,0.030931207,0.100682874,0.117249288
23,-0.0213337,0.045297207,-0.221847326,0.108775022,0.023490119,0.033595202,0.101127225,0.118510184
24,-0.015217046,0.047457732,-0.227498399,0.107959713,0.026049743,0.036347243,0.10159144,0.119274657
25,-0.009215888,0.049479167,-0.23134293,0.107446767,0.028415016,0.038403927,0.101767406,0.119641257
26,-0.003260044,0.050631089,-0.230928622,0.107964718,0.030300061,0.039183447,0.101343846,0.119716905
27,0.002631798,0.050822215,-0.22610237,0.109745454,0.031982016,0.039045633,0.100196533,0.119707383
28,0.007337855,0.0505315,-0.217472199,0.111793559,0.033766638,0.038622273,0.098842986,0.119886237
29,0.008981352,0.050261642,-0.205672429,0.112920159,0.035878439,0.03854088,0.097941408,0.120530945
30,0.005650074,0.050391415,-0.192361004,0.111968644,0.038297828,0.039137879,0.098149551,0.121781983
31,-0.004169175,0.05067367,-0.180597307,0.109025103,0.040960394,0.040410921,0.099641456,0.123318968
32,-0.019006069,0.050666292,-0.173575495,0.105571776,0.043783637,0.042339336,0.101803612,0.124722777
33,-0.036077512,0.049927943,-0.17384728,0.103180998,0.046517999,0.044835875,0.103944424,0.125583636
34,-0.05256222,0.048431425,-0.179813323,0.10325348,0.048819209,0.047486991,0.105394679,0.125856948
35,-0.066272916,0.046824101,-0.1882744,0.105544228,0.050342697,0.049774874,0.105972408,0.125890899
36,-0.077883377,0.045823328,-0.196011778,0.108952129,0.051044997,0.051188918,0.105891697,0.126057372
37,-0.088854266,0.046085217,-0.201273866,0.112354018,0.05134005,0.051711481,0.105380424,0.126659745
38,-0.100667669,0.047546337,-0.204608546,0.114855971,0.051685398,0.051935383,0.104671377,0.127592846
39,-0.11445875,0.049719617,-0.206768434,0.116414926,0.052452686,0.052499873,0.104012243,0.128606709
40,-0.130394176,0.052105344,-0.208322526,0.117176235,0.053608635,0.053901473,0.103659432,0.129449833
41,-0.148482998,0.054291588,-0.208467181,0.117287806,0.055006415,0.055846522,0.103874101,0.130073492
42,-0.168728478,0.056150915,-0.205785339,0.116944672,0.056495676,0.057777508,0.104738873,0.130777047
