time,route1,route4,route3,route5,route8,route2,route6,route7
1,-0.204165765,0.347817631,0.506375453,0.234736235,0.189124729,0.619640577,0.410050819,-0.400099022
2,-0.219358453,0.343291347,0.412836578,0.199192825,0.155591189,0.483431507,0.322684699,-0.344712243
3,-0.235529226,0.338082045,0.326658496,0.168203736,0.126462094,0.364841503,0.243939209,-0.295535812
4,-0.252526024,0.332304525,0.247748834,0.14161716,0.101555212,0.263119271,0.173570989,-0.252337754
5,-0.270180251,0.326087117,0.176022047,0.119270476,0.080674547,0.177458807,0.111326234,-0.214873982
6,-0.288305771,0.319573087,0.111392217,0.100985609,0.063605696,0.106980521,0.05693182,-0.18288187
7,-0.30669821,0.312921762,0.053765635,0.086564566,0.050111452,0.050713281,0.010086529,-0.156073988
8,-0.32513457,0.306309341,0.003033423,0.075785249,0.039927756,0.007577896,-0.029547323,-0.134132222
9,-0.343373169,0.299929373,-0.040935631,0.068397697,0.032760118,-0.023627478,-0.062351624,-0.116702418
10,-0.361153951,0.293992881,-0.078301822,0.064120831,0.028280614,-0.044239602,-0.088759397,-0.103389707
11,-0.378199119,0.288728134,-0.109260704,0.062639795,0.026125528,-0.055739792,-0.109260704,-0.093754645
12,-0.394214134,0.284380056,-0.134048551,0.063603978,0.025893715,-0.059760634,-0.124407408,-0.087310249
13,-0.408889034,0.281209291,-0.152946982,0.066625722,0.0271457,-0.05808965,-0.13481669,-0.083520008
14,-0.421900072,0.27949094,-0.166286678,0.071279795,0.029403582,-0.052669781,-0.141173217,-0.081796919
15,-0.432911645,0.279512985,-0.174450097,0.077103608,0.03215169,-0.045596693,-0.144229947,-0.081503568
16,-0.441578489,0.281574429,-0.177873165,0.083598181,0.034838047,-0.039112934,-0.144807551,-0.081953241
17,-0.447548102,0.285983187,-0.177045918,0.090229852,0.036876549,-0.035599036,-0.143792458,-0.082412075
18,-0.450463368,0.29305376,-0.172512109,0.096432673,0.037649879,-0.037547738,-0.142133586,-0.082102162
19,-0.450298538,0.302771524,-0.164871917,0.101733298,0.036706705,-0.045704028,-0.140803413,-0.080245906
20,-0.448482848,0.313669364,-0.155041349,0.106205389,0.034914568,-0.057085911,-0.140270056,-0.076857271
21,-0.446915546,0.323812886,-0.144420379,0.110096323,0.033751533,-0.068097121,-0.140570517,-0.072734143
22,-0.447537946,0.331228568,-0.134517377,0.113652693,0.034758147,-0.07542135,-0.141725905,-0.068745771
23,-0.451091976,0.335145418,-0.126864377,0.116589594,0.038689952,-0.078354605,-0.143708799,-0.065605349
24,-0.456938047,0.336177269,-0.122109807,0.11795573,0.044619769,-0.077222413,-0.146224885,-0.062574392
