time,Fx,Tx,Fy
1,-19.3886,0.726876,-14.9394
2,-19.3873,0.727862,-14.9573
3,-19.3734,0.730874,-15.0122
4,-19.4003,0.726611,-14.9346
5,-19.3966,0.728347,-14.9662
6,-19.3984,0.72992,-14.9948
7,-19.3998,0.727531,-14.9513
8,-19.3934,0.730951,-15.0136
9,-19.3906,0.730887,-15.0124
10,-19.3811,0.734362,-15.0756
11,-19.4034,0.731253,-15.0191
12,-19.4005,0.729693,-14.9907
13,-19.3938,0.728598,-14.9707
14,-19.4125,0.733034,-15.0515
15,-19.394,0.733781,-15.0651
16,-19.4167,0.731583,-15.0251
17,-19.3823,0.728738,-14.9733
18,-19.41,0.732368,-15.0394
19,-19.3885,0.727482,-14.9504
20,-19.3575,0.734988,-15.087
21,-19.3967,0.732651,-15.0445
22,-19.3633,0.729396,-14.9853
23,-19.3505,0.726395,-14.9306
24,-19.3583,0.723847,-14.8842
25,-19.3562,0.719868,-14.8117
26,-19.3042,0.715703,-14.7357
27,-19.3126,0.70807,-14.5963
28,-19.33,0.701283,-14.4723
29,-19.3507,0.689504,-14.2566
30,-19.4093,0.674177,-13.9754
31,-19.4445,0.661914,-13.7499
32,-19.5132,0.655698,-13.6354
33,-19.567,0.64403,-13.4203
34,-19.6571,0.629041,-13.1433
35,-19.6983,0.621436,-13.0025
36,-19.7553,0.620561,-12.9863
37,-19.8111,0.615881,-12.8996
38,-19.8963,0.617571,-12.9309
39,-19.9547,0.61887,-12.955
40,-20.0338,0.615776,-12.8977
41,-20.1355,0.606312,-12.7221
42,-20.239,0.60671,-12.7295
43,-20.3643,0.602469,-12.6507
44,-20.4825,0.609192,-12.7755
45,-20.6482,0.597437,-12.5572
46,-20.7351,0.598411,-12.5753
47,-20.825,0.599343,-12.5927
48,-20.8779,0.605852,-12.7136
49,-20.9745,0.607909,-12.7517
50,-21.0813,0.610141,-12.7931
51,-21.2335,0.613141,-12.8488
52,-21.3826,0.607181,-12.7382
53,-21.4729,0.601499,-12.6327
54,-21.6,0.605878,-12.714
55,-21.7391,0.603791,-12.6753
56,-21.8717,0.616265,-12.9067
57,-22.0671,0.62941,-13.1501
58,-22.3405,0.645999,-13.4566
59,-22.6307,0.653449,-13.594
60,-22.8685,0.67283,-13.9507
61,-23.1549,0.682238,-14.1234
62,-23.4904,0.69287,-14.3183
63,-23.9037,0.704454,-14.5303
64,-24.3636,0.716243,-14.7456
65,-24.8478,0.737407,-15.131
66,-25.3872,0.761545,-15.5689
67,-25.9053,0.782533,-15.9481
68,-26.5522,0.807283,-16.3935
69,-27.1619,0.825119,-16.7132
70,-27.7106,0.852836,-17.2079
71,-28.2833,0.877257,-17.6416
72,-28.8579,0.902589,-18.0892
73,-29.4337,0.933425,-18.631
74,-29.9368,0.960338,-19.1011
75,-30.4768,0.992612,-19.6614
76,-30.929,1.0174,-20.089
77,-31.3668,1.0483,-20.6188
78,-31.7159,1.07241,-21.0297
79,-31.996,1.09588,-21.4275
80,-32.1773,1.1251,-21.9197
81,-32.3446,1.15377,-22.3994
82,-32.4189,1.18366,-22.896
83,-32.5219,1.21722,-23.4492
84,-32.5218,1.24295,-23.8702
85,-32.5145,1.27156,-24.3351
86,-32.466,1.29189,-24.6635
87,-32.3699,1.31732,-25.0719
88,-32.2851,1.33904,-25.4183
89,-32.1123,1.36445,-25.8213
90,-31.9779,1.38265,-26.1083
91,-31.8271,1.40631,-26.4792
92,-31.6199,1.43629,-26.9457
93,-31.3979,1.46541,-27.3953
94,-31.1588,1.49338,-27.8236
95,-30.8983,1.52565,-28.3136
96,-30.5993,1.55037,-28.686
97,-30.3348,1.57826,-29.1028
98,-30.0164,1.60768,-29.539
99,-29.6742,1.63338,-29.917
100,-29.3447,1.65966,-30.3005
101,-28.9353,1.68753,-30.704
102,-28.4954,1.72048,-31.1766
103,-28.0188,1.74895,-31.5813
104,-27.5452,1.78141,-32.0384
105,-27.0542,1.81081,-32.4486
106,-26.6011,1.84389,-32.9056
107,-26.1213,1.86913,-33.2511
108,-25.7046,1.88358,-33.4477
109,-25.3176,1.89121,-33.5512
110,-24.9691,1.90217,-33.6993
111,-24.5696,1.89684,-33.6273
112,-24.2501,1.89954,-33.6639
113,-23.9123,1.90153,-33.6907
114,-23.5787,1.90656,-33.7585
115,-23.228,1.89223,-33.565
116,-22.8651,1.89098,-33.5481
117,-22.5211,1.87797,-33.3715
118,-22.1781,1.87285,-33.3018
119,-21.8942,1.87237,-33.2953
120,-21.6639,1.85668,-33.0809
121,-21.347,1.85054,-32.9968
122,-21.0438,1.84482,-32.9184
123,-20.7556,1.83828,-32.8283
124,-20.4119,1.82631,-32.6632
125,-20.1376,1.81594,-32.5197
126,-19.8241,1.79647,-32.249
127,-19.5293,1.78799,-32.1305
128,-19.2612,1.77181,-31.9037
129,-19.0081,1.76451,-31.801
130,-18.6992,1.72811,-31.2855
131,-18.448,1.70524,-30.9586
132,-18.1954,1.69781,-30.852
133,-17.9272,1.68183,-30.6218
134,-17.6273,1.66162,-30.3289
135,-17.3362,1.64428,-30.0764
136,-17.0819,1.61874,-29.702
137,-16.7568,1.58881,-29.2597
138,-16.4414,1.55234,-28.7155
139,-16.1712,1.51233,-28.1119
140,-15.8939,1.47163,-27.4907
141,-15.6215,1.42871,-26.8281
142,-15.3209,1.38978,-26.2203
143,-15.1571,1.33982,-25.4309
144,-14.9416,1.28467,-24.5471
145,-14.8295,1.22503,-23.5773
146,-14.6628,1.16564,-22.5971
147,-14.6217,1.12483,-21.9152
148,-14.5105,1.06691,-20.9363
149,-14.4028,1.0261,-20.2385
150,-14.3561,0.984419,-19.5195
151,-14.2622,0.940674,-18.7579
152,-14.1536,0.899082,-18.0274
153,-14.0861,0.861158,-17.3559
154,-14.032,0.820354,-16.6279
155,-13.9613,0.786682,-16.0229
156,-13.9484,0.763293,-15.6005
157,-13.954,0.732953,-15.05
158,-13.9175,0.710945,-14.6489
159,-13.9458,0.695141,-14.3599
160,-13.9387,0.679655,-14.076
161,-13.9733,0.671893,-13.9335
162,-14.0121,0.664054,-13.7893
163,-14.0744,0.654077,-13.6056
164,-14.2311,0.635357,-13.2601
165,-14.3039,0.625668,-13.0809
166,-14.3369,0.623858,-13.0474
167,-14.3925,0.615923,-12.9004
168,-14.5084,0.612951,-12.8453
169,-14.6457,0.614837,-12.8802
170,-14.6948,0.601205,-12.6273
171,-14.8957,0.592739,-12.4699
172,-15.0847,0.580584,-12.2436
173,-15.237,0.56277,-11.9113
174,-15.3762,0.54272,-11.5363
175,-15.5267,0.532121,-11.3377
176,-15.5879,0.516245,-11.0396
177,-15.7196,0.496881,-10.6752
178,-15.8354,0.491202,-10.5682
179,-15.9096,0.480431,-10.365
180,-16.0348,0.475442,-10.2708
181,-16.1725,0.462033,-10.0173
182,-16.2992,0.457742,-9.93609
183,-16.4907,0.454728,-9.87904
184,-16.627,0.44177,-9.63349
185,-16.7278,0.443102,-9.65875
186,-16.8352,0.437512,-9.55272
187,-17.0121,0.439299,-9.58662
188,-17.1801,0.440382,-9.60717
189,-17.3596,0.445563,-9.7054
190,-17.5155,0.446927,-9.73126
191,-17.7746,0.451082,-9.80998
192,-18.0121,0.45239,-9.83476
193,-18.2746,0.457488,-9.93128
194,-18.6312,0.454135,-9.86781
195,-19.0308,0.459842,-9.97585
196,-19.3873,0.458996,-9.95983
197,-19.7734,0.461011,-9.99796
198,-20.1432,0.458916,-9.95832
199,-20.4641,0.45934,-9.96634
200,-20.6797,0.467639,-10.1233
201,-20.9345,0.463838,-10.0514
202,-21.1669,0.463599,-10.0469
203,-21.4269,0.474009,-10.2437
204,-21.6802,0.477487,-10.3094
205,-22.0124,0.477802,-10.3154
206,-22.4159,0.482615,-10.4062
207,-22.9704,0.480052,-10.3578
208,-23.4619,0.483767,-10.428
209,-24.0948,0.480735,-10.3707
210,-24.7324,0.47886,-10.3353
211,-25.3587,0.485791,-10.4661
212,-25.9559,0.48916,-10.5297
213,-26.5482,0.496585,-10.6697
214,-27.0541,0.509006,-10.9035
215,-27.5019,0.516398,-11.0425
216,-27.9316,0.526166,-11.2259
217,-28.3543,0.530662,-11.3103
218,-28.6819,0.544701,-11.5734
219,-29.0189,0.548744,-11.6491
220,-29.2788,0.563872,-11.9319
221,-29.5193,0.573913,-12.1193
222,-29.7607,0.586376,-12.3515
223,-29.9725,0.598264,-12.5726
224,-30.1938,0.612308,-12.8333
225,-30.4309,0.620093,-12.9776
226,-30.6591,0.6321,-13.1999
227,-30.9123,0.646747,-13.4704
228,-31.1192,0.663841,-13.7854
229,-31.3767,0.683315,-14.1432
230,-31.616,0.704402,-14.5293
231,-31.8363,0.728758,-14.9737
232,-32.1271,0.750036,-15.3603
233,-32.3607,0.77379,-15.7903
234,-32.5872,0.798994,-16.2446
235,-32.8336,0.821858,-16.6548
236,-33.1189,0.836043,-16.9085
237,-33.372,0.866628,-17.4531
238,-33.6315,0.893853,-17.9351
239,-33.8674,0.91638,-18.332
240,-34.1169,0.94037,-18.7526
241,-34.3401,0.967481,-19.2255
242,-34.4884,1.00145,-19.8141
243,-34.5644,1.03563,-20.402
244,-34.604,1.07289,-21.0378
245,-34.6008,1.10549,-21.5897
246,-34.5885,1.13491,-22.0842
247,-34.5731,1.1663,-22.6079
248,-34.4862,1.19806,-23.1339
249,-34.4,1.22827,-23.6304
250,-34.3273,1.25769,-24.1103
251,-34.1569,1.29971,-24.7893
252,-34.0016,1.33022,-25.2779
253,-33.8196,1.36509,-25.8315
254,-33.5973,1.40547,-26.4661
255,-33.4,1.43837,-26.9779
256,-33.0641,1.47261,-27.5058
257,-32.6479,1.50651,-28.0235
258,-32.209,1.55179,-28.7072
259,-31.6841,1.59069,-29.2876
260,-31.0825,1.63586,-29.9533
261,-30.4724,1.67505,-30.5237
262,-29.8812,1.704,-30.9408
263,-29.2653,1.73927,-31.4441
264,-28.7538,1.76582,-31.8194
265,-28.2398,1.79171,-32.1825
266,-27.75,1.81428,-32.4967
267,-27.2359,1.82178,-32.6006
268,-26.7328,1.83933,-32.8428
269,-26.232,1.86052,-33.1335
270,-25.7165,1.88916,-33.5235
271,-25.1746,1.9017,-33.693
272,-24.582,1.91598,-33.8853
273,-24.0216,1.93197,-34.0996
274,-23.4706,1.93933,-34.198
275,-22.8978,1.9453,-34.2775
276,-22.4084,1.94661,-34.295
277,-21.912,1.94076,-34.217
278,-21.4381,1.94097,-34.2198
279,-20.9065,1.92852,-34.0535
280,-20.4555,1.92684,-34.0311
281,-19.9882,1.90985,-33.8029
282,-19.4984,1.89149,-33.555
283,-19.0316,1.88488,-33.4653
284,-18.5555,1.86735,-33.2268
285,-18.0917,1.85737,-33.0904
286,-17.6796,1.84234,-32.8842
287,-17.2968,1.83343,-32.7615
288,-16.8855,1.82405,-32.632
289,-16.5144,1.80537,-32.373
290,-16.1433,1.78964,-32.1536
291,-15.8408,1.7738,-31.9317
292,-15.6002,1.74081,-31.466
293,-15.2675,1.70733,-30.9885
294,-15.0198,1.67429,-30.5128
295,-14.7664,1.64779,-30.1276
296,-14.4709,1.62011,-29.7221
297,-14.2875,1.5922,-29.31
298,-14.1181,1.56752,-28.9427
299,-13.8747,1.54124,-28.5488
300,-13.6011,1.50499,-28.0004
301,-13.2617,1.46014,-27.3141
302,-13.1331,1.4229,-26.7379
303,-12.9029,1.37814,-26.0373
304,-12.6961,1.33212,-25.3083
