time,Fx,Tx,Fy,Ty,Fz,Tz
1,10.6177,-2.8999,9.5419,-1.1568,-70.9911,-0.3924
2,10.5113,-2.9791,9.0497,-1.1529,-71.1627,-0.381
3,10.4237,-3.0081,8.3811,-1.1358,-70.7093,-0.3637
4,10.3507,-3.001,8.0752,-1.1318,-70.8964,-0.3664
5,10.3527,-3.0084,7.3746,-1.1444,-70.859,-0.3605
6,10.4268,-3.0084,6.8852,-1.1271,-70.4184,-0.349
7,10.5879,-2.9722,6.8835,-1.1057,-70.2127,-0.3488
8,10.3603,-2.9796,6.49,-1.1104,-70.6009,-0.3486
9,10.2133,-2.9724,5.9616,-1.1063,-70.7778,-0.3399
10,10.262,-3.0444,5.5566,-1.1063,-70.7524,-0.3229
11,10.1082,-3.052,5.1173,-1.102,-70.3106,-0.3256
12,9.9969,-3.1455,4.7073,-1.0979,-70.4897,-0.3001
13,9.9793,-3.196,4.35,-1.102,-70.2616,-0.2888
14,9.9957,-3.1529,4.0886,-1.0933,-70.0428,-0.2886
15,9.8519,-3.146,3.6519,-1.1058,-70.0211,-0.2828
16,10.0744,-3.153,3.2519,-1.0931,-69.9988,-0.2741
17,9.9073,-3.1963,2.9831,-1.0932,-69.9802,-0.2656
18,9.7523,-3.2109,2.628,-1.0931,-69.9603,-0.2542
19,9.8247,-3.2179,2.407,-1.089,-70.1536,-0.2513
20,9.842,-3.1748,1.9686,-1.0802,-69.9262,-0.2454
21,9.7839,-3.1317,1.929,-1.0801,-69.9269,-0.2481
22,9.7155,-3.1174,1.6217,-1.08,-69.9116,-0.2424
23,9.6451,-3.1032,1.2265,-1.0714,-69.6815,-0.2421
24,9.7894,-3.1247,1.1345,-1.0753,-69.4729,-0.2309
25,9.4962,-3.1106,0.7862,-1.0839,-69.6607,-0.2279
26,9.4883,-3.1321,0.43,-1.0797,-69.8466,-0.2165
27,9.4904,-3.1251,0.4292,-1.0752,-69.4338,-0.2165
28,9.3552,-3.0894,0.2582,-1.0792,-69.22,-0.2192
29,9.2049,-3.0968,0.0833,-1.0918,-69.2121,-0.2136
30,9.3015,-3.039,-0.3981,-1.0749,-69.3945,-0.2104
31,9.328,-2.9672,-0.4779,-1.0663,-69.185,-0.2244
32,9.2922,-2.8592,-0.4239,-1.0535,-69.1919,-0.2383
33,9.4676,-2.8015,-0.4148,-1.0619,-69.405,-0.2467
34,9.412,-2.7439,-0.8052,-1.0452,-69.5881,-0.2548
35,9.4432,-2.6576,-0.8884,-1.0279,-69.1745,-0.2603
36,9.5531,-2.5712,-1.0963,-1.0277,-69.1675,-0.2742
37,9.6444,-2.5281,-1.3123,-1.0191,-68.9503,-0.2796
38,9.6562,-2.4993,-1.4844,-1.019,-68.9423,-0.2824
39,9.5203,-2.4564,-1.4805,-1.0105,-68.7353,-0.2907
40,9.6028,-2.4419,-1.7877,-1.0103,-68.7212,-0.2849
41,9.605,-2.4347,-1.9622,-1.0063,-68.9164,-0.2876
42,9.6152,-2.4132,-2.0483,-1.0102,-68.709,-0.2848
