time,route1,route2,route3,route4,route5,route6,route7,route8
1,-1.695759343,-2.66315243,-1.675044767,-1.962362532,-1.535138742,-1.482379863,-1.398656337,-1.638406837
2,-1.710186485,-2.454794138,-1.665391299,-1.888439136,-1.559851695,-1.463228448,-1.412750996,-1.59145213
3,-1.725666569,-2.291485416,-1.656415335,-1.825079206,-1.579670697,-1.447876982,-1.424706498,-1.551804801
4,-1.741988652,-2.169303762,-1.64812706,-1.771535539,-1.595046244,-1.435993186,-1.434693169,-1.518883003
5,-1.75894179,-2.084326676,-1.640536661,-1.72706093,-1.606428832,-1.427244781,-1.442881335,-1.492104887
6,-1.776315042,-2.032631654,-1.633654321,-1.690908172,-1.614268957,-1.42129949,-1.449441322,-1.470888604
7,-1.793897465,-2.010296198,-1.627490227,-1.662330062,-1.619017116,-1.417825034,-1.454543456,-1.454652307
8,-1.811478114,-2.013397806,-1.622054562,-1.640579395,-1.621123803,-1.416489136,-1.458358065,-1.442814146
9,-1.828846049,-2.038013976,-1.617357513,-1.624908965,-1.621039516,-1.416959516,-1.461055474,-1.434792273
10,-1.845790325,-2.080222208,-1.613409264,-1.614571569,-1.619214749,-1.418903897,-1.46280601,-1.430004841
11,-1.8621,-2.1361,-1.61022,-1.60882,-1.6161,-1.42199,-1.46378,-1.42787
12,-1.877564131,-2.201724852,-1.607799907,-1.606907054,-1.612145764,-1.425885547,-1.464147769,-1.427805902
13,-1.891971775,-2.273174261,-1.60615917,-1.608085527,-1.607802537,-1.43025826,-1.464079644,-1.429230699
14,-1.90511199,-2.346525729,-1.605307973,-1.611608213,-1.603520814,-1.434775861,-1.463745952,-1.431562543
15,-1.916773832,-2.417856752,-1.605256503,-1.616727908,-1.599751093,-1.439106071,-1.463317019,-1.434219584
16,-1.926746358,-2.48324483,-1.606014944,-1.622697406,-1.596943869,-1.442916612,-1.462963171,-1.436619975
17,-1.934818627,-2.538767462,-1.607593481,-1.628769503,-1.595549638,-1.445875207,-1.462854734,-1.438181867
18,-1.940779694,-2.580502147,-1.610002299,-1.634196995,-1.596018896,-1.447649575,-1.463162035,-1.438323411
19,-1.944206181,-2.604526389,-1.613103993,-1.638277949,-1.598637468,-1.447956186,-1.46404256,-1.436612063
20,-1.943104672,-2.608285338,-1.615835611,-1.64050347,-1.60236597,-1.44728833,-1.465394282,-1.433630766
21,-1.934778057,-2.594436393,-1.616776216,-1.6404161,-1.605525909,-1.446762539,-1.466874137,-1.43038534
22,-1.916542596,-2.566878461,-1.614517818,-1.637598636,-1.60643711,-1.447512905,-1.468129921,-1.427880147
23,-1.889252716,-2.529510457,-1.60893073,-1.632714773,-1.604328919,-1.450349152,-1.46890061,-1.42673432
24,-1.861656966,-2.486984507,-1.602185226,-1.627602976,-1.600699176,-1.454194986,-1.469615618,-1.426796103
25,-1.843572019,-2.4467548,-1.596691999,-1.624160783,-1.597393531,-1.457294228,-1.471020422,-1.42782191
26,-1.844177634,-2.416926981,-1.594626031,-1.623784096,-1.596174016,-1.457893471,-1.473862069,-1.42954887
27,-1.863123427,-2.405606561,-1.595762421,-1.625588758,-1.597248618,-1.455450859,-1.478430173,-1.43147765
28,-1.89272269,-2.416543541,-1.598475563,-1.628043143,-1.59945231,-1.452378687,-1.483469508,-1.432950356
29,-1.9251,-2.43767107,-1.601123242,-1.629639315,-1.601572827,-1.451531003,-1.487399058,-1.433306246
30,-1.952535584,-2.453333031,-1.602663462,-1.629580223,-1.602705873,-1.455654492,-1.488655598,-1.432219449
31,-1.967932267,-2.447873602,-1.603688837,-1.627885605,-1.603448137,-1.464502776,-1.486846944,-1.430466487
32,-1.964348524,-2.410736939,-1.605067646,-1.624620244,-1.604852904,-1.474512912,-1.483458148,-1.429050397
33,-1.935112825,-2.349446686,-1.607609069,-1.620007441,-1.607958454,-1.481949671,-1.480143232,-1.428939957
34,-1.884049664,-2.275530921,-1.611063174,-1.615038739,-1.612811606,-1.483532074,-1.478482771,-1.430229336
35,-1.828618242,-2.200517571,-1.614264888,-1.610938092,-1.617871571,-1.479895949,-1.478889847,-1.432087052
36,-1.787188992,-2.134404009,-1.616019025,-1.608894708,-1.621454874,-1.473678353,-1.480842437,-1.433637147
37,-1.775452892,-2.08189067,-1.615630079,-1.608928728,-1.622047131,-1.467532379,-1.483792265,-1.434176624
38,-1.789298095,-2.046532912,-1.614512501,-1.609640123,-1.619831505,-1.463538269,-1.487186937,-1.433963195
39,-1.815737066,-2.03188557,-1.614637573,-1.609543246,-1.615971125,-1.461773298,-1.490447982,-1.433586212
40,-1.84175593,-2.038106226,-1.617923235,-1.607506962,-1.611640835,-1.461877227,-1.492986762,-1.433628984
41,-1.857631848,-2.053874021,-1.624307808,-1.604232617,-1.60779453,-1.463488065,-1.494215058,-1.434199686
42,-1.860984723,-2.065446305,-1.631211171,-1.601011889,-1.604719683,-1.466141194,-1.493964138,-1.434610496
