time,route1,route2,route3,route4,route5,route6,route7,route8
1,-0.015060276,0.000203032,0.090250735,-0.33311477,-0.33311477,0.111983099,-0.475099662,-0.048113086
2,-0.041803627,-0.013393563,-0.023705372,-0.339360849,-0.339360849,0.045989436,-0.428477589,-0.07280098
3,-0.064432265,-0.024418768,-0.120040559,-0.345969942,-0.345969942,-0.011619165,-0.387814717,-0.09354023
4,-0.083242591,-0.033090497,-0.200154169,-0.35282029,-0.35282029,-0.061387489,-0.352691521,-0.110643313
5,-0.098531008,-0.039626663,-0.265445543,-0.359790133,-0.359790133,-0.103860323,-0.322688476,-0.124422701
6,-0.11059392,-0.04424518,-0.317314024,-0.36675771,-0.36675771,-0.139582452,-0.297386058,-0.135190869
7,-0.119727729,-0.047163962,-0.357158954,-0.37360126,-0.37360126,-0.16909866,-0.276364742,-0.143260291
8,-0.126228839,-0.048600921,-0.386379674,-0.380199025,-0.380199025,-0.192953734,-0.259205002,-0.148943441
9,-0.130393652,-0.048773971,-0.406375527,-0.386429243,-0.386429243,-0.211692458,-0.245487315,-0.152552793
10,-0.132518571,-0.047901026,-0.418545855,-0.392170155,-0.392170155,-0.225859618,-0.234792156,-0.154400821
11,-0.1329,-0.0462,-0.42429,-0.3973,-0.3973,-0.236,-0.2267,-0.1548
12,-0.131834341,-0.043888805,-0.425007303,-0.401697018,-0.401697018,-0.242658388,-0.220791322,-0.154062803
13,-0.129617997,-0.041185356,-0.422097108,-0.405239449,-0.405239449,-0.246379568,-0.216646598,-0.152501705
14,-0.126547371,-0.038307566,-0.416958755,-0.407805533,-0.407805533,-0.247708326,-0.213846302,-0.150429179
15,-0.122918866,-0.035473347,-0.410991587,-0.40927351,-0.40927351,-0.247189446,-0.211970911,-0.1481577
16,-0.119028885,-0.032900615,-0.405594946,-0.409521619,-0.409521619,-0.245367714,-0.210600899,-0.145999742
17,-0.115173831,-0.030807282,-0.402168173,-0.4084281,-0.4084281,-0.242787916,-0.209316742,-0.144267779
18,-0.111650108,-0.029411261,-0.402102305,-0.405871193,-0.405871193,-0.239994836,-0.207698916,-0.143274285
19,-0.108689407,-0.028930467,-0.405702289,-0.401906128,-0.401906128,-0.237514983,-0.205349313,-0.143228872
20,-0.106225994,-0.029560338,-0.411118702,-0.39734277,-0.39734277,-0.23558359,-0.202302687,-0.143641523
21,-0.104108733,-0.030984573,-0.416248195,-0.393192071,-0.393192071,-0.234202203,-0.198995834,-0.143730881
22,-0.102194969,-0.032377987,-0.419240552,-0.39044087,-0.39044087,-0.233365785,-0.195880797,-0.142717793
23,-0.100619277,-0.032893493,-0.419777322,-0.389428522,-0.389428522,-0.233046656,-0.193311354,-0.140250891
24,-0.09984857,-0.031689434,-0.418113245,-0.389790658,-0.389790658,-0.233085495,-0.190897182,-0.136834849
25,-0.10036938,-0.028560903,-0.414527824,-0.391127528,-0.391127528,-0.233275523,-0.187907334,-0.133076312
26,-0.102505403,-0.024528776,-0.409888566,-0.393023623,-0.393023623,-0.233409669,-0.183609174,-0.129560808
27,-0.105719427,-0.020753258,-0.405675026,-0.394991814,-0.394991814,-0.233204458,-0.17777445,-0.126614992
28,-0.109190786,-0.018394553,-0.403394756,-0.396524635,-0.396524635,-0.232190132,-0.171878318,-0.124391927
29,-0.112112227,-0.018224187,-0.40390722,-0.397133338,-0.397133338,-0.229869072,-0.167755168,-0.123041446
30,-0.114257145,-0.019478859,-0.406178549,-0.396889857,-0.396889857,-0.225776259,-0.167216198,-0.122600093
31,-0.116184981,-0.021016469,-0.408830978,-0.396510342,-0.396510342,-0.220355358,-0.170546496,-0.122731472
32,-0.118511032,-0.021694921,-0.410521233,-0.396746469,-0.396746469,-0.215056939,-0.175584699,-0.123022555
33,-0.121661587,-0.020508498,-0.410230478,-0.398017247,-0.398017247,-0.211383874,-0.179949244,-0.123067502
34,-0.124911139,-0.017617531,-0.407117795,-0.399129455,-0.399129455,-0.21062466,-0.18138843,-0.122643947
35,-0.127100343,-0.013773946,-0.400375819,-0.398402138,-0.398402138,-0.212219296,-0.179714793,-0.121723706
36,-0.127084609,-0.0097343,-0.390912943,-0.394212632,-0.394212632,-0.214663324,-0.176394228,-0.120287925
37,-0.124621009,-0.006236256,-0.382194168,-0.386900202,-0.386900202,-0.216444728,-0.172939044,-0.118339263
38,-0.12084661,-0.003595687,-0.377892833,-0.379187455,-0.379187455,-0.216511626,-0.170630127,-0.115999854
39,-0.117015153,-0.001713702,-0.380432092,-0.37394068,-0.37394068,-0.215420969,-0.169283765,-0.113433077
40,-0.114189365,-0.000473918,-0.386751391,-0.373312459,-0.373312459,-0.214081127,-0.168144995,-0.110800374
41,-0.112086084,0.00024059,-0.392287059,-0.37576621,-0.37576621,-0.213389623,-0.166457873,-0.108115313
42,-0.109843748,0.000607645,-0.392748316,-0.378576885,-0.378576885,-0.213610181,-0.163769909,-0.105143729
43,-1.07E-01,0.000920937,-0.388086885,-0.379072158,-0.379072158,-0.21403392,-0.160496177,-0.101627826
44,-0.102311984,0.001487135,-0.381603471,-0.376600471,-0.376600471,-0.213869425,-0.157205799,-0.097317468
45,-0.098252631,0.00261291,-0.37668107,-0.3731061,-0.3731061,-0.21239615,-0.154460626,-0.092036978
46,-0.095863127,0.004506075,-0.375087153,-0.370703893,-0.370703893,-0.209840327,-0.152497964,-0.085652591
47,-0.09629273,0.006989063,-0.375099815,-0.371045287,-0.371045287,-0.207102954,-0.151107595,-0.078032532
48,-0.098368273,0.009790414,-0.37454235,-0.373225841,-0.373225841,-0.205099531,-0.150046631,-0.070031465
49,-0.09978082,0.012638667,-0.371672603,-0.37546475,-0.37546475,-0.204555817,-0.149072224,-0.065186831
50,-0.098225841,0.015278545,-0.367642482,-0.376015073,-0.376015073,-0.205235812,-0.147942025,-0.067487838
51,-0.092935651,0.017591188,-0.364786415,-0.374622742,-0.374622742,-0.206599524,-0.146414033,-0.08063884
52,-0.086164056,0.019526133,-0.365362867,-0.373061953,-0.373061953,-0.208107578,-0.144246254,-0.102958586
53,-0.080517194,0.021033429,-0.369336443,-0.373251792,-0.373251792,-0.209353168,-0.141296782,-0.127957996
54,-0.078402145,0.022073657,-0.374084728,-0.376667219,-0.376667219,-0.210214318,-0.137955817,-0.148979156
55,-0.080324306,0.022837823,-0.376847255,-0.382168314,-0.382168314,-0.210605952,-0.134789689,-0.160658791
56,-0.085733279,0.023741,-0.375830117,-0.387661369,-0.387661369,-0.210442493,-0.132364044,-0.163534531
57,-0.094064669,0.025207519,-0.372329706,-0.391076113,-0.391076113,-0.20962717,-0.130986475,-0.159824317
58,-0.104176168,0.027659539,-0.368258722,-0.391567763,-0.391567763,-0.208052181,-0.130337635,-0.151754094
59,-0.113633487,0.031284708,-0.365363748,-0.390052923,-0.390052923,-0.205609257,-0.130004802,-0.141919441
60,-0.119827126,0.035829723,-0.363653772,-0.387584651,-0.387584651,-0.202270024,-0.129582635,-0.133436262
61,-0.120413306,0.04099258,-0.362102263,-0.385008554,-0.385008554,-0.19860087,-0.128902639,-0.12945959
62,-0.116033257,0.046471277,-0.359678945,-0.381865563,-0.381865563,-0.195436439,-0.128077749,-0.132464162
63,-0.109205757,0.051921545,-0.35603202,-0.377190652,-0.377190652,-0.193612467,-0.127237286,-0.139606359
64,-0.102477142,0.056836462,-0.35190713,-0.370042705,-0.370042705,-0.193592413,-0.126496654,-0.145540214
65,-0.097701509,0.060669979,-0.348149889,-0.360907992,-0.360907992,-0.194700271,-0.125826657,-0.144919981
66,-0.094968704,0.06287605,-0.345291601,-0.352443756,-0.352443756,-0.19604277,-0.125112357,-0.135718234
67,-0.094091603,0.063034559,-0.342351298,-0.347489229,-0.347489229,-0.196738502,-0.12423769,-0.123402036
68,-0.094796491,0.061771897,-0.337893756,-0.348295957,-0.348295957,-0.19642015,-0.123104008,-0.114466737
69,-0.09565582,0.060232993,-0.330643191,-0.353164717,-0.353164717,-0.195420623,-0.121690687,-0.114860995
70,-0.094421193,0.059566488,-0.32213759,-0.358768274,-0.358768274,-0.194123034,-0.11999894,-0.122628531
71,-0.088827991,0.060868054,-0.316322361,-0.361800221,-0.361800221,-0.192878129,-0.118030242,-0.129865583
72,-0.078107918,0.064096866,-0.31721159,-0.36067962,-0.36067962,-0.191670394,-0.115825926,-0.128523183
73,-0.065851786,0.068119279,-0.326362745,-0.356603489,-0.356603489,-0.190252711,-0.113509945,-0.113875658
74,-0.056439858,0.071757415,-0.339549298,-0.351020327,-0.351020327,-0.188374306,-0.111216515,-0.09365168
75,-0.053946406,0.073840721,-0.351712896,-0.34534691,-0.34534691,-0.185956051,-0.109078852,-0.078496877
76,-0.057556556,0.073958031,-0.358420593,-0.340771853,-0.340771853,-0.183678525,-0.107206088,-0.078773521
77,-0.062526333,0.073109446,-0.359831345,-0.338383925,-0.338383925,-0.182432418,-0.105682673,-0.095794383
78,-0.064000996,0.072448678,-0.358150422,-0.339256577,-0.339256577,-0.183102158,-0.104591935,-0.12014215
79,-0.058965539,0.073129435,-0.355565142,-0.343290614,-0.343290614,-0.185873736,-0.10400247,-0.141776983
80,-0.050546682,0.075885757,-0.353331892,-0.348387676,-0.348387676,-0.18960765,-0.10385664,-0.15196156
81,-0.043151232,0.079857231,-0.351569256,-0.352254309,-0.352254309,-0.193016345,-0.104032647,-0.150233369
82,-0.040983008,0.083804849,-0.350326554,-0.352900882,-0.352900882,-0.194864412,-0.104408185,-0.139368796
83,-0.044304412,0.086489602,-0.349461978,-0.350677593,-0.350677593,-0.194872718,-0.10489929,-0.122159821
84,-0.049802649,0.086869026,-0.348164319,-0.347021458,-0.347021458,-0.193600155,-0.10556691,-0.102276462
85,-0.05403539,0.085511075,-0.345475893,-0.343368993,-0.343368993,-0.191633982,-0.106506229,-0.085043968
86,-0.054493789,0.083772239,-0.34057686,-0.34054364,-0.34054364,-0.189532015,-0.107810877,-0.075970959
87,-0.05224687,0.083014406,-0.33425646,-0.338261625,-0.338261625,-0.187662018,-0.109435972,-0.079841402
88,-0.049220727,0.084531696,-0.328345209,-0.336122887,-0.336122887,-0.186316259,-0.1110908,-0.093232919
89,-0.047293235,0.088192376,-0.324673778,-0.33380338,-0.33380338,-0.185786651,-0.112459393,-0.107530308
90,-0.047185543,0.092508927,-0.323574515,-0.331606575,-0.331606575,-0.186265515,-0.113241184,-0.114038102
91,-0.04843491,0.095940086,-0.322746938,-0.330145153,-0.330145153,-0.187677744,-0.113422165,-0.10763526
92,-0.050524946,0.096955213,-0.319623464,-0.330029701,-0.330029701,-0.189903805,-0.113241694,-0.094235989
93,-0.052683753,0.095082674,-0.312462938,-0.331381098,-0.331381098,-0.192815454,-0.112947857,-0.081877419
94,-0.053014259,0.091796017,-0.30388848,-0.33338292,-0.33338292,-0.195994179,-0.112761767,-0.078303073
95,-0.049309766,0.088777455,-0.29795858,-0.335112949,-0.335112949,-0.198670174,-0.112712269,-0.084503496
96,-0.039471419,0.087709197,-0.298522269,-0.335766536,-0.335766536,-0.200052577,-0.112744736,-0.09471626
97,-0.024664544,0.089761789,-0.305191403,-0.335580642,-0.335580642,-0.199457844,-0.112804203,-0.102885327
98,-0.009824298,0.094186676,-0.31364957,-0.335336433,-0.335336433,-0.197239384,-0.112846009,-0.104084234
99,-9.55E-05,0.099785445,-0.319435947,-0.335816619,-0.335816619,-0.19433153,-0.1128584,-0.099258221
100,0.00058045,0.105359685,-0.319880842,-0.337348199,-0.337348199,-0.191675012,-0.112836179,-0.091254423
101,-0.005645105,0.109842614,-0.316916913,-0.339333337,-0.339333337,-0.190000737,-0.112774598,-0.082907841
102,-0.014696977,0.113230872,-0.313205807,-0.341062169,-0.341062169,-0.189228138,-0.112694929,-0.076224018
103,-0.022553606,0.116035654,-0.311142388,-0.341874946,-0.341874946,-0.189080505,-0.112658093,-0.071897696
104,-0.027324256,0.118771516,-0.310957682,-0.341589056,-0.341589056,-0.189281324,-0.112728345,-0.070507865
105,-0.029896593,0.121934725,-0.311832225,-0.340286087,-0.340286087,-0.189569026,-0.112946528,-0.072424625
106,-0.031345017,0.125644184,-0.312949246,-0.33805218,-0.33805218,-0.189707138,-0.11300831,-0.076132496
107,-0.03254376,0.129663969,-0.313884121,-0.335291171,-0.335291171,-0.189461592,-0.112346272,-0.079115768
108,-0.03319975,0.133744382,-0.314731811,-0.333090865,-0.333090865,-0.18861611,-0.11038638,-0.078852695
109,-0.032597941,0.137635238,-0.315623043,-0.332627878,-0.332627878,-0.187225404,-0.106755018,-0.074176071
110,-0.030038962,0.141039251,-0.316718535,-0.334848965,-0.334848965,-0.18555528,-0.1022748,-0.067379307
111,-0.025677306,0.143573638,-0.318294162,-0.338345467,-0.338345467,-0.183877118,-0.098210271,-0.061300538
112,-0.020925696,0.144846573,-0.320653433,-0.340327108,-0.340327108,-0.182406877,-0.095825846,-0.058636533
113,-0.01729781,0.144466237,-0.323988727,-0.33799417,-0.33799417,-0.181049192,-0.095860966,-0.059647448
114,-0.015957344,0.1423157,-0.327038944,-0.330467419,-0.330467419,-0.179600079,-0.09763408,-0.062538455
115,-0.015710717,0.139295905,-0.32752234,-0.321256125,-0.321256125,-0.177855844,-0.100225558,-0.06545038
116,-0.014391303,0.136543338,-0.323155205,-0.314479757,-0.314479757,-0.175725995,-0.102723239,-0.066888608
117,-0.009854872,0.135194483,-0.313844001,-0.313820957,-0.313820957,-0.173387395,-0.104512013,-0.066915071
118,-0.00183382,0.136251757,-0.303679707,-0.318137066,-0.318137066,-0.171055494,-0.105366499,-0.066007044
119,0.006809896,0.139649518,-0.297224564,-0.323288289,-0.323288289,-0.1689422,-0.105087753,-0.064637709
120,0.012917544,0.144811443,-0.29798311,-0.325096471,-0.325096471,-0.167166093,-0.103521217,-0.063112504
121,0.013829678,0.151158032,-0.303323697,-0.321511755,-0.321511755,-0.16574533,-0.101040249,-0.061513914
122,0.010786241,0.158098688,-0.308407329,-0.31564912,-0.31564912,-0.164693106,-0.098364569,-0.059909003
123,0.006860302,0.164818152,-0.308577795,-0.311391822,-0.311391822,-0.163999942,-0.096219931,-0.058390202
124,0.005120954,0.170292272,-0.3034842,-0.312254803,-0.312254803,-0.163468036,-0.095142561,-0.057234825
125,0.007029035,0.17348896,-0.297100179,-0.31735926,-0.31735926,-0.162806292,-0.094717222,-0.056802042
126,0.011004591,0.173387105,-0.29358657,-0.32293756,-0.32293756,-0.161722963,-0.094230746,-0.057448685
127,0.015129569,0.169979435,-0.295198822,-0.325175475,-0.325175475,-0.160020592,-0.092971561,-0.059067672
128,0.017693628,0.165077897,-0.298842898,-0.322099323,-0.322099323,-0.157820561,-0.090646013,-0.060565934
129,0.018877112,0.160683956,-0.300492927,-0.316481512,-0.316481512,-0.155311576,-0.087923012,-0.06072428
130,0.01987011,0.158799062,-0.296707077,-0.311849099,-0.311849099,-0.152682314,-0.085606516,-0.058410515
131,0.021867452,0.160724562,-0.289289176,-0.311420579,-0.311420579,-0.150119769,-0.084479941,-0.053649279
132,0.025211069,0.165202506,-0.282814405,-0.314431324,-0.314431324,-0.147808433,-0.084730544,-0.047287024
133,0.028410548,0.170390294,-0.281818084,-0.317345444,-0.317345444,-0.145932592,-0.085871309,-0.040187728
134,0.02973813,0.174445324,-0.287631185,-0.316573323,-0.316573323,-0.144656787,-0.087378982,-0.033253523
135,0.027664114,0.17577909,-0.296979971,-0.310182039,-0.310182039,-0.143892703,-0.088739843,-0.027520525
136,0.022773716,0.174799193,-0.306234084,-0.300780624,-0.300780624,-0.143377104,-0.089532983,-0.024054242
137,0.016932552,0.172856332,-0.312369887,-0.291749536,-0.291749536,-0.14284326,-0.089389789,-0.023869215
138,0.012022589,0.171306799,-0.314918122,-0.286269529,-0.286269529,-0.14204616,-0.08794223,-0.026528518
139,0.009417405,0.171451194,-0.314081658,-0.284725714,-0.284725714,-0.140847208,-0.085042144,-0.029969334
140,0.009246453,0.173483902,-0.310140625,-0.285445508,-0.285445508,-0.139140344,-0.081472045,-0.032042846
141,0.011452389,0.176582217,-0.304512619,-0.286708924,-0.286708924,-0.136821046,-0.078260665,-0.031015479
142,0.015939139,0.179885604,-0.299481475,-0.28718432,-0.28718432,-0.134026289,-0.076432181,-0.027619506
